% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 34.22 us, time offset 9.966 ns, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 09:36:01 -0400
% Time (s), Channel A (Input 1) (V)
-1.708703035117e-05, -4.741516e-02
-1.704703035117e-05, -4.753489e-02
-1.700703035117e-05, -4.765463e-02
-1.696703035117e-05, -4.765463e-02
-1.692703035117e-05, -4.729542e-02
-1.688703035117e-05, -4.849277e-02
-1.684703035117e-05, -4.789410e-02
-1.680703035117e-05, -4.777436e-02
-1.676703035117e-05, -4.861251e-02
-1.672703035117e-05, -4.789410e-02
-1.668703035117e-05, -4.789410e-02
-1.664703035117e-05, -4.705595e-02
-1.660703035117e-05, -4.717568e-02
-1.656703035117e-05, -4.825330e-02
-1.652703035117e-05, -4.669674e-02
-1.648703035117e-05, -4.693621e-02
-1.644703035117e-05, -4.681648e-02
-1.640703035117e-05, -4.837304e-02
-1.636703035117e-05, -4.729542e-02
-1.632703035117e-05, -4.789410e-02
-1.628703035117e-05, -4.693621e-02
-1.624703035117e-05, -4.777436e-02
-1.620703035117e-05, -4.669674e-02
-1.616703035117e-05, -4.741516e-02
-1.612703035117e-05, -4.741516e-02
-1.608703035117e-05, -4.777436e-02
-1.604703035117e-05, -4.777436e-02
-1.600703035117e-05, -4.861251e-02
-1.596703035117e-05, -4.741516e-02
-1.592703035117e-05, -4.849277e-02
-1.588703035117e-05, -4.705595e-02
-1.584703035117e-05, -4.705595e-02
-1.580703035117e-05, -4.729542e-02
-1.576703035117e-05, -4.753489e-02
-1.572703035117e-05, -4.705595e-02
-1.568703035117e-05, -4.669674e-02
-1.564703035117e-05, -4.705595e-02
-1.560703035117e-05, -4.753489e-02
-1.556703035117e-05, -4.789410e-02
-1.552703035117e-05, -4.801383e-02
-1.548703035117e-05, -4.693621e-02
-1.544703035117e-05, -4.693621e-02
-1.540703035117e-05, -4.741516e-02
-1.536703035117e-05, -4.789410e-02
-1.532703035117e-05, -4.837304e-02
-1.528703035117e-05, -4.837304e-02
-1.524703035117e-05, -4.741516e-02
-1.520703035117e-05, -4.669674e-02
-1.516703035117e-05, -4.777436e-02
-1.512703035117e-05, -4.885198e-02
-1.508703035117e-05, -4.693621e-02
-1.504703035117e-05, -4.645727e-02
-1.500703035117e-05, -4.753489e-02
-1.496703035117e-05, -4.789410e-02
-1.492703035117e-05, -4.777436e-02
-1.488703035117e-05, -4.885198e-02
-1.484703035117e-05, -4.789410e-02
-1.480703035117e-05, -4.693621e-02
-1.476703035117e-05, -4.741516e-02
-1.472703035117e-05, -4.873224e-02
-1.468703035117e-05, -4.861251e-02
-1.464703035117e-05, -4.777436e-02
-1.460703035117e-05, -4.813357e-02
-1.456703035117e-05, -4.765463e-02
-1.452703035117e-05, -4.813357e-02
-1.448703035117e-05, -4.777436e-02
-1.444703035117e-05, -4.825330e-02
-1.440703035117e-05, -4.861251e-02
-1.436703035117e-05, -4.813357e-02
-1.432703035117e-05, -4.789410e-02
-1.428703035117e-05, -4.741516e-02
-1.424703035117e-05, -4.849277e-02
-1.420703035117e-05, -4.789410e-02
-1.416703035117e-05, -4.813357e-02
-1.412703035117e-05, -4.669674e-02
-1.408703035117e-05, -4.789410e-02
-1.404703035117e-05, -4.693621e-02
-1.400703035117e-05, -4.849277e-02
-1.396703035117e-05, -4.801383e-02
-1.392703035117e-05, -4.693621e-02
-1.388703035117e-05, -4.741516e-02
-1.384703035117e-05, -4.777436e-02
-1.380703035117e-05, -4.873224e-02
-1.376703035117e-05, -4.813357e-02
-1.372703035117e-05, -4.801383e-02
-1.368703035117e-05, -4.693621e-02
-1.364703035117e-05, -4.729542e-02
-1.360703035117e-05, -4.729542e-02
-1.356703035117e-05, -4.705595e-02
-1.352703035117e-05, -4.801383e-02
-1.348703035117e-05, -4.717568e-02
-1.344703035117e-05, -4.705595e-02
-1.340703035117e-05, -4.753489e-02
-1.336703035117e-05, -4.777436e-02
-1.332703035117e-05, -4.693621e-02
-1.328703035117e-05, -4.789410e-02
-1.324703035117e-05, -4.765463e-02
-1.320703035117e-05, -4.849277e-02
-1.316703035117e-05, -4.837304e-02
-1.312703035117e-05, -4.777436e-02
-1.308703035117e-05, -4.765463e-02
-1.304703035117e-05, -4.729542e-02
-1.300703035117e-05, -4.741516e-02
-1.296703035117e-05, -4.693621e-02
-1.292703035117e-05, -4.837304e-02
-1.288703035117e-05, -4.873224e-02
-1.284703035117e-05, -4.693621e-02
-1.280703035117e-05, -4.873224e-02
-1.276703035117e-05, -4.741516e-02
-1.272703035117e-05, -4.777436e-02
-1.268703035117e-05, -4.753489e-02
-1.264703035117e-05, -4.837304e-02
-1.260703035117e-05, -4.717568e-02
-1.256703035117e-05, -4.813357e-02
-1.252703035117e-05, -4.861251e-02
-1.248703035117e-05, -4.789410e-02
-1.244703035117e-05, -4.753489e-02
-1.240703035117e-05, -4.861251e-02
-1.236703035117e-05, -4.789410e-02
-1.232703035117e-05, -4.789410e-02
-1.228703035117e-05, -4.669674e-02
-1.224703035117e-05, -4.837304e-02
-1.220703035117e-05, -4.753489e-02
-1.216703035117e-05, -4.825330e-02
-1.212703035117e-05, -4.885198e-02
-1.208703035117e-05, -4.765463e-02
-1.204703035117e-05, -4.813357e-02
-1.200703035117e-05, -4.801383e-02
-1.196703035117e-05, -4.765463e-02
-1.192703035117e-05, -4.813357e-02
-1.188703035117e-05, -4.873224e-02
-1.184703035117e-05, -4.825330e-02
-1.180703035117e-05, -4.909145e-02
-1.176703035117e-05, -4.789410e-02
-1.172703035117e-05, -4.837304e-02
-1.168703035117e-05, -4.789410e-02
-1.164703035117e-05, -4.765463e-02
-1.160703035117e-05, -4.813357e-02
-1.156703035117e-05, -4.789410e-02
-1.152703035117e-05, -4.753489e-02
-1.148703035117e-05, -4.729542e-02
-1.144703035117e-05, -4.621780e-02
-1.140703035117e-05, -4.729542e-02
-1.136703035117e-05, -4.861251e-02
-1.132703035117e-05, -4.741516e-02
-1.128703035117e-05, -4.741516e-02
