% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 34.22 us, time offset 9.966 ns, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 09:37:53 -0400
% Time (s), Channel A (Input 1) (V)
-1.708701520303e-05, -4.490072e-02
-1.704701520303e-05, -4.514019e-02
-1.700701520303e-05, -4.466124e-02
-1.696701520303e-05, -4.454151e-02
-1.692701520303e-05, -4.478098e-02
-1.688701520303e-05, -4.502045e-02
-1.684701520303e-05, -4.418230e-02
-1.680701520303e-05, -4.394283e-02
-1.676701520303e-05, -4.394283e-02
-1.672701520303e-05, -4.514019e-02
-1.668701520303e-05, -4.466124e-02
-1.664701520303e-05, -4.514019e-02
-1.660701520303e-05, -4.537966e-02
-1.656701520303e-05, -4.466124e-02
-1.652701520303e-05, -4.490072e-02
-1.648701520303e-05, -4.430204e-02
-1.644701520303e-05, -4.502045e-02
-1.640701520303e-05, -4.478098e-02
-1.636701520303e-05, -4.502045e-02
-1.632701520303e-05, -4.525992e-02
-1.628701520303e-05, -4.514019e-02
-1.624701520303e-05, -4.502045e-02
-1.620701520303e-05, -4.549939e-02
-1.616701520303e-05, -4.454151e-02
-1.612701520303e-05, -4.466124e-02
-1.608701520303e-05, -4.502045e-02
-1.604701520303e-05, -4.549939e-02
-1.600701520303e-05, -4.478098e-02
-1.596701520303e-05, -4.478098e-02
-1.592701520303e-05, -4.478098e-02
-1.588701520303e-05, -4.454151e-02
-1.584701520303e-05, -4.442177e-02
-1.580701520303e-05, -4.442177e-02
-1.576701520303e-05, -4.525992e-02
-1.572701520303e-05, -4.454151e-02
-1.568701520303e-05, -4.454151e-02
-1.564701520303e-05, -4.430204e-02
-1.560701520303e-05, -4.561913e-02
-1.556701520303e-05, -4.514019e-02
-1.552701520303e-05, -4.466124e-02
-1.548701520303e-05, -4.514019e-02
-1.544701520303e-05, -4.406257e-02
-1.540701520303e-05, -4.514019e-02
-1.536701520303e-05, -4.478098e-02
-1.532701520303e-05, -4.466124e-02
-1.528701520303e-05, -4.454151e-02
-1.524701520303e-05, -4.442177e-02
-1.520701520303e-05, -4.466124e-02
-1.516701520303e-05, -4.466124e-02
-1.512701520303e-05, -4.466124e-02
-1.508701520303e-05, -4.454151e-02
-1.504701520303e-05, -4.454151e-02
-1.500701520303e-05, -4.525992e-02
-1.496701520303e-05, -4.490072e-02
-1.492701520303e-05, -4.454151e-02
-1.488701520303e-05, -4.490072e-02
-1.484701520303e-05, -4.514019e-02
-1.480701520303e-05, -4.466124e-02
-1.476701520303e-05, -4.442177e-02
-1.472701520303e-05, -4.490072e-02
-1.468701520303e-05, -4.514019e-02
-1.464701520303e-05, -4.537966e-02
-1.460701520303e-05, -4.525992e-02
-1.456701520303e-05, -4.490072e-02
-1.452701520303e-05, -4.478098e-02
-1.448701520303e-05, -4.537966e-02
-1.444701520303e-05, -4.502045e-02
-1.440701520303e-05, -4.454151e-02
-1.436701520303e-05, -4.525992e-02
-1.432701520303e-05, -4.478098e-02
-1.428701520303e-05, -4.561913e-02
-1.424701520303e-05, -4.490072e-02
-1.420701520303e-05, -4.573886e-02
-1.416701520303e-05, -4.525992e-02
-1.412701520303e-05, -4.537966e-02
-1.408701520303e-05, -4.430204e-02
-1.404701520303e-05, -4.466124e-02
-1.400701520303e-05, -4.454151e-02
-1.396701520303e-05, -4.478098e-02
-1.392701520303e-05, -4.478098e-02
-1.388701520303e-05, -4.478098e-02
-1.384701520303e-05, -4.418230e-02
-1.380701520303e-05, -4.478098e-02
-1.376701520303e-05, -4.561913e-02
-1.372701520303e-05, -4.549939e-02
-1.368701520303e-05, -4.454151e-02
-1.364701520303e-05, -4.466124e-02
-1.360701520303e-05, -4.382310e-02
-1.356701520303e-05, -4.442177e-02
-1.352701520303e-05, -4.561913e-02
-1.348701520303e-05, -4.514019e-02
-1.344701520303e-05, -4.537966e-02
-1.340701520303e-05, -4.490072e-02
-1.336701520303e-05, -4.514019e-02
-1.332701520303e-05, -4.537966e-02
-1.328701520303e-05, -4.490072e-02
-1.324701520303e-05, -4.514019e-02
-1.320701520303e-05, -4.418230e-02
