% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 34.22 us, time offset 9.966 ns, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 09:19:06 -0400
% Time (s), Channel A (Input 1) (V)
-1.708711796127e-05, -4.549939e-02
-1.704711796127e-05, -4.717568e-02
-1.700711796127e-05, -4.609807e-02
-1.696711796127e-05, -4.609807e-02
-1.692711796127e-05, -4.633754e-02
-1.688711796127e-05, -4.657701e-02
-1.684711796127e-05, -4.669674e-02
-1.680711796127e-05, -4.645727e-02
-1.676711796127e-05, -4.585860e-02
-1.672711796127e-05, -4.561913e-02
-1.668711796127e-05, -4.597833e-02
-1.664711796127e-05, -4.585860e-02
-1.660711796127e-05, -4.609807e-02
-1.656711796127e-05, -4.669674e-02
-1.652711796127e-05, -4.645727e-02
-1.648711796127e-05, -4.585860e-02
-1.644711796127e-05, -4.585860e-02
-1.640711796127e-05, -4.609807e-02
-1.636711796127e-05, -4.549939e-02
-1.632711796127e-05, -4.609807e-02
-1.628711796127e-05, -4.573886e-02
-1.624711796127e-05, -4.621780e-02
-1.620711796127e-05, -4.561913e-02
-1.616711796127e-05, -4.585860e-02
-1.612711796127e-05, -4.657701e-02
-1.608711796127e-05, -4.561913e-02
-1.604711796127e-05, -4.645727e-02
-1.600711796127e-05, -4.597833e-02
-1.596711796127e-05, -4.621780e-02
-1.592711796127e-05, -4.573886e-02
-1.588711796127e-05, -4.645727e-02
-1.584711796127e-05, -4.573886e-02
-1.580711796127e-05, -4.514019e-02
-1.576711796127e-05, -4.573886e-02
-1.572711796127e-05, -4.609807e-02
-1.568711796127e-05, -4.633754e-02
-1.564711796127e-05, -4.609807e-02
-1.560711796127e-05, -4.549939e-02
-1.556711796127e-05, -4.573886e-02
-1.552711796127e-05, -4.645727e-02
-1.548711796127e-05, -4.585860e-02
-1.544711796127e-05, -4.597833e-02
-1.540711796127e-05, -4.597833e-02
-1.536711796127e-05, -4.478098e-02
-1.532711796127e-05, -4.633754e-02
-1.528711796127e-05, -4.514019e-02
-1.524711796127e-05, -4.657701e-02
-1.520711796127e-05, -4.645727e-02
-1.516711796127e-05, -4.633754e-02
-1.512711796127e-05, -4.633754e-02
-1.508711796127e-05, -4.502045e-02
-1.504711796127e-05, -4.645727e-02
-1.500711796127e-05, -4.561913e-02
-1.496711796127e-05, -4.621780e-02
-1.492711796127e-05, -4.537966e-02
-1.488711796127e-05, -4.597833e-02
-1.484711796127e-05, -4.621780e-02
-1.480711796127e-05, -4.609807e-02
-1.476711796127e-05, -4.597833e-02
-1.472711796127e-05, -4.561913e-02
-1.468711796127e-05, -4.573886e-02
-1.464711796127e-05, -4.597833e-02
-1.460711796127e-05, -4.609807e-02
-1.456711796127e-05, -4.609807e-02
-1.452711796127e-05, -4.537966e-02
-1.448711796127e-05, -4.514019e-02
-1.444711796127e-05, -4.633754e-02
-1.440711796127e-05, -4.561913e-02
-1.436711796127e-05, -4.573886e-02
-1.432711796127e-05, -4.621780e-02
-1.428711796127e-05, -4.585860e-02
-1.424711796127e-05, -4.549939e-02
-1.420711796127e-05, -4.561913e-02
-1.416711796127e-05, -4.573886e-02
