% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 100 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 27.97 us, time offset -3.530 us, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 09:13:51 -0400
% Time (s), Channel A (Input 1) (V)
-1.042400000000e-05, -4.753489e+00
-1.039200000000e-05, -4.681648e+00
-1.036000000000e-05, -4.729542e+00
-1.032800000000e-05, -4.729542e+00
-1.029600000000e-05, -4.765463e+00
-1.026400000000e-05, -4.669674e+00
-1.023200000000e-05, -4.669674e+00
-1.020000000000e-05, -4.717568e+00
-1.016800000000e-05, -4.693621e+00
-1.013600000000e-05, -4.729542e+00
-1.010400000000e-05, -4.753489e+00
-1.007200000000e-05, -4.717568e+00
-1.004000000000e-05, -4.717568e+00
-1.000800000000e-05, -4.717568e+00
-9.976000000000e-06, -4.801383e+00
-9.944000000000e-06, -4.765463e+00
-9.912000000000e-06, -4.741516e+00
-9.880000000000e-06, -4.741516e+00
-9.848000000000e-06, -4.669674e+00
-9.816000000000e-06, -4.885198e+00
-9.784000000000e-06, -4.741516e+00
-9.752000000000e-06, -4.597833e+00
-9.720000000000e-06, -4.633754e+00
-9.688000000000e-06, -4.669674e+00
-9.656000000000e-06, -4.621780e+00
-9.624000000000e-06, -4.681648e+00
-9.592000000000e-06, -4.789410e+00
-9.560000000000e-06, -4.777436e+00
-9.528000000000e-06, -4.693621e+00
-9.496000000000e-06, -4.693621e+00
-9.464000000000e-06, -4.693621e+00
-9.432000000000e-06, -4.645727e+00
-9.400000000000e-06, -4.705595e+00
-9.368000000000e-06, -4.693621e+00
-9.336000000000e-06, -4.681648e+00
-9.304000000000e-06, -4.657701e+00
-9.272000000000e-06, -4.693621e+00
-9.240000000000e-06, -4.657701e+00
-9.208000000000e-06, -4.801383e+00
-9.176000000000e-06, -4.717568e+00
-9.144000000000e-06, -4.669674e+00
-9.112000000000e-06, -4.573886e+00
-9.080000000000e-06, -4.669674e+00
-9.048000000000e-06, -4.693621e+00
-9.016000000000e-06, -4.705595e+00
-8.984000000000e-06, -4.657701e+00
-8.952000000000e-06, -4.717568e+00
-8.920000000000e-06, -4.597833e+00
-8.888000000000e-06, -4.633754e+00
-8.856000000000e-06, -4.645727e+00
-8.824000000000e-06, -4.633754e+00
-8.792000000000e-06, -4.729542e+00
-8.760000000000e-06, -4.717568e+00
-8.728000000000e-06, -4.705595e+00
-8.696000000000e-06, -4.729542e+00
-8.664000000000e-06, -4.729542e+00
-8.632000000000e-06, -4.693621e+00
-8.600000000000e-06, -4.681648e+00
-8.568000000000e-06, -4.729542e+00
-8.536000000000e-06, -4.597833e+00
-8.504000000000e-06, -4.705595e+00
-8.472000000000e-06, -4.633754e+00
-8.440000000000e-06, -4.657701e+00
-8.408000000000e-06, -4.693621e+00
-8.376000000000e-06, -4.717568e+00
-8.344000000000e-06, -4.753489e+00
-8.312000000000e-06, -4.729542e+00
-8.280000000000e-06, -4.777436e+00
-8.248000000000e-06, -4.717568e+00
-8.216000000000e-06, -4.681648e+00
-8.184000000000e-06, -4.717568e+00
-8.152000000000e-06, -4.645727e+00
-8.120000000000e-06, -4.765463e+00
-8.088000000000e-06, -4.729542e+00
-8.056000000000e-06, -4.741516e+00
-8.024000000000e-06, -4.681648e+00
-7.992000000000e-06, -4.765463e+00
-7.960000000000e-06, -4.729542e+00
-7.928000000000e-06, -4.585860e+00
-7.896000000000e-06, -4.729542e+00
-7.864000000000e-06, -4.705595e+00
-7.832000000000e-06, -4.741516e+00
-7.800000000000e-06, -4.753489e+00
-7.768000000000e-06, -4.717568e+00
-7.736000000000e-06, -4.801383e+00
-7.704000000000e-06, -4.801383e+00
-7.672000000000e-06, -4.765463e+00
-7.640000000000e-06, -4.705595e+00
-7.608000000000e-06, -4.681648e+00
-7.576000000000e-06, -4.765463e+00
-7.544000000000e-06, -4.693621e+00
-7.512000000000e-06, -4.693621e+00
-7.480000000000e-06, -4.633754e+00
-7.448000000000e-06, -4.693621e+00
-7.416000000000e-06, -4.693621e+00
-7.384000000000e-06, -4.741516e+00
-7.352000000000e-06, -4.657701e+00
-7.320000000000e-06, -4.705595e+00
-7.288000000000e-06, -4.753489e+00
-7.256000000000e-06, -4.741516e+00
-7.224000000000e-06, -4.681648e+00
-7.192000000000e-06, -4.645727e+00
-7.160000000000e-06, -4.693621e+00
-7.128000000000e-06, -4.669674e+00
-7.096000000000e-06, -4.645727e+00
-7.064000000000e-06, -4.729542e+00
