% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 211.8 us, time offset -78.28 us, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 10:35:55 -0400
% Time (s), Channel A (Input 1) (V)
-2.742602595822e-05, -1.305114e-02
-2.720202595822e-05, -1.309904e-02
-2.697802595822e-05, -1.300325e-02
-2.675402595822e-05, -1.297930e-02
-2.653002595822e-05, -1.288351e-02
-2.630602595822e-05, -1.295535e-02
-2.608202595822e-05, -1.297930e-02
-2.585802595822e-05, -1.317088e-02
-2.563402595822e-05, -1.293141e-02
-2.541002595822e-05, -1.321877e-02
-2.518602595822e-05, -1.312298e-02
-2.496202595822e-05, -1.297930e-02
-2.473802595822e-05, -1.314693e-02
-2.451402595822e-05, -1.321877e-02
-2.429002595822e-05, -1.302719e-02
-2.406602595822e-05, -1.293141e-02
-2.384202595822e-05, -1.300325e-02
-2.361802595822e-05, -1.295535e-02
-2.339402595822e-05, -1.307509e-02
-2.317002595822e-05, -1.314693e-02
-2.294602595822e-05, -1.305114e-02
-2.272202595822e-05, -1.312298e-02
-2.249802595822e-05, -1.312298e-02
-2.227402595822e-05, -1.290746e-02
-2.205002595822e-05, -1.297930e-02
-2.182602595822e-05, -1.307509e-02
-2.160202595822e-05, -1.307509e-02
-2.137802595822e-05, -1.288351e-02
-2.115402595822e-05, -1.307509e-02
-2.093002595822e-05, -1.314693e-02
-2.070602595822e-05, -1.329061e-02
-2.048202595822e-05, -1.307509e-02
-2.025802595822e-05, -1.307509e-02
-2.003402595822e-05, -1.314693e-02
-1.981002595822e-05, -1.312298e-02
-1.958602595822e-05, -1.319482e-02
-1.936202595822e-05, -1.317088e-02
-1.913802595822e-05, -1.305114e-02
-1.891402595822e-05, -1.317088e-02
-1.869002595822e-05, 2.461757e-02
-1.846602595822e-05, 4.262575e-03
-1.824202595822e-05, 1.197352e-04
-1.801802595822e-05, -1.808002e-02
-1.779402595822e-05, -1.796029e-02
-1.757002595822e-05, -9.770396e-03
-1.734602595822e-05, -1.405692e-02
-1.712202595822e-05, -1.369771e-02
-1.689802595822e-05, -1.288351e-02
-1.667402595822e-05, -1.278772e-02
-1.645002595822e-05, -1.309904e-02
-1.622602595822e-05, -1.309904e-02
-1.600202595822e-05, -1.312298e-02
-1.577802595822e-05, -1.300325e-02
-1.555402595822e-05, -1.305114e-02
-1.533002595822e-05, -1.307509e-02
-1.510602595822e-05, -1.309904e-02
-1.488202595822e-05, -1.307509e-02
-1.465802595822e-05, -1.314693e-02
-1.443402595822e-05, -1.309904e-02
-1.421002595822e-05, -1.300325e-02
-1.398602595822e-05, -1.295535e-02
-1.376202595822e-05, -1.300325e-02
-1.353802595822e-05, -1.295535e-02
-1.331402595822e-05, -1.321877e-02
-1.309002595822e-05, -1.309904e-02
-1.286602595822e-05, -1.317088e-02
-1.264202595822e-05, -1.300325e-02
-1.241802595822e-05, -1.305114e-02
-1.219402595822e-05, -1.297930e-02
-1.197002595822e-05, -1.312298e-02
-1.174602595822e-05, -1.309904e-02
-1.152202595822e-05, -1.295535e-02
-1.129802595822e-05, -1.290746e-02
-1.107402595822e-05, -1.309904e-02
-1.085002595822e-05, -1.307509e-02
-1.062602595822e-05, -1.288351e-02
-1.040202595822e-05, -1.285957e-02
-1.017802595822e-05, -1.312298e-02
-9.954025958219e-06, -1.321877e-02
-9.730025958219e-06, -1.297930e-02
-9.506025958219e-06, -1.312298e-02
-9.282025958219e-06, -1.317088e-02
-9.058025958219e-06, -1.324272e-02
-8.834025958219e-06, -1.295535e-02
-8.610025958219e-06, -1.285957e-02
-8.386025958219e-06, -1.317088e-02
-8.162025958219e-06, -1.314693e-02
-7.938025958219e-06, -1.312298e-02
-7.714025958219e-06, -1.293141e-02
-7.490025958219e-06, -1.293141e-02
-7.266025958219e-06, -1.295535e-02
-7.042025958219e-06, -1.314693e-02
-6.818025958219e-06, -1.307509e-02
-6.594025958219e-06, -1.312298e-02
-6.370025958219e-06, -1.290746e-02
-6.146025958219e-06, -1.302719e-02
-5.922025958219e-06, -1.281167e-02
-5.698025958219e-06, -1.276378e-02
-5.474025958219e-06, -1.307509e-02
-5.250025958219e-06, -1.302719e-02
-5.026025958219e-06, -1.302719e-02
-4.802025958219e-06, -1.312298e-02
-4.578025958219e-06, -1.302719e-02
-4.354025958219e-06, -1.305114e-02
-4.130025958219e-06, -1.293141e-02
-3.906025958219e-06, -1.302719e-02
-3.682025958219e-06, -1.293141e-02
-3.458025958219e-06, -1.288351e-02
-3.234025958219e-06, -1.290746e-02
-3.010025958219e-06, -1.295535e-02
-2.786025958219e-06, -1.297930e-02
-2.562025958219e-06, -1.297930e-02
-2.338025958219e-06, -1.319482e-02
-2.114025958219e-06, -1.321877e-02
-1.890025958219e-06, -1.307509e-02
-1.666025958219e-06, -1.305114e-02
-1.442025958219e-06, -1.302719e-02
-1.218025958219e-06, -1.324272e-02
-9.940259582187e-07, -1.321877e-02
-7.700259582187e-07, -1.297930e-02
-5.460259582187e-07, -1.302719e-02
-3.220259582187e-07, -1.326667e-02
-9.802595821870e-08, -1.455981e-02
1.259740417813e-07, 1.606655e+00
3.499740417813e-07, 5.394312e-01
5.739740417813e-07, 9.512247e-01
7.979740417813e-07, -1.580984e-01
1.021974041781e-06, -2.097762e-01
1.245974041781e-06, 1.046247e-01
1.469974041781e-06, 1.032118e-02
1.693974041781e-06, -3.141853e-02
1.917974041781e-06, -9.818290e-03
2.141974041781e-06, -1.159037e-02
2.365974041781e-06, -1.482322e-02
2.589974041781e-06, -1.424849e-02
2.813974041781e-06, -1.415271e-02
3.037974041781e-06, -1.611636e-02
3.261974041781e-06, -1.460770e-02
3.485974041781e-06, -1.554164e-02
3.709974041781e-06, -1.578111e-02
3.933974041781e-06, -1.479928e-02
4.157974041781e-06, -1.573321e-02
4.381974041781e-06, -1.561348e-02
4.605974041781e-06, -1.501480e-02
4.829974041781e-06, -1.544585e-02
5.053974041781e-06, -1.535006e-02
5.277974041781e-06, -1.511059e-02
5.501974041781e-06, -1.563742e-02
5.725974041781e-06, -1.523032e-02
5.949974041781e-06, -1.532611e-02
6.173974041781e-06, -1.568532e-02
6.397974041781e-06, -1.515848e-02
6.621974041781e-06, -1.527822e-02
6.845974041781e-06, -1.551769e-02
7.069974041781e-06, -1.523032e-02
7.293974041781e-06, -1.535006e-02
7.517974041781e-06, -1.537401e-02
7.741974041781e-06, -1.537401e-02
7.965974041781e-06, -1.527822e-02
8.189974041781e-06, -1.556558e-02
8.413974041781e-06, -1.532611e-02
8.637974041781e-06, -1.554164e-02
8.861974041781e-06, -1.539795e-02
9.085974041781e-06, -1.566137e-02
9.309974041781e-06, -1.551769e-02
9.533974041781e-06, -1.539795e-02
9.757974041781e-06, -1.527822e-02
9.981974041781e-06, -1.527822e-02
1.020597404178e-05, -1.518243e-02
1.042997404178e-05, -1.544585e-02
1.065397404178e-05, -1.513454e-02
