% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 28.23 us, time offset -9.224 us, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 10:25:24 -0400
% Time (s), Channel A (Input 1) (V)
-4.871046027185e-06, -4.466124e-02
-4.839046027185e-06, -4.442177e-02
-4.807046027185e-06, -4.454151e-02
-4.775046027185e-06, -4.406257e-02
-4.743046027185e-06, -4.490072e-02
-4.711046027185e-06, -4.418230e-02
-4.679046027185e-06, -4.418230e-02
-4.647046027185e-06, -4.310469e-02
-4.615046027185e-06, -4.382310e-02
-4.583046027185e-06, -4.394283e-02
-4.551046027185e-06, -4.394283e-02
-4.519046027185e-06, -4.478098e-02
-4.487046027185e-06, -4.370336e-02
-4.455046027185e-06, -4.430204e-02
-4.423046027185e-06, -4.358363e-02
-4.391046027185e-06, -4.310469e-02
-4.359046027185e-06, -4.454151e-02
-4.327046027185e-06, -4.346389e-02
-4.295046027185e-06, -4.430204e-02
-4.263046027185e-06, -4.418230e-02
-4.231046027185e-06, -4.370336e-02
-4.199046027185e-06, -4.442177e-02
-4.167046027185e-06, -4.418230e-02
-4.135046027185e-06, -4.322442e-02
-4.103046027185e-06, -4.442177e-02
-4.071046027185e-06, -4.334416e-02
-4.039046027185e-06, -4.322442e-02
-4.007046027185e-06, -4.394283e-02
-3.975046027185e-06, -4.454151e-02
-3.943046027185e-06, -4.442177e-02
-3.911046027185e-06, -4.442177e-02
-3.879046027185e-06, -4.346389e-02
-3.847046027185e-06, -4.406257e-02
-3.815046027185e-06, -4.358363e-02
-3.783046027185e-06, -4.382310e-02
-3.751046027185e-06, -4.430204e-02
-3.719046027185e-06, -4.382310e-02
-3.687046027185e-06, -4.454151e-02
-3.655046027185e-06, -4.406257e-02
-3.623046027185e-06, -4.430204e-02
-3.591046027185e-06, -4.466124e-02
-3.559046027185e-06, -4.430204e-02
-3.527046027185e-06, -4.394283e-02
-3.495046027185e-06, -4.454151e-02
-3.463046027185e-06, -4.406257e-02
-3.431046027185e-06, -4.370336e-02
-3.399046027185e-06, -4.394283e-02
-3.367046027185e-06, -4.346389e-02
-3.335046027185e-06, -4.418230e-02
-3.303046027185e-06, -4.418230e-02
-3.271046027185e-06, -4.442177e-02
-3.239046027185e-06, -4.418230e-02
-3.207046027185e-06, -4.406257e-02
-3.175046027185e-06, -4.382310e-02
-3.143046027185e-06, -4.514019e-02
-3.111046027185e-06, -4.442177e-02
-3.079046027185e-06, -4.418230e-02
-3.047046027185e-06, -4.382310e-02
-3.015046027185e-06, -4.430204e-02
-2.983046027185e-06, -4.394283e-02
-2.951046027185e-06, -4.430204e-02
-2.919046027185e-06, -4.394283e-02
-2.887046027185e-06, -4.466124e-02
-2.855046027185e-06, -4.370336e-02
-2.823046027185e-06, -4.454151e-02
-2.791046027185e-06, -4.430204e-02
-2.759046027185e-06, -4.358363e-02
-2.727046027185e-06, -4.478098e-02
-2.695046027185e-06, -4.478098e-02
-2.663046027185e-06, -4.454151e-02
-2.631046027185e-06, -4.466124e-02
-2.599046027185e-06, -4.514019e-02
-2.567046027185e-06, -4.502045e-02
-2.535046027185e-06, -4.502045e-02
-2.503046027185e-06, -4.502045e-02
-2.471046027185e-06, -4.454151e-02
-2.439046027185e-06, -4.418230e-02
-2.407046027185e-06, -4.334416e-02
-2.375046027185e-06, -4.430204e-02
-2.343046027185e-06, -4.418230e-02
-2.311046027185e-06, -4.466124e-02
-2.279046027185e-06, -4.418230e-02
-2.247046027185e-06, -4.346389e-02
-2.215046027185e-06, -4.334416e-02
-2.183046027185e-06, -4.382310e-02
-2.151046027185e-06, -4.382310e-02
-2.119046027185e-06, -4.382310e-02
-2.087046027185e-06, -4.394283e-02
-2.055046027185e-06, -4.406257e-02
-2.023046027185e-06, -4.394283e-02
-1.991046027185e-06, -4.490072e-02
-1.959046027185e-06, -4.406257e-02
-1.927046027185e-06, -4.418230e-02
-1.895046027185e-06, -4.382310e-02
-1.863046027185e-06, -4.442177e-02
-1.831046027185e-06, -4.502045e-02
-1.799046027185e-06, -4.418230e-02
-1.767046027185e-06, -4.406257e-02
-1.735046027185e-06, -4.430204e-02
-1.703046027185e-06, -4.358363e-02
-1.671046027185e-06, -4.418230e-02
-1.639046027185e-06, -4.430204e-02
-1.607046027185e-06, -4.370336e-02
-1.575046027185e-06, -4.346389e-02
-1.543046027185e-06, -4.370336e-02
-1.511046027185e-06, -4.442177e-02
-1.479046027185e-06, -4.310469e-02
-1.447046027185e-06, -4.370336e-02
-1.415046027185e-06, -4.430204e-02
-1.383046027185e-06, -4.322442e-02
-1.351046027185e-06, -4.394283e-02
-1.319046027185e-06, -4.406257e-02
-1.287046027185e-06, -4.406257e-02
-1.255046027185e-06, -4.454151e-02
-1.223046027185e-06, -4.537966e-02
-1.191046027185e-06, -4.430204e-02
-1.159046027185e-06, -4.418230e-02
-1.127046027185e-06, -4.430204e-02
-1.095046027185e-06, -4.430204e-02
-1.063046027185e-06, -4.418230e-02
-1.031046027185e-06, -4.370336e-02
-9.990460271847e-07, -4.370336e-02
-9.670460271847e-07, -4.430204e-02
-9.350460271847e-07, -4.406257e-02
-9.030460271847e-07, -4.370336e-02
-8.710460271847e-07, -4.358363e-02
-8.390460271847e-07, -4.430204e-02
-8.070460271847e-07, -4.418230e-02
-7.750460271847e-07, -4.418230e-02
-7.430460271847e-07, -4.490072e-02
-7.110460271847e-07, -4.370336e-02
-6.790460271847e-07, -4.310469e-02
-6.470460271847e-07, -4.442177e-02
-6.150460271847e-07, -4.274548e-02
-5.830460271847e-07, -4.442177e-02
-5.510460271847e-07, -4.394283e-02
-5.190460271847e-07, -4.418230e-02
-4.870460271847e-07, -4.466124e-02
-4.550460271847e-07, -4.394283e-02
-4.230460271847e-07, -4.442177e-02
-3.910460271847e-07, -4.418230e-02
-3.590460271847e-07, -4.370336e-02
-3.270460271847e-07, -4.478098e-02
-2.950460271847e-07, -4.573886e-02
-2.630460271847e-07, -4.502045e-02
-2.310460271847e-07, -4.573886e-02
-1.990460271847e-07, -4.561913e-02
-1.670460271847e-07, -4.585860e-02
-1.350460271847e-07, -4.490072e-02
-1.030460271847e-07, -4.549939e-02
-7.104602718467e-08, -3.616004e-02
-3.904602718467e-08, -8.025853e-01
-7.046027184669e-09, -1.669588e+00
2.495397281533e-08, 6.628423e+00
5.695397281533e-08, 5.303433e+00
8.895397281533e-08, 4.400629e+00
1.209539728153e-07, 4.275865e+00
1.529539728153e-07, 3.630133e+00
1.849539728153e-07, 1.557875e+00
2.169539728153e-07, -6.114879e-01
2.489539728153e-07, -1.983654e+00
2.809539728153e-07, -3.064504e+00
3.129539728153e-07, -3.428499e+00
3.449539728153e-07, 1.122039e+00
3.769539728153e-07, 5.042650e+00
4.089539728153e-07, 3.199445e+00
4.409539728153e-07, 3.565476e+00
4.729539728153e-07, 3.087613e+00
5.049539728153e-07, 1.347500e+00
5.369539728153e-07, -6.482466e-01
5.689539728153e-07, -2.070222e+00
6.009539728153e-07, -2.929323e+00
6.329539728153e-07, -1.571405e+00
6.649539728153e-07, 1.176518e+00
6.969539728153e-07, 2.424160e+00
7.289539728153e-07, 2.001973e+00
7.609539728153e-07, 1.206333e+00
7.929539728153e-07, 2.819765e-01
8.249539728153e-07, -7.465492e-01
8.569539728153e-07, -1.383780e+00
8.889539728153e-07, -1.091985e+00
9.209539728153e-07, -6.196299e-01
9.529539728153e-07, -1.520638e-01
9.849539728153e-07, 3.708200e-01
1.016953972815e-06, 6.895552e-01
1.048953972815e-06, 6.289692e-01
1.080953972815e-06, 3.544163e-01
1.112953972815e-06, 2.023526e-02
1.144953972815e-06, -2.926329e-01
1.176953972815e-06, -4.567899e-01
1.208953972815e-06, -3.940487e-01
1.240953972815e-06, -2.100156e-01
1.272953972815e-06, -2.179181e-02
1.304953972815e-06, 1.082407e-01
1.336953972815e-06, 1.537400e-01
1.368953972815e-06, 1.108748e-01
1.400953972815e-06, 2.957460e-02
1.432953972815e-06, -4.897171e-02
1.464953972815e-06, -9.327375e-02
1.496953972815e-06, -1.111143e-01
1.528953972815e-06, -1.045289e-01
1.560953972815e-06, -8.273705e-02
1.592953972815e-06, -5.723344e-02
1.624953972815e-06, -3.280746e-02
1.656953972815e-06, -1.436823e-02
1.688953972815e-06, -1.077617e-02
1.720953972815e-06, -2.191155e-02
1.752953972815e-06, -3.879422e-02
1.784953972815e-06, -5.412033e-02
1.816953972815e-06, -6.142418e-02
1.848953972815e-06, -5.879000e-02
1.880953972815e-06, -5.028880e-02
1.912953972815e-06, -4.346389e-02
1.944953972815e-06, -3.927316e-02
1.976953972815e-06, -3.915342e-02
2.008953972815e-06, -4.118892e-02
2.040953972815e-06, -4.238628e-02
2.072953972815e-06, -4.274548e-02
2.104953972815e-06, -4.310469e-02
2.136953972815e-06, -4.382310e-02
2.168953972815e-06, -4.645727e-02
2.200953972815e-06, -4.813357e-02
2.232953972815e-06, -4.873224e-02
2.264953972815e-06, -4.765463e-02
2.296953972815e-06, -4.609807e-02
2.328953972815e-06, -4.358363e-02
2.360953972815e-06, -4.118892e-02
2.392953972815e-06, -4.130866e-02
2.424953972815e-06, -4.202707e-02
2.456953972815e-06, -4.238628e-02
2.488953972815e-06, -4.514019e-02
2.520953972815e-06, -4.717568e-02
2.552953972815e-06, -4.897171e-02
2.584953972815e-06, -4.969012e-02
2.616953972815e-06, -4.921118e-02
2.648953972815e-06, -4.717568e-02
2.680953972815e-06, -4.490072e-02
2.712953972815e-06, -4.262575e-02
2.744953972815e-06, -4.082972e-02
2.776953972815e-06, -4.118892e-02
2.808953972815e-06, -4.298495e-02
2.840953972815e-06, -4.573886e-02
2.872953972815e-06, -4.765463e-02
2.904953972815e-06, -4.813357e-02
2.936953972815e-06, -4.909145e-02
2.968953972815e-06, -4.789410e-02
3.000953972815e-06, -4.753489e-02
3.032953972815e-06, -4.537966e-02
3.064953972815e-06, -4.334416e-02
3.096953972815e-06, -4.274548e-02
3.128953972815e-06, -4.178760e-02
3.160953972815e-06, -4.346389e-02
3.192953972815e-06, -4.514019e-02
3.224953972815e-06, -4.729542e-02
3.256953972815e-06, -4.801383e-02
3.288953972815e-06, -4.885198e-02
3.320953972815e-06, -4.753489e-02
3.352953972815e-06, -4.765463e-02
3.384953972815e-06, -4.514019e-02
3.416953972815e-06, -4.418230e-02
3.448953972815e-06, -4.334416e-02
3.480953972815e-06, -4.298495e-02
3.512953972815e-06, -4.454151e-02
3.544953972815e-06, -4.561913e-02
3.576953972815e-06, -4.657701e-02
3.608953972815e-06, -4.825330e-02
3.640953972815e-06, -4.825330e-02
3.672953972815e-06, -4.717568e-02
3.704953972815e-06, -4.597833e-02
3.736953972815e-06, -4.370336e-02
3.768953972815e-06, -4.382310e-02
3.800953972815e-06, -4.382310e-02
3.832953972815e-06, -4.406257e-02
3.864953972815e-06, -4.537966e-02
3.896953972815e-06, -4.621780e-02
3.928953972815e-06, -4.741516e-02
3.960953972815e-06, -4.765463e-02
3.992953972815e-06, -4.765463e-02
4.024953972815e-06, -4.705595e-02
4.056953972815e-06, -4.669674e-02
4.088953972815e-06, -4.537966e-02
4.120953972815e-06, -4.430204e-02
4.152953972815e-06, -4.358363e-02
4.184953972815e-06, -4.514019e-02
4.216953972815e-06, -4.537966e-02
4.248953972815e-06, -4.645727e-02
4.280953972815e-06, -4.705595e-02
4.312953972815e-06, -4.789410e-02
4.344953972815e-06, -4.741516e-02
4.376953972815e-06, -4.621780e-02
4.408953972815e-06, -4.585860e-02
4.440953972815e-06, -4.585860e-02
4.472953972815e-06, -4.466124e-02
4.504953972815e-06, -4.382310e-02
4.536953972815e-06, -4.442177e-02
4.568953972815e-06, -4.549939e-02
4.600953972815e-06, -4.585860e-02
4.632953972815e-06, -4.669674e-02
4.664953972815e-06, -4.717568e-02
4.696953972815e-06, -4.741516e-02
4.728953972815e-06, -4.813357e-02
4.760953972815e-06, -4.597833e-02
4.792953972815e-06, -4.573886e-02
4.824953972815e-06, -4.537966e-02
4.856953972815e-06, -4.490072e-02
4.888953972815e-06, -4.478098e-02
4.920953972815e-06, -4.573886e-02
4.952953972815e-06, -4.645727e-02
4.984953972815e-06, -4.657701e-02
5.016953972815e-06, -4.741516e-02
5.048953972815e-06, -4.597833e-02
5.080953972815e-06, -4.741516e-02
5.112953972815e-06, -4.561913e-02
5.144953972815e-06, -4.549939e-02
5.176953972815e-06, -4.525992e-02
5.208953972815e-06, -4.502045e-02
5.240953972815e-06, -4.549939e-02
5.272953972815e-06, -4.597833e-02
5.304953972815e-06, -4.621780e-02
5.336953972815e-06, -4.645727e-02
5.368953972815e-06, -4.681648e-02
5.400953972815e-06, -4.621780e-02
5.432953972815e-06, -4.597833e-02
5.464953972815e-06, -4.621780e-02
5.496953972815e-06, -4.681648e-02
5.528953972815e-06, -4.585860e-02
5.560953972815e-06, -4.561913e-02
5.592953972815e-06, -4.585860e-02
5.624953972815e-06, -4.621780e-02
5.656953972815e-06, -4.681648e-02
5.688953972815e-06, -4.669674e-02
5.720953972815e-06, -4.741516e-02
5.752953972815e-06, -4.609807e-02
5.784953972815e-06, -4.597833e-02
5.816953972815e-06, -4.633754e-02
5.848953972815e-06, -4.573886e-02
5.880953972815e-06, -4.573886e-02
5.912953972815e-06, -4.585860e-02
5.944953972815e-06, -4.597833e-02
5.976953972815e-06, -4.633754e-02
6.008953972815e-06, -4.657701e-02
6.040953972815e-06, -4.705595e-02
6.072953972815e-06, -4.597833e-02
6.104953972815e-06, -4.681648e-02
6.136953972815e-06, -4.597833e-02
6.168953972815e-06, -4.585860e-02
6.200953972815e-06, -4.621780e-02
6.232953972815e-06, -4.693621e-02
6.264953972815e-06, -4.645727e-02
6.296953972815e-06, -4.597833e-02
6.328953972815e-06, -4.633754e-02
6.360953972815e-06, -4.693621e-02
6.392953972815e-06, -4.609807e-02
6.424953972815e-06, -4.645727e-02
6.456953972815e-06, -4.705595e-02
6.488953972815e-06, -4.681648e-02
6.520953972815e-06, -4.645727e-02
6.552953972815e-06, -4.645727e-02
6.584953972815e-06, -4.657701e-02
6.616953972815e-06, -4.657701e-02
6.648953972815e-06, -4.633754e-02
6.680953972815e-06, -4.729542e-02
6.712953972815e-06, -4.669674e-02
6.744953972815e-06, -4.621780e-02
6.776953972815e-06, -4.681648e-02
6.808953972815e-06, -4.669674e-02
6.840953972815e-06, -4.693621e-02
6.872953972815e-06, -4.729542e-02
6.904953972815e-06, -4.597833e-02
6.936953972815e-06, -4.597833e-02
6.968953972815e-06, -4.645727e-02
7.000953972815e-06, -4.669674e-02
7.032953972815e-06, -4.597833e-02
7.064953972815e-06, -4.621780e-02
7.096953972815e-06, -4.693621e-02
7.128953972815e-06, -4.681648e-02
7.160953972815e-06, -4.657701e-02
7.192953972815e-06, -4.621780e-02
7.224953972815e-06, -4.549939e-02
7.256953972815e-06, -4.657701e-02
7.288953972815e-06, -4.633754e-02
7.320953972815e-06, -4.621780e-02
7.352953972815e-06, -4.621780e-02
7.384953972815e-06, -4.669674e-02
7.416953972815e-06, -4.645727e-02
7.448953972815e-06, -4.597833e-02
7.480953972815e-06, -4.621780e-02
7.512953972815e-06, -4.657701e-02
7.544953972815e-06, -4.657701e-02
7.576953972815e-06, -4.621780e-02
7.608953972815e-06, -4.657701e-02
7.640953972815e-06, -4.669674e-02
7.672953972815e-06, -4.633754e-02
7.704953972815e-06, -4.633754e-02
7.736953972815e-06, -4.633754e-02
7.768953972815e-06, -4.657701e-02
7.800953972815e-06, -4.705595e-02
7.832953972815e-06, -4.669674e-02
7.864953972815e-06, -4.561913e-02
7.896953972815e-06, -4.609807e-02
7.928953972815e-06, -4.597833e-02
7.960953972815e-06, -4.597833e-02
7.992953972815e-06, -4.633754e-02
8.024953972815e-06, -4.585860e-02
8.056953972815e-06, -4.645727e-02
8.088953972815e-06, -4.597833e-02
8.120953972815e-06, -4.561913e-02
8.152953972815e-06, -4.645727e-02
8.184953972815e-06, -4.657701e-02
8.216953972815e-06, -4.585860e-02
8.248953972815e-06, -4.633754e-02
8.280953972815e-06, -4.597833e-02
8.312953972815e-06, -4.573886e-02
8.344953972815e-06, -4.585860e-02
8.376953972815e-06, -4.621780e-02
8.408953972815e-06, -4.573886e-02
8.440953972815e-06, -4.633754e-02
8.472953972815e-06, -4.645727e-02
8.504953972815e-06, -4.681648e-02
8.536953972815e-06, -4.705595e-02
8.568953972815e-06, -4.621780e-02
8.600953972815e-06, -4.621780e-02
8.632953972815e-06, -4.597833e-02
8.664953972815e-06, -4.633754e-02
8.696953972815e-06, -4.549939e-02
8.728953972815e-06, -4.561913e-02
8.760953972815e-06, -4.609807e-02
8.792953972815e-06, -4.609807e-02
8.824953972815e-06, -4.573886e-02
8.856953972815e-06, -4.669674e-02
8.888953972815e-06, -4.633754e-02
8.920953972815e-06, -4.585860e-02
8.952953972815e-06, -4.633754e-02
8.984953972815e-06, -4.585860e-02
9.016953972815e-06, -4.573886e-02
9.048953972815e-06, -4.657701e-02
9.080953972815e-06, -4.669674e-02
9.112953972815e-06, -4.609807e-02
9.144953972815e-06, -4.693621e-02
9.176953972815e-06, -4.561913e-02
9.208953972815e-06, -4.669674e-02
9.240953972815e-06, -4.621780e-02
9.272953972815e-06, -4.669674e-02
9.304953972815e-06, -4.633754e-02
9.336953972815e-06, -4.645727e-02
9.368953972815e-06, -4.609807e-02
9.400953972815e-06, -4.597833e-02
9.432953972815e-06, -4.633754e-02
9.464953972815e-06, -4.633754e-02
9.496953972815e-06, -4.609807e-02
9.528953972815e-06, -4.705595e-02
9.560953972815e-06, -4.597833e-02
9.592953972815e-06, -4.645727e-02
9.624953972815e-06, -4.633754e-02
9.656953972815e-06, -4.585860e-02
9.688953972815e-06, -4.502045e-02
9.720953972815e-06, -4.609807e-02
9.752953972815e-06, -4.585860e-02
9.784953972815e-06, -4.585860e-02
9.816953972815e-06, -4.561913e-02
9.848953972815e-06, -4.525992e-02
9.880953972815e-06, -4.669674e-02
9.912953972815e-06, -4.645727e-02
9.944953972815e-06, -4.621780e-02
9.976953972815e-06, -4.573886e-02
1.000895397282e-05, -4.585860e-02
