Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	69,0	
0	-Inf	
43,0836	43,8	
86,1673	66,3	
129,251	69,8	
172,335	55,8	
215,418	44,2	
258,502	40,2	
301,585	44,4	
344,669	42,0	
387,753	32,9	
430,836	29,1	
473,92	29,3	
517,004	31,6	
560,087	32,1	
603,171	34,8	
646,255	30,7	
689,338	37,9	
732,422	35,9	
775,506	27,3	
818,589	23,2	
861,673	27,6	
904,756	33,1	
947,84	28,9	
990,924	26,5	
1034,01	24,2	
1077,09	25,0	
1120,17	23,3	
1163,26	20,5	
1206,34	22,3	
1249,43	20,1	
1292,51	25,4	
1335,59	23,3	
1378,68	19,6	
1421,76	20,2	
1464,84	19,2	
1507,93	19,0	
1551,01	22,4	
1594,09	20,0	
1637,18	17,3	
1680,26	19,4	
1723,35	18,6	
1766,43	22,3	
1809,51	25,0	
1852,6	19,4	
1895,68	19,6	
1938,76	19,9	
1981,85	17,4	
2024,93	17,5	
2068,01	15,9	
2111,1	16,7	
2154,18	18,4	
2197,27	16,8	
2240,35	16,8	
2283,43	18,0	
2326,52	16,5	
2369,6	16,1	
2412,68	15,7	
2455,77	16,2	
2498,85	16,2	
2541,93	16,2	
2585,02	15,9	
2628,1	15,5	
2671,19	14,5	
2714,27	15,0	
2757,35	15,5	
2800,44	15,4	
2843,52	15,7	
2886,6	16,4	
2929,69	14,2	
2972,77	15,5	
3015,85	16,3	
3058,94	16,4	
3102,02	16,3	
3145,11	17,0	
3188,19	15,7	
3231,27	15,3	
3274,36	15,4	
3317,44	15,5	
3360,52	14,6	
3403,61	14,2	
3446,69	15,0	
3489,77	15,2	
3532,86	15,3	
3575,94	15,5	
3619,03	15,6	
3662,11	15,3	
3705,19	14,3	
3748,28	14,6	
3791,36	13,6	
3834,44	14,1	
3877,53	14,7	
3920,61	14,0	
3963,69	14,6	
4006,78	13,8	
4049,86	12,8	
4092,95	13,4	
4136,03	13,2	
4179,11	12,9	
4222,2	13,3	
4265,28	12,9	
4308,36	12,4	
4351,45	12,2	
4394,53	12,2	
4437,62	13,3	
4480,7	13,0	
4523,78	11,7	
4566,87	11,7	
4609,95	11,8	
4653,03	11,1	
4696,12	11,2	
4739,2	12,3	
4782,28	11,4	
4825,37	12,2	
4868,45	11,5	
4911,54	10,6	
4954,62	11,2	
4997,7	11,2	
5040,79	11,2	
5083,87	11,5	
5126,95	11,4	
5170,04	10,8	
5213,12	10,1	
5256,2	10,7	
5299,29	11,4	
5342,37	9,8	
5385,46	10,5	
5428,54	10,6	
5471,62	10,7	
5514,71	10,4	
5557,79	9,6	
5600,87	9,3	
5643,96	9,3	
5687,04	9,2	
5730,12	9,7	
5773,21	8,7	
5816,29	6,9	
5859,38	8,3	
5902,46	8,7	
5945,54	7,0	
5988,63	7,1	
6031,71	8,3	
6074,79	7,2	
6117,88	6,8	
6160,96	7,4	
6204,04	7,5	
6247,13	5,8	
6290,21	5,2	
6333,3	5,1	
6376,38	6,0	
6419,46	6,0	
6462,55	6,1	
6505,63	5,9	
6548,71	6,8	
6591,8	7,0	
6634,88	7,6	
6677,96	8,6	
6721,05	9,5	
6764,13	9,1	
6807,22	9,7	
6850,3	11,2	
6893,38	12,3	
6936,47	13,4	
6979,55	13,8	
7022,63	14,8	
7065,72	13,9	
7108,8	13,5	
7151,88	13,5	
7194,97	14,7	
7238,05	15,3	
7281,14	15,9	
7324,22	16,2	
7367,3	17,4	
7410,39	16,5	
7453,47	17,6	
7496,55	19,3	
7539,64	18,3	
7582,72	18,6	
7625,8	19,2	
7668,89	18,2	
7711,97	17,7	
7755,06	18,5	
7798,14	18,7	
7841,22	18,7	
7884,31	18,7	
7927,39	18,6	
7970,47	17,4	
8013,56	16,3	
8056,64	15,6	
8099,72	16,8	
8142,81	16,8	
8185,89	16,7	
8228,98	16,0	
8272,06	15,2	
8315,14	15,9	
8358,23	14,6	
8401,31	15,2	
8444,39	15,0	
8487,48	14,9	
8530,56	14,8	
8573,64	15,0	
8616,73	13,8	
8659,81	13,2	
8702,9	14,0	
8745,98	13,8	
8789,06	13,8	
8832,15	14,8	
8875,23	14,6	
8918,31	14,2	
8961,4	14,2	
9004,48	15,5	
9047,56	14,5	
9090,65	14,2	
9133,73	14,3	
9176,82	14,4	
9219,9	14,7	
9262,98	13,6	
9306,07	13,4	
9349,15	13,8	
9392,23	14,4	
9435,32	14,4	
9478,4	14,2	
9521,48	14,7	
9564,57	13,9	
9607,65	13,5	
9650,74	12,8	
9693,82	13,5	
9736,9	14,0	
9779,99	13,8	
9823,07	13,0	
9866,15	12,7	
9909,24	13,4	
9952,32	13,0	
9995,4	13,3	
10038,5	12,2	
10081,6	12,4	
10124,7	13,1	
10167,7	12,8	
10210,8	12,7	
10253,9	12,7	
10297	13,5	
10340,1	12,8	
10383,2	12,8	
10426,2	14,0	
10469,3	13,7	
10512,4	13,2	
10555,5	13,7	
10598,6	12,6	
10641,7	12,8	
10684,7	12,8	
10727,8	12,7	
10770,9	13,1	
10814	13,1	
10857,1	13,0	
10900,2	12,0	
10943,2	12,4	
10986,3	13,1	
11029,4	12,6	
11072,5	12,3	
11115,6	12,6	
11158,7	12,0	
11201,7	11,4	
11244,8	10,2	
11287,9	10,3	
11331	11,1	
11374,1	10,1	
11417,2	10,1	
11460,2	10,5	
11503,3	10,7	
11546,4	9,9	
11589,5	10,1	
11632,6	10,1	
11675,7	8,5	
11718,8	8,5	
11761,8	9,0	
11804,9	9,6	
11848	8,6	
11891,1	8,4	
11934,2	9,0	
11977,3	8,5	
12020,3	7,0	
12063,4	7,0	
12106,5	7,4	
12149,6	6,9	
12192,7	6,5	
12235,8	6,3	
12278,8	5,9	
12321,9	4,5	
12365	4,3	
12408,1	4,3	
12451,2	3,9	
12494,3	2,9	
12537,3	3,1	
12580,4	2,6	
12623,5	1,0	
12666,6	0,9	
12709,7	1,0	
12752,8	-0,3	
12795,8	-0,7	
12838,9	-1,8	
12882	-2,0	
12925,1	-1,9	
12968,2	-1,8	
13011,3	-2,7	
13054,3	-4,2	
13097,4	-5,2	
13140,5	-5,1	
13183,6	-5,7	
13226,7	-5,4	
13269,8	-6,4	
13312,8	-7,1	
13355,9	-7,7	
13399	-8,0	
13442,1	-7,7	
13485,2	-7,3	
13528,3	-8,9	
13571,3	-8,1	
13614,4	-8,7	
13657,5	-9,3	
13700,6	-8,8	
13743,7	-8,5	
13786,8	-8,7	
13829,8	-9,1	
13872,9	-9,8	
13916	-10,3	
13959,1	-10,0	
14002,2	-11,4	
14045,3	-11,3	
14088,4	-10,1	
14131,4	-9,8	
14174,5	-9,4	
14217,6	-10,1	
14260,7	-9,0	
14303,8	-9,3	
14346,9	-8,8	
14389,9	-8,3	
14433	-8,0	
14476,1	-7,7	
14519,2	-8,0	
14562,3	-6,6	
14605,4	-6,5	
14648,4	-7,0	
14691,5	-6,7	
14734,6	-6,2	
14777,7	-6,7	
14820,8	-5,9	
14863,9	-6,7	
14906,9	-6,4	
14950	-6,5	
14993,1	-5,7	
15036,2	-4,9	
15079,3	-6,2	
15122,4	-5,8	
15165,4	-5,6	
15208,5	-5,8	
15251,6	-6,4	
15294,7	-6,7	
15337,8	-6,3	
15380,9	-6,2	
15423,9	-5,8	
15467	-6,1	
15510,1	-4,7	
15553,2	-4,6	
15596,3	-5,9	
15639,4	-6,5	
15682,4	-6,3	
15725,5	-5,7	
15768,6	-5,0	
15811,7	-5,3	
15854,8	-5,2	
15897,9	-4,0	
15940,9	-4,2	
15984	-5,0	
16027,1	-5,0	
16070,2	-4,6	
16113,3	-4,4	
16156,4	-4,1	
16199,4	-3,7	
16242,5	-3,8	
16285,6	-3,5	
16328,7	-4,3	
16371,8	-3,7	
16414,9	-3,2	
16458	-3,9	
16501	-3,7	
16544,1	-4,2	
16587,2	-3,6	
16630,3	-3,2	
16673,4	-3,9	
16716,5	-3,9	
16759,5	-3,7	
16802,6	-3,6	
16845,7	-3,6	
16888,8	-3,6	
16931,9	-4,7	
16975	-5,4	
17018	-4,6	
17061,1	-3,4	
17104,2	-4,1	
17147,3	-3,8	
17190,4	-4,0	
