Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	96,7	
0	-Inf	
43,0836	32,1	
86,1673	39,3	
129,251	37,8	
172,335	33,7	
215,418	28,6	
258,502	27,2	
301,585	30,1	
344,669	26,5	
387,753	29,8	
430,836	30,4	
473,92	38,1	
517,004	40,4	
560,087	46,6	
603,171	55,5	
646,255	64,0	
689,338	83,0	
732,422	95,6	
775,506	94,9	
818,589	79,3	
861,673	63,7	
904,756	54,9	
947,84	48,2	
990,924	42,9	
1034,01	39,0	
1077,09	35,1	
1120,17	32,2	
1163,26	29,3	
1206,34	27,3	
1249,43	25,1	
1292,51	23,4	
1335,59	21,6	
1378,68	20,8	
1421,76	25,9	
1464,84	49,1	
1507,93	53,0	
1551,01	44,8	
1594,09	24,1	
1637,18	21,2	
1680,26	18,0	
1723,35	17,9	
1766,43	17,3	
1809,51	17,3	
1852,6	17,0	
1895,68	18,0	
1938,76	25,3	
1981,85	24,0	
2024,93	17,2	
2068,01	17,4	
2111,1	17,2	
2154,18	18,1	
2197,27	34,3	
2240,35	43,9	
2283,43	40,9	
2326,52	21,0	
2369,6	16,3	
2412,68	15,4	
2455,77	15,4	
2498,85	15,5	
2541,93	16,3	
2585,02	15,4	
2628,1	15,8	
2671,19	15,4	
2714,27	15,9	
2757,35	15,9	
2800,44	15,3	
2843,52	15,2	
2886,6	15,6	
2929,69	14,8	
2972,77	14,3	
3015,85	15,1	
3058,94	15,0	
3102,02	15,3	
3145,11	15,0	
3188,19	14,5	
3231,27	13,8	
3274,36	14,5	
3317,44	15,0	
3360,52	15,3	
3403,61	16,1	
3446,69	14,6	
3489,77	14,1	
3532,86	13,6	
3575,94	14,8	
3619,03	14,8	
3662,11	13,8	
3705,19	33,0	
3748,28	40,0	
3791,36	35,0	
3834,44	14,3	
3877,53	14,6	
3920,61	14,6	
3963,69	14,3	
4006,78	14,4	
4049,86	13,5	
4092,95	13,4	
4136,03	13,2	
4179,11	12,4	
4222,2	12,8	
4265,28	13,1	
4308,36	11,8	
4351,45	12,9	
4394,53	13,2	
4437,62	14,2	
4480,7	24,3	
4523,78	24,8	
4566,87	15,8	
4609,95	12,5	
4653,03	12,1	
4696,12	10,8	
4739,2	11,6	
4782,28	11,6	
4825,37	11,8	
4868,45	12,1	
4911,54	11,6	
4954,62	11,5	
4997,7	11,6	
5040,79	11,6	
5083,87	10,5	
5126,95	10,8	
5170,04	11,3	
5213,12	17,2	
5256,2	21,3	
5299,29	15,4	
5342,37	10,9	
5385,46	11,0	
5428,54	10,8	
5471,62	10,6	
5514,71	10,2	
5557,79	9,7	
5600,87	9,2	
5643,96	9,3	
5687,04	9,8	
5730,12	8,8	
5773,21	8,2	
5816,29	8,3	
5859,38	8,6	
5902,46	7,9	
5945,54	10,6	
5988,63	18,5	
6031,71	16,8	
6074,79	8,3	
6117,88	6,5	
6160,96	4,9	
6204,04	5,9	
6247,13	6,4	
6290,21	6,2	
6333,3	6,5	
6376,38	6,4	
6419,46	5,5	
6462,55	5,9	
6505,63	5,9	
6548,71	6,9	
6591,8	7,2	
6634,88	8,4	
6677,96	8,7	
6721,05	20,4	
6764,13	23,4	
6807,22	15,4	
6850,3	11,3	
6893,38	12,2	
6936,47	12,1	
6979,55	13,2	
7022,63	14,3	
7065,72	14,5	
7108,8	14,7	
7151,88	15,4	
7194,97	15,3	
7238,05	15,0	
7281,14	15,9	
7324,22	16,4	
7367,3	17,0	
7410,39	17,5	
7453,47	17,3	
7496,55	18,6	
7539,64	17,3	
7582,72	18,2	
7625,8	18,7	
7668,89	17,9	
7711,97	17,5	
7755,06	17,6	
7798,14	17,7	
7841,22	17,3	
7884,31	17,3	
7927,39	16,4	
7970,47	17,0	
8013,56	17,0	
8056,64	16,0	
8099,72	15,9	
8142,81	16,8	
8185,89	16,5	
8228,98	21,5	
8272,06	22,4	
8315,14	15,7	
8358,23	15,9	
8401,31	15,1	
8444,39	14,7	
8487,48	14,8	
8530,56	15,2	
8573,64	15,4	
8616,73	14,8	
8659,81	14,2	
8702,9	13,4	
8745,98	12,9	
8789,06	13,5	
8832,15	14,1	
8875,23	13,8	
8918,31	14,4	
8961,4	14,0	
9004,48	14,6	
9047,56	14,4	
9090,65	14,2	
9133,73	14,3	
9176,82	13,7	
9219,9	13,3	
9262,98	14,4	
9306,07	14,6	
9349,15	14,0	
9392,23	14,0	
9435,32	13,7	
9478,4	13,9	
9521,48	13,6	
9564,57	13,5	
9607,65	13,3	
9650,74	13,7	
9693,82	14,6	
9736,9	20,0	
9779,99	18,6	
9823,07	13,1	
9866,15	12,9	
9909,24	12,5	
9952,32	13,6	
9995,4	13,9	
10038,5	13,7	
10081,6	13,8	
10124,7	14,2	
10167,7	12,7	
10210,8	12,2	
10253,9	12,0	
10297	12,9	
10340,1	12,9	
10383,2	12,5	
10426,2	12,8	
10469,3	14,3	
10512,4	14,5	
10555,5	15,0	
10598,6	14,7	
10641,7	13,3	
10684,7	12,8	
10727,8	12,7	
10770,9	13,3	
10814	12,7	
10857,1	12,3	
10900,2	12,6	
10943,2	12,5	
10986,3	12,8	
11029,4	12,8	
11072,5	11,9	
11115,6	11,8	
11158,7	11,8	
11201,7	11,9	
11244,8	11,9	
11287,9	11,0	
11331	11,1	
11374,1	10,7	
11417,2	10,5	
11460,2	10,3	
11503,3	9,7	
11546,4	9,7	
11589,5	10,9	
11632,6	9,7	
11675,7	9,4	
11718,8	10,0	
11761,8	9,2	
11804,9	9,0	
11848	8,6	
11891,1	8,4	
11934,2	8,5	
11977,3	8,1	
12020,3	7,3	
12063,4	9,2	
12106,5	7,9	
12149,6	6,5	
12192,7	5,9	
12235,8	5,2	
12278,8	6,2	
12321,9	6,3	
12365	5,1	
12408,1	3,9	
12451,2	3,2	
12494,3	2,9	
12537,3	3,3	
12580,4	2,1	
12623,5	0,9	
12666,6	1,0	
12709,7	0,2	
12752,8	0,3	
12795,8	-0,2	
12838,9	-0,6	
12882	-2,1	
12925,1	-2,8	
12968,2	-2,8	
13011,3	-2,7	
13054,3	-3,4	
13097,4	-3,7	
13140,5	-4,7	
13183,6	-5,4	
13226,7	-5,6	
13269,8	-5,5	
13312,8	-5,7	
13355,9	-6,3	
13399	-8,1	
13442,1	-8,0	
13485,2	-7,3	
13528,3	-7,9	
13571,3	-7,8	
13614,4	-8,8	
13657,5	-9,4	
13700,6	-9,1	
13743,7	-10,3	
13786,8	-10,2	
13829,8	-10,4	
13872,9	-10,5	
13916	-11,1	
13959,1	-10,3	
14002,2	-11,0	
14045,3	-11,4	
14088,4	-10,3	
14131,4	-10,1	
14174,5	-9,8	
14217,6	-9,3	
14260,7	-9,4	
14303,8	-9,6	
14346,9	-8,9	
14389,9	-8,5	
14433	-8,2	
14476,1	-9,0	
14519,2	-7,9	
14562,3	-8,1	
14605,4	-8,9	
14648,4	-8,5	
14691,5	-7,1	
14734,6	-6,4	
14777,7	-7,4	
14820,8	-6,5	
14863,9	-5,9	
14906,9	-6,2	
14950	-6,7	
14993,1	-6,8	
15036,2	-5,8	
15079,3	-5,9	
15122,4	-6,9	
15165,4	-6,2	
15208,5	-6,4	
15251,6	-6,5	
15294,7	-5,6	
15337,8	-5,6	
15380,9	-6,4	
15423,9	-6,2	
15467	-6,2	
15510,1	-6,4	
15553,2	-7,4	
15596,3	-7,2	
15639,4	-5,7	
15682,4	-4,8	
15725,5	-4,9	
15768,6	-4,7	
15811,7	-5,3	
15854,8	-5,3	
15897,9	-4,7	
15940,9	-4,7	
15984	-3,9	
16027,1	-3,7	
16070,2	-4,3	
16113,3	-4,9	
16156,4	-5,0	
16199,4	-4,5	
16242,5	-3,9	
16285,6	-3,8	
16328,7	-3,5	
16371,8	-3,3	
16414,9	-3,8	
16458	-3,4	
16501	-3,1	
16544,1	-3,7	
16587,2	-4,0	
16630,3	-4,2	
16673,4	-4,0	
16716,5	-3,4	
16759,5	-3,9	
16802,6	-4,0	
16845,7	-4,8	
16888,8	-4,5	
16931,9	-3,7	
16975	-3,7	
17018	-4,1	
17061,1	-3,5	
17104,2	-4,1	
17147,3	-4,9	
17190,4	-3,8	
