Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	44,5	
0	-Inf	
43,0836	31,6	
86,1673	38,9	
129,251	38,4	
172,335	34,8	
215,418	30,1	
258,502	28,3	
301,585	30,3	
344,669	33,0	
387,753	29,5	
430,836	29,6	
473,92	28,6	
517,004	31,1	
560,087	35,7	
603,171	36,5	
646,255	33,5	
689,338	30,4	
732,422	31,0	
775,506	24,9	
818,589	21,3	
861,673	20,9	
904,756	19,0	
947,84	21,5	
990,924	21,1	
1034,01	18,4	
1077,09	19,3	
1120,17	18,9	
1163,26	17,7	
1206,34	15,2	
1249,43	15,5	
1292,51	17,6	
1335,59	16,0	
1378,68	15,3	
1421,76	15,3	
1464,84	15,4	
1507,93	16,0	
1551,01	18,1	
1594,09	17,9	
1637,18	16,5	
1680,26	16,6	
1723,35	15,7	
1766,43	16,0	
1809,51	16,1	
1852,6	15,3	
1895,68	16,2	
1938,76	17,2	
1981,85	15,5	
2024,93	16,3	
2068,01	16,0	
2111,1	16,7	
2154,18	15,9	
2197,27	15,0	
2240,35	16,0	
2283,43	17,3	
2326,52	15,9	
2369,6	14,9	
2412,68	15,0	
2455,77	15,5	
2498,85	15,0	
2541,93	15,0	
2585,02	15,0	
2628,1	15,2	
2671,19	14,2	
2714,27	14,8	
2757,35	15,3	
2800,44	15,6	
2843,52	15,9	
2886,6	15,5	
2929,69	14,4	
2972,77	14,6	
3015,85	14,8	
3058,94	14,9	
3102,02	15,0	
3145,11	15,2	
3188,19	15,1	
3231,27	14,9	
3274,36	14,4	
3317,44	14,8	
3360,52	14,7	
3403,61	14,2	
3446,69	14,1	
3489,77	13,7	
3532,86	14,6	
3575,94	14,9	
3619,03	15,1	
3662,11	14,4	
3705,19	14,6	
3748,28	14,7	
3791,36	14,7	
3834,44	14,3	
3877,53	12,9	
3920,61	13,8	
3963,69	14,2	
4006,78	13,4	
4049,86	13,0	
4092,95	13,6	
4136,03	13,2	
4179,11	12,7	
4222,2	12,5	
4265,28	12,6	
4308,36	12,3	
4351,45	12,8	
4394,53	12,4	
4437,62	11,8	
4480,7	11,5	
4523,78	12,1	
4566,87	12,5	
4609,95	11,8	
4653,03	11,0	
4696,12	11,1	
4739,2	11,6	
4782,28	11,4	
4825,37	10,7	
4868,45	10,4	
4911,54	11,0	
4954,62	11,8	
4997,7	11,1	
5040,79	11,2	
5083,87	11,5	
5126,95	10,5	
5170,04	10,1	
5213,12	10,5	
5256,2	11,1	
5299,29	9,8	
5342,37	9,0	
5385,46	10,5	
5428,54	10,1	
5471,62	9,2	
5514,71	10,3	
5557,79	9,9	
5600,87	10,0	
5643,96	9,9	
5687,04	8,9	
5730,12	9,1	
5773,21	9,3	
5816,29	8,6	
5859,38	8,7	
5902,46	8,5	
5945,54	7,6	
5988,63	7,5	
6031,71	7,5	
6074,79	7,3	
6117,88	6,8	
6160,96	6,9	
6204,04	6,8	
6247,13	6,0	
6290,21	6,2	
6333,3	5,5	
6376,38	6,5	
6419,46	6,7	
6462,55	6,7	
6505,63	6,5	
6548,71	6,9	
6591,8	6,9	
6634,88	6,5	
6677,96	8,2	
6721,05	9,3	
6764,13	9,5	
6807,22	9,8	
6850,3	10,0	
6893,38	11,7	
6936,47	13,1	
6979,55	13,3	
7022,63	14,1	
7065,72	14,4	
7108,8	15,4	
7151,88	15,1	
7194,97	15,4	
7238,05	15,6	
7281,14	16,3	
7324,22	17,3	
7367,3	17,7	
7410,39	17,5	
7453,47	17,4	
7496,55	17,0	
7539,64	17,8	
7582,72	18,0	
7625,8	18,8	
7668,89	18,6	
7711,97	17,5	
7755,06	17,6	
7798,14	18,1	
7841,22	18,5	
7884,31	18,3	
7927,39	17,4	
7970,47	17,4	
8013,56	17,1	
8056,64	16,9	
8099,72	16,8	
8142,81	16,8	
8185,89	16,6	
8228,98	16,3	
8272,06	16,0	
8315,14	15,3	
8358,23	15,0	
8401,31	14,6	
8444,39	15,2	
8487,48	14,7	
8530,56	14,3	
8573,64	13,9	
8616,73	14,1	
8659,81	13,8	
8702,9	14,1	
8745,98	14,3	
8789,06	13,8	
8832,15	13,6	
8875,23	13,9	
8918,31	14,3	
8961,4	14,2	
9004,48	14,1	
9047,56	13,7	
9090,65	13,5	
9133,73	14,0	
9176,82	13,7	
9219,9	13,3	
9262,98	14,2	
9306,07	14,3	
9349,15	14,1	
9392,23	14,7	
9435,32	13,7	
9478,4	12,9	
9521,48	12,8	
9564,57	12,7	
9607,65	13,5	
9650,74	14,4	
9693,82	14,1	
9736,9	13,6	
9779,99	13,4	
9823,07	13,1	
9866,15	13,2	
9909,24	13,1	
9952,32	14,1	
9995,4	14,1	
10038,5	13,2	
10081,6	12,9	
10124,7	12,3	
10167,7	13,3	
10210,8	13,3	
10253,9	13,7	
10297	14,4	
10340,1	13,8	
10383,2	12,7	
10426,2	12,8	
10469,3	12,9	
10512,4	13,2	
10555,5	13,5	
10598,6	13,1	
10641,7	13,2	
10684,7	12,7	
10727,8	12,5	
10770,9	12,7	
10814	12,4	
10857,1	12,7	
10900,2	13,1	
10943,2	12,6	
10986,3	13,0	
11029,4	13,1	
11072,5	12,5	
11115,6	12,7	
11158,7	12,4	
11201,7	11,4	
11244,8	11,0	
11287,9	10,8	
11331	10,2	
11374,1	11,0	
11417,2	11,1	
11460,2	10,8	
11503,3	10,9	
11546,4	10,4	
11589,5	10,1	
11632,6	9,9	
11675,7	10,0	
11718,8	9,1	
11761,8	7,9	
11804,9	8,8	
11848	9,0	
11891,1	8,4	
11934,2	8,5	
11977,3	8,4	
12020,3	7,8	
12063,4	6,7	
12106,5	6,5	
12149,6	6,5	
12192,7	6,5	
12235,8	6,2	
12278,8	5,5	
12321,9	4,6	
12365	4,4	
12408,1	4,5	
12451,2	3,7	
12494,3	3,3	
12537,3	2,4	
12580,4	2,6	
12623,5	1,6	
12666,6	0,4	
12709,7	0,7	
12752,8	0,7	
12795,8	-0,2	
12838,9	-0,2	
12882	-0,9	
12925,1	-1,8	
12968,2	-3,0	
13011,3	-3,5	
13054,3	-3,9	
13097,4	-4,7	
13140,5	-5,2	
13183,6	-5,9	
13226,7	-6,3	
13269,8	-6,5	
13312,8	-6,7	
13355,9	-6,6	
13399	-7,2	
13442,1	-7,3	
13485,2	-8,1	
13528,3	-8,8	
13571,3	-9,1	
13614,4	-9,3	
13657,5	-9,9	
13700,6	-9,6	
13743,7	-9,4	
13786,8	-9,6	
13829,8	-10,5	
13872,9	-10,0	
13916	-10,0	
13959,1	-10,6	
14002,2	-10,5	
14045,3	-9,6	
14088,4	-9,9	
14131,4	-10,3	
14174,5	-10,1	
14217,6	-9,5	
14260,7	-8,7	
14303,8	-8,7	
14346,9	-8,0	
14389,9	-7,7	
14433	-8,0	
14476,1	-7,9	
14519,2	-7,9	
14562,3	-7,7	
14605,4	-7,5	
14648,4	-7,4	
14691,5	-7,1	
14734,6	-6,6	
14777,7	-6,1	
14820,8	-6,6	
14863,9	-5,8	
14906,9	-5,6	
14950	-6,0	
14993,1	-6,1	
15036,2	-6,1	
15079,3	-5,9	
15122,4	-6,3	
15165,4	-6,6	
15208,5	-7,0	
15251,6	-6,7	
15294,7	-6,1	
15337,8	-6,5	
15380,9	-6,6	
15423,9	-6,2	
15467	-6,5	
15510,1	-5,9	
15553,2	-6,5	
15596,3	-6,4	
15639,4	-5,9	
15682,4	-4,9	
15725,5	-4,5	
15768,6	-4,4	
15811,7	-5,2	
15854,8	-5,7	
15897,9	-5,1	
15940,9	-3,8	
15984	-4,4	
16027,1	-4,4	
16070,2	-5,0	
16113,3	-4,8	
16156,4	-3,8	
16199,4	-3,9	
16242,5	-4,0	
16285,6	-3,6	
16328,7	-3,2	
16371,8	-3,3	
16414,9	-3,5	
16458	-2,9	
16501	-3,3	
16544,1	-3,5	
16587,2	-4,0	
16630,3	-3,5	
16673,4	-3,5	
16716,5	-4,5	
16759,5	-4,6	
16802,6	-4,1	
16845,7	-4,1	
16888,8	-4,1	
16931,9	-4,1	
16975	-4,1	
17018	-3,9	
17061,1	-4,2	
17104,2	-3,8	
17147,3	-3,7	
17190,4	-3,7	
