x_log y_smooth
118.675970 32.975766
119.252330 33.186160
119.831490 33.395543
120.413462 33.603918
120.998261 33.811287
121.585900 34.017654
122.176393 34.223019
122.769753 34.427386
123.365995 34.630757
123.965133 34.833135
124.567181 35.034521
125.172153 35.234920
125.780063 35.434332
126.390925 35.632761
127.004754 35.830208
127.621564 36.026677
128.241369 36.222170
128.864185 36.416690
129.490025 36.610238
130.118905 36.802817
130.750839 36.994430
131.385843 37.185080
132.023930 37.374768
132.665116 37.563497
133.309416 37.751270
133.956845 37.938089
134.607418 38.123956
135.261151 38.308875
135.918059 38.492847
136.578157 38.675875
137.241461 38.857961
137.907987 39.039108
138.577749 39.219319
139.250765 39.398596
139.927048 39.576940
140.606617 39.754356
141.289485 39.930845
141.975670 40.106409
142.665188 40.281052
143.358054 40.454775
144.054285 40.627582
144.753898 40.799474
145.456908 40.970454
146.163333 41.140524
146.873188 41.309688
147.586491 41.477947
148.303258 41.645304
149.023506 41.811761
149.747252 41.977322
150.474513 42.141987
151.205306 42.305761
151.939648 42.468644
152.677557 42.630641
153.419049 42.791752
154.164142 42.951981
154.912854 43.111331
155.665202 43.269803
156.421204 43.427400
157.180878 43.584124
157.944241 43.739979
158.711311 43.894966
159.482107 44.049088
160.256646 44.202347
161.034947 44.354747
161.817027 44.506288
162.602906 44.656975
163.392602 44.806809
164.186133 44.955792
164.983517 45.103928
165.784775 45.251218
166.589923 45.397666
167.398982 45.543273
168.211970 45.688043
169.028907 45.831977
169.849811 45.975078
170.674702 46.117348
171.503599 46.258791
172.336521 46.399407
173.173489 46.539201
174.014522 46.678174
174.859639 46.816329
175.708860 46.953669
176.562206 47.090195
177.419696 47.225910
178.281351 47.360817
179.147190 47.494919
180.017235 47.628216
180.891504 47.760714
181.770020 47.892412
182.652803 48.023315
183.539872 48.153424
184.431250 48.282742
185.326957 48.411272
186.227014 48.539016
187.131442 48.665976
188.040263 48.792155
188.953497 48.917555
189.871167 49.042179
190.793293 49.166029
191.719898 49.289108
192.651003 49.411419
193.586630 49.532963
194.526800 49.653743
195.471537 49.773761
196.420862 49.893021
197.374798 50.011525
198.333366 50.129274
199.296590 50.246272
200.264492 50.362521
201.237094 50.478023
202.214420 50.592781
203.196493 50.706798
204.183335 50.820075
205.174969 50.932616
206.171420 51.044422
207.172710 51.155497
208.178863 51.265842
209.189902 51.375461
210.205851 51.484355
211.226735 51.592527
212.252576 51.699980
213.283400 51.806716
214.319230 51.912737
215.360091 52.018047
216.406006 52.122646
217.457001 52.226539
218.513101 52.329727
219.574329 52.432213
220.640712 52.534000
221.712273 52.635089
222.789039 52.735483
223.871033 52.835185
224.958283 52.934198
226.050813 53.032523
227.148649 53.130163
228.251817 53.227120
229.360342 53.323398
230.474252 53.418999
231.593570 53.513924
232.718325 53.608177
233.848543 53.701760
234.984249 53.794675
236.125471 53.886925
237.272236 53.978512
238.424570 54.069439
239.582500 54.159709
240.746054 54.249323
241.915258 54.338285
243.090142 54.426596
244.270731 54.514259
245.457053 54.601277
246.649138 54.687652
247.847011 54.773387
249.050702 54.858483
250.260239 54.942945
251.475651 55.026773
252.696965 55.109970
253.924210 55.192540
255.157416 55.274483
256.396611 55.355804
257.641824 55.436504
258.893084 55.516586
260.150422 55.596052
261.413866 55.674905
262.683446 55.753147
263.959191 55.830780
265.241133 55.907808
266.529300 55.984232
267.823723 56.060055
269.124433 56.135280
270.431460 56.209909
271.744835 56.283944
273.064588 56.357389
274.390751 56.430244
275.723354 56.502514
277.062429 56.574200
278.408008 56.645304
279.760121 56.715830
281.118801 56.785780
282.484080 56.855156
283.855989 56.923960
285.234561 56.992196
286.619828 57.059865
288.011823 57.126970
289.410578 57.193514
290.816127 57.259499
292.228501 57.324928
293.647735 57.389802
295.073862 57.454125
296.506914 57.517898
297.946927 57.581125
299.393933 57.643808
300.847966 57.705950
302.309061 57.767551
303.777252 57.828617
305.252574 57.889147
306.735060 57.949146
308.224747 58.008616
309.721668 58.067559
311.225859 58.125977
312.737355 58.183874
314.256192 58.241251
315.782405 58.298110
317.316031 58.354456
318.857105 58.410289
320.405663 58.465613
