Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	80,8	
0	-Inf	
43,0836	31,2	
86,1673	40,3	
129,251	56,2	
172,335	76,6	
215,418	80,6	
258,502	71,1	
301,585	53,7	
344,669	56,0	
387,753	66,5	
430,836	64,4	
473,92	46,8	
517,004	37,3	
560,087	56,0	
603,171	61,7	
646,255	55,1	
689,338	38,6	
732,422	33,9	
775,506	45,6	
818,589	46,8	
861,673	35,9	
904,756	26,2	
947,84	41,4	
990,924	50,2	
1034,01	47,2	
1077,09	28,7	
1120,17	25,8	
1163,26	40,3	
1206,34	44,4	
1249,43	37,3	
1292,51	25,5	
1335,59	34,3	
1378,68	48,4	
1421,76	48,6	
1464,84	35,5	
1507,93	31,9	
1551,01	36,0	
1594,09	43,2	
1637,18	39,8	
1680,26	30,1	
1723,35	33,7	
1766,43	44,1	
1809,51	47,4	
1852,6	40,0	
1895,68	33,5	
1938,76	32,4	
1981,85	39,6	
2024,93	38,8	
2068,01	31,8	
2111,1	33,0	
2154,18	31,8	
2197,27	34,7	
2240,35	31,8	
2283,43	25,5	
2326,52	25,6	
2369,6	42,6	
2412,68	45,3	
2455,77	36,0	
2498,85	26,2	
2541,93	30,1	
2585,02	41,7	
2628,1	40,3	
2671,19	25,7	
2714,27	20,8	
2757,35	32,6	
2800,44	38,6	
2843,52	32,9	
2886,6	17,9	
2929,69	22,2	
2972,77	34,9	
3015,85	36,8	
3058,94	27,1	
3102,02	20,6	
3145,11	23,5	
3188,19	32,9	
3231,27	30,8	
3274,36	18,6	
3317,44	17,5	
3360,52	30,8	
3403,61	36,2	
3446,69	30,0	
3489,77	18,4	
3532,86	24,5	
3575,94	40,8	
3619,03	42,1	
3662,11	31,6	
3705,19	23,1	
3748,28	38,6	
3791,36	47,9	
3834,44	44,9	
3877,53	26,9	
3920,61	17,9	
3963,69	37,9	
4006,78	42,8	
4049,86	35,4	
4092,95	17,3	
4136,03	26,3	
4179,11	40,2	
4222,2	40,5	
4265,28	27,5	
4308,36	17,3	
4351,45	25,5	
4394,53	34,3	
4437,62	30,9	
4480,7	18,1	
4523,78	16,8	
4566,87	34,5	
4609,95	38,1	
4653,03	29,9	
4696,12	14,6	
4739,2	16,4	
4782,28	27,0	
4825,37	26,8	
4868,45	16,7	
4911,54	13,8	
4954,62	21,5	
4997,7	27,6	
5040,79	22,9	
5083,87	13,5	
5126,95	16,2	
5170,04	32,4	
5213,12	35,4	
5256,2	27,3	
5299,29	16,5	
5342,37	16,2	
5385,46	21,5	
5428,54	20,5	
5471,62	15,2	
5514,71	13,7	
5557,79	25,6	
5600,87	32,4	
5643,96	27,0	
5687,04	13,6	
5730,12	15,6	
5773,21	34,6	
5816,29	36,8	
5859,38	27,3	
5902,46	16,1	
5945,54	23,5	
5988,63	34,2	
6031,71	32,2	
6074,79	17,1	
6117,88	9,6	
6160,96	24,3	
6204,04	30,2	
6247,13	23,9	
6290,21	8,3	
6333,3	9,5	
6376,38	24,5	
6419,46	25,8	
6462,55	15,4	
6505,63	9,7	
6548,71	16,7	
6591,8	24,3	
6634,88	21,4	
6677,96	10,4	
6721,05	10,5	
6764,13	23,9	
6807,22	28,6	
6850,3	22,1	
6893,38	13,4	
6936,47	12,8	
6979,55	22,4	
7022,63	22,9	
7065,72	15,2	
7108,8	14,3	
7151,88	17,4	
7194,97	21,9	
7238,05	19,8	
7281,14	16,9	
7324,22	17,2	
7367,3	17,4	
7410,39	17,8	
7453,47	17,0	
7496,55	18,2	
7539,64	18,9	
7582,72	18,9	
7625,8	18,6	
7668,89	18,4	
7711,97	19,1	
7755,06	19,4	
7798,14	20,6	
7841,22	18,7	
7884,31	16,8	
7927,39	17,4	
7970,47	19,7	
8013,56	21,1	
8056,64	17,4	
8099,72	16,6	
8142,81	16,1	
8185,89	16,5	
8228,98	16,6	
8272,06	15,8	
8315,14	15,3	
8358,23	15,2	
8401,31	15,1	
8444,39	14,2	
8487,48	14,9	
8530,56	14,9	
8573,64	16,5	
8616,73	17,3	
8659,81	15,2	
8702,9	14,2	
8745,98	15,2	
8789,06	20,5	
8832,15	18,7	
8875,23	14,3	
8918,31	13,4	
8961,4	16,7	
9004,48	21,4	
9047,56	17,2	
9090,65	13,0	
9133,73	13,6	
9176,82	14,7	
9219,9	14,7	
9262,98	14,0	
9306,07	14,0	
9349,15	14,0	
9392,23	14,1	
9435,32	14,0	
9478,4	14,0	
9521,48	14,1	
9564,57	15,9	
9607,65	18,9	
9650,74	15,5	
9693,82	13,4	
9736,9	13,9	
9779,99	13,9	
9823,07	14,2	
9866,15	14,2	
9909,24	14,3	
9952,32	13,7	
9995,4	18,1	
10038,5	16,9	
10081,6	13,7	
10124,7	13,2	
10167,7	15,2	
10210,8	16,7	
10253,9	14,5	
10297	13,9	
10340,1	13,2	
10383,2	13,2	
10426,2	14,0	
10469,3	13,5	
10512,4	12,7	
10555,5	13,2	
10598,6	14,9	
10641,7	14,9	
10684,7	13,5	
10727,8	13,9	
10770,9	14,5	
10814	14,7	
10857,1	13,2	
10900,2	12,1	
10943,2	11,9	
10986,3	12,3	
11029,4	12,0	
11072,5	12,5	
11115,6	12,7	
11158,7	11,3	
11201,7	10,5	
11244,8	11,5	
11287,9	12,2	
11331	11,7	
11374,1	10,3	
11417,2	10,7	
11460,2	10,2	
11503,3	8,8	
11546,4	10,0	
11589,5	10,8	
11632,6	10,9	
11675,7	10,0	
11718,8	9,2	
11761,8	10,2	
11804,9	12,1	
11848	9,9	
11891,1	9,4	
11934,2	8,6	
11977,3	9,1	
12020,3	8,8	
12063,4	7,4	
12106,5	7,9	
12149,6	7,6	
12192,7	7,7	
12235,8	6,9	
12278,8	4,3	
12321,9	4,3	
12365	5,0	
12408,1	4,9	
12451,2	3,9	
12494,3	3,1	
12537,3	3,0	
12580,4	2,3	
12623,5	2,1	
12666,6	1,1	
12709,7	0,7	
12752,8	1,0	
12795,8	0,6	
12838,9	-2,3	
12882	-1,3	
12925,1	-1,1	
12968,2	-1,9	
13011,3	-2,3	
13054,3	-3,7	
13097,4	-4,2	
13140,5	-4,3	
13183,6	-4,7	
13226,7	-4,4	
13269,8	-5,4	
13312,8	-6,5	
13355,9	-7,1	
13399	-7,0	
13442,1	-6,7	
13485,2	-6,9	
13528,3	-7,9	
13571,3	-8,6	
13614,4	-8,3	
13657,5	-7,7	
13700,6	-9,3	
13743,7	-10,1	
13786,8	-10,4	
13829,8	-9,9	
13872,9	-9,4	
13916	-10,1	
13959,1	-9,9	
14002,2	-9,6	
14045,3	-10,3	
14088,4	-10,9	
14131,4	-11,1	
14174,5	-10,4	
14217,6	-8,8	
14260,7	-9,1	
14303,8	-9,4	
14346,9	-9,1	
14389,9	-8,3	
14433	-8,6	
14476,1	-9,0	
14519,2	-8,2	
14562,3	-6,8	
14605,4	-7,2	
14648,4	-7,3	
14691,5	-6,9	
14734,6	-6,7	
14777,7	-6,8	
14820,8	-7,3	
14863,9	-7,1	
14906,9	-7,0	
14950	-5,9	
14993,1	-5,9	
15036,2	-5,4	
15079,3	-5,7	
15122,4	-6,7	
15165,4	-6,7	
15208,5	-6,9	
15251,6	-7,4	
15294,7	-6,5	
15337,8	-5,6	
15380,9	-6,2	
15423,9	-6,1	
15467	-6,0	
15510,1	-5,8	
15553,2	-5,7	
15596,3	-5,6	
15639,4	-5,7	
15682,4	-5,4	
15725,5	-5,0	
15768,6	-5,2	
15811,7	-4,8	
15854,8	-4,5	
15897,9	-3,9	
15940,9	-4,4	
15984	-5,3	
16027,1	-4,2	
16070,2	-4,8	
16113,3	-4,4	
16156,4	-4,5	
16199,4	-4,1	
16242,5	-3,9	
16285,6	-4,0	
16328,7	-3,7	
16371,8	-3,1	
16414,9	-1,9	
16458	-2,9	
16501	-3,6	
16544,1	-3,4	
16587,2	-3,4	
16630,3	-3,9	
16673,4	-4,8	
16716,5	-3,8	
16759,5	-4,4	
16802,6	-4,0	
16845,7	-4,7	
16888,8	-4,3	
16931,9	-4,0	
16975	-4,7	
17018	-4,2	
17061,1	-4,4	
17104,2	-3,5	
17147,3	-3,3	
17190,4	-3,8	
