Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	51,9	
0	-Inf	
43,0836	33,2	
86,1673	39,3	
129,251	38,3	
172,335	33,6	
215,418	28,6	
258,502	31,1	
301,585	37,7	
344,669	31,3	
387,753	26,4	
430,836	28,5	
473,92	30,9	
517,004	30,7	
560,087	33,8	
603,171	34,8	
646,255	24,9	
689,338	26,4	
732,422	34,2	
775,506	35,5	
818,589	28,6	
861,673	26,4	
904,756	30,6	
947,84	26,2	
990,924	28,0	
1034,01	32,2	
1077,09	28,0	
1120,17	25,6	
1163,26	22,8	
1206,34	21,5	
1249,43	17,7	
1292,51	17,7	
1335,59	29,1	
1378,68	32,0	
1421,76	21,2	
1464,84	38,2	
1507,93	41,1	
1551,01	38,0	
1594,09	37,0	
1637,18	35,9	
1680,26	33,7	
1723,35	36,8	
1766,43	35,6	
1809,51	38,0	
1852,6	44,8	
1895,68	36,4	
1938,76	36,8	
1981,85	36,4	
2024,93	27,8	
2068,01	42,9	
2111,1	44,6	
2154,18	36,8	
2197,27	34,5	
2240,35	37,6	
2283,43	34,6	
2326,52	24,8	
2369,6	23,8	
2412,68	28,7	
2455,77	36,0	
2498,85	28,7	
2541,93	30,0	
2585,02	30,1	
2628,1	24,5	
2671,19	25,7	
2714,27	26,5	
2757,35	23,1	
2800,44	16,2	
2843,52	22,4	
2886,6	20,2	
2929,69	24,4	
2972,77	19,9	
3015,85	20,5	
3058,94	23,2	
3102,02	17,9	
3145,11	19,1	
3188,19	16,2	
3231,27	14,7	
3274,36	21,5	
3317,44	23,2	
3360,52	21,4	
3403,61	16,2	
3446,69	18,2	
3489,77	16,5	
3532,86	18,1	
3575,94	17,7	
3619,03	20,9	
3662,11	21,5	
3705,19	20,7	
3748,28	18,4	
3791,36	18,3	
3834,44	15,9	
3877,53	17,3	
3920,61	17,4	
3963,69	14,2	
4006,78	13,4	
4049,86	13,7	
4092,95	13,4	
4136,03	12,9	
4179,11	13,0	
4222,2	13,4	
4265,28	13,6	
4308,36	13,9	
4351,45	14,2	
4394,53	14,1	
4437,62	14,7	
4480,7	18,0	
4523,78	17,8	
4566,87	14,2	
4609,95	12,6	
4653,03	12,7	
4696,12	14,5	
4739,2	18,6	
4782,28	18,1	
4825,37	15,5	
4868,45	18,1	
4911,54	16,0	
4954,62	14,2	
4997,7	13,5	
5040,79	13,6	
5083,87	12,8	
5126,95	14,6	
5170,04	20,2	
5213,12	25,0	
5256,2	23,7	
5299,29	20,6	
5342,37	21,4	
5385,46	16,7	
5428,54	13,6	
5471,62	17,4	
5514,71	16,0	
5557,79	14,0	
5600,87	11,9	
5643,96	9,8	
5687,04	11,8	
5730,12	13,2	
5773,21	12,3	
5816,29	13,9	
5859,38	12,0	
5902,46	8,7	
5945,54	8,7	
5988,63	7,5	
6031,71	8,6	
6074,79	8,1	
6117,88	6,9	
6160,96	6,6	
6204,04	6,3	
6247,13	7,0	
6290,21	8,3	
6333,3	8,3	
6376,38	9,5	
6419,46	11,4	
6462,55	8,8	
6505,63	9,5	
6548,71	11,4	
6591,8	10,4	
6634,88	9,2	
6677,96	9,2	
6721,05	8,7	
6764,13	10,6	
6807,22	11,4	
6850,3	11,8	
6893,38	13,0	
6936,47	13,8	
6979,55	14,2	
7022,63	15,9	
7065,72	15,6	
7108,8	15,6	
7151,88	15,1	
7194,97	15,3	
7238,05	15,6	
7281,14	15,8	
7324,22	16,7	
7367,3	16,4	
7410,39	17,0	
7453,47	18,3	
7496,55	18,2	
7539,64	18,6	
7582,72	18,1	
7625,8	18,6	
7668,89	18,9	
7711,97	18,0	
7755,06	17,1	
7798,14	17,7	
7841,22	18,1	
7884,31	18,2	
7927,39	18,1	
7970,47	17,3	
8013,56	16,0	
8056,64	16,8	
8099,72	17,0	
8142,81	17,1	
8185,89	16,5	
8228,98	15,9	
8272,06	15,9	
8315,14	15,3	
8358,23	16,1	
8401,31	15,2	
8444,39	14,4	
8487,48	14,0	
8530,56	14,5	
8573,64	15,1	
8616,73	14,6	
8659,81	14,6	
8702,9	14,5	
8745,98	14,0	
8789,06	13,8	
8832,15	13,7	
8875,23	13,8	
8918,31	14,1	
8961,4	13,7	
9004,48	13,1	
9047,56	14,5	
9090,65	14,7	
9133,73	13,5	
9176,82	14,1	
9219,9	14,8	
9262,98	14,9	
9306,07	14,1	
9349,15	13,8	
9392,23	14,0	
9435,32	14,3	
9478,4	14,1	
9521,48	13,5	
9564,57	13,6	
9607,65	13,0	
9650,74	12,7	
9693,82	14,0	
9736,9	13,7	
9779,99	11,9	
9823,07	12,6	
9866,15	12,3	
9909,24	12,3	
9952,32	13,7	
9995,4	13,0	
10038,5	12,6	
10081,6	12,7	
10124,7	12,2	
10167,7	12,7	
10210,8	13,4	
10253,9	12,8	
10297	12,5	
10340,1	13,5	
10383,2	13,7	
10426,2	14,1	
10469,3	14,1	
10512,4	14,2	
10555,5	13,5	
10598,6	13,0	
10641,7	13,2	
10684,7	13,8	
10727,8	13,7	
10770,9	14,3	
10814	13,2	
10857,1	12,9	
10900,2	12,6	
10943,2	12,1	
10986,3	12,2	
11029,4	11,7	
11072,5	12,6	
11115,6	11,3	
11158,7	12,0	
11201,7	12,1	
11244,8	11,5	
11287,9	11,5	
11331	11,2	
11374,1	10,4	
11417,2	10,7	
11460,2	11,2	
11503,3	11,7	
11546,4	11,2	
11589,5	9,7	
11632,6	9,3	
11675,7	8,2	
11718,8	8,6	
11761,8	8,1	
11804,9	8,9	
11848	8,8	
11891,1	8,6	
11934,2	8,3	
11977,3	8,1	
12020,3	8,5	
12063,4	8,7	
12106,5	7,5	
12149,6	5,9	
12192,7	5,9	
12235,8	5,5	
12278,8	4,8	
12321,9	5,8	
12365	5,7	
12408,1	4,5	
12451,2	3,7	
12494,3	3,8	
12537,3	3,2	
12580,4	1,6	
12623,5	1,5	
12666,6	1,3	
12709,7	1,6	
12752,8	0,8	
12795,8	-0,3	
12838,9	-0,9	
12882	-1,4	
12925,1	-3,0	
12968,2	-3,6	
13011,3	-3,0	
13054,3	-3,6	
13097,4	-4,7	
13140,5	-4,0	
13183,6	-4,3	
13226,7	-5,1	
13269,8	-5,4	
13312,8	-5,7	
13355,9	-6,0	
13399	-6,6	
13442,1	-7,3	
13485,2	-7,9	
13528,3	-7,7	
13571,3	-8,4	
13614,4	-10,3	
13657,5	-9,7	
13700,6	-10,1	
13743,7	-9,7	
13786,8	-10,1	
13829,8	-10,9	
13872,9	-10,6	
13916	-10,8	
13959,1	-10,4	
14002,2	-11,1	
14045,3	-10,8	
14088,4	-9,9	
14131,4	-9,2	
14174,5	-8,5	
14217,6	-8,3	
14260,7	-9,4	
14303,8	-8,9	
14346,9	-8,1	
14389,9	-9,1	
14433	-9,0	
14476,1	-8,7	
14519,2	-7,8	
14562,3	-7,7	
14605,4	-7,7	
14648,4	-7,4	
14691,5	-6,6	
14734,6	-6,8	
14777,7	-7,1	
14820,8	-5,9	
14863,9	-6,2	
14906,9	-6,8	
14950	-6,3	
14993,1	-6,8	
15036,2	-6,1	
15079,3	-6,0	
15122,4	-6,2	
15165,4	-6,4	
15208,5	-7,4	
15251,6	-8,2	
15294,7	-7,5	
15337,8	-5,9	
15380,9	-6,3	
15423,9	-6,6	
15467	-6,2	
15510,1	-6,3	
15553,2	-6,4	
15596,3	-5,9	
15639,4	-6,0	
15682,4	-5,8	
15725,5	-5,7	
15768,6	-5,4	
15811,7	-5,6	
15854,8	-5,4	
15897,9	-4,5	
15940,9	-3,5	
15984	-3,6	
16027,1	-4,0	
16070,2	-4,3	
16113,3	-4,3	
16156,4	-3,8	
16199,4	-3,8	
16242,5	-3,5	
16285,6	-3,2	
16328,7	-4,0	
16371,8	-4,0	
16414,9	-3,1	
16458	-3,2	
16501	-4,3	
16544,1	-5,1	
16587,2	-4,2	
16630,3	-3,8	
16673,4	-2,8	
16716,5	-3,2	
16759,5	-4,6	
16802,6	-3,0	
16845,7	-3,1	
16888,8	-4,2	
16931,9	-4,6	
16975	-3,7	
17018	-4,0	
17061,1	-4,6	
17104,2	-4,0	
17147,3	-3,5	
17190,4	-3,8	
