Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	78,9	
0	-Inf	
43,0836	33,4	
86,1673	38,0	
129,251	37,8	
172,335	34,7	
215,418	34,0	
258,502	72,0	
301,585	78,9	
344,669	73,6	
387,753	38,3	
430,836	42,7	
473,92	34,4	
517,004	30,3	
560,087	41,6	
603,171	48,4	
646,255	42,1	
689,338	25,2	
732,422	27,7	
775,506	29,2	
818,589	24,7	
861,673	29,3	
904,756	34,0	
947,84	27,1	
990,924	15,2	
1034,01	16,5	
1077,09	16,1	
1120,17	17,1	
1163,26	20,8	
1206,34	24,2	
1249,43	19,4	
1292,51	15,8	
1335,59	15,0	
1378,68	15,7	
1421,76	15,9	
1464,84	27,7	
1507,93	31,4	
1551,01	23,5	
1594,09	16,9	
1637,18	16,2	
1680,26	16,5	
1723,35	20,3	
1766,43	21,9	
1809,51	21,5	
1852,6	17,2	
1895,68	15,0	
1938,76	16,5	
1981,85	17,9	
2024,93	16,1	
2068,01	18,5	
2111,1	20,9	
2154,18	16,4	
2197,27	18,0	
2240,35	18,8	
2283,43	17,2	
2326,52	17,5	
2369,6	17,2	
2412,68	18,0	
2455,77	15,5	
2498,85	15,0	
2541,93	14,8	
2585,02	15,2	
2628,1	15,4	
2671,19	18,2	
2714,27	19,3	
2757,35	16,3	
2800,44	16,4	
2843,52	16,1	
2886,6	15,6	
2929,69	16,9	
2972,77	16,8	
3015,85	16,7	
3058,94	17,7	
3102,02	17,0	
3145,11	16,1	
3188,19	15,9	
3231,27	14,5	
3274,36	17,5	
3317,44	18,6	
3360,52	15,6	
3403,61	15,1	
3446,69	14,4	
3489,77	14,5	
3532,86	14,9	
3575,94	15,0	
3619,03	15,4	
3662,11	13,7	
3705,19	14,3	
3748,28	14,5	
3791,36	14,3	
3834,44	13,9	
3877,53	13,9	
3920,61	14,5	
3963,69	14,0	
4006,78	13,4	
4049,86	13,4	
4092,95	13,2	
4136,03	12,5	
4179,11	12,9	
4222,2	13,0	
4265,28	12,5	
4308,36	12,5	
4351,45	12,2	
4394,53	12,1	
4437,62	12,8	
4480,7	12,9	
4523,78	12,9	
4566,87	12,6	
4609,95	12,1	
4653,03	12,8	
4696,12	12,4	
4739,2	11,7	
4782,28	11,7	
4825,37	11,8	
4868,45	11,2	
4911,54	11,8	
4954,62	11,9	
4997,7	11,2	
5040,79	10,8	
5083,87	10,9	
5126,95	10,9	
5170,04	10,9	
5213,12	10,4	
5256,2	10,6	
5299,29	10,6	
5342,37	10,2	
5385,46	9,0	
5428,54	9,1	
5471,62	10,0	
5514,71	10,6	
5557,79	10,7	
5600,87	10,7	
5643,96	9,6	
5687,04	9,0	
5730,12	9,5	
5773,21	9,2	
5816,29	8,2	
5859,38	9,2	
5902,46	7,8	
5945,54	7,9	
5988,63	9,0	
6031,71	8,1	
6074,79	7,6	
6117,88	6,8	
6160,96	6,0	
6204,04	6,6	
6247,13	6,1	
6290,21	6,3	
6333,3	6,4	
6376,38	5,5	
6419,46	5,9	
6462,55	7,2	
6505,63	7,8	
6548,71	7,7	
6591,8	7,6	
6634,88	7,7	
6677,96	8,3	
6721,05	9,0	
6764,13	10,3	
6807,22	10,2	
6850,3	10,1	
6893,38	11,6	
6936,47	12,5	
6979,55	13,4	
7022,63	14,4	
7065,72	13,8	
7108,8	14,7	
7151,88	15,3	
7194,97	15,5	
7238,05	16,1	
7281,14	16,5	
7324,22	16,6	
7367,3	17,0	
7410,39	15,8	
7453,47	16,1	
7496,55	16,7	
7539,64	17,7	
7582,72	17,7	
7625,8	17,9	
7668,89	17,5	
7711,97	18,3	
7755,06	19,3	
7798,14	18,7	
7841,22	17,6	
7884,31	16,5	
7927,39	16,8	
7970,47	17,3	
8013,56	17,2	
8056,64	16,7	
8099,72	17,7	
8142,81	16,9	
8185,89	16,4	
8228,98	16,2	
8272,06	15,9	
8315,14	15,0	
8358,23	15,2	
8401,31	14,9	
8444,39	15,1	
8487,48	14,3	
8530,56	14,0	
8573,64	13,9	
8616,73	14,6	
8659,81	14,1	
8702,9	14,2	
8745,98	13,7	
8789,06	14,1	
8832,15	13,3	
8875,23	13,2	
8918,31	13,2	
8961,4	13,8	
9004,48	14,2	
9047,56	14,1	
9090,65	13,6	
9133,73	13,8	
9176,82	14,3	
9219,9	14,8	
9262,98	14,6	
9306,07	14,1	
9349,15	13,8	
9392,23	14,4	
9435,32	13,8	
9478,4	13,7	
9521,48	14,1	
9564,57	13,6	
9607,65	12,8	
9650,74	13,0	
9693,82	12,6	
9736,9	13,0	
9779,99	13,7	
9823,07	13,6	
9866,15	13,2	
9909,24	13,4	
9952,32	13,8	
9995,4	13,3	
10038,5	13,1	
10081,6	13,0	
10124,7	12,8	
10167,7	12,9	
10210,8	13,0	
10253,9	12,8	
10297	12,4	
10340,1	12,0	
10383,2	12,2	
10426,2	12,8	
10469,3	13,6	
10512,4	13,2	
10555,5	13,0	
10598,6	13,1	
10641,7	13,4	
10684,7	12,8	
10727,8	13,5	
10770,9	13,2	
10814	12,6	
10857,1	12,6	
10900,2	12,6	
10943,2	13,1	
10986,3	12,5	
11029,4	12,8	
11072,5	11,8	
11115,6	12,3	
11158,7	12,8	
11201,7	11,3	
11244,8	12,1	
11287,9	11,9	
11331	11,2	
11374,1	10,7	
11417,2	10,9	
11460,2	11,0	
11503,3	10,8	
11546,4	10,2	
11589,5	9,6	
11632,6	9,1	
11675,7	9,1	
11718,8	9,9	
11761,8	8,8	
11804,9	7,0	
11848	8,4	
11891,1	8,8	
11934,2	8,5	
11977,3	8,9	
12020,3	7,4	
12063,4	6,7	
12106,5	7,4	
12149,6	7,2	
12192,7	6,7	
12235,8	5,8	
12278,8	6,6	
12321,9	5,8	
12365	4,9	
12408,1	4,1	
12451,2	3,6	
12494,3	3,0	
12537,3	2,3	
12580,4	1,2	
12623,5	0,4	
12666,6	0,4	
12709,7	-0,4	
12752,8	0,1	
12795,8	0,1	
12838,9	-0,7	
12882	-1,4	
12925,1	-1,0	
12968,2	-2,2	
13011,3	-2,9	
13054,3	-4,7	
13097,4	-5,3	
13140,5	-5,2	
13183,6	-5,6	
13226,7	-6,1	
13269,8	-5,8	
13312,8	-6,7	
13355,9	-7,6	
13399	-6,5	
13442,1	-7,3	
13485,2	-7,9	
13528,3	-7,6	
13571,3	-8,0	
13614,4	-8,5	
13657,5	-9,4	
13700,6	-8,9	
13743,7	-9,3	
13786,8	-9,5	
13829,8	-9,5	
13872,9	-9,4	
13916	-11,4	
13959,1	-12,2	
14002,2	-10,4	
14045,3	-9,5	
14088,4	-10,4	
14131,4	-10,3	
14174,5	-10,1	
14217,6	-9,8	
14260,7	-8,8	
14303,8	-8,7	
14346,9	-8,7	
14389,9	-8,7	
14433	-7,4	
14476,1	-8,0	
14519,2	-8,3	
14562,3	-8,5	
14605,4	-7,4	
14648,4	-7,1	
14691,5	-7,2	
14734,6	-6,3	
14777,7	-6,5	
14820,8	-6,5	
14863,9	-5,5	
14906,9	-4,9	
14950	-6,2	
14993,1	-7,2	
15036,2	-6,3	
15079,3	-5,6	
15122,4	-5,7	
15165,4	-5,7	
15208,5	-5,9	
15251,6	-6,6	
15294,7	-7,1	
15337,8	-7,7	
15380,9	-6,8	
15423,9	-7,1	
15467	-5,8	
15510,1	-5,0	
15553,2	-5,0	
15596,3	-4,8	
15639,4	-4,8	
15682,4	-5,6	
15725,5	-5,3	
15768,6	-4,5	
15811,7	-3,9	
15854,8	-4,5	
15897,9	-4,4	
15940,9	-4,7	
15984	-4,0	
16027,1	-4,7	
16070,2	-5,6	
16113,3	-4,0	
16156,4	-3,6	
16199,4	-3,8	
16242,5	-4,3	
16285,6	-4,5	
16328,7	-5,2	
16371,8	-3,7	
16414,9	-3,2	
16458	-3,7	
16501	-3,6	
16544,1	-3,8	
16587,2	-4,6	
16630,3	-4,2	
16673,4	-4,6	
16716,5	-4,5	
16759,5	-5,0	
16802,6	-4,6	
16845,7	-4,4	
16888,8	-5,2	
16931,9	-4,2	
16975	-3,9	
17018	-4,3	
17061,1	-3,9	
17104,2	-3,9	
17147,3	-4,7	
17190,4	-4,0	
