Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	100,7	
0	-Inf	
43,0836	31,7	
86,1673	38,6	
129,251	39,0	
172,335	35,4	
215,418	31,7	
258,502	31,8	
301,585	34,2	
344,669	32,6	
387,753	28,8	
430,836	27,3	
473,92	33,6	
517,004	32,1	
560,087	31,7	
603,171	34,7	
646,255	32,1	
689,338	25,8	
732,422	21,7	
775,506	22,3	
818,589	23,8	
861,673	25,8	
904,756	20,3	
947,84	19,9	
990,924	19,4	
1034,01	19,0	
1077,09	19,4	
1120,17	19,7	
1163,26	20,1	
1206,34	22,8	
1249,43	20,8	
1292,51	21,4	
1335,59	21,9	
1378,68	20,4	
1421,76	20,5	
1464,84	21,4	
1507,93	23,9	
1551,01	31,0	
1594,09	28,8	
1637,18	22,4	
1680,26	25,4	
1723,35	25,3	
1766,43	35,7	
1809,51	37,8	
1852,6	28,4	
1895,68	28,0	
1938,76	29,3	
1981,85	24,1	
2024,93	24,8	
2068,01	25,3	
2111,1	25,1	
2154,18	27,7	
2197,27	24,3	
2240,35	23,7	
2283,43	25,4	
2326,52	23,8	
2369,6	24,1	
2412,68	25,8	
2455,77	25,7	
2498,85	28,3	
2541,93	29,5	
2585,02	30,9	
2628,1	33,7	
2671,19	36,5	
2714,27	40,4	
2757,35	44,8	
2800,44	49,8	
2843,52	56,3	
2886,6	65,3	
2929,69	80,1	
2972,77	98,1	
3015,85	100,0	
3058,94	89,0	
3102,02	69,0	
3145,11	59,0	
3188,19	51,7	
3231,27	46,2	
3274,36	41,5	
3317,44	37,8	
3360,52	34,3	
3403,61	31,8	
3446,69	29,4	
3489,77	27,3	
3532,86	26,8	
3575,94	24,6	
3619,03	23,8	
3662,11	23,5	
3705,19	22,8	
3748,28	22,2	
3791,36	21,0	
3834,44	21,0	
3877,53	21,3	
3920,61	19,6	
3963,69	19,8	
4006,78	20,0	
4049,86	20,1	
4092,95	18,9	
4136,03	20,6	
4179,11	33,8	
4222,2	35,4	
4265,28	25,1	
4308,36	17,7	
4351,45	17,6	
4394,53	17,6	
4437,62	16,2	
4480,7	16,0	
4523,78	16,3	
4566,87	16,7	
4609,95	16,2	
4653,03	16,8	
4696,12	17,6	
4739,2	16,9	
4782,28	15,2	
4825,37	15,1	
4868,45	15,2	
4911,54	15,0	
4954,62	14,6	
4997,7	14,8	
5040,79	15,5	
5083,87	15,7	
5126,95	14,6	
5170,04	14,8	
5213,12	14,6	
5256,2	15,1	
5299,29	14,8	
5342,37	13,6	
5385,46	16,8	
5428,54	17,5	
5471,62	12,7	
5514,71	11,6	
5557,79	12,4	
5600,87	12,9	
5643,96	12,0	
5687,04	11,8	
5730,12	12,4	
5773,21	11,5	
5816,29	11,0	
5859,38	12,5	
5902,46	19,2	
5945,54	38,5	
5988,63	49,3	
6031,71	47,2	
6074,79	29,1	
6117,88	14,9	
6160,96	9,6	
6204,04	8,3	
6247,13	8,2	
6290,21	8,1	
6333,3	8,5	
6376,38	7,9	
6419,46	8,6	
6462,55	9,2	
6505,63	8,9	
6548,71	8,7	
6591,8	10,3	
6634,88	10,4	
6677,96	9,7	
6721,05	10,8	
6764,13	12,1	
6807,22	12,2	
6850,3	12,6	
6893,38	12,6	
6936,47	13,5	
6979,55	14,7	
7022,63	15,0	
7065,72	15,3	
7108,8	16,8	
7151,88	16,6	
7194,97	16,4	
7238,05	16,3	
7281,14	16,3	
7324,22	16,6	
7367,3	17,1	
7410,39	17,6	
7453,47	17,9	
7496,55	17,8	
7539,64	17,9	
7582,72	18,2	
7625,8	19,1	
7668,89	18,4	
7711,97	18,6	
7755,06	19,1	
7798,14	19,0	
7841,22	19,0	
7884,31	18,9	
7927,39	18,2	
7970,47	18,1	
8013,56	18,7	
8056,64	18,3	
8099,72	17,9	
8142,81	17,4	
8185,89	17,0	
8228,98	17,0	
8272,06	18,9	
8315,14	26,1	
8358,23	24,2	
8401,31	15,8	
8444,39	14,4	
8487,48	14,5	
8530,56	15,2	
8573,64	15,3	
8616,73	14,8	
8659,81	14,5	
8702,9	13,9	
8745,98	13,7	
8789,06	14,7	
8832,15	14,7	
8875,23	14,2	
8918,31	14,3	
8961,4	36,7	
9004,48	42,5	
9047,56	36,4	
9090,65	14,3	
9133,73	14,2	
9176,82	13,7	
9219,9	13,6	
9262,98	13,4	
9306,07	14,2	
9349,15	14,8	
9392,23	13,5	
9435,32	13,7	
9478,4	14,0	
9521,48	14,6	
9564,57	14,6	
9607,65	14,5	
9650,74	13,6	
9693,82	13,5	
9736,9	13,4	
9779,99	13,1	
9823,07	13,6	
9866,15	13,8	
9909,24	13,2	
9952,32	13,1	
9995,4	14,3	
10038,5	14,0	
10081,6	13,3	
10124,7	13,6	
10167,7	13,5	
10210,8	13,5	
10253,9	12,8	
10297	13,3	
10340,1	13,6	
10383,2	13,5	
10426,2	13,1	
10469,3	13,1	
10512,4	13,4	
10555,5	13,4	
10598,6	13,0	
10641,7	13,8	
10684,7	13,6	
10727,8	12,7	
10770,9	12,7	
10814	13,1	
10857,1	12,6	
10900,2	13,5	
10943,2	13,2	
10986,3	12,5	
11029,4	12,3	
11072,5	12,7	
11115,6	12,2	
11158,7	11,0	
11201,7	10,8	
11244,8	11,7	
11287,9	11,9	
11331	11,3	
11374,1	11,2	
11417,2	11,2	
11460,2	10,7	
11503,3	10,4	
11546,4	10,7	
11589,5	10,3	
11632,6	9,9	
11675,7	9,9	
11718,8	9,4	
11761,8	9,5	
11804,9	9,2	
11848	8,7	
11891,1	8,4	
11934,2	8,9	
11977,3	17,9	
12020,3	19,4	
12063,4	11,2	
12106,5	7,4	
12149,6	6,8	
12192,7	6,5	
12235,8	6,0	
12278,8	5,7	
12321,9	5,3	
12365	4,4	
12408,1	3,8	
12451,2	3,8	
12494,3	3,0	
12537,3	2,5	
12580,4	2,2	
12623,5	1,6	
12666,6	1,1	
12709,7	0,1	
12752,8	0,1	
12795,8	-0,3	
12838,9	-1,6	
12882	-2,8	
12925,1	-2,5	
12968,2	-2,5	
13011,3	-3,6	
13054,3	-3,7	
13097,4	-4,0	
13140,5	-3,8	
13183,6	-5,5	
13226,7	-5,7	
13269,8	-6,3	
13312,8	-6,5	
13355,9	-6,7	
13399	-6,7	
13442,1	-7,3	
13485,2	-7,4	
13528,3	-7,7	
13571,3	-8,8	
13614,4	-8,9	
13657,5	-9,5	
13700,6	-9,4	
13743,7	-9,4	
13786,8	-9,8	
13829,8	-10,1	
13872,9	-9,8	
13916	-10,0	
13959,1	-10,2	
14002,2	-10,7	
14045,3	-10,5	
14088,4	-10,3	
14131,4	-10,2	
14174,5	-9,7	
14217,6	-9,2	
14260,7	-9,1	
14303,8	0,2	
14346,9	1,9	
14389,9	-6,4	
14433	-8,9	
14476,1	-8,5	
14519,2	-7,8	
14562,3	-8,0	
14605,4	-7,9	
14648,4	-7,1	
14691,5	-6,6	
14734,6	-6,5	
14777,7	-6,3	
14820,8	-6,6	
14863,9	-7,3	
14906,9	-6,2	
14950	-4,4	
14993,1	2,8	
15036,2	1,2	
15079,3	-6,3	
15122,4	-5,9	
15165,4	-5,9	
15208,5	-5,8	
15251,6	-5,8	
15294,7	-6,6	
15337,8	-6,7	
15380,9	-6,6	
15423,9	-6,5	
15467	-5,5	
15510,1	-5,8	
15553,2	-5,5	
15596,3	-5,3	
15639,4	-5,4	
15682,4	-5,4	
15725,5	-5,9	
15768,6	-5,3	
15811,7	-5,0	
15854,8	-5,1	
15897,9	-5,5	
15940,9	-4,8	
15984	-4,7	
16027,1	-4,6	
16070,2	-4,4	
16113,3	-4,7	
16156,4	-4,7	
16199,4	-4,2	
16242,5	-3,8	
16285,6	-3,3	
16328,7	-3,6	
16371,8	-3,2	
16414,9	-3,8	
16458	-3,7	
16501	-3,3	
16544,1	-4,1	
16587,2	-4,0	
16630,3	-3,7	
16673,4	-3,8	
16716,5	-3,2	
16759,5	-3,3	
16802,6	-4,0	
16845,7	-4,1	
16888,8	-4,3	
16931,9	-3,6	
16975	-3,8	
17018	-3,6	
17061,1	-3,9	
17104,2	-4,4	
17147,3	-4,0	
17190,4	-4,4	
