Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	60,2	
0	-Inf	
43,0836	28,7	
86,1673	39,2	
129,251	43,2	
172,335	42,6	
215,418	40,2	
258,502	40,5	
301,585	41,4	
344,669	40,0	
387,753	37,3	
430,836	36,1	
473,92	34,0	
517,004	32,5	
560,087	30,8	
603,171	29,8	
646,255	28,2	
689,338	28,3	
732,422	26,6	
775,506	26,0	
818,589	27,3	
861,673	26,8	
904,756	27,2	
947,84	26,7	
990,924	29,8	
1034,01	30,5	
1077,09	27,4	
1120,17	26,6	
1163,26	27,8	
1206,34	28,6	
1249,43	27,2	
1292,51	25,7	
1335,59	25,4	
1378,68	24,6	
1421,76	26,7	
1464,84	27,9	
1507,93	26,9	
1551,01	24,9	
1594,09	24,8	
1637,18	23,7	
1680,26	23,6	
1723,35	24,4	
1766,43	24,2	
1809,51	24,4	
1852,6	25,3	
1895,68	28,4	
1938,76	46,0	
1981,85	58,7	
2024,93	58,1	
2068,01	42,8	
2111,1	27,7	
2154,18	21,1	
2197,27	19,5	
2240,35	19,6	
2283,43	19,2	
2326,52	18,9	
2369,6	18,2	
2412,68	18,0	
2455,77	17,9	
2498,85	17,7	
2541,93	16,3	
2585,02	16,0	
2628,1	17,6	
2671,19	17,1	
2714,27	17,7	
2757,35	17,6	
2800,44	17,3	
2843,52	17,8	
2886,6	17,4	
2929,69	17,7	
2972,77	17,3	
3015,85	16,8	
3058,94	16,9	
3102,02	16,9	
3145,11	17,3	
3188,19	16,9	
3231,27	16,9	
3274,36	16,6	
3317,44	15,4	
3360,52	16,2	
3403,61	16,6	
3446,69	15,6	
3489,77	15,7	
3532,86	15,5	
3575,94	15,8	
3619,03	15,4	
3662,11	15,1	
3705,19	15,1	
3748,28	16,0	
3791,36	15,9	
3834,44	14,0	
3877,53	14,4	
3920,61	15,3	
3963,69	15,3	
4006,78	14,2	
4049,86	13,8	
4092,95	13,6	
4136,03	14,4	
4179,11	13,9	
4222,2	13,6	
4265,28	14,0	
4308,36	13,7	
4351,45	13,4	
4394,53	12,7	
4437,62	13,2	
4480,7	11,9	
4523,78	12,0	
4566,87	13,4	
4609,95	14,0	
4653,03	13,4	
4696,12	12,3	
4739,2	12,0	
4782,28	11,5	
4825,37	12,0	
4868,45	12,8	
4911,54	12,1	
4954,62	11,3	
4997,7	10,9	
5040,79	11,3	
5083,87	11,0	
5126,95	10,9	
5170,04	11,1	
5213,12	11,2	
5256,2	11,9	
5299,29	11,7	
5342,37	11,9	
5385,46	11,0	
5428,54	10,0	
5471,62	10,3	
5514,71	10,0	
5557,79	10,6	
5600,87	10,9	
5643,96	10,4	
5687,04	9,5	
5730,12	8,7	
5773,21	8,4	
5816,29	8,1	
5859,38	8,0	
5902,46	8,4	
5945,54	12,7	
5988,63	21,9	
6031,71	20,0	
6074,79	9,0	
6117,88	7,1	
6160,96	5,9	
6204,04	6,3	
6247,13	6,3	
6290,21	5,3	
6333,3	6,2	
6376,38	7,0	
6419,46	7,0	
6462,55	5,9	
6505,63	6,1	
6548,71	5,5	
6591,8	7,3	
6634,88	8,7	
6677,96	8,7	
6721,05	10,2	
6764,13	10,9	
6807,22	10,8	
6850,3	11,6	
6893,38	13,9	
6936,47	20,6	
6979,55	27,9	
7022,63	27,0	
7065,72	20,9	
7108,8	16,5	
7151,88	15,5	
7194,97	16,2	
7238,05	16,8	
7281,14	17,3	
7324,22	16,7	
7367,3	17,6	
7410,39	18,1	
7453,47	18,4	
7496,55	18,3	
7539,64	17,3	
7582,72	16,5	
7625,8	18,3	
7668,89	18,7	
7711,97	17,3	
7755,06	18,5	
7798,14	18,7	
7841,22	17,7	
7884,31	18,3	
7927,39	17,9	
7970,47	18,1	
8013,56	17,6	
8056,64	17,7	
8099,72	16,3	
8142,81	16,4	
8185,89	16,7	
8228,98	16,1	
8272,06	15,4	
8315,14	14,8	
8358,23	14,4	
8401,31	14,5	
8444,39	15,6	
8487,48	15,1	
8530,56	15,2	
8573,64	14,3	
8616,73	14,1	
8659,81	14,4	
8702,9	15,2	
8745,98	14,4	
8789,06	13,4	
8832,15	13,5	
8875,23	14,2	
8918,31	14,5	
8961,4	14,7	
9004,48	14,0	
9047,56	14,5	
9090,65	14,1	
9133,73	13,9	
9176,82	13,6	
9219,9	14,9	
9262,98	15,3	
9306,07	14,8	
9349,15	14,7	
9392,23	15,0	
9435,32	14,3	
9478,4	13,5	
9521,48	14,0	
9564,57	13,9	
9607,65	13,4	
9650,74	13,8	
9693,82	13,9	
9736,9	13,8	
9779,99	13,2	
9823,07	13,3	
9866,15	13,6	
9909,24	12,9	
9952,32	15,4	
9995,4	22,9	
10038,5	20,1	
10081,6	13,7	
10124,7	13,3	
10167,7	12,8	
10210,8	12,3	
10253,9	12,7	
10297	13,1	
10340,1	12,7	
10383,2	12,2	
10426,2	12,7	
10469,3	12,4	
10512,4	12,7	
10555,5	12,9	
10598,6	13,5	
10641,7	13,2	
10684,7	12,3	
10727,8	12,7	
10770,9	13,5	
10814	11,8	
10857,1	12,7	
10900,2	13,8	
10943,2	13,7	
10986,3	13,4	
11029,4	13,0	
11072,5	12,7	
11115,6	11,9	
11158,7	11,8	
11201,7	12,4	
11244,8	12,5	
11287,9	11,6	
11331	10,6	
11374,1	10,0	
11417,2	10,3	
11460,2	10,3	
11503,3	10,7	
11546,4	11,5	
11589,5	10,2	
11632,6	9,8	
11675,7	9,8	
11718,8	10,1	
11761,8	10,1	
11804,9	9,0	
11848	9,0	
11891,1	9,4	
11934,2	8,1	
11977,3	7,8	
12020,3	8,5	
12063,4	7,6	
12106,5	6,8	
12149,6	6,3	
12192,7	6,6	
12235,8	6,7	
12278,8	5,1	
12321,9	6,0	
12365	4,5	
12408,1	3,5	
12451,2	2,9	
12494,3	1,7	
12537,3	1,0	
12580,4	1,4	
12623,5	1,6	
12666,6	1,2	
12709,7	1,3	
12752,8	1,2	
12795,8	-0,8	
12838,9	-0,9	
12882	-2,3	
12925,1	-2,4	
12968,2	-2,7	
13011,3	-3,9	
13054,3	-4,6	
13097,4	-4,2	
13140,5	-4,2	
13183,6	-4,6	
13226,7	-5,6	
13269,8	-5,6	
13312,8	-6,4	
13355,9	-6,4	
13399	-6,7	
13442,1	-7,5	
13485,2	-8,6	
13528,3	-8,9	
13571,3	-8,9	
13614,4	-9,2	
13657,5	-9,0	
13700,6	-9,8	
13743,7	-9,3	
13786,8	-9,3	
13829,8	-10,6	
13872,9	-11,2	
13916	-10,1	
13959,1	-8,6	
14002,2	-6,6	
14045,3	-9,0	
14088,4	-10,8	
14131,4	-10,5	
14174,5	-10,2	
14217,6	-9,6	
14260,7	-8,7	
14303,8	-8,8	
14346,9	-8,4	
14389,9	-9,0	
14433	-8,4	
14476,1	-8,3	
14519,2	-8,6	
14562,3	-6,9	
14605,4	-6,8	
14648,4	-6,3	
14691,5	-6,7	
14734,6	-6,6	
14777,7	-5,8	
14820,8	-6,7	
14863,9	-6,9	
14906,9	-6,6	
14950	-5,7	
14993,1	-5,2	
15036,2	-5,4	
15079,3	-5,7	
15122,4	-5,6	
15165,4	-6,0	
15208,5	-6,3	
15251,6	-5,6	
15294,7	-5,9	
15337,8	-5,7	
15380,9	-6,2	
15423,9	-6,9	
15467	-6,4	
15510,1	-6,3	
15553,2	-6,4	
15596,3	-4,7	
15639,4	-4,5	
15682,4	-4,8	
15725,5	-5,5	
15768,6	-5,8	
15811,7	-5,7	
15854,8	-5,2	
15897,9	-5,8	
15940,9	-5,4	
15984	-3,7	
16027,1	-3,8	
16070,2	-5,5	
16113,3	-5,9	
16156,4	-4,4	
16199,4	-4,9	
16242,5	-4,2	
16285,6	-2,5	
16328,7	-3,8	
16371,8	-4,2	
16414,9	-4,5	
16458	-4,6	
16501	-4,0	
16544,1	-4,2	
16587,2	-5,5	
16630,3	-4,6	
16673,4	-3,4	
16716,5	-4,0	
16759,5	-3,6	
16802,6	-2,6	
16845,7	-3,3	
16888,8	-4,1	
16931,9	-4,3	
16975	-4,6	
17018	-4,3	
17061,1	-3,7	
17104,2	-3,8	
17147,3	-4,8	
17190,4	-3,4	
