Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	54,2	
0	-Inf	
43,0836	28,1	
86,1673	37,6	
129,251	42,1	
172,335	42,6	
215,418	42,1	
258,502	42,5	
301,585	42,6	
344,669	40,3	
387,753	36,7	
430,836	35,7	
473,92	34,1	
517,004	32,7	
560,087	31,0	
603,171	29,4	
646,255	27,8	
689,338	29,2	
732,422	29,6	
775,506	28,0	
818,589	27,1	
861,673	27,5	
904,756	28,6	
947,84	31,2	
990,924	31,5	
1034,01	30,5	
1077,09	28,6	
1120,17	26,7	
1163,26	27,6	
1206,34	29,6	
1249,43	29,0	
1292,51	26,4	
1335,59	27,1	
1378,68	27,3	
1421,76	27,6	
1464,84	28,9	
1507,93	27,2	
1551,01	25,7	
1594,09	26,0	
1637,18	26,0	
1680,26	25,1	
1723,35	24,2	
1766,43	26,1	
1809,51	25,9	
1852,6	25,1	
1895,68	25,5	
1938,76	38,4	
1981,85	51,2	
2024,93	50,6	
2068,01	35,8	
2111,1	23,4	
2154,18	21,9	
2197,27	21,1	
2240,35	21,3	
2283,43	20,7	
2326,52	20,3	
2369,6	20,9	
2412,68	19,9	
2455,77	19,1	
2498,85	19,5	
2541,93	18,8	
2585,02	18,7	
2628,1	19,3	
2671,19	18,1	
2714,27	17,1	
2757,35	17,8	
2800,44	17,3	
2843,52	18,0	
2886,6	17,5	
2929,69	17,0	
2972,77	18,4	
3015,85	18,5	
3058,94	17,5	
3102,02	17,1	
3145,11	17,4	
3188,19	17,6	
3231,27	17,7	
3274,36	17,0	
3317,44	16,5	
3360,52	17,2	
3403,61	16,7	
3446,69	16,8	
3489,77	15,6	
3532,86	15,6	
3575,94	16,6	
3619,03	16,9	
3662,11	16,7	
3705,19	15,7	
3748,28	17,1	
3791,36	16,4	
3834,44	15,5	
3877,53	14,6	
3920,61	15,8	
3963,69	16,2	
4006,78	16,0	
4049,86	15,2	
4092,95	14,9	
4136,03	14,8	
4179,11	14,2	
4222,2	14,0	
4265,28	14,3	
4308,36	13,9	
4351,45	13,0	
4394,53	13,0	
4437,62	12,8	
4480,7	12,5	
4523,78	12,5	
4566,87	12,6	
4609,95	12,5	
4653,03	12,3	
4696,12	12,6	
4739,2	12,7	
4782,28	12,9	
4825,37	12,9	
4868,45	12,1	
4911,54	11,9	
4954,62	12,0	
4997,7	11,6	
5040,79	11,8	
5083,87	12,8	
5126,95	12,8	
5170,04	12,3	
5213,12	11,5	
5256,2	12,9	
5299,29	12,6	
5342,37	12,0	
5385,46	12,7	
5428,54	12,6	
5471,62	12,1	
5514,71	11,7	
5557,79	12,6	
5600,87	11,7	
5643,96	10,3	
5687,04	10,2	
5730,12	9,9	
5773,21	9,2	
5816,29	9,1	
5859,38	8,9	
5902,46	9,9	
5945,54	12,0	
5988,63	17,1	
6031,71	15,2	
6074,79	8,6	
6117,88	8,1	
6160,96	8,5	
6204,04	8,9	
6247,13	9,7	
6290,21	7,3	
6333,3	6,8	
6376,38	7,4	
6419,46	8,2	
6462,55	7,8	
6505,63	6,9	
6548,71	8,5	
6591,8	8,4	
6634,88	9,1	
6677,96	10,1	
6721,05	10,8	
6764,13	11,3	
6807,22	10,6	
6850,3	11,5	
6893,38	13,4	
6936,47	18,3	
6979,55	23,6	
7022,63	22,8	
7065,72	19,4	
7108,8	15,1	
7151,88	16,2	
7194,97	17,1	
7238,05	16,3	
7281,14	15,1	
7324,22	16,6	
7367,3	17,6	
7410,39	17,8	
7453,47	17,8	
7496,55	18,7	
7539,64	18,4	
7582,72	18,0	
7625,8	17,7	
7668,89	18,2	
7711,97	18,6	
7755,06	18,8	
7798,14	17,2	
7841,22	16,8	
7884,31	16,2	
7927,39	16,9	
7970,47	18,1	
8013,56	17,1	
8056,64	17,1	
8099,72	16,2	
8142,81	16,7	
8185,89	16,3	
8228,98	15,8	
8272,06	15,7	
8315,14	15,8	
8358,23	16,4	
8401,31	15,6	
8444,39	14,8	
8487,48	14,2	
8530,56	13,8	
8573,64	14,0	
8616,73	14,4	
8659,81	13,7	
8702,9	13,7	
8745,98	14,6	
8789,06	14,4	
8832,15	14,2	
8875,23	14,7	
8918,31	14,6	
8961,4	14,4	
9004,48	14,4	
9047,56	14,3	
9090,65	14,2	
9133,73	13,9	
9176,82	13,2	
9219,9	14,2	
9262,98	13,6	
9306,07	14,2	
9349,15	14,0	
9392,23	13,5	
9435,32	13,6	
9478,4	13,4	
9521,48	13,2	
9564,57	12,9	
9607,65	12,9	
9650,74	13,6	
9693,82	14,0	
9736,9	14,0	
9779,99	13,2	
9823,07	13,1	
9866,15	13,1	
9909,24	13,9	
9952,32	13,9	
9995,4	13,6	
10038,5	13,6	
10081,6	14,0	
10124,7	12,0	
10167,7	12,1	
10210,8	13,0	
10253,9	12,8	
10297	13,0	
10340,1	12,1	
10383,2	12,3	
10426,2	13,2	
10469,3	13,6	
10512,4	12,5	
10555,5	12,7	
10598,6	12,5	
10641,7	12,6	
10684,7	12,8	
10727,8	13,7	
10770,9	13,4	
10814	12,8	
10857,1	12,9	
10900,2	12,1	
10943,2	11,2	
10986,3	12,0	
11029,4	12,0	
11072,5	12,7	
11115,6	12,1	
11158,7	11,5	
11201,7	12,4	
11244,8	12,2	
11287,9	11,9	
11331	12,3	
11374,1	11,5	
11417,2	10,9	
11460,2	10,5	
11503,3	10,5	
11546,4	10,8	
11589,5	10,2	
11632,6	10,7	
11675,7	10,0	
11718,8	10,0	
11761,8	9,5	
11804,9	8,2	
11848	9,1	
11891,1	8,6	
11934,2	8,6	
11977,3	8,2	
12020,3	7,9	
12063,4	7,5	
12106,5	6,9	
12149,6	7,1	
12192,7	5,8	
12235,8	5,4	
12278,8	4,4	
12321,9	4,7	
12365	4,4	
12408,1	3,1	
12451,2	3,1	
12494,3	2,1	
12537,3	2,4	
12580,4	2,9	
12623,5	1,8	
12666,6	1,3	
12709,7	0,9	
12752,8	-0,1	
12795,8	-0,2	
12838,9	-0,3	
12882	-0,7	
12925,1	-2,7	
12968,2	-3,1	
13011,3	-3,9	
13054,3	-3,8	
13097,4	-4,7	
13140,5	-4,8	
13183,6	-4,2	
13226,7	-4,5	
13269,8	-6,5	
13312,8	-7,6	
13355,9	-7,0	
13399	-6,3	
13442,1	-6,8	
13485,2	-7,1	
13528,3	-8,0	
13571,3	-8,6	
13614,4	-8,4	
13657,5	-9,0	
13700,6	-9,9	
13743,7	-10,2	
13786,8	-11,4	
13829,8	-11,0	
13872,9	-10,9	
13916	-10,3	
13959,1	-8,3	
14002,2	-7,6	
14045,3	-6,6	
14088,4	-8,3	
14131,4	-9,0	
14174,5	-9,9	
14217,6	-10,0	
14260,7	-8,4	
14303,8	-7,8	
14346,9	-8,5	
14389,9	-7,8	
14433	-6,9	
14476,1	-8,0	
14519,2	-7,6	
14562,3	-7,4	
14605,4	-6,7	
14648,4	-6,7	
14691,5	-8,4	
14734,6	-7,0	
14777,7	-6,8	
14820,8	-6,6	
14863,9	-7,3	
14906,9	-6,8	
14950	-5,9	
14993,1	-5,9	
15036,2	-5,7	
15079,3	-6,2	
15122,4	-5,3	
15165,4	-4,8	
15208,5	-5,7	
15251,6	-6,0	
15294,7	-6,8	
15337,8	-6,8	
15380,9	-6,3	
15423,9	-5,9	
15467	-6,1	
15510,1	-6,3	
15553,2	-6,2	
15596,3	-8,0	
15639,4	-7,1	
15682,4	-6,1	
15725,5	-4,9	
15768,6	-4,8	
15811,7	-5,1	
15854,8	-5,3	
15897,9	-5,5	
15940,9	-4,8	
15984	-4,4	
16027,1	-4,5	
16070,2	-5,4	
16113,3	-5,4	
16156,4	-3,6	
16199,4	-3,7	
16242,5	-5,7	
16285,6	-5,1	
16328,7	-4,1	
16371,8	-2,9	
16414,9	-3,9	
16458	-4,9	
16501	-4,1	
16544,1	-5,1	
16587,2	-4,6	
16630,3	-3,8	
16673,4	-3,4	
16716,5	-3,4	
16759,5	-4,0	
16802,6	-3,7	
16845,7	-4,0	
16888,8	-4,8	
16931,9	-3,8	
16975	-4,3	
17018	-4,3	
17061,1	-3,7	
17104,2	-4,4	
17147,3	-4,5	
17190,4	-3,4	
