Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	81,2	
0	-Inf	
43,0836	27,7	
86,1673	37,8	
129,251	42,3	
172,335	42,3	
215,418	39,9	
258,502	39,8	
301,585	41,0	
344,669	38,4	
387,753	35,5	
430,836	34,8	
473,92	33,9	
517,004	32,1	
560,087	31,5	
603,171	32,1	
646,255	29,1	
689,338	28,7	
732,422	29,2	
775,506	27,8	
818,589	27,8	
861,673	26,5	
904,756	26,8	
947,84	27,9	
990,924	29,3	
1034,01	28,6	
1077,09	25,5	
1120,17	26,4	
1163,26	27,3	
1206,34	27,7	
1249,43	28,2	
1292,51	26,0	
1335,59	25,3	
1378,68	25,3	
1421,76	28,2	
1464,84	29,8	
1507,93	26,7	
1551,01	26,8	
1594,09	27,4	
1637,18	27,7	
1680,26	28,8	
1723,35	28,1	
1766,43	31,4	
1809,51	35,0	
1852,6	39,9	
1895,68	48,9	
1938,76	67,0	
1981,85	79,8	
2024,93	79,2	
2068,01	63,9	
2111,1	47,9	
2154,18	38,6	
2197,27	32,4	
2240,35	28,4	
2283,43	26,5	
2326,52	23,7	
2369,6	21,3	
2412,68	21,8	
2455,77	19,1	
2498,85	22,4	
2541,93	22,2	
2585,02	19,9	
2628,1	21,8	
2671,19	21,1	
2714,27	18,7	
2757,35	19,1	
2800,44	19,3	
2843,52	18,6	
2886,6	19,0	
2929,69	17,0	
2972,77	17,3	
3015,85	18,2	
3058,94	17,5	
3102,02	19,1	
3145,11	19,6	
3188,19	19,9	
3231,27	21,3	
3274,36	19,8	
3317,44	16,7	
3360,52	16,4	
3403,61	15,6	
3446,69	16,1	
3489,77	16,7	
3532,86	16,3	
3575,94	16,4	
3619,03	16,3	
3662,11	15,7	
3705,19	16,4	
3748,28	15,9	
3791,36	16,4	
3834,44	18,8	
3877,53	23,4	
3920,61	35,0	
3963,69	62,9	
4006,78	67,4	
4049,86	59,8	
4092,95	31,5	
4136,03	20,9	
4179,11	16,8	
4222,2	15,4	
4265,28	14,8	
4308,36	15,4	
4351,45	14,8	
4394,53	14,4	
4437,62	15,8	
4480,7	14,6	
4523,78	14,3	
4566,87	14,2	
4609,95	13,3	
4653,03	14,4	
4696,12	15,0	
4739,2	14,3	
4782,28	14,9	
4825,37	14,8	
4868,45	14,2	
4911,54	14,1	
4954,62	13,2	
4997,7	12,8	
5040,79	13,6	
5083,87	12,7	
5126,95	12,5	
5170,04	13,9	
5213,12	13,9	
5256,2	14,9	
5299,29	14,5	
5342,37	13,3	
5385,46	14,8	
5428,54	15,0	
5471,62	13,6	
5514,71	13,1	
5557,79	12,1	
5600,87	11,8	
5643,96	11,9	
5687,04	11,5	
5730,12	13,8	
5773,21	12,7	
5816,29	11,2	
5859,38	15,9	
5902,46	24,0	
5945,54	44,2	
5988,63	54,9	
6031,71	52,9	
6074,79	34,6	
6117,88	19,9	
6160,96	12,6	
6204,04	9,3	
6247,13	8,2	
6290,21	7,4	
6333,3	6,2	
6376,38	6,7	
6419,46	7,6	
6462,55	6,7	
6505,63	6,9	
6548,71	7,2	
6591,8	9,0	
6634,88	8,8	
6677,96	9,4	
6721,05	9,9	
6764,13	10,9	
6807,22	12,5	
6850,3	13,8	
6893,38	14,6	
6936,47	18,1	
6979,55	23,6	
7022,63	23,4	
7065,72	18,0	
7108,8	15,7	
7151,88	15,9	
7194,97	16,6	
7238,05	16,7	
7281,14	16,7	
7324,22	17,1	
7367,3	16,6	
7410,39	17,0	
7453,47	16,9	
7496,55	18,2	
7539,64	19,3	
7582,72	19,4	
7625,8	18,3	
7668,89	17,2	
7711,97	16,6	
7755,06	16,4	
7798,14	17,0	
7841,22	18,0	
7884,31	18,4	
7927,39	22,4	
7970,47	41,1	
8013,56	44,2	
8056,64	34,9	
8099,72	17,8	
8142,81	16,8	
8185,89	16,0	
8228,98	15,8	
8272,06	15,1	
8315,14	16,3	
8358,23	15,3	
8401,31	15,0	
8444,39	15,1	
8487,48	14,4	
8530,56	14,5	
8573,64	13,4	
8616,73	13,4	
8659,81	13,1	
8702,9	14,2	
8745,98	12,8	
8789,06	14,0	
8832,15	14,0	
8875,23	14,2	
8918,31	14,3	
8961,4	14,0	
9004,48	14,1	
9047,56	13,3	
9090,65	13,7	
9133,73	12,9	
9176,82	13,6	
9219,9	13,8	
9262,98	13,4	
9306,07	13,4	
9349,15	13,6	
9392,23	13,6	
9435,32	14,0	
9478,4	14,4	
9521,48	13,1	
9564,57	13,9	
9607,65	14,0	
9650,74	13,3	
9693,82	14,1	
9736,9	14,5	
9779,99	14,4	
9823,07	14,2	
9866,15	13,5	
9909,24	17,0	
9952,32	37,1	
9995,4	46,1	
10038,5	42,7	
10081,6	21,4	
10124,7	13,4	
10167,7	12,4	
10210,8	12,2	
10253,9	12,9	
10297	13,0	
10340,1	13,8	
10383,2	13,8	
10426,2	12,7	
10469,3	13,6	
10512,4	13,1	
10555,5	12,8	
10598,6	13,0	
10641,7	12,7	
10684,7	12,6	
10727,8	13,8	
10770,9	12,8	
10814	12,6	
10857,1	13,4	
10900,2	13,5	
10943,2	12,9	
10986,3	12,3	
11029,4	12,4	
11072,5	12,7	
11115,6	12,4	
11158,7	11,9	
11201,7	12,4	
11244,8	11,3	
11287,9	11,0	
11331	10,5	
11374,1	10,9	
11417,2	10,7	
11460,2	9,8	
11503,3	10,5	
11546,4	10,3	
11589,5	8,9	
11632,6	9,6	
11675,7	10,6	
11718,8	9,3	
11761,8	7,8	
11804,9	8,3	
11848	9,0	
11891,1	9,0	
11934,2	10,9	
11977,3	23,9	
12020,3	25,7	
12063,4	15,7	
12106,5	7,5	
12149,6	6,7	
12192,7	5,7	
12235,8	6,0	
12278,8	4,5	
12321,9	5,0	
12365	4,2	
12408,1	3,9	
12451,2	3,8	
12494,3	2,8	
12537,3	2,5	
12580,4	1,5	
12623,5	1,4	
12666,6	0,6	
12709,7	0,2	
12752,8	0,7	
12795,8	0,7	
12838,9	-0,5	
12882	-2,7	
12925,1	-2,2	
12968,2	-2,5	
13011,3	-3,1	
13054,3	-3,3	
13097,4	-4,1	
13140,5	-3,7	
13183,6	-3,7	
13226,7	-4,8	
13269,8	-6,3	
13312,8	-6,3	
13355,9	-6,8	
13399	-7,5	
13442,1	-7,5	
13485,2	-7,7	
13528,3	-8,2	
13571,3	-8,2	
13614,4	-7,9	
13657,5	-8,1	
13700,6	-8,7	
13743,7	-9,7	
13786,8	-9,7	
13829,8	-8,9	
13872,9	-9,9	
13916	-10,1	
13959,1	9,5	
14002,2	16,5	
14045,3	11,5	
14088,4	-9,6	
14131,4	-10,7	
14174,5	-9,1	
14217,6	-9,3	
14260,7	-10,0	
14303,8	-8,6	
14346,9	-7,9	
14389,9	-9,2	
14433	-8,4	
14476,1	-7,9	
14519,2	-8,9	
14562,3	-8,2	
14605,4	-8,3	
14648,4	-7,0	
14691,5	-6,0	
14734,6	-6,7	
14777,7	-6,6	
14820,8	-6,7	
14863,9	-7,8	
14906,9	-7,2	
14950	-7,0	
14993,1	-6,4	
15036,2	-6,2	
15079,3	-5,9	
15122,4	-5,1	
15165,4	-4,5	
15208,5	-4,8	
15251,6	-6,0	
15294,7	-6,3	
15337,8	-6,5	
15380,9	-6,9	
15423,9	-7,9	
15467	-6,7	
15510,1	-6,9	
15553,2	-7,3	
15596,3	-6,2	
15639,4	-5,0	
15682,4	-6,1	
15725,5	-5,6	
15768,6	-5,6	
15811,7	-5,6	
15854,8	-5,9	
15897,9	-4,7	
15940,9	-1,2	
15984	9,6	
16027,1	9,5	
16070,2	-2,4	
16113,3	-4,4	
16156,4	-4,3	
16199,4	-4,7	
16242,5	-4,1	
16285,6	-2,3	
16328,7	-3,0	
16371,8	-3,4	
16414,9	-4,0	
16458	-4,5	
16501	-3,9	
16544,1	-3,8	
16587,2	-2,6	
16630,3	-3,1	
16673,4	-4,0	
16716,5	-3,9	
16759,5	-4,0	
16802,6	-4,4	
16845,7	-5,0	
16888,8	-6,0	
16931,9	-4,0	
16975	-3,1	
17018	-3,3	
17061,1	-4,5	
17104,2	-4,1	
17147,3	-4,1	
17190,4	-3,4	
