Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	60,6	
0	-Inf	
43,0836	28,3	
86,1673	38,5	
129,251	43,1	
172,335	43,7	
215,418	40,1	
258,502	39,1	
301,585	40,5	
344,669	38,5	
387,753	37,1	
430,836	34,7	
473,92	34,4	
517,004	32,7	
560,087	30,9	
603,171	31,3	
646,255	29,4	
689,338	27,9	
732,422	28,5	
775,506	27,0	
818,589	27,3	
861,673	27,4	
904,756	28,3	
947,84	29,8	
990,924	31,7	
1034,01	31,7	
1077,09	29,4	
1120,17	27,5	
1163,26	27,3	
1206,34	28,4	
1249,43	28,2	
1292,51	26,2	
1335,59	26,1	
1378,68	27,2	
1421,76	28,0	
1464,84	27,9	
1507,93	27,8	
1551,01	26,8	
1594,09	26,4	
1637,18	25,1	
1680,26	24,3	
1723,35	23,9	
1766,43	24,7	
1809,51	25,2	
1852,6	25,1	
1895,68	29,6	
1938,76	46,2	
1981,85	59,1	
2024,93	58,5	
2068,01	43,3	
2111,1	28,4	
2154,18	22,6	
2197,27	22,3	
2240,35	22,4	
2283,43	22,0	
2326,52	20,5	
2369,6	19,3	
2412,68	19,1	
2455,77	18,9	
2498,85	19,2	
2541,93	20,0	
2585,02	20,2	
2628,1	19,9	
2671,19	19,7	
2714,27	17,8	
2757,35	17,8	
2800,44	19,0	
2843,52	19,7	
2886,6	18,5	
2929,69	18,0	
2972,77	18,6	
3015,85	18,5	
3058,94	19,1	
3102,02	19,3	
3145,11	19,8	
3188,19	19,9	
3231,27	18,0	
3274,36	18,6	
3317,44	18,8	
3360,52	19,0	
3403,61	18,7	
3446,69	18,0	
3489,77	17,4	
3532,86	17,4	
3575,94	16,4	
3619,03	16,5	
3662,11	16,0	
3705,19	16,3	
3748,28	17,2	
3791,36	16,9	
3834,44	15,7	
3877,53	16,5	
3920,61	16,1	
3963,69	17,1	
4006,78	17,4	
4049,86	16,1	
4092,95	16,2	
4136,03	17,4	
4179,11	16,8	
4222,2	15,8	
4265,28	16,8	
4308,36	16,8	
4351,45	14,8	
4394,53	13,7	
4437,62	14,4	
4480,7	15,2	
4523,78	15,4	
4566,87	14,4	
4609,95	13,6	
4653,03	13,7	
4696,12	14,1	
4739,2	13,1	
4782,28	13,3	
4825,37	13,6	
4868,45	13,4	
4911,54	13,3	
4954,62	13,4	
4997,7	12,2	
5040,79	13,1	
5083,87	13,8	
5126,95	13,4	
5170,04	13,6	
5213,12	13,5	
5256,2	13,8	
5299,29	12,1	
5342,37	11,6	
5385,46	12,7	
5428,54	12,4	
5471,62	12,2	
5514,71	11,5	
5557,79	11,3	
5600,87	12,1	
5643,96	11,3	
5687,04	13,1	
5730,12	13,4	
5773,21	12,1	
5816,29	11,0	
5859,38	9,6	
5902,46	10,0	
5945,54	10,3	
5988,63	10,1	
6031,71	10,5	
6074,79	9,2	
6117,88	8,6	
6160,96	9,8	
6204,04	9,6	
6247,13	8,6	
6290,21	8,3	
6333,3	7,9	
6376,38	8,1	
6419,46	8,7	
6462,55	8,9	
6505,63	9,2	
6548,71	10,3	
6591,8	10,5	
6634,88	10,8	
6677,96	10,3	
6721,05	10,7	
6764,13	11,9	
6807,22	12,7	
6850,3	12,8	
6893,38	15,3	
6936,47	21,1	
6979,55	28,3	
7022,63	26,8	
7065,72	20,4	
7108,8	16,9	
7151,88	15,1	
7194,97	16,3	
7238,05	15,7	
7281,14	16,7	
7324,22	17,8	
7367,3	16,4	
7410,39	16,6	
7453,47	18,2	
7496,55	17,6	
7539,64	17,4	
7582,72	18,1	
7625,8	18,0	
7668,89	17,5	
7711,97	18,1	
7755,06	18,3	
7798,14	17,6	
7841,22	18,5	
7884,31	18,2	
7927,39	17,6	
7970,47	17,5	
8013,56	16,5	
8056,64	17,6	
8099,72	16,7	
8142,81	15,2	
8185,89	14,8	
8228,98	16,8	
8272,06	16,5	
8315,14	15,0	
8358,23	14,7	
8401,31	13,7	
8444,39	14,2	
8487,48	14,6	
8530,56	14,4	
8573,64	13,5	
8616,73	13,3	
8659,81	13,8	
8702,9	13,5	
8745,98	14,2	
8789,06	14,4	
8832,15	14,0	
8875,23	14,4	
8918,31	14,4	
8961,4	13,6	
9004,48	13,1	
9047,56	14,0	
9090,65	13,6	
9133,73	13,9	
9176,82	13,8	
9219,9	14,0	
9262,98	13,2	
9306,07	12,2	
9349,15	13,4	
9392,23	14,4	
9435,32	14,3	
9478,4	13,7	
9521,48	13,2	
9564,57	13,4	
9607,65	13,8	
9650,74	14,3	
9693,82	14,5	
9736,9	13,4	
9779,99	12,9	
9823,07	13,2	
9866,15	14,5	
9909,24	14,3	
9952,32	13,6	
9995,4	13,2	
10038,5	12,6	
10081,6	13,2	
10124,7	13,2	
10167,7	12,9	
10210,8	13,9	
10253,9	14,0	
10297	13,9	
10340,1	13,8	
10383,2	12,9	
10426,2	13,2	
10469,3	13,4	
10512,4	12,5	
10555,5	13,4	
10598,6	13,2	
10641,7	12,5	
10684,7	13,3	
10727,8	14,7	
10770,9	14,3	
10814	13,5	
10857,1	13,6	
10900,2	13,7	
10943,2	14,0	
10986,3	12,6	
11029,4	11,3	
11072,5	10,9	
11115,6	11,6	
11158,7	12,7	
11201,7	11,6	
11244,8	11,5	
11287,9	11,8	
11331	11,0	
11374,1	10,7	
11417,2	11,7	
11460,2	9,7	
11503,3	9,3	
11546,4	10,2	
11589,5	9,7	
11632,6	9,5	
11675,7	9,4	
11718,8	8,8	
11761,8	8,5	
11804,9	8,8	
11848	9,2	
11891,1	9,4	
11934,2	9,1	
11977,3	9,4	
12020,3	7,8	
12063,4	7,1	
12106,5	6,7	
12149,6	5,3	
12192,7	6,4	
12235,8	6,6	
12278,8	5,1	
12321,9	4,7	
12365	6,0	
12408,1	4,7	
12451,2	4,7	
12494,3	3,8	
12537,3	3,5	
12580,4	2,3	
12623,5	1,6	
12666,6	1,8	
12709,7	1,0	
12752,8	1,1	
12795,8	0,5	
12838,9	-0,9	
12882	-1,3	
12925,1	-2,2	
12968,2	-2,1	
13011,3	-2,8	
13054,3	-3,5	
13097,4	-3,4	
13140,5	-4,3	
13183,6	-5,9	
13226,7	-5,3	
13269,8	-5,8	
13312,8	-6,9	
13355,9	-8,3	
13399	-7,3	
13442,1	-7,5	
13485,2	-7,9	
13528,3	-7,1	
13571,3	-8,2	
13614,4	-9,4	
13657,5	-9,2	
13700,6	-8,9	
13743,7	-10,6	
13786,8	-9,9	
13829,8	-10,4	
13872,9	-11,1	
13916	-10,4	
13959,1	-9,9	
14002,2	-7,4	
14045,3	-7,5	
14088,4	-8,4	
14131,4	-8,4	
14174,5	-7,3	
14217,6	-8,4	
14260,7	-9,3	
14303,8	-8,4	
14346,9	-9,7	
14389,9	-8,9	
14433	-9,1	
14476,1	-8,2	
14519,2	-7,8	
14562,3	-7,1	
14605,4	-7,8	
14648,4	-7,6	
14691,5	-6,8	
14734,6	-5,9	
14777,7	-5,7	
14820,8	-6,4	
14863,9	-6,5	
14906,9	-5,9	
14950	-6,7	
14993,1	-7,2	
15036,2	-7,4	
15079,3	-7,0	
15122,4	-6,2	
15165,4	-6,5	
15208,5	-6,8	
15251,6	-6,2	
15294,7	-5,6	
15337,8	-4,7	
15380,9	-5,4	
15423,9	-5,8	
15467	-6,0	
15510,1	-6,0	
15553,2	-5,3	
15596,3	-5,0	
15639,4	-4,9	
15682,4	-4,7	
15725,5	-5,0	
15768,6	-5,2	
15811,7	-5,2	
15854,8	-4,7	
15897,9	-4,7	
15940,9	-5,2	
15984	-4,4	
16027,1	-4,3	
16070,2	-4,5	
16113,3	-4,3	
16156,4	-4,0	
16199,4	-3,8	
16242,5	-4,0	
16285,6	-4,2	
16328,7	-3,7	
16371,8	-4,0	
16414,9	-3,9	
16458	-2,5	
16501	-1,7	
16544,1	-1,7	
16587,2	-3,1	
16630,3	-3,4	
16673,4	-4,3	
16716,5	-3,4	
16759,5	-3,2	
16802,6	-2,9	
16845,7	-3,1	
16888,8	-3,7	
16931,9	-4,0	
16975	-4,0	
17018	-4,1	
17061,1	-4,1	
17104,2	-4,2	
17147,3	-4,8	
17190,4	-4,8	
