Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	89,2	
0	-Inf	
43,0836	27,8	
86,1673	38,4	
129,251	42,1	
172,335	39,7	
215,418	37,8	
258,502	39,4	
301,585	40,0	
344,669	37,5	
387,753	35,5	
430,836	34,7	
473,92	34,1	
517,004	33,4	
560,087	32,9	
603,171	33,8	
646,255	30,3	
689,338	29,9	
732,422	29,8	
775,506	28,4	
818,589	28,8	
861,673	27,4	
904,756	27,1	
947,84	29,4	
990,924	29,3	
1034,01	28,2	
1077,09	27,9	
1120,17	26,0	
1163,26	27,5	
1206,34	28,1	
1249,43	27,3	
1292,51	26,0	
1335,59	25,9	
1378,68	26,4	
1421,76	27,6	
1464,84	29,0	
1507,93	27,8	
1551,01	29,2	
1594,09	28,3	
1637,18	27,2	
1680,26	30,3	
1723,35	31,3	
1766,43	36,3	
1809,51	40,9	
1852,6	47,6	
1895,68	57,4	
1938,76	75,2	
1981,85	88,0	
2024,93	87,4	
2068,01	72,1	
2111,1	56,0	
2154,18	47,0	
2197,27	40,2	
2240,35	34,5	
2283,43	31,7	
2326,52	27,6	
2369,6	25,2	
2412,68	22,4	
2455,77	22,0	
2498,85	22,7	
2541,93	23,0	
2585,02	18,9	
2628,1	21,7	
2671,19	20,5	
2714,27	19,8	
2757,35	20,5	
2800,44	18,6	
2843,52	20,0	
2886,6	19,7	
2929,69	18,6	
2972,77	17,2	
3015,85	18,0	
3058,94	21,0	
3102,02	21,4	
3145,11	18,4	
3188,19	23,6	
3231,27	23,8	
3274,36	18,2	
3317,44	16,8	
3360,52	16,8	
3403,61	16,4	
3446,69	17,1	
3489,77	17,1	
3532,86	15,7	
3575,94	16,2	
3619,03	16,9	
3662,11	16,1	
3705,19	17,4	
3748,28	16,5	
3791,36	16,7	
3834,44	18,1	
3877,53	16,7	
3920,61	16,6	
3963,69	25,3	
4006,78	29,7	
4049,86	22,7	
4092,95	16,6	
4136,03	15,2	
4179,11	15,1	
4222,2	16,0	
4265,28	14,0	
4308,36	14,8	
4351,45	15,3	
4394,53	14,0	
4437,62	14,4	
4480,7	12,6	
4523,78	13,9	
4566,87	15,8	
4609,95	13,9	
4653,03	13,5	
4696,12	14,7	
4739,2	13,3	
4782,28	15,0	
4825,37	15,3	
4868,45	14,4	
4911,54	14,0	
4954,62	13,7	
4997,7	13,3	
5040,79	13,4	
5083,87	13,2	
5126,95	12,2	
5170,04	12,7	
5213,12	12,7	
5256,2	12,7	
5299,29	13,5	
5342,37	12,9	
5385,46	13,5	
5428,54	12,5	
5471,62	11,8	
5514,71	13,0	
5557,79	12,8	
5600,87	11,2	
5643,96	11,4	
5687,04	11,0	
5730,12	10,2	
5773,21	10,9	
5816,29	8,2	
5859,38	6,1	
5902,46	8,5	
5945,54	14,9	
5988,63	24,1	
6031,71	21,9	
6074,79	8,7	
6117,88	8,7	
6160,96	7,3	
6204,04	6,7	
6247,13	7,9	
6290,21	7,1	
6333,3	6,7	
6376,38	7,2	
6419,46	6,5	
6462,55	7,2	
6505,63	8,6	
6548,71	9,1	
6591,8	9,4	
6634,88	9,6	
6677,96	9,5	
6721,05	10,4	
6764,13	10,1	
6807,22	11,2	
6850,3	12,4	
6893,38	11,7	
6936,47	15,0	
6979,55	18,9	
7022,63	18,8	
7065,72	14,2	
7108,8	14,0	
7151,88	14,7	
7194,97	15,1	
7238,05	16,1	
7281,14	17,8	
7324,22	17,8	
7367,3	17,7	
7410,39	18,2	
7453,47	17,3	
7496,55	17,4	
7539,64	18,2	
7582,72	18,1	
7625,8	18,1	
7668,89	17,5	
7711,97	18,8	
7755,06	18,5	
7798,14	17,5	
7841,22	18,6	
7884,31	18,9	
7927,39	17,6	
7970,47	17,9	
8013,56	18,0	
8056,64	17,8	
8099,72	17,7	
8142,81	17,3	
8185,89	16,7	
8228,98	17,0	
8272,06	16,8	
8315,14	15,7	
8358,23	15,6	
8401,31	15,8	
8444,39	16,2	
8487,48	16,4	
8530,56	15,8	
8573,64	14,5	
8616,73	14,5	
8659,81	14,4	
8702,9	15,1	
8745,98	14,4	
8789,06	15,0	
8832,15	14,3	
8875,23	13,4	
8918,31	13,6	
8961,4	13,1	
9004,48	14,8	
9047,56	13,4	
9090,65	13,9	
9133,73	13,1	
9176,82	14,6	
9219,9	14,5	
9262,98	14,4	
9306,07	15,4	
9349,15	15,3	
9392,23	14,0	
9435,32	12,8	
9478,4	13,9	
9521,48	14,7	
9564,57	15,6	
9607,65	13,8	
9650,74	12,0	
9693,82	13,6	
9736,9	13,9	
9779,99	13,8	
9823,07	13,2	
9866,15	11,2	
9909,24	12,7	
9952,32	12,3	
9995,4	13,1	
10038,5	13,3	
10081,6	13,8	
10124,7	13,4	
10167,7	11,2	
10210,8	12,6	
10253,9	13,8	
10297	12,6	
10340,1	12,8	
10383,2	13,3	
10426,2	13,5	
10469,3	13,1	
10512,4	13,5	
10555,5	13,5	
10598,6	12,0	
10641,7	12,6	
10684,7	13,1	
10727,8	13,2	
10770,9	13,9	
10814	13,6	
10857,1	13,3	
10900,2	12,7	
10943,2	12,2	
10986,3	12,9	
11029,4	13,1	
11072,5	12,2	
11115,6	12,1	
11158,7	13,0	
11201,7	13,1	
11244,8	12,3	
11287,9	12,1	
11331	12,4	
11374,1	11,4	
11417,2	11,0	
11460,2	10,5	
11503,3	9,6	
11546,4	10,0	
11589,5	10,2	
11632,6	10,7	
11675,7	9,8	
11718,8	8,8	
11761,8	8,9	
11804,9	7,8	
11848	9,3	
11891,1	8,7	
11934,2	6,9	
11977,3	8,7	
12020,3	8,1	
12063,4	7,1	
12106,5	6,9	
12149,6	5,1	
12192,7	5,4	
12235,8	5,8	
12278,8	5,5	
12321,9	4,4	
12365	2,2	
12408,1	3,3	
12451,2	3,3	
12494,3	3,0	
12537,3	2,5	
12580,4	3,6	
12623,5	1,9	
12666,6	1,0	
12709,7	-0,5	
12752,8	-1,8	
12795,8	-2,8	
12838,9	-2,3	
12882	-2,1	
12925,1	-2,2	
12968,2	-3,5	
13011,3	-4,6	
13054,3	-5,6	
13097,4	-5,0	
13140,5	-5,3	
13183,6	-3,4	
13226,7	-3,6	
13269,8	-5,0	
13312,8	-5,9	
13355,9	-5,1	
13399	-6,2	
13442,1	-8,0	
13485,2	-7,3	
13528,3	-8,3	
13571,3	-9,6	
13614,4	-8,5	
13657,5	-8,2	
13700,6	-8,0	
13743,7	-8,6	
13786,8	-9,1	
13829,8	-8,9	
13872,9	-9,5	
13916	-9,3	
13959,1	-8,3	
14002,2	-8,9	
14045,3	-9,3	
14088,4	-9,8	
14131,4	-9,5	
14174,5	-10,2	
14217,6	-9,3	
14260,7	-9,1	
14303,8	-8,9	
14346,9	-8,8	
14389,9	-8,2	
14433	-8,1	
14476,1	-8,9	
14519,2	-9,1	
14562,3	-8,8	
14605,4	-7,2	
14648,4	-7,3	
14691,5	-7,4	
14734,6	-8,5	
14777,7	-9,8	
14820,8	-7,6	
14863,9	-6,5	
14906,9	-6,0	
14950	-6,6	
14993,1	-7,7	
15036,2	-7,9	
15079,3	-8,0	
15122,4	-6,3	
15165,4	-5,5	
15208,5	-6,2	
15251,6	-5,5	
15294,7	-6,6	
15337,8	-5,8	
15380,9	-5,4	
15423,9	-5,3	
15467	-6,8	
15510,1	-5,1	
15553,2	-5,0	
15596,3	-6,0	
15639,4	-5,4	
15682,4	-4,1	
15725,5	-3,9	
15768,6	-5,2	
15811,7	-5,3	
15854,8	-6,2	
15897,9	-5,5	
15940,9	-5,6	
15984	-4,2	
16027,1	-3,6	
16070,2	-4,2	
16113,3	-3,9	
16156,4	-3,1	
16199,4	-4,1	
16242,5	-3,8	
16285,6	-4,2	
16328,7	-4,8	
16371,8	-3,9	
16414,9	-3,2	
16458	-3,1	
16501	-4,4	
16544,1	-3,8	
16587,2	-5,2	
16630,3	-4,3	
16673,4	-4,5	
16716,5	-4,4	
16759,5	-3,3	
16802,6	-3,7	
16845,7	-3,7	
16888,8	-4,0	
16931,9	-5,8	
16975	-4,4	
17018	-3,5	
17061,1	-3,5	
17104,2	-3,7	
17147,3	-3,1	
17190,4	-5,1	
