Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	57,7	
0	-Inf	
43,0836	27,6	
86,1673	37,9	
129,251	41,9	
172,335	41,3	
215,418	40,4	
258,502	39,4	
301,585	40,4	
344,669	39,4	
387,753	37,5	
430,836	36,4	
473,92	34,9	
517,004	33,1	
560,087	31,0	
603,171	28,1	
646,255	27,1	
689,338	28,2	
732,422	28,1	
775,506	27,9	
818,589	27,4	
861,673	26,6	
904,756	27,7	
947,84	29,8	
990,924	31,1	
1034,01	31,3	
1077,09	29,1	
1120,17	26,1	
1163,26	26,5	
1206,34	28,7	
1249,43	29,4	
1292,51	26,4	
1335,59	24,0	
1378,68	27,5	
1421,76	28,5	
1464,84	27,4	
1507,93	27,2	
1551,01	26,8	
1594,09	26,5	
1637,18	25,7	
1680,26	23,6	
1723,35	24,6	
1766,43	25,7	
1809,51	25,7	
1852,6	24,0	
1895,68	27,9	
1938,76	43,0	
1981,85	55,9	
2024,93	55,2	
2068,01	39,9	
2111,1	26,0	
2154,18	20,9	
2197,27	20,2	
2240,35	20,3	
2283,43	18,5	
2326,52	19,1	
2369,6	19,4	
2412,68	18,8	
2455,77	18,8	
2498,85	18,7	
2541,93	17,5	
2585,02	18,7	
2628,1	19,2	
2671,19	17,4	
2714,27	16,5	
2757,35	17,2	
2800,44	16,9	
2843,52	17,0	
2886,6	17,1	
2929,69	17,1	
2972,77	17,9	
3015,85	19,2	
3058,94	17,5	
3102,02	17,3	
3145,11	16,1	
3188,19	14,5	
3231,27	16,7	
3274,36	16,8	
3317,44	17,4	
3360,52	16,1	
3403,61	15,5	
3446,69	16,7	
3489,77	14,7	
3532,86	14,2	
3575,94	15,5	
3619,03	14,4	
3662,11	15,7	
3705,19	14,1	
3748,28	14,6	
3791,36	15,1	
3834,44	14,6	
3877,53	13,7	
3920,61	13,6	
3963,69	13,9	
4006,78	14,9	
4049,86	14,6	
4092,95	13,6	
4136,03	14,0	
4179,11	12,4	
4222,2	13,0	
4265,28	13,0	
4308,36	13,6	
4351,45	14,5	
4394,53	14,4	
4437,62	13,4	
4480,7	13,2	
4523,78	11,5	
4566,87	12,6	
4609,95	14,0	
4653,03	13,5	
4696,12	12,9	
4739,2	11,8	
4782,28	11,1	
4825,37	11,1	
4868,45	10,1	
4911,54	10,1	
4954,62	10,9	
4997,7	11,9	
5040,79	11,8	
5083,87	10,4	
5126,95	10,1	
5170,04	10,8	
5213,12	11,6	
5256,2	11,8	
5299,29	12,2	
5342,37	11,6	
5385,46	11,1	
5428,54	10,9	
5471,62	10,7	
5514,71	12,4	
5557,79	10,9	
5600,87	11,0	
5643,96	11,7	
5687,04	10,7	
5730,12	9,4	
5773,21	8,9	
5816,29	8,5	
5859,38	9,3	
5902,46	9,7	
5945,54	8,8	
5988,63	7,1	
6031,71	6,6	
6074,79	6,8	
6117,88	6,1	
6160,96	5,6	
6204,04	4,8	
6247,13	5,7	
6290,21	6,2	
6333,3	6,3	
6376,38	6,6	
6419,46	8,3	
6462,55	7,2	
6505,63	7,6	
6548,71	8,0	
6591,8	8,7	
6634,88	8,9	
6677,96	8,6	
6721,05	7,8	
6764,13	9,8	
6807,22	9,2	
6850,3	11,7	
6893,38	14,9	
6936,47	15,6	
6979,55	22,7	
7022,63	25,2	
7065,72	22,2	
7108,8	17,2	
7151,88	13,5	
7194,97	14,8	
7238,05	17,3	
7281,14	16,9	
7324,22	16,7	
7367,3	17,6	
7410,39	19,3	
7453,47	18,7	
7496,55	18,1	
7539,64	18,6	
7582,72	17,8	
7625,8	17,8	
7668,89	17,6	
7711,97	16,8	
7755,06	16,4	
7798,14	18,0	
7841,22	18,0	
7884,31	17,3	
7927,39	16,8	
7970,47	16,5	
8013,56	16,5	
8056,64	15,9	
8099,72	17,3	
8142,81	16,8	
8185,89	15,6	
8228,98	15,2	
8272,06	15,7	
8315,14	15,1	
8358,23	15,4	
8401,31	14,8	
8444,39	13,5	
8487,48	14,3	
8530,56	14,3	
8573,64	13,9	
8616,73	14,7	
8659,81	14,2	
8702,9	13,0	
8745,98	11,2	
8789,06	12,6	
8832,15	14,5	
8875,23	13,8	
8918,31	14,2	
8961,4	14,6	
9004,48	13,8	
9047,56	12,1	
9090,65	14,2	
9133,73	14,8	
9176,82	13,5	
9219,9	13,6	
9262,98	14,1	
9306,07	13,2	
9349,15	14,0	
9392,23	14,4	
9435,32	14,0	
9478,4	13,2	
9521,48	12,8	
9564,57	12,7	
9607,65	13,8	
9650,74	13,9	
9693,82	13,7	
9736,9	14,1	
9779,99	14,4	
9823,07	14,5	
9866,15	13,3	
9909,24	13,3	
9952,32	14,2	
9995,4	13,1	
10038,5	13,0	
10081,6	13,6	
10124,7	13,6	
10167,7	13,7	
10210,8	13,3	
10253,9	12,2	
10297	12,1	
10340,1	12,1	
10383,2	12,6	
10426,2	12,2	
10469,3	13,0	
10512,4	13,4	
10555,5	12,6	
10598,6	13,1	
10641,7	14,0	
10684,7	12,2	
10727,8	11,8	
10770,9	11,7	
10814	13,2	
10857,1	13,3	
10900,2	12,6	
10943,2	12,9	
10986,3	13,3	
11029,4	12,9	
11072,5	12,0	
11115,6	12,0	
11158,7	12,5	
11201,7	12,6	
11244,8	12,8	
11287,9	12,0	
11331	11,9	
11374,1	10,9	
11417,2	9,4	
11460,2	9,6	
11503,3	10,2	
11546,4	10,5	
11589,5	9,3	
11632,6	9,6	
11675,7	10,5	
11718,8	9,7	
11761,8	9,1	
11804,9	9,3	
11848	7,7	
11891,1	8,4	
11934,2	8,1	
11977,3	8,3	
12020,3	8,2	
12063,4	8,1	
12106,5	7,4	
12149,6	6,9	
12192,7	6,5	
12235,8	5,9	
12278,8	6,8	
12321,9	5,4	
12365	5,0	
12408,1	4,3	
12451,2	3,3	
12494,3	3,5	
12537,3	3,8	
12580,4	2,8	
12623,5	2,1	
12666,6	0,9	
12709,7	1,4	
12752,8	-0,0	
12795,8	-0,4	
12838,9	-0,3	
12882	-0,7	
12925,1	-2,8	
12968,2	-1,9	
13011,3	-3,0	
13054,3	-3,5	
13097,4	-3,7	
13140,5	-3,6	
13183,6	-4,1	
13226,7	-5,9	
13269,8	-6,5	
13312,8	-6,5	
13355,9	-6,9	
13399	-8,2	
13442,1	-8,8	
13485,2	-9,0	
13528,3	-7,6	
13571,3	-6,5	
13614,4	-7,6	
13657,5	-8,8	
13700,6	-8,4	
13743,7	-9,1	
13786,8	-9,4	
13829,8	-9,7	
13872,9	-10,2	
13916	-10,9	
13959,1	-11,2	
14002,2	-10,0	
14045,3	-7,3	
14088,4	-7,1	
14131,4	-10,0	
14174,5	-10,1	
14217,6	-10,0	
14260,7	-9,4	
14303,8	-8,3	
14346,9	-7,7	
14389,9	-8,2	
14433	-7,7	
14476,1	-8,2	
14519,2	-7,2	
14562,3	-7,6	
14605,4	-7,9	
14648,4	-7,5	
14691,5	-7,0	
14734,6	-6,5	
14777,7	-6,0	
14820,8	-6,4	
14863,9	-7,5	
14906,9	-7,4	
14950	-7,1	
14993,1	-7,4	
15036,2	-7,2	
15079,3	-6,8	
15122,4	-5,4	
15165,4	-5,4	
15208,5	-4,6	
15251,6	-6,6	
15294,7	-6,2	
15337,8	-6,2	
15380,9	-5,4	
15423,9	-4,8	
15467	-4,1	
15510,1	-4,5	
15553,2	-5,4	
15596,3	-5,7	
15639,4	-6,3	
15682,4	-5,0	
15725,5	-4,9	
15768,6	-6,1	
15811,7	-5,4	
15854,8	-5,3	
15897,9	-4,2	
15940,9	-3,2	
15984	-4,0	
16027,1	-3,8	
16070,2	-3,0	
16113,3	-2,4	
16156,4	-3,1	
16199,4	-4,3	
16242,5	-4,0	
16285,6	-4,3	
16328,7	-3,6	
16371,8	-4,9	
16414,9	-4,5	
16458	-5,5	
16501	-4,2	
16544,1	-3,9	
16587,2	-3,5	
16630,3	-4,1	
16673,4	-3,0	
16716,5	-1,4	
16759,5	-3,2	
16802,6	-5,7	
16845,7	-3,1	
16888,8	-2,7	
16931,9	-2,0	
16975	-2,1	
17018	-3,5	
17061,1	-5,3	
17104,2	-4,8	
17147,3	-3,5	
17190,4	-5,0	
