Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	90,2	
0	-Inf	
43,0836	28,1	
86,1673	38,8	
129,251	42,4	
172,335	41,0	
215,418	38,7	
258,502	38,7	
301,585	39,3	
344,669	38,0	
387,753	36,9	
430,836	35,9	
473,92	34,7	
517,004	32,4	
560,087	31,7	
603,171	33,0	
646,255	31,2	
689,338	29,2	
732,422	29,0	
775,506	28,6	
818,589	28,7	
861,673	27,7	
904,756	27,4	
947,84	27,6	
990,924	28,4	
1034,01	28,7	
1077,09	28,2	
1120,17	25,9	
1163,26	26,9	
1206,34	27,5	
1249,43	28,2	
1292,51	27,0	
1335,59	25,8	
1378,68	26,6	
1421,76	28,4	
1464,84	28,1	
1507,93	27,2	
1551,01	29,3	
1594,09	28,8	
1637,18	28,8	
1680,26	31,8	
1723,35	31,9	
1766,43	38,3	
1809,51	41,7	
1852,6	48,9	
1895,68	58,3	
1938,76	76,3	
1981,85	89,1	
2024,93	88,4	
2068,01	73,2	
2111,1	57,3	
2154,18	47,6	
2197,27	41,5	
2240,35	34,7	
2283,43	33,9	
2326,52	28,6	
2369,6	28,0	
2412,68	25,2	
2455,77	23,6	
2498,85	23,7	
2541,93	23,9	
2585,02	22,2	
2628,1	23,7	
2671,19	22,5	
2714,27	20,8	
2757,35	21,4	
2800,44	19,1	
2843,52	20,2	
2886,6	19,8	
2929,69	18,4	
2972,77	19,0	
3015,85	18,4	
3058,94	18,2	
3102,02	19,6	
3145,11	20,1	
3188,19	24,1	
3231,27	24,0	
3274,36	20,0	
3317,44	18,0	
3360,52	17,1	
3403,61	15,9	
3446,69	16,3	
3489,77	17,2	
3532,86	17,2	
3575,94	18,1	
3619,03	17,6	
3662,11	16,1	
3705,19	17,7	
3748,28	17,2	
3791,36	16,8	
3834,44	16,5	
3877,53	15,5	
3920,61	16,2	
3963,69	27,3	
4006,78	31,5	
4049,86	24,4	
4092,95	16,6	
4136,03	15,6	
4179,11	15,9	
4222,2	15,5	
4265,28	15,3	
4308,36	16,3	
4351,45	16,5	
4394,53	16,5	
4437,62	17,0	
4480,7	15,4	
4523,78	14,7	
4566,87	16,4	
4609,95	15,8	
4653,03	15,6	
4696,12	15,7	
4739,2	15,0	
4782,28	15,6	
4825,37	15,2	
4868,45	14,0	
4911,54	14,6	
4954,62	14,2	
4997,7	14,3	
5040,79	15,0	
5083,87	13,3	
5126,95	13,9	
5170,04	15,5	
5213,12	14,6	
5256,2	14,7	
5299,29	16,2	
5342,37	14,9	
5385,46	14,9	
5428,54	13,6	
5471,62	12,3	
5514,71	12,5	
5557,79	11,4	
5600,87	11,5	
5643,96	12,1	
5687,04	10,6	
5730,12	9,8	
5773,21	10,2	
5816,29	9,8	
5859,38	9,1	
5902,46	8,8	
5945,54	14,3	
5988,63	24,3	
6031,71	22,5	
6074,79	10,5	
6117,88	8,3	
6160,96	7,1	
6204,04	7,3	
6247,13	6,6	
6290,21	6,4	
6333,3	6,4	
6376,38	6,9	
6419,46	7,2	
6462,55	7,4	
6505,63	7,8	
6548,71	8,1	
6591,8	8,0	
6634,88	8,6	
6677,96	10,0	
6721,05	11,5	
6764,13	11,8	
6807,22	12,8	
6850,3	13,7	
6893,38	14,0	
6936,47	14,8	
6979,55	19,6	
7022,63	22,7	
7065,72	21,1	
7108,8	18,9	
7151,88	16,0	
7194,97	16,8	
7238,05	16,8	
7281,14	16,3	
7324,22	17,5	
7367,3	17,9	
7410,39	18,2	
7453,47	17,6	
7496,55	18,4	
7539,64	18,3	
7582,72	19,2	
7625,8	17,7	
7668,89	17,9	
7711,97	18,4	
7755,06	19,2	
7798,14	18,4	
7841,22	19,0	
7884,31	18,1	
7927,39	18,1	
7970,47	18,5	
8013,56	16,6	
8056,64	17,0	
8099,72	16,6	
8142,81	15,7	
8185,89	16,3	
8228,98	16,7	
8272,06	16,5	
8315,14	15,5	
8358,23	14,7	
8401,31	15,2	
8444,39	15,4	
8487,48	15,0	
8530,56	14,7	
8573,64	14,0	
8616,73	13,5	
8659,81	13,9	
8702,9	14,5	
8745,98	12,9	
8789,06	13,2	
8832,15	13,0	
8875,23	13,2	
8918,31	13,0	
8961,4	13,2	
9004,48	13,4	
9047,56	13,4	
9090,65	13,7	
9133,73	13,6	
9176,82	13,8	
9219,9	13,4	
9262,98	14,7	
9306,07	15,4	
9349,15	15,2	
9392,23	13,9	
9435,32	13,9	
9478,4	13,9	
9521,48	14,2	
9564,57	13,5	
9607,65	12,6	
9650,74	11,8	
9693,82	12,9	
9736,9	12,9	
9779,99	13,1	
9823,07	12,9	
9866,15	12,5	
9909,24	13,0	
9952,32	13,9	
9995,4	14,0	
10038,5	12,6	
10081,6	13,6	
10124,7	14,0	
10167,7	13,4	
10210,8	14,2	
10253,9	14,6	
10297	14,3	
10340,1	14,5	
10383,2	14,1	
10426,2	13,8	
10469,3	13,6	
10512,4	13,2	
10555,5	12,6	
10598,6	12,6	
10641,7	13,8	
10684,7	14,5	
10727,8	13,6	
10770,9	13,2	
10814	13,7	
10857,1	11,9	
10900,2	12,6	
10943,2	13,4	
10986,3	12,5	
11029,4	12,6	
11072,5	12,6	
11115,6	12,4	
11158,7	11,1	
11201,7	11,5	
11244,8	10,8	
11287,9	11,6	
11331	10,9	
11374,1	11,4	
11417,2	10,4	
11460,2	9,8	
11503,3	10,9	
11546,4	10,8	
11589,5	10,1	
11632,6	9,7	
11675,7	9,4	
11718,8	10,1	
11761,8	9,6	
11804,9	9,2	
11848	6,9	
11891,1	7,4	
11934,2	8,3	
11977,3	7,9	
12020,3	8,3	
12063,4	7,7	
12106,5	7,7	
12149,6	7,2	
12192,7	6,3	
12235,8	5,9	
12278,8	4,2	
12321,9	4,9	
12365	5,3	
12408,1	4,9	
12451,2	4,4	
12494,3	3,7	
12537,3	3,1	
12580,4	2,2	
12623,5	1,2	
12666,6	1,0	
12709,7	0,6	
12752,8	0,0	
12795,8	-0,3	
12838,9	-0,3	
12882	-0,9	
12925,1	-2,3	
12968,2	-2,5	
13011,3	-3,4	
13054,3	-4,1	
13097,4	-4,9	
13140,5	-4,8	
13183,6	-5,8	
13226,7	-6,7	
13269,8	-5,7	
13312,8	-4,4	
13355,9	-5,2	
13399	-6,9	
13442,1	-7,7	
13485,2	-8,6	
13528,3	-8,4	
13571,3	-8,6	
13614,4	-9,5	
13657,5	-11,2	
13700,6	-10,2	
13743,7	-9,3	
13786,8	-9,8	
13829,8	-10,3	
13872,9	-10,6	
13916	-9,9	
13959,1	-9,2	
14002,2	-9,3	
14045,3	-8,6	
14088,4	-6,6	
14131,4	-6,4	
14174,5	-8,7	
14217,6	-9,7	
14260,7	-10,6	
14303,8	-10,5	
14346,9	-9,4	
14389,9	-9,1	
14433	-7,3	
14476,1	-6,9	
14519,2	-7,1	
14562,3	-7,6	
14605,4	-7,9	
14648,4	-6,5	
14691,5	-5,5	
14734,6	-6,7	
14777,7	-7,5	
14820,8	-6,6	
14863,9	-6,7	
14906,9	-6,3	
14950	-5,7	
14993,1	-6,4	
15036,2	-6,6	
15079,3	-5,8	
15122,4	-5,5	
15165,4	-5,7	
15208,5	-4,9	
15251,6	-6,4	
15294,7	-8,1	
15337,8	-6,3	
15380,9	-4,7	
15423,9	-4,7	
15467	-5,9	
15510,1	-6,7	
15553,2	-5,9	
15596,3	-6,1	
15639,4	-7,0	
15682,4	-6,7	
15725,5	-5,3	
15768,6	-5,5	
15811,7	-6,3	
15854,8	-5,2	
15897,9	-4,8	
15940,9	-5,1	
15984	-4,4	
16027,1	-4,2	
16070,2	-4,9	
16113,3	-4,7	
16156,4	-3,2	
16199,4	-2,9	
16242,5	-3,1	
16285,6	-3,8	
16328,7	-3,6	
16371,8	-3,2	
16414,9	-4,0	
16458	-4,7	
16501	-4,0	
16544,1	-3,6	
16587,2	-3,8	
16630,3	-4,7	
16673,4	-3,5	
16716,5	-4,0	
16759,5	-3,5	
16802,6	-4,2	
16845,7	-4,8	
16888,8	-4,8	
16931,9	-3,3	
16975	-3,4	
17018	-3,5	
17061,1	-3,1	
17104,2	-3,6	
17147,3	-5,1	
17190,4	-3,6	
