x_log y_smooth
119.451630 29.721886
120.030981 29.832369
120.613142 29.942760
121.198127 30.053058
121.785949 30.163263
122.376622 30.273376
122.970160 30.383395
123.566577 30.493321
124.165886 30.603154
124.768102 30.712894
125.373239 30.822539
125.981311 30.932092
126.592332 31.041550
127.206316 31.150914
127.823278 31.260184
128.443233 31.369361
129.066195 31.478442
129.692178 31.587429
130.321197 31.696322
130.953266 31.805120
131.588402 31.913823
132.226618 32.022431
132.867929 32.130943
133.512351 32.239361
134.159898 32.347683
134.810586 32.455909
135.464430 32.564040
136.121445 32.672075
136.781646 32.780014
137.445050 32.887857
138.111671 32.995604
138.781525 33.103255
139.454628 33.210809
140.130996 33.318266
140.810644 33.425627
141.493589 33.532891
142.179846 33.640058
142.869431 33.747127
143.562361 33.854100
144.258652 33.960975
144.958320 34.067753
145.661381 34.174432
146.367852 34.281015
147.077750 34.387499
147.791090 34.493885
148.507891 34.600173
149.228168 34.706363
149.951938 34.812454
150.679219 34.918447
151.410027 35.024341
152.144379 35.130136
152.882294 35.235832
153.623787 35.341429
154.368877 35.446927
155.117580 35.552326
155.869914 35.657625
156.625898 35.762824
157.385548 35.867924
158.148882 35.972923
158.915919 36.077823
159.686676 36.182623
160.461171 36.287322
161.239422 36.391921
162.021448 36.496419
162.807267 36.600817
163.596898 36.705114
164.390358 36.809310
165.187666 36.913405
165.988841 37.017398
166.793903 37.121290
167.602868 37.225081
168.415758 37.328771
169.232590 37.432358
170.053383 37.535844
170.878158 37.639227
171.706933 37.742509
172.539727 37.845688
173.376561 37.948765
174.217453 38.051739
175.062424 38.154611
175.911493 38.257380
176.764680 38.360046
177.622005 38.462609
178.483488 38.565069
179.349149 38.667425
180.219009 38.769679
181.093088 38.871828
181.971406 38.973874
182.853984 39.075816
183.740843 39.177654
184.632003 39.279388
185.527485 39.381017
186.427311 39.482543
187.331500 39.583963
188.240075 39.685280
189.153057 39.786491
190.070467 39.887597
190.992326 39.988599
191.918656 40.089495
192.849480 40.190286
193.784817 40.290972
194.724692 40.391552
195.669124 40.492027
196.618138 40.592395
197.571754 40.692658
198.529995 40.792815
199.492884 40.892865
200.460443 40.992809
201.432694 41.092647
202.409661 41.192378
203.391367 41.292002
204.377834 41.391519
205.369085 41.490930
206.365144 41.590233
207.366034 41.689429
208.371778 41.788518
209.382401 41.887499
210.397925 41.986372
211.418374 42.085138
212.443773 42.183796
213.474145 42.282346
214.509514 42.380787
215.549905 42.479120
216.595342 42.577345
217.645849 42.675461
218.701451 42.773469
219.762174 42.871368
220.828040 42.969157
221.899077 43.066838
222.975308 43.164409
224.056759 43.261871
225.143455 43.359224
226.235421 43.456467
227.332684 43.553600
228.435268 43.650623
229.543200 43.747536
230.656506 43.844340
231.775211 43.941032
