Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	83,6	
0	-Inf	
43,0836	31,8	
86,1673	39,0	
129,251	39,4	
172,335	33,2	
215,418	28,3	
258,502	25,7	
301,585	26,7	
344,669	26,3	
387,753	26,9	
430,836	25,9	
473,92	25,6	
517,004	26,5	
560,087	24,4	
603,171	26,1	
646,255	23,8	
689,338	25,8	
732,422	28,2	
775,506	28,7	
818,589	33,0	
861,673	39,5	
904,756	50,9	
947,84	74,1	
990,924	83,3	
1034,01	80,2	
1077,09	58,3	
1120,17	44,9	
1163,26	36,0	
1206,34	30,0	
1249,43	26,2	
1292,51	22,1	
1335,59	18,6	
1378,68	18,2	
1421,76	17,1	
1464,84	19,8	
1507,93	19,2	
1551,01	17,5	
1594,09	17,9	
1637,18	16,8	
1680,26	16,4	
1723,35	16,2	
1766,43	17,2	
1809,51	18,7	
1852,6	19,2	
1895,68	17,0	
1938,76	17,7	
1981,85	22,7	
2024,93	22,4	
2068,01	17,1	
2111,1	16,7	
2154,18	16,8	
2197,27	18,2	
2240,35	17,9	
2283,43	17,0	
2326,52	16,8	
2369,6	15,6	
2412,68	15,4	
2455,77	15,3	
2498,85	15,7	
2541,93	14,8	
2585,02	14,8	
2628,1	14,9	
2671,19	14,9	
2714,27	15,0	
2757,35	15,3	
2800,44	15,3	
2843,52	15,3	
2886,6	15,5	
2929,69	17,6	
2972,77	32,4	
3015,85	34,3	
3058,94	24,0	
3102,02	16,1	
3145,11	15,4	
3188,19	14,7	
3231,27	14,1	
3274,36	14,9	
3317,44	15,2	
3360,52	14,6	
3403,61	14,1	
3446,69	15,1	
3489,77	15,9	
3532,86	15,1	
3575,94	14,1	
3619,03	14,5	
3662,11	14,4	
3705,19	13,9	
3748,28	13,1	
3791,36	13,0	
3834,44	13,7	
3877,53	13,9	
3920,61	13,8	
3963,69	27,6	
4006,78	31,9	
4049,86	24,5	
4092,95	13,4	
4136,03	12,0	
4179,11	13,4	
4222,2	14,0	
4265,28	13,5	
4308,36	12,5	
4351,45	12,2	
4394,53	12,8	
4437,62	12,3	
4480,7	12,6	
4523,78	12,7	
4566,87	12,3	
4609,95	12,0	
4653,03	11,2	
4696,12	11,6	
4739,2	12,2	
4782,28	11,4	
4825,37	11,8	
4868,45	11,7	
4911,54	11,8	
4954,62	12,8	
4997,7	17,6	
5040,79	14,8	
5083,87	11,9	
5126,95	11,7	
5170,04	11,0	
5213,12	10,3	
5256,2	9,9	
5299,29	10,0	
5342,37	9,9	
5385,46	9,9	
5428,54	10,0	
5471,62	10,9	
5514,71	10,8	
5557,79	10,1	
5600,87	9,8	
5643,96	9,1	
5687,04	9,3	
5730,12	9,5	
5773,21	9,3	
5816,29	9,1	
5859,38	8,0	
5902,46	8,4	
5945,54	8,9	
5988,63	9,6	
6031,71	8,9	
6074,79	6,8	
6117,88	6,5	
6160,96	5,7	
6204,04	4,9	
6247,13	6,1	
6290,21	6,3	
6333,3	5,8	
6376,38	6,1	
6419,46	6,4	
6462,55	6,3	
6505,63	6,6	
6548,71	7,4	
6591,8	7,4	
6634,88	7,2	
6677,96	8,1	
6721,05	9,3	
6764,13	8,9	
6807,22	10,8	
6850,3	11,5	
6893,38	11,8	
6936,47	12,1	
6979,55	15,1	
7022,63	15,0	
7065,72	12,8	
7108,8	14,6	
7151,88	15,3	
7194,97	16,7	
7238,05	17,6	
7281,14	16,8	
7324,22	16,0	
7367,3	16,2	
7410,39	16,7	
7453,47	16,7	
7496,55	17,6	
7539,64	17,5	
7582,72	17,9	
7625,8	18,6	
7668,89	18,0	
7711,97	18,3	
7755,06	18,9	
7798,14	17,1	
7841,22	16,1	
7884,31	17,9	
7927,39	18,5	
7970,47	18,3	
8013,56	17,7	
8056,64	17,0	
8099,72	15,3	
8142,81	15,2	
8185,89	16,7	
8228,98	16,8	
8272,06	17,1	
8315,14	16,1	
8358,23	14,8	
8401,31	13,7	
8444,39	13,4	
8487,48	14,1	
8530,56	14,5	
8573,64	14,4	
8616,73	14,2	
8659,81	13,7	
8702,9	13,0	
8745,98	13,1	
8789,06	12,2	
8832,15	13,2	
8875,23	14,0	
8918,31	14,0	
8961,4	13,7	
9004,48	14,4	
9047,56	13,8	
9090,65	13,1	
9133,73	13,3	
9176,82	14,1	
9219,9	14,4	
9262,98	13,9	
9306,07	14,1	
9349,15	13,5	
9392,23	12,8	
9435,32	13,9	
9478,4	14,2	
9521,48	13,0	
9564,57	13,1	
9607,65	13,2	
9650,74	13,1	
9693,82	14,0	
9736,9	13,5	
9779,99	13,6	
9823,07	13,4	
9866,15	13,4	
9909,24	12,5	
9952,32	12,6	
9995,4	13,1	
10038,5	12,1	
10081,6	12,3	
10124,7	13,0	
10167,7	12,7	
10210,8	13,3	
10253,9	13,3	
10297	13,5	
10340,1	13,6	
10383,2	14,1	
10426,2	13,9	
10469,3	13,2	
10512,4	12,8	
10555,5	12,7	
10598,6	13,1	
10641,7	13,1	
10684,7	13,3	
10727,8	13,2	
10770,9	13,3	
10814	13,0	
10857,1	13,0	
10900,2	13,3	
10943,2	13,7	
10986,3	13,4	
11029,4	12,3	
11072,5	12,7	
11115,6	12,9	
11158,7	12,0	
11201,7	11,7	
11244,8	10,7	
11287,9	11,0	
11331	11,6	
11374,1	11,5	
11417,2	11,2	
11460,2	10,6	
11503,3	11,0	
11546,4	10,4	
11589,5	10,2	
11632,6	9,7	
11675,7	9,6	
11718,8	9,4	
11761,8	9,0	
11804,9	8,4	
11848	8,3	
11891,1	9,1	
11934,2	8,6	
11977,3	7,3	
12020,3	7,5	
12063,4	6,7	
12106,5	5,8	
12149,6	6,6	
12192,7	6,8	
12235,8	6,1	
12278,8	5,8	
12321,9	5,5	
12365	5,4	
12408,1	4,0	
12451,2	3,8	
12494,3	3,5	
12537,3	2,9	
12580,4	0,9	
12623,5	0,8	
12666,6	1,5	
12709,7	1,3	
12752,8	0,5	
12795,8	0,1	
12838,9	-0,1	
12882	-0,4	
12925,1	-1,8	
12968,2	-2,8	
13011,3	-4,1	
13054,3	-4,8	
13097,4	-5,2	
13140,5	-3,6	
13183,6	-4,7	
13226,7	-5,6	
13269,8	-6,6	
13312,8	-6,9	
13355,9	-6,2	
13399	-7,5	
13442,1	-8,0	
13485,2	-8,6	
13528,3	-8,6	
13571,3	-8,4	
13614,4	-8,8	
13657,5	-9,1	
13700,6	-9,4	
13743,7	-9,7	
13786,8	-10,0	
13829,8	-9,9	
13872,9	-10,0	
13916	-10,5	
13959,1	-9,8	
14002,2	-9,7	
14045,3	-10,7	
14088,4	-11,6	
14131,4	-10,1	
14174,5	-9,0	
14217,6	-9,3	
14260,7	-10,2	
14303,8	-10,4	
14346,9	-10,0	
14389,9	-8,7	
14433	-8,8	
14476,1	-8,5	
14519,2	-8,1	
14562,3	-7,2	
14605,4	-7,0	
14648,4	-6,9	
14691,5	-7,2	
14734,6	-6,8	
14777,7	-5,7	
14820,8	-5,9	
14863,9	-6,3	
14906,9	-6,4	
14950	-6,6	
14993,1	-6,2	
15036,2	-6,4	
15079,3	-6,2	
15122,4	-6,3	
15165,4	-5,9	
15208,5	-6,6	
15251,6	-5,3	
15294,7	-5,3	
15337,8	-5,8	
15380,9	-5,5	
15423,9	-6,2	
15467	-6,8	
15510,1	-7,7	
15553,2	-6,2	
15596,3	-5,8	
15639,4	-4,8	
15682,4	-6,1	
15725,5	-4,9	
15768,6	-4,8	
15811,7	-4,7	
15854,8	-5,3	
15897,9	-5,2	
15940,9	-4,3	
15984	-4,2	
16027,1	-4,1	
16070,2	-3,6	
16113,3	-4,0	
16156,4	-3,0	
16199,4	-3,3	
16242,5	-4,3	
16285,6	-3,5	
16328,7	-3,3	
16371,8	-4,2	
16414,9	-4,5	
16458	-4,2	
16501	-3,8	
16544,1	-3,3	
16587,2	-3,9	
16630,3	-3,8	
16673,4	-3,6	
16716,5	-5,0	
16759,5	-4,5	
16802,6	-5,0	
16845,7	-4,6	
16888,8	-4,5	
16931,9	-5,2	
16975	-4,0	
17018	-3,3	
17061,1	-3,8	
17104,2	-4,2	
17147,3	-4,9	
17190,4	-4,5	
