Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	43,2	
0	-Inf	
43,0836	32,4	
86,1673	40,1	
129,251	39,9	
172,335	33,0	
215,418	27,9	
258,502	26,8	
301,585	27,2	
344,669	25,2	
387,753	27,6	
430,836	28,1	
473,92	29,4	
517,004	30,8	
560,087	27,4	
603,171	29,2	
646,255	27,3	
689,338	25,8	
732,422	25,8	
775,506	22,1	
818,589	20,1	
861,673	19,4	
904,756	19,6	
947,84	19,3	
990,924	18,5	
1034,01	18,5	
1077,09	18,0	
1120,17	17,2	
1163,26	17,1	
1206,34	17,1	
1249,43	15,5	
1292,51	15,8	
1335,59	17,1	
1378,68	17,3	
1421,76	17,5	
1464,84	19,2	
1507,93	19,7	
1551,01	16,9	
1594,09	16,9	
1637,18	16,7	
1680,26	16,4	
1723,35	16,4	
1766,43	18,7	
1809,51	20,1	
1852,6	21,5	
1895,68	20,6	
1938,76	17,9	
1981,85	16,6	
2024,93	16,5	
2068,01	16,9	
2111,1	18,2	
2154,18	16,5	
2197,27	17,2	
2240,35	17,5	
2283,43	16,8	
2326,52	16,0	
2369,6	16,2	
2412,68	16,1	
2455,77	16,3	
2498,85	15,5	
2541,93	16,5	
2585,02	16,7	
2628,1	15,4	
2671,19	15,1	
2714,27	14,9	
2757,35	15,5	
2800,44	15,6	
2843,52	15,9	
2886,6	15,0	
2929,69	14,8	
2972,77	15,1	
3015,85	15,5	
3058,94	16,3	
3102,02	16,6	
3145,11	16,8	
3188,19	16,6	
3231,27	15,2	
3274,36	15,7	
3317,44	16,0	
3360,52	15,2	
3403,61	15,5	
3446,69	15,5	
3489,77	15,0	
3532,86	15,2	
3575,94	15,9	
3619,03	14,6	
3662,11	13,8	
3705,19	14,9	
3748,28	15,1	
3791,36	13,7	
3834,44	13,6	
3877,53	13,6	
3920,61	14,1	
3963,69	14,5	
4006,78	13,8	
4049,86	13,7	
4092,95	13,1	
4136,03	13,0	
4179,11	12,5	
4222,2	11,7	
4265,28	11,7	
4308,36	12,6	
4351,45	12,5	
4394,53	11,8	
4437,62	11,9	
4480,7	11,8	
4523,78	12,2	
4566,87	12,3	
4609,95	12,2	
4653,03	12,5	
4696,12	12,3	
4739,2	11,9	
4782,28	12,0	
4825,37	11,1	
4868,45	11,3	
4911,54	11,5	
4954,62	10,0	
4997,7	10,4	
5040,79	11,7	
5083,87	11,6	
5126,95	11,2	
5170,04	11,8	
5213,12	11,4	
5256,2	10,2	
5299,29	9,7	
5342,37	9,7	
5385,46	9,9	
5428,54	10,1	
5471,62	10,8	
5514,71	10,8	
5557,79	10,0	
5600,87	9,6	
5643,96	9,7	
5687,04	9,3	
5730,12	9,2	
5773,21	8,7	
5816,29	9,3	
5859,38	9,5	
5902,46	9,6	
5945,54	8,7	
5988,63	7,8	
6031,71	7,2	
6074,79	7,8	
6117,88	6,6	
6160,96	5,6	
6204,04	5,5	
6247,13	5,6	
6290,21	4,7	
6333,3	5,1	
6376,38	5,4	
6419,46	5,6	
6462,55	5,4	
6505,63	6,9	
6548,71	7,1	
6591,8	8,3	
6634,88	8,8	
6677,96	8,7	
6721,05	8,5	
6764,13	9,2	
6807,22	10,1	
6850,3	11,4	
6893,38	11,8	
6936,47	12,7	
6979,55	13,5	
7022,63	13,2	
7065,72	13,9	
7108,8	14,8	
7151,88	15,7	
7194,97	16,4	
7238,05	16,2	
7281,14	17,1	
7324,22	16,9	
7367,3	17,2	
7410,39	17,0	
7453,47	17,0	
7496,55	17,6	
7539,64	17,1	
7582,72	17,2	
7625,8	17,8	
7668,89	17,9	
7711,97	17,2	
7755,06	17,4	
7798,14	16,6	
7841,22	17,6	
7884,31	17,7	
7927,39	18,5	
7970,47	17,5	
8013,56	18,0	
8056,64	17,0	
8099,72	15,7	
8142,81	16,8	
8185,89	16,2	
8228,98	15,7	
8272,06	16,2	
8315,14	15,8	
8358,23	14,9	
8401,31	15,1	
8444,39	14,8	
8487,48	14,2	
8530,56	14,7	
8573,64	14,5	
8616,73	14,4	
8659,81	14,0	
8702,9	13,4	
8745,98	13,0	
8789,06	12,8	
8832,15	13,3	
8875,23	13,2	
8918,31	13,5	
8961,4	13,4	
9004,48	12,9	
9047,56	13,6	
9090,65	14,2	
9133,73	12,9	
9176,82	12,5	
9219,9	14,6	
9262,98	13,5	
9306,07	12,6	
9349,15	13,2	
9392,23	15,0	
9435,32	13,5	
9478,4	13,6	
9521,48	13,6	
9564,57	12,9	
9607,65	12,9	
9650,74	13,7	
9693,82	13,1	
9736,9	12,7	
9779,99	12,4	
9823,07	13,2	
9866,15	13,5	
9909,24	13,6	
9952,32	13,6	
9995,4	13,5	
10038,5	14,0	
10081,6	14,0	
10124,7	13,8	
10167,7	13,8	
10210,8	13,8	
10253,9	14,1	
10297	13,6	
10340,1	13,2	
10383,2	13,3	
10426,2	13,3	
10469,3	13,0	
10512,4	13,2	
10555,5	13,7	
10598,6	13,0	
10641,7	13,0	
10684,7	12,9	
10727,8	13,2	
10770,9	12,4	
10814	13,0	
10857,1	12,5	
10900,2	13,0	
10943,2	12,8	
10986,3	13,4	
11029,4	12,9	
11072,5	11,9	
11115,6	11,0	
11158,7	11,3	
11201,7	11,2	
11244,8	11,4	
11287,9	10,8	
11331	10,7	
11374,1	10,6	
11417,2	11,0	
11460,2	11,0	
11503,3	10,2	
11546,4	9,4	
11589,5	10,1	
11632,6	10,3	
11675,7	10,1	
11718,8	9,4	
11761,8	8,6	
11804,9	9,3	
11848	9,3	
11891,1	8,9	
11934,2	8,1	
11977,3	7,3	
12020,3	6,2	
12063,4	6,1	
12106,5	7,0	
12149,6	7,6	
12192,7	6,5	
12235,8	5,0	
12278,8	4,9	
12321,9	4,9	
12365	4,6	
12408,1	4,7	
12451,2	4,1	
12494,3	3,1	
12537,3	3,1	
12580,4	1,8	
12623,5	1,6	
12666,6	0,9	
12709,7	0,4	
12752,8	-0,2	
12795,8	0,4	
12838,9	-0,2	
12882	-2,7	
12925,1	-3,3	
12968,2	-3,7	
13011,3	-3,5	
13054,3	-3,7	
13097,4	-4,7	
13140,5	-4,3	
13183,6	-5,1	
13226,7	-6,5	
13269,8	-5,6	
13312,8	-5,5	
13355,9	-7,5	
13399	-8,2	
13442,1	-7,5	
13485,2	-7,8	
13528,3	-8,8	
13571,3	-9,5	
13614,4	-8,7	
13657,5	-8,9	
13700,6	-9,3	
13743,7	-10,7	
13786,8	-10,4	
13829,8	-10,6	
13872,9	-10,6	
13916	-11,1	
13959,1	-10,9	
14002,2	-10,4	
14045,3	-9,9	
14088,4	-10,3	
14131,4	-9,4	
14174,5	-9,3	
14217,6	-9,8	
14260,7	-9,3	
14303,8	-8,5	
14346,9	-8,2	
14389,9	-8,6	
14433	-9,0	
14476,1	-7,9	
14519,2	-7,3	
14562,3	-7,1	
14605,4	-7,1	
14648,4	-7,6	
14691,5	-7,2	
14734,6	-5,6	
14777,7	-5,4	
14820,8	-6,3	
14863,9	-6,5	
14906,9	-5,6	
14950	-6,1	
14993,1	-6,3	
15036,2	-5,9	
15079,3	-6,5	
15122,4	-6,4	
15165,4	-6,4	
15208,5	-5,9	
15251,6	-6,3	
15294,7	-6,6	
15337,8	-6,4	
15380,9	-5,4	
15423,9	-5,5	
15467	-6,2	
15510,1	-7,4	
15553,2	-7,5	
15596,3	-6,6	
15639,4	-5,2	
15682,4	-5,7	
15725,5	-5,8	
15768,6	-4,6	
15811,7	-5,6	
15854,8	-5,8	
15897,9	-4,7	
15940,9	-4,4	
15984	-4,1	
16027,1	-3,8	
16070,2	-4,1	
16113,3	-4,6	
16156,4	-4,4	
16199,4	-5,3	
16242,5	-5,6	
16285,6	-4,3	
16328,7	-3,8	
16371,8	-4,1	
16414,9	-4,0	
16458	-2,6	
16501	-2,8	
16544,1	-3,6	
16587,2	-4,0	
16630,3	-2,6	
16673,4	-3,3	
16716,5	-3,3	
16759,5	-3,1	
16802,6	-4,3	
16845,7	-3,9	
16888,8	-3,9	
16931,9	-4,3	
16975	-3,5	
17018	-4,2	
17061,1	-5,4	
17104,2	-4,4	
17147,3	-4,6	
17190,4	-4,3	
