% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 34.22 us, time offset 9.966 ns, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 09:33:57 -0400
% Time (s), Channel A (Input 1) (V)
-1.708737133021e-05, -4.837304e-02
-1.704737133021e-05, -4.885198e-02
-1.700737133021e-05, -4.909145e-02
-1.696737133021e-05, -4.909145e-02
-1.692737133021e-05, -4.957039e-02
-1.688737133021e-05, -4.909145e-02
-1.684737133021e-05, -4.897171e-02
-1.680737133021e-05, -4.849277e-02
-1.676737133021e-05, -4.957039e-02
-1.672737133021e-05, -4.873224e-02
-1.668737133021e-05, -4.885198e-02
-1.664737133021e-05, -4.897171e-02
-1.660737133021e-05, -4.801383e-02
-1.656737133021e-05, -4.897171e-02
-1.652737133021e-05, -4.837304e-02
-1.648737133021e-05, -4.849277e-02
-1.644737133021e-05, -4.897171e-02
-1.640737133021e-05, -4.980986e-02
-1.636737133021e-05, -4.837304e-02
-1.632737133021e-05, -4.933092e-02
-1.628737133021e-05, -4.909145e-02
-1.624737133021e-05, -4.957039e-02
-1.620737133021e-05, -4.861251e-02
-1.616737133021e-05, -4.849277e-02
-1.612737133021e-05, -4.873224e-02
-1.608737133021e-05, -4.873224e-02
-1.604737133021e-05, -4.777436e-02
-1.600737133021e-05, -4.849277e-02
-1.596737133021e-05, -4.885198e-02
-1.592737133021e-05, -4.813357e-02
-1.588737133021e-05, -4.921118e-02
-1.584737133021e-05, -4.849277e-02
-1.580737133021e-05, -4.825330e-02
-1.576737133021e-05, -4.825330e-02
-1.572737133021e-05, -4.873224e-02
-1.568737133021e-05, -4.885198e-02
-1.564737133021e-05, -4.885198e-02
-1.560737133021e-05, -5.028880e-02
-1.556737133021e-05, -4.897171e-02
-1.552737133021e-05, -4.921118e-02
-1.548737133021e-05, -4.849277e-02
-1.544737133021e-05, -4.825330e-02
-1.540737133021e-05, -4.909145e-02
-1.536737133021e-05, -4.849277e-02
-1.532737133021e-05, -4.957039e-02
-1.528737133021e-05, -4.933092e-02
-1.524737133021e-05, -4.813357e-02
-1.520737133021e-05, -4.873224e-02
-1.516737133021e-05, -4.921118e-02
-1.512737133021e-05, -4.885198e-02
-1.508737133021e-05, -4.849277e-02
-1.504737133021e-05, -4.957039e-02
-1.500737133021e-05, -4.777436e-02
-1.496737133021e-05, -4.897171e-02
-1.492737133021e-05, -4.693621e-02
-1.488737133021e-05, -4.873224e-02
-1.484737133021e-05, -4.765463e-02
-1.480737133021e-05, -4.801383e-02
-1.476737133021e-05, -4.753489e-02
-1.472737133021e-05, -4.909145e-02
-1.468737133021e-05, -4.801383e-02
-1.464737133021e-05, -4.849277e-02
-1.460737133021e-05, -4.765463e-02
-1.456737133021e-05, -4.801383e-02
-1.452737133021e-05, -4.813357e-02
-1.448737133021e-05, -4.873224e-02
-1.444737133021e-05, -4.921118e-02
-1.440737133021e-05, -4.945065e-02
-1.436737133021e-05, -4.813357e-02
-1.432737133021e-05, -4.861251e-02
-1.428737133021e-05, -4.825330e-02
-1.424737133021e-05, -4.885198e-02
-1.420737133021e-05, -4.933092e-02
-1.416737133021e-05, -4.849277e-02
-1.412737133021e-05, -4.921118e-02
-1.408737133021e-05, -4.885198e-02
-1.404737133021e-05, -4.909145e-02
-1.400737133021e-05, -4.861251e-02
-1.396737133021e-05, -4.777436e-02
-1.392737133021e-05, -4.801383e-02
-1.388737133021e-05, -4.861251e-02
-1.384737133021e-05, -4.885198e-02
-1.380737133021e-05, -4.921118e-02
-1.376737133021e-05, -4.861251e-02
-1.372737133021e-05, -4.837304e-02
-1.368737133021e-05, -4.933092e-02
-1.364737133021e-05, -4.885198e-02
-1.360737133021e-05, -4.885198e-02
-1.356737133021e-05, -4.837304e-02
-1.352737133021e-05, -4.921118e-02
-1.348737133021e-05, -4.765463e-02
-1.344737133021e-05, -4.849277e-02
-1.340737133021e-05, -4.897171e-02
-1.336737133021e-05, -4.897171e-02
-1.332737133021e-05, -4.849277e-02
-1.328737133021e-05, -4.945065e-02
-1.324737133021e-05, -4.813357e-02
-1.320737133021e-05, -4.980986e-02
-1.316737133021e-05, -4.873224e-02
-1.312737133021e-05, -4.765463e-02
-1.308737133021e-05, -4.825330e-02
-1.304737133021e-05, -4.873224e-02
-1.300737133021e-05, -4.861251e-02
-1.296737133021e-05, -5.004933e-02
-1.292737133021e-05, -4.849277e-02
-1.288737133021e-05, -4.837304e-02
-1.284737133021e-05, -4.861251e-02
-1.280737133021e-05, -4.921118e-02
-1.276737133021e-05, -4.897171e-02
-1.272737133021e-05, -4.873224e-02
-1.268737133021e-05, -4.921118e-02
-1.264737133021e-05, -4.885198e-02
-1.260737133021e-05, -4.873224e-02
-1.256737133021e-05, -4.765463e-02
-1.252737133021e-05, -4.885198e-02
-1.248737133021e-05, -4.813357e-02
-1.244737133021e-05, -4.849277e-02
-1.240737133021e-05, -4.825330e-02
-1.236737133021e-05, -4.897171e-02
-1.232737133021e-05, -4.813357e-02
-1.228737133021e-05, -4.789410e-02
-1.224737133021e-05, -4.885198e-02
-1.220737133021e-05, -4.837304e-02
-1.216737133021e-05, -4.849277e-02
-1.212737133021e-05, -4.897171e-02
-1.208737133021e-05, -4.837304e-02
-1.204737133021e-05, -4.813357e-02
-1.200737133021e-05, -4.837304e-02
-1.196737133021e-05, -4.837304e-02
-1.192737133021e-05, -4.885198e-02
-1.188737133021e-05, -4.837304e-02
-1.184737133021e-05, -4.861251e-02
-1.180737133021e-05, -4.801383e-02
-1.176737133021e-05, -4.849277e-02
-1.172737133021e-05, -4.849277e-02
