% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 34.22 us, time offset 9.966 ns, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 09:31:57 -0400
% Time (s), Channel A (Input 1) (V)
-1.708745119074e-05, -4.549939e-02
-1.704745119074e-05, -4.478098e-02
-1.700745119074e-05, -4.478098e-02
-1.696745119074e-05, -4.466124e-02
-1.692745119074e-05, -4.537966e-02
-1.688745119074e-05, -4.514019e-02
-1.684745119074e-05, -4.561913e-02
-1.680745119074e-05, -4.514019e-02
-1.676745119074e-05, -4.466124e-02
-1.672745119074e-05, -4.537966e-02
-1.668745119074e-05, -4.418230e-02
-1.664745119074e-05, -4.478098e-02
-1.660745119074e-05, -4.490072e-02
-1.656745119074e-05, -4.466124e-02
-1.652745119074e-05, -4.490072e-02
-1.648745119074e-05, -4.514019e-02
-1.644745119074e-05, -4.442177e-02
-1.640745119074e-05, -4.502045e-02
-1.636745119074e-05, -4.502045e-02
-1.632745119074e-05, -4.561913e-02
-1.628745119074e-05, -4.430204e-02
-1.624745119074e-05, -4.561913e-02
-1.620745119074e-05, -4.525992e-02
-1.616745119074e-05, -4.561913e-02
-1.612745119074e-05, -4.573886e-02
-1.608745119074e-05, -4.514019e-02
-1.604745119074e-05, -4.525992e-02
-1.600745119074e-05, -4.549939e-02
-1.596745119074e-05, -4.514019e-02
-1.592745119074e-05, -4.502045e-02
-1.588745119074e-05, -4.549939e-02
-1.584745119074e-05, -4.514019e-02
-1.580745119074e-05, -4.502045e-02
-1.576745119074e-05, -4.561913e-02
-1.572745119074e-05, -4.549939e-02
-1.568745119074e-05, -4.537966e-02
-1.564745119074e-05, -4.430204e-02
-1.560745119074e-05, -4.466124e-02
-1.556745119074e-05, -4.525992e-02
-1.552745119074e-05, -4.382310e-02
-1.548745119074e-05, -4.573886e-02
-1.544745119074e-05, -4.633754e-02
-1.540745119074e-05, -4.502045e-02
-1.536745119074e-05, -4.442177e-02
-1.532745119074e-05, -4.502045e-02
-1.528745119074e-05, -4.514019e-02
-1.524745119074e-05, -4.537966e-02
-1.520745119074e-05, -4.537966e-02
-1.516745119074e-05, -4.466124e-02
-1.512745119074e-05, -4.502045e-02
-1.508745119074e-05, -4.502045e-02
-1.504745119074e-05, -4.573886e-02
-1.500745119074e-05, -4.466124e-02
-1.496745119074e-05, -4.597833e-02
-1.492745119074e-05, -4.537966e-02
-1.488745119074e-05, -4.490072e-02
-1.484745119074e-05, -4.466124e-02
-1.480745119074e-05, -4.561913e-02
-1.476745119074e-05, -4.514019e-02
-1.472745119074e-05, -4.454151e-02
-1.468745119074e-05, -4.418230e-02
-1.464745119074e-05, -4.514019e-02
-1.460745119074e-05, -4.478098e-02
-1.456745119074e-05, -4.382310e-02
-1.452745119074e-05, -4.525992e-02
-1.448745119074e-05, -4.525992e-02
-1.444745119074e-05, -4.525992e-02
-1.440745119074e-05, -4.454151e-02
-1.436745119074e-05, -4.514019e-02
-1.432745119074e-05, -4.442177e-02
-1.428745119074e-05, -4.490072e-02
-1.424745119074e-05, -4.430204e-02
-1.420745119074e-05, -4.490072e-02
-1.416745119074e-05, -4.370336e-02
-1.412745119074e-05, -4.514019e-02
-1.408745119074e-05, -4.490072e-02
-1.404745119074e-05, -4.502045e-02
-1.400745119074e-05, -4.633754e-02
-1.396745119074e-05, -4.525992e-02
-1.392745119074e-05, -4.514019e-02
-1.388745119074e-05, -4.418230e-02
-1.384745119074e-05, -4.478098e-02
-1.380745119074e-05, -4.502045e-02
-1.376745119074e-05, -4.561913e-02
-1.372745119074e-05, -4.537966e-02
-1.368745119074e-05, -4.633754e-02
-1.364745119074e-05, -4.478098e-02
-1.360745119074e-05, -4.478098e-02
-1.356745119074e-05, -4.490072e-02
-1.352745119074e-05, -4.537966e-02
-1.348745119074e-05, -4.478098e-02
-1.344745119074e-05, -4.525992e-02
-1.340745119074e-05, -4.478098e-02
-1.336745119074e-05, -4.609807e-02
-1.332745119074e-05, -4.525992e-02
-1.328745119074e-05, -4.466124e-02
-1.324745119074e-05, -4.525992e-02
-1.320745119074e-05, -4.537966e-02
-1.316745119074e-05, -4.514019e-02
-1.312745119074e-05, -4.514019e-02
-1.308745119074e-05, -4.514019e-02
-1.304745119074e-05, -4.549939e-02
-1.300745119074e-05, -4.418230e-02
-1.296745119074e-05, -4.609807e-02
-1.292745119074e-05, -4.561913e-02
-1.288745119074e-05, -4.502045e-02
-1.284745119074e-05, -4.525992e-02
-1.280745119074e-05, -4.514019e-02
-1.276745119074e-05, -4.514019e-02
-1.272745119074e-05, -4.490072e-02
-1.268745119074e-05, -4.454151e-02
-1.264745119074e-05, -4.514019e-02
-1.260745119074e-05, -4.490072e-02
-1.256745119074e-05, -4.525992e-02
-1.252745119074e-05, -4.561913e-02
-1.248745119074e-05, -4.514019e-02
-1.244745119074e-05, -4.525992e-02
-1.240745119074e-05, -4.525992e-02
-1.236745119074e-05, -4.502045e-02
-1.232745119074e-05, -4.490072e-02
-1.228745119074e-05, -4.442177e-02
-1.224745119074e-05, -4.502045e-02
-1.220745119074e-05, -4.466124e-02
-1.216745119074e-05, -4.478098e-02
-1.212745119074e-05, -4.549939e-02
-1.208745119074e-05, -4.561913e-02
-1.204745119074e-05, -4.525992e-02
-1.200745119074e-05, -4.561913e-02
-1.196745119074e-05, -4.657701e-02
-1.192745119074e-05, -4.525992e-02
-1.188745119074e-05, -4.597833e-02
-1.184745119074e-05, -4.370336e-02
-1.180745119074e-05, -4.561913e-02
-1.176745119074e-05, -4.502045e-02
-1.172745119074e-05, -4.549939e-02
-1.168745119074e-05, -4.490072e-02
-1.164745119074e-05, -4.430204e-02
-1.160745119074e-05, -4.549939e-02
-1.156745119074e-05, -4.525992e-02
-1.152745119074e-05, -4.549939e-02
-1.148745119074e-05, -4.597833e-02
-1.144745119074e-05, -4.502045e-02
-1.140745119074e-05, -4.502045e-02
-1.136745119074e-05, -4.514019e-02
-1.132745119074e-05, -4.537966e-02
-1.128745119074e-05, -4.514019e-02
-1.124745119074e-05, -4.382310e-02
-1.120745119074e-05, -4.454151e-02
-1.116745119074e-05, -4.514019e-02
-1.112745119074e-05, -4.490072e-02
-1.108745119074e-05, -4.502045e-02
