% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 43.43 us, time offset -11.08 us, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 09:49:59 -0400
% Time (s), Channel A (Input 1) (V)
-1.058400000000e-05, -4.789410e-02
-1.053600000000e-05, -4.597833e-02
-1.048800000000e-05, -4.621780e-02
-1.044000000000e-05, -4.609807e-02
-1.039200000000e-05, -4.621780e-02
-1.034400000000e-05, -4.693621e-02
-1.029600000000e-05, -4.657701e-02
-1.024800000000e-05, -4.645727e-02
-1.020000000000e-05, -4.621780e-02
-1.015200000000e-05, -4.609807e-02
-1.010400000000e-05, -4.621780e-02
-1.005600000000e-05, -4.573886e-02
-1.000800000000e-05, -4.645727e-02
-9.960000000000e-06, -4.705595e-02
-9.912000000000e-06, -4.741516e-02
-9.864000000000e-06, -4.585860e-02
-9.816000000000e-06, -4.597833e-02
-9.768000000000e-06, -4.633754e-02
-9.720000000000e-06, -4.693621e-02
-9.672000000000e-06, -4.609807e-02
-9.624000000000e-06, -4.681648e-02
-9.576000000000e-06, -4.621780e-02
-9.528000000000e-06, -4.633754e-02
-9.480000000000e-06, -4.645727e-02
-9.432000000000e-06, -4.657701e-02
-9.384000000000e-06, -4.585860e-02
-9.336000000000e-06, -4.609807e-02
-9.288000000000e-06, -4.597833e-02
-9.240000000000e-06, -4.633754e-02
-9.192000000000e-06, -4.549939e-02
-9.144000000000e-06, -4.621780e-02
-9.096000000000e-06, -4.657701e-02
-9.048000000000e-06, -4.741516e-02
-9.000000000000e-06, -4.633754e-02
-8.952000000000e-06, -4.609807e-02
-8.904000000000e-06, -4.609807e-02
-8.856000000000e-06, -4.585860e-02
-8.808000000000e-06, -4.717568e-02
-8.760000000000e-06, -4.693621e-02
-8.712000000000e-06, -4.777436e-02
-8.664000000000e-06, -4.609807e-02
-8.616000000000e-06, -4.561913e-02
-8.568000000000e-06, -4.549939e-02
-8.520000000000e-06, -4.753489e-02
-8.472000000000e-06, -4.789410e-02
-8.424000000000e-06, -4.789410e-02
-8.376000000000e-06, -4.765463e-02
-8.328000000000e-06, -4.705595e-02
-8.280000000000e-06, -4.561913e-02
-8.232000000000e-06, -4.681648e-02
-8.184000000000e-06, -4.741516e-02
-8.136000000000e-06, -4.765463e-02
-8.088000000000e-06, -4.573886e-02
-8.040000000000e-06, -4.729542e-02
-7.992000000000e-06, -4.705595e-02
-7.944000000000e-06, -4.681648e-02
-7.896000000000e-06, -4.621780e-02
-7.848000000000e-06, -4.609807e-02
-7.800000000000e-06, -4.633754e-02
-7.752000000000e-06, -4.789410e-02
-7.704000000000e-06, -4.669674e-02
-7.656000000000e-06, -4.669674e-02
-7.608000000000e-06, -4.657701e-02
-7.560000000000e-06, -4.789410e-02
-7.512000000000e-06, -4.729542e-02
-7.464000000000e-06, -4.681648e-02
-7.416000000000e-06, -4.693621e-02
-7.368000000000e-06, -4.681648e-02
-7.320000000000e-06, -4.741516e-02
-7.272000000000e-06, -4.681648e-02
-7.224000000000e-06, -4.777436e-02
-7.176000000000e-06, -4.705595e-02
-7.128000000000e-06, -4.693621e-02
-7.080000000000e-06, -4.741516e-02
-7.032000000000e-06, -4.789410e-02
-6.984000000000e-06, -4.669674e-02
-6.936000000000e-06, -4.717568e-02
-6.888000000000e-06, -4.681648e-02
-6.840000000000e-06, -4.741516e-02
-6.792000000000e-06, -4.717568e-02
-6.744000000000e-06, -4.585860e-02
-6.696000000000e-06, -4.585860e-02
-6.648000000000e-06, -4.717568e-02
-6.600000000000e-06, -4.681648e-02
-6.552000000000e-06, -4.645727e-02
-6.504000000000e-06, -4.597833e-02
-6.456000000000e-06, -4.693621e-02
-6.408000000000e-06, -4.777436e-02
-6.360000000000e-06, -4.741516e-02
-6.312000000000e-06, -4.693621e-02
-6.264000000000e-06, -4.621780e-02
-6.216000000000e-06, -4.729542e-02
-6.168000000000e-06, -4.669674e-02
-6.120000000000e-06, -4.777436e-02
-6.072000000000e-06, -4.741516e-02
-6.024000000000e-06, -4.741516e-02
-5.976000000000e-06, -4.633754e-02
-5.928000000000e-06, -4.657701e-02
-5.880000000000e-06, -4.729542e-02
