% Moku:Go Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 50 Vpp, 1 x probe attenuation
% Channel B (Input 2, off), DC , 1 MOhm , 10 Vpp, 1 x probe attenuation
% Time span 28.23 us, time offset -9.224 us, Normal acquisition mode, 51 averages
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Square, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %
% 
% Acquired 2025-09-25 T 10:31:18 -0400
% Time (s), Channel A (Input 1) (V)
-4.870452510704e-06, -4.358363e-02
-4.838452510704e-06, -4.358363e-02
-4.806452510704e-06, -4.478098e-02
-4.774452510704e-06, -4.514019e-02
-4.742452510704e-06, -4.490072e-02
-4.710452510704e-06, -4.478098e-02
-4.678452510704e-06, -4.394283e-02
-4.646452510704e-06, -4.478098e-02
-4.614452510704e-06, -4.502045e-02
-4.582452510704e-06, -4.430204e-02
-4.550452510704e-06, -4.334416e-02
-4.518452510704e-06, -4.430204e-02
-4.486452510704e-06, -4.502045e-02
-4.454452510704e-06, -4.430204e-02
-4.422452510704e-06, -4.406257e-02
-4.390452510704e-06, -4.394283e-02
-4.358452510704e-06, -4.430204e-02
-4.326452510704e-06, -4.490072e-02
-4.294452510704e-06, -4.466124e-02
-4.262452510704e-06, -4.382310e-02
-4.230452510704e-06, -4.382310e-02
-4.198452510704e-06, -4.382310e-02
-4.166452510704e-06, -4.298495e-02
-4.134452510704e-06, -4.514019e-02
-4.102452510704e-06, -4.514019e-02
-4.070452510704e-06, -4.502045e-02
-4.038452510704e-06, -4.430204e-02
-4.006452510704e-06, -4.358363e-02
-3.974452510704e-06, -4.370336e-02
-3.942452510704e-06, -4.514019e-02
-3.910452510704e-06, -4.406257e-02
-3.878452510704e-06, -4.514019e-02
-3.846452510704e-06, -4.418230e-02
-3.814452510704e-06, -4.406257e-02
-3.782452510704e-06, -4.406257e-02
-3.750452510704e-06, -4.334416e-02
-3.718452510704e-06, -4.394283e-02
-3.686452510704e-06, -4.382310e-02
-3.654452510704e-06, -4.406257e-02
-3.622452510704e-06, -4.454151e-02
-3.590452510704e-06, -4.382310e-02
-3.558452510704e-06, -4.573886e-02
-3.526452510704e-06, -4.394283e-02
-3.494452510704e-06, -4.525992e-02
-3.462452510704e-06, -4.406257e-02
-3.430452510704e-06, -4.561913e-02
-3.398452510704e-06, -4.478098e-02
-3.366452510704e-06, -4.334416e-02
-3.334452510704e-06, -4.394283e-02
-3.302452510704e-06, -4.442177e-02
-3.270452510704e-06, -4.382310e-02
-3.238452510704e-06, -4.418230e-02
-3.206452510704e-06, -4.394283e-02
-3.174452510704e-06, -4.394283e-02
-3.142452510704e-06, -4.406257e-02
-3.110452510704e-06, -4.406257e-02
-3.078452510704e-06, -4.334416e-02
-3.046452510704e-06, -4.442177e-02
-3.014452510704e-06, -4.478098e-02
-2.982452510704e-06, -4.466124e-02
-2.950452510704e-06, -4.454151e-02
-2.918452510704e-06, -4.382310e-02
-2.886452510704e-06, -4.466124e-02
-2.854452510704e-06, -4.334416e-02
-2.822452510704e-06, -4.394283e-02
-2.790452510704e-06, -4.346389e-02
-2.758452510704e-06, -4.382310e-02
-2.726452510704e-06, -4.430204e-02
-2.694452510704e-06, -4.358363e-02
-2.662452510704e-06, -4.358363e-02
-2.630452510704e-06, -4.418230e-02
-2.598452510704e-06, -4.430204e-02
-2.566452510704e-06, -4.442177e-02
-2.534452510704e-06, -4.442177e-02
-2.502452510704e-06, -4.370336e-02
-2.470452510704e-06, -4.454151e-02
-2.438452510704e-06, -4.382310e-02
-2.406452510704e-06, -4.430204e-02
-2.374452510704e-06, -4.442177e-02
-2.342452510704e-06, -4.466124e-02
-2.310452510704e-06, -4.502045e-02
-2.278452510704e-06, -4.394283e-02
-2.246452510704e-06, -4.454151e-02
-2.214452510704e-06, -4.358363e-02
-2.182452510704e-06, -4.370336e-02
-2.150452510704e-06, -4.418230e-02
-2.118452510704e-06, -4.382310e-02
-2.086452510704e-06, -4.514019e-02
-2.054452510704e-06, -4.418230e-02
-2.022452510704e-06, -4.394283e-02
-1.990452510704e-06, -4.442177e-02
-1.958452510704e-06, -4.370336e-02
-1.926452510704e-06, -4.322442e-02
-1.894452510704e-06, -4.466124e-02
-1.862452510704e-06, -4.406257e-02
-1.830452510704e-06, -4.394283e-02
-1.798452510704e-06, -4.466124e-02
-1.766452510704e-06, -4.418230e-02
-1.734452510704e-06, -4.418230e-02
-1.702452510704e-06, -4.334416e-02
-1.670452510704e-06, -4.406257e-02
-1.638452510704e-06, -4.430204e-02
-1.606452510704e-06, -4.466124e-02
-1.574452510704e-06, -4.430204e-02
-1.542452510704e-06, -4.370336e-02
-1.510452510704e-06, -4.454151e-02
-1.478452510704e-06, -4.466124e-02
-1.446452510704e-06, -4.346389e-02
-1.414452510704e-06, -4.334416e-02
-1.382452510704e-06, -4.406257e-02
-1.350452510704e-06, -4.394283e-02
-1.318452510704e-06, -4.346389e-02
-1.286452510704e-06, -4.334416e-02
-1.254452510704e-06, -4.442177e-02
-1.222452510704e-06, -4.322442e-02
-1.190452510704e-06, -4.394283e-02
-1.158452510704e-06, -4.370336e-02
-1.126452510704e-06, -4.406257e-02
-1.094452510704e-06, -4.370336e-02
-1.062452510704e-06, -4.394283e-02
-1.030452510704e-06, -4.525992e-02
-9.984525107043e-07, -4.490072e-02
-9.664525107043e-07, -4.370336e-02
-9.344525107043e-07, -4.358363e-02
-9.024525107043e-07, -4.418230e-02
-8.704525107043e-07, -4.442177e-02
-8.384525107043e-07, -4.478098e-02
-8.064525107043e-07, -4.525992e-02
-7.744525107043e-07, -4.382310e-02
-7.424525107043e-07, -4.334416e-02
-7.104525107043e-07, -4.418230e-02
-6.784525107043e-07, -4.406257e-02
-6.464525107043e-07, -4.418230e-02
-6.144525107043e-07, -4.430204e-02
-5.824525107043e-07, -4.406257e-02
-5.504525107043e-07, -4.406257e-02
-5.184525107043e-07, -4.394283e-02
-4.864525107043e-07, -4.442177e-02
-4.544525107043e-07, -4.406257e-02
-4.224525107043e-07, -4.478098e-02
-3.904525107043e-07, -4.406257e-02
-3.584525107043e-07, -4.466124e-02
-3.264525107043e-07, -4.466124e-02
-2.944525107043e-07, -4.657701e-02
-2.624525107043e-07, -4.537966e-02
-2.304525107043e-07, -4.537966e-02
-1.984525107043e-07, -4.478098e-02
-1.664525107043e-07, -4.573886e-02
-1.344525107043e-07, -4.645727e-02
-1.024525107043e-07, -4.573886e-02
-7.045251070427e-08, -3.687845e-02
-3.845251070427e-08, -8.940630e-01
-6.452510704275e-09, -1.728019e+00
2.554748929573e-08, 7.109160e+00
5.754748929573e-08, 5.345460e+00
8.954748929572e-08, 4.306996e+00
1.215474892957e-07, 4.300770e+00
1.535474892957e-07, 3.567152e+00
1.855474892957e-07, 1.383301e+00
2.175474892957e-07, -7.999511e-01
2.495474892957e-07, -2.120152e+00
2.815474892957e-07, -3.156221e+00
3.135474892957e-07, -3.452326e+00
3.455474892957e-07, 1.384618e+00
3.775474892957e-07, 5.368569e+00
4.095474892957e-07, 3.040317e+00
4.415474892957e-07, 3.569308e+00
4.735474892957e-07, 3.050375e+00
5.055474892957e-07, 1.254945e+00
5.375474892957e-07, -8.234192e-01
5.695474892957e-07, -2.184091e+00
6.015474892957e-07, -2.999607e+00
6.335474892957e-07, -1.537041e+00
6.655474892957e-07, 1.322595e+00
6.975474892957e-07, 2.512883e+00
7.295474892957e-07, 1.958869e+00
7.615474892957e-07, 1.164425e+00
7.935474892957e-07, 2.492888e-01
8.255474892957e-07, -7.891750e-01
8.575474892957e-07, -1.404973e+00
8.895474892957e-07, -1.061453e+00
9.215474892957e-07, -5.840685e-01
9.535474892957e-07, -1.362587e-01
9.855474892957e-07, 3.814765e-01
1.017547489296e-06, 6.844066e-01
1.049547489296e-06, 6.056208e-01
1.081547489296e-06, 3.320258e-01
1.113547489296e-06, 1.173405e-02
1.145547489296e-06, -2.913158e-01
1.177547489296e-06, -4.473309e-01
1.209547489296e-06, -3.811173e-01
1.241547489296e-06, -1.999579e-01
1.273547489296e-06, -1.939711e-02
1.305547489296e-06, 1.072828e-01
1.337547489296e-06, 1.501480e-01
1.369547489296e-06, 1.038105e-01
1.401547489296e-06, 2.203128e-02
1.433547489296e-06, -5.328218e-02
1.465547489296e-06, -9.423163e-02
1.497547489296e-06, -1.089591e-01
1.529547489296e-06, -1.003381e-01
1.561547489296e-06, -7.890552e-02
1.593547489296e-06, -5.531768e-02
1.625547489296e-06, -3.328640e-02
1.657547489296e-06, -1.748135e-02
1.689547489296e-06, -1.388929e-02
1.721547489296e-06, -2.370758e-02
1.753547489296e-06, -3.903369e-02
1.785547489296e-06, -5.376112e-02
1.817547489296e-06, -5.998736e-02
1.849547489296e-06, -5.795186e-02
1.881547489296e-06, -4.933092e-02
1.913547489296e-06, -4.274548e-02
1.945547489296e-06, -3.903369e-02
1.977547489296e-06, -4.035078e-02
2.009547489296e-06, -4.094945e-02
2.041547489296e-06, -4.226654e-02
2.073547489296e-06, -4.226654e-02
2.105547489296e-06, -4.274548e-02
2.137547489296e-06, -4.454151e-02
2.169547489296e-06, -4.621780e-02
2.201547489296e-06, -4.837304e-02
2.233547489296e-06, -4.957039e-02
2.265547489296e-06, -4.849277e-02
2.297547489296e-06, -4.657701e-02
2.329547489296e-06, -4.442177e-02
2.361547489296e-06, -4.238628e-02
2.393547489296e-06, -4.106919e-02
2.425547489296e-06, -4.118892e-02
2.457547489296e-06, -4.310469e-02
2.489547489296e-06, -4.346389e-02
2.521547489296e-06, -4.693621e-02
2.553547489296e-06, -4.849277e-02
2.585547489296e-06, -4.933092e-02
2.617547489296e-06, -5.016907e-02
2.649547489296e-06, -4.825330e-02
2.681547489296e-06, -4.537966e-02
2.713547489296e-06, -4.178760e-02
2.745547489296e-06, -4.118892e-02
2.777547489296e-06, -4.082972e-02
2.809547489296e-06, -4.250601e-02
2.841547489296e-06, -4.478098e-02
2.873547489296e-06, -4.789410e-02
2.905547489296e-06, -4.909145e-02
2.937547489296e-06, -4.980986e-02
2.969547489296e-06, -4.992960e-02
3.001547489296e-06, -4.741516e-02
3.033547489296e-06, -4.597833e-02
3.065547489296e-06, -4.502045e-02
3.097547489296e-06, -4.214680e-02
3.129547489296e-06, -4.214680e-02
