x_log y_smooth
118.417416 36.452971
118.992797 36.565625
119.570974 36.678184
120.151960 36.790648
120.735769 36.903016
121.322415 37.015288
121.911911 37.127464
122.504271 37.239543
123.099510 37.351525
123.697641 37.463409
124.298678 37.575196
124.902636 37.686884
125.509528 37.798474
126.119369 37.909964
126.732173 38.021355
127.347955 38.132647
127.966729 38.243838
128.588509 38.354929
129.213311 38.465919
129.841148 38.576808
130.472036 38.687595
131.105989 38.798281
131.743023 38.908864
132.383152 39.019344
133.026392 39.129721
133.672757 39.239995
134.322262 39.350165
134.974923 39.460231
135.630756 39.570192
136.289775 39.680049
136.951997 39.789800
137.617436 39.899445
138.286108 40.008984
138.958030 40.118418
139.633216 40.227744
140.311683 40.336963
140.993446 40.446075
141.678522 40.555078
142.366927 40.663974
143.058677 40.772761
143.753788 40.881439
144.452277 40.990007
145.154159 41.098466
145.859452 41.206815
146.568171 41.315053
147.280335 41.423181
147.995958 41.531197
148.715059 41.639102
149.437654 41.746895
150.163760 41.854575
150.893394 41.962143
151.626573 42.069598
152.363315 42.176939
153.103636 42.284167
153.847555 42.391281
154.595088 42.498279
155.346254 42.605163
156.101069 42.711932
156.859552 42.818585
157.621720 42.925123
158.387592 43.031543
159.157185 43.137847
159.930517 43.244034
160.707607 43.350104
161.488473 43.456055
162.273133 43.561889
163.061605 43.667603
163.853909 43.773199
164.650062 43.878676
165.450084 43.984033
166.253993 44.089269
167.061808 44.194386
167.873549 44.299381
168.689233 44.404255
169.508881 44.509008
170.332511 44.613639
171.160144 44.718148
171.991798 44.822534
172.827492 44.926796
173.667248 45.030936
174.511083 45.134952
175.359019 45.238843
176.211075 45.342610
177.067271 45.446252
177.927627 45.549769
178.792163 45.653161
179.660900 45.756426
180.533859 45.859565
181.411059 45.962577
182.292521 46.065463
183.178266 46.168220
184.068315 46.270850
184.962688 46.373352
185.861408 46.475725
186.764494 46.577969
187.671968 46.680084
188.583851 46.782070
189.500166 46.883925
190.420932 46.985649
191.346173 47.087243
192.275909 47.188706
193.210162 47.290037
194.148955 47.391237
195.092310 47.492304
196.040248 47.593238
196.992793 47.694040
197.949965 47.794708
198.911789 47.895242
199.878286 47.995642
200.849479 48.095908
201.825391 48.196039
202.806044 48.296035
203.791463 48.395895
204.781670 48.495619
205.776688 48.595207
206.776541 48.694658
207.781252 48.793972
208.790845 48.893148
209.805344 48.992187
210.824771 49.091088
211.849152 49.189850
212.878511 49.288473
213.912871 49.386956
214.952257 49.485301
215.996693 49.583505
217.046204 49.681568
218.100815 49.779491
219.160550 49.877273
220.225434 49.974913
221.295492 50.072412
222.370750 50.169768
223.451232 50.266982
224.536964 50.364052
225.627971 50.460979
226.724280 50.557763
227.825916 50.654402
228.932904 50.750897
230.045271 50.847247
231.163043 50.943452
232.286246 51.039511
233.414907 51.135425
234.549052 51.231192
235.688708 51.326812
236.833901 51.422285
237.984658 51.517611
239.141007 51.612789
240.302975 51.707819
241.470588 51.802700
242.643875 51.897433
243.822862 51.992016
245.007579 52.086450
246.198051 52.180733
247.394308 52.274866
248.596378 52.368849
249.804289 52.462680
251.018068 52.556360
252.237745 52.649888
253.463349 52.743263
254.694908 52.836487
255.932450 52.929557
257.176006 53.022474
258.425604 53.115237
259.681274 53.207846
260.943045 53.300300
262.210947 53.392600
263.485010 53.484745
264.765263 53.576734
266.051736 53.668567
267.344461 53.760243
268.643467 53.851764
269.948785 53.943127
271.260445 54.034332
272.578478 54.125380
273.902916 54.216270
275.233789 54.307001
276.571128 54.397574
277.914966 54.487987
279.265333 54.578240
280.622261 54.668334
281.985783 54.758267
283.355930 54.848039
284.732734 54.937650
286.116228 55.027100
287.506445 55.116388
288.903416 55.205514
290.307175 55.294477
291.717755 55.383277
293.135189 55.471914
294.559510 55.560388
295.990752 55.648697
297.428948 55.736841
298.874132 55.824821
300.326338 55.912636
301.785600 56.000285
303.251953 56.087769
304.725431 56.175086
306.206068 56.262236
307.693899 56.349220
309.188960 56.436036
310.691285 56.522684
312.200910 56.609164
313.717869 56.695476
315.242200 56.781618
316.773937 56.867592
318.313117 56.953396
319.859776 57.039030
321.413950 57.124493
322.975675 57.209786
324.544989 57.294908
326.121927 57.379858
327.706528 57.464637
329.298829 57.549243
330.898866 57.633677
332.506678 57.717938
334.122302 57.802025
335.745776 57.885939
337.377139 57.969679
339.016428 58.053245
340.663682 58.136635
342.318941 58.219851
343.982242 58.302891
345.653624 58.385755
347.333129 58.468443
349.020793 58.550954
350.716658 58.633288
352.420763 58.715445
354.133148 58.797424
355.853853 58.879225
357.582919 58.960847
359.320387 59.042291
361.066297 59.123555
362.820690 59.204640
364.583607 59.285545
366.355090 59.366270
368.135181 59.446814
369.923921 59.527176
371.721353 59.607358
373.527518 59.687357
375.342459 59.767175
377.166219 59.846810
378.998840 59.926262
380.840366 60.005530
382.690839 60.084615
384.550304 60.163516
386.418804 60.242233
388.296383 60.320765
390.183085 60.399112
392.078954 60.477273
393.984035 60.555248
395.898373 60.633037
397.822012 60.710640
399.754998 60.788055
401.697377 60.865283
403.649193 60.942324
405.610493 61.019176
407.581323 61.095840
409.561729 61.172315
411.551757 61.248601
413.551455 61.324697
415.560869 61.400604
417.580047 61.476320
419.609036 61.551845
421.647884 61.627179
423.696638 61.702322
425.755347 61.777273
427.824059 61.852032
429.902822 61.926599
431.991687 62.000973
434.090701 62.075153
436.199913 62.149139
438.319375 62.222932
440.449135 62.296530
442.589243 62.369934
444.739749 62.443142
446.900705 62.516155
449.072161 62.588972
451.254167 62.661593
453.446776 62.734018
455.650039 62.806245
457.864007 62.878275
460.088732 62.950107
462.324267 63.021742
464.570665 63.093177
466.827978 63.164414
469.096258 63.235452
471.375560 63.306290
473.665938 63.376929
475.967443 63.447367
478.280132 63.517604
480.604058 63.587641
482.939276 63.657475
485.285840 63.727109
487.643806 63.796540
490.013229 63.865768
492.394165 63.934794
494.786670 64.003616
497.190800 64.072235
499.606611 64.140650
502.034161 64.208861
504.473506 64.276866
506.924703 64.344667
509.387811 64.412262
511.862886 64.479652
514.349988 64.546835
516.849175 64.613811
519.360505 64.680581
521.884037 64.747143
524.419831 64.813498
526.967946 64.879645
529.528442 64.945583
532.101379 65.011312
534.686818 65.076833
537.284820 65.142143
539.895445 65.207244
542.518755 65.272135
545.154811 65.336814
547.803676 65.401283
550.465411 65.465541
553.140080 65.529587
555.827744 65.593420
558.528468 65.657042
561.242314 65.720450
563.969347 65.783645
566.709630 65.846626
569.463228 65.909394
572.230205 65.971947
575.010627 66.034286
577.804559 66.096409
580.612066 66.158317
583.433215 66.220009
586.268072 66.281485
589.116702 66.342744
591.979174 66.403787
594.855555 66.464612
597.745912 66.525220
600.650313 66.585609
603.568826 66.645780
606.501520 66.705733
609.448463 66.765466
612.409726 66.824980
615.385377 66.884273
618.375486 66.943347
621.380125 67.002200
624.399362 67.060832
627.433270 67.119242
630.481919 67.177431
633.545382 67.235398
636.623729 67.293142
639.717035 67.350664
642.825370 67.407962
645.948808 67.465037
649.087423 67.521887
652.241288 67.578514
655.410478 67.634915
658.595066 67.691092
661.795128 67.747043
665.010739 67.802769
668.241974 67.858268
671.488910 67.913541
674.751622 67.968586
678.030188 68.023405
681.324684 68.077996
684.635187 68.132359
687.961776 68.186493
691.304529 68.240399
694.663524 68.294076
698.038840 68.347523
701.430556 68.400740
704.838752 68.453727
708.263509 68.506484
711.704906 68.559009
715.163025 68.611303
718.637946 68.663366
722.129752 68.715196
725.638524 68.766794
729.164345 68.818159
732.707298 68.869291
736.267465 68.920189
739.844931 68.970854
743.439780 69.021284
747.052096 69.071479
750.681964 69.121440
754.329469 69.171165
757.994697 69.220654
761.677734 69.269907
765.378667 69.318923
769.097582 69.367703
772.834567 69.416246
776.589710 69.464550
780.363099 69.512617
784.154823 69.560446
787.964970 69.608035
791.793630 69.655386
795.640894 69.702497
799.506851 69.749368
803.391592 69.795999
807.295209 69.842390
811.217794 69.888539
815.159438 69.934447
819.120234 69.980114
823.100275 70.025538
827.099655 70.070720
831.118468 70.115660
835.156808 70.160356
839.214770 70.204808
843.292449 70.249017
847.389941 70.292981
851.507343 70.336701
855.644751 70.380175
859.802262 70.423405
863.979974 70.466388
868.177985 70.509126
872.396394 70.551617
876.635300 70.593861
880.894803 70.635857
885.175002 70.677607
889.475998 70.719108
893.797893 70.760361
898.140787 70.801365
902.504783 70.842120
906.889984 70.882625
911.296491 70.922881
915.724410 70.962887
920.173843 71.002642
924.644896 71.042146
929.137674 71.081399
933.652281 71.120400
938.188825 71.159149
942.747411 71.197645
947.328147 71.235889
951.931141 71.273880
956.556500 71.311617
961.204334 71.349100
965.874751 71.386330
970.567861 71.423304
975.283774 71.460023
980.022602 71.496487
984.784455 71.532696
989.569446 71.568648
994.377687 71.604344
999.209291 71.639783
1004.064371 71.674964
1008.943041 71.709888
1013.845417 71.744554
1018.771613 71.778962
1023.721745 71.813111
1028.695929 71.847001
1033.694282 71.880632
1038.716922 71.914003
1043.763966 71.947113
1048.835534 71.979963
1053.931744 72.012552
1059.052716 72.044880
1064.198571 72.076946
1069.369429 72.108751
1074.565412 72.140292
1079.786641 72.171571
1085.033240 72.202587
1090.305332 72.233340
1095.603041 72.263828
1100.926490 72.294052
1106.275806 72.324012
1111.651114 72.353707
1117.052540 72.383136
1122.480212 72.412300
1127.934255 72.441197
1133.414800 72.469828
1138.921974 72.498193
1144.455907 72.526290
1150.016729 72.554119
1155.604571 72.581681
1161.219563 72.608974
1166.861839 72.635998
1172.531529 72.662754
1178.228769 72.689240
1183.953690 72.715456
1189.706429 72.741402
1195.487120 72.767078
1201.295898 72.792483
1207.132902 72.817616
1212.998266 72.842478
1218.892130 72.867068
1224.814632 72.891385
1230.765911 72.915430
1236.746106 72.939201
1242.755359 72.962699
1248.793811 72.985924
1254.861602 73.008874
1260.958877 73.031549
1267.085778 73.053950
1273.242449 73.076075
1279.429035 73.097924
1285.645681 73.119497
1291.892533 73.140794
1298.169738 73.161814
1304.477443 73.182557
1310.815798 73.203023
1317.184949 73.223210
1323.585048 73.243119
1330.016245 73.262750
1336.478690 73.282101
1342.972536 73.301173
1349.497935 73.319966
1356.055040 73.338478
1362.644006 73.356709
1369.264987 73.374660
1375.918138 73.392330
1382.603617 73.409718
1389.321580 73.426824
1396.072186 73.443647
1402.855592 73.460188
1409.671958 73.476446
1416.521444 73.492420
1423.404211 73.508111
1430.320421 73.523517
1437.270236 73.538638
1444.253820 73.553475
1451.271337 73.568027
1458.322951 73.582292
1465.408829 73.596272
1472.529136 73.609965
1479.684040 73.623372
1486.873710 73.636491
1494.098313 73.649323
1501.358020 73.661867
1508.653002 73.674122
1515.983429 73.686089
1523.349474 73.697767
1530.751311 73.709156
1538.189112 73.720255
1545.663053 73.731063
1553.173309 73.741581
1560.720057 73.751809
1568.303474 73.761745
1575.923739 73.771389
1583.581029 73.780742
1591.275526 73.789802
1599.007410 73.798570
1606.776862 73.807044
1614.584065 73.815225
1622.429204 73.823112
1630.312461 73.830705
1638.234022 73.838004
1646.194073 73.845007
1654.192802 73.851716
1662.230395 73.858128
1670.307043 73.864245
1678.422935 73.870065
1686.578261 73.875588
1694.773213 73.880814
1703.007984 73.885743
1711.282767 73.890374
1719.597757 73.894706
1727.953148 73.898740
1736.349138 73.902475
1744.785923 73.905911
1753.263702 73.909047
1761.782673 73.911882
1770.343038 73.914418
1778.944997 73.916652
