Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	43,4	
0	-Inf	
43,0836	33,1	
86,1673	39,6	
129,251	38,7	
172,335	34,0	
215,418	29,2	
258,502	24,8	
301,585	26,5	
344,669	25,9	
387,753	25,5	
430,836	23,7	
473,92	26,9	
517,004	27,6	
560,087	30,5	
603,171	33,5	
646,255	28,8	
689,338	26,0	
732,422	27,9	
775,506	20,1	
818,589	20,7	
861,673	20,9	
904,756	22,2	
947,84	23,5	
990,924	20,4	
1034,01	15,5	
1077,09	17,7	
1120,17	17,3	
1163,26	16,2	
1206,34	15,0	
1249,43	16,0	
1292,51	15,7	
1335,59	14,7	
1378,68	13,9	
1421,76	15,5	
1464,84	16,3	
1507,93	15,6	
1551,01	16,2	
1594,09	15,7	
1637,18	16,5	
1680,26	17,8	
1723,35	16,2	
1766,43	15,9	
1809,51	17,2	
1852,6	16,6	
1895,68	16,7	
1938,76	17,6	
1981,85	17,6	
2024,93	16,9	
2068,01	16,3	
2111,1	15,9	
2154,18	16,9	
2197,27	16,7	
2240,35	15,4	
2283,43	15,0	
2326,52	15,3	
2369,6	15,4	
2412,68	13,6	
2455,77	14,1	
2498,85	15,5	
2541,93	14,9	
2585,02	14,6	
2628,1	15,4	
2671,19	15,3	
2714,27	14,9	
2757,35	15,8	
2800,44	15,1	
2843,52	14,3	
2886,6	14,8	
2929,69	16,0	
2972,77	19,0	
3015,85	16,1	
3058,94	14,3	
3102,02	15,5	
3145,11	14,6	
3188,19	14,5	
3231,27	15,3	
3274,36	15,2	
3317,44	15,3	
3360,52	15,0	
3403,61	14,5	
3446,69	13,9	
3489,77	14,0	
3532,86	14,5	
3575,94	13,8	
3619,03	14,4	
3662,11	14,3	
3705,19	14,7	
3748,28	15,0	
3791,36	14,6	
3834,44	14,0	
3877,53	13,2	
3920,61	12,8	
3963,69	13,4	
4006,78	13,5	
4049,86	14,1	
4092,95	13,2	
4136,03	12,4	
4179,11	12,1	
4222,2	12,4	
4265,28	13,4	
4308,36	12,7	
4351,45	12,1	
4394,53	12,0	
4437,62	11,5	
4480,7	11,8	
4523,78	12,1	
4566,87	11,1	
4609,95	11,3	
4653,03	11,2	
4696,12	11,6	
4739,2	11,7	
4782,28	11,9	
4825,37	11,8	
4868,45	11,7	
4911,54	11,0	
4954,62	11,7	
4997,7	12,1	
5040,79	11,9	
5083,87	12,1	
5126,95	11,2	
5170,04	10,3	
5213,12	10,6	
5256,2	9,8	
5299,29	10,1	
5342,37	9,0	
5385,46	9,1	
5428,54	9,8	
5471,62	9,9	
5514,71	9,9	
5557,79	10,9	
5600,87	10,7	
5643,96	9,8	
5687,04	9,4	
5730,12	9,2	
5773,21	8,8	
5816,29	8,3	
5859,38	7,9	
5902,46	7,7	
5945,54	7,6	
5988,63	7,8	
6031,71	7,2	
6074,79	7,2	
6117,88	7,0	
6160,96	6,7	
6204,04	5,9	
6247,13	6,3	
6290,21	5,9	
6333,3	6,2	
6376,38	5,4	
6419,46	5,3	
6462,55	5,7	
6505,63	5,9	
6548,71	6,3	
6591,8	7,0	
6634,88	7,5	
6677,96	8,3	
6721,05	8,3	
6764,13	9,6	
6807,22	10,8	
6850,3	11,1	
6893,38	11,8	
6936,47	12,7	
6979,55	13,2	
7022,63	13,3	
7065,72	14,0	
7108,8	14,9	
7151,88	15,7	
7194,97	15,5	
7238,05	16,2	
7281,14	16,2	
7324,22	16,0	
7367,3	16,7	
7410,39	17,7	
7453,47	18,4	
7496,55	18,0	
7539,64	17,6	
7582,72	17,3	
7625,8	17,7	
7668,89	17,8	
7711,97	17,5	
7755,06	17,4	
7798,14	17,4	
7841,22	16,9	
7884,31	18,1	
7927,39	18,0	
7970,47	17,8	
8013,56	17,4	
8056,64	16,9	
8099,72	16,1	
8142,81	16,5	
8185,89	16,9	
8228,98	16,1	
8272,06	16,7	
8315,14	16,8	
8358,23	15,6	
8401,31	15,4	
8444,39	14,6	
8487,48	14,2	
8530,56	13,7	
8573,64	13,5	
8616,73	13,9	
8659,81	13,1	
8702,9	13,1	
8745,98	13,2	
8789,06	13,7	
8832,15	13,6	
8875,23	13,5	
8918,31	13,6	
8961,4	12,8	
9004,48	13,1	
9047,56	13,7	
9090,65	14,4	
9133,73	14,8	
9176,82	15,0	
9219,9	13,6	
9262,98	13,0	
9306,07	12,7	
9349,15	13,3	
9392,23	14,4	
9435,32	14,0	
9478,4	13,7	
9521,48	13,3	
9564,57	14,1	
9607,65	13,3	
9650,74	13,1	
9693,82	14,8	
9736,9	14,6	
9779,99	13,3	
9823,07	12,4	
9866,15	13,4	
9909,24	13,1	
9952,32	12,8	
9995,4	12,4	
10038,5	13,5	
10081,6	13,6	
10124,7	12,7	
10167,7	13,5	
10210,8	13,0	
10253,9	12,5	
10297	13,6	
10340,1	13,6	
10383,2	12,7	
10426,2	14,3	
10469,3	14,3	
10512,4	13,6	
10555,5	13,0	
10598,6	13,1	
10641,7	13,2	
10684,7	13,1	
10727,8	11,6	
10770,9	12,8	
10814	13,4	
10857,1	13,0	
10900,2	12,5	
10943,2	13,0	
10986,3	12,7	
11029,4	12,4	
11072,5	12,6	
11115,6	13,1	
11158,7	12,1	
11201,7	11,6	
11244,8	10,6	
11287,9	10,6	
11331	11,0	
11374,1	10,7	
11417,2	10,1	
11460,2	10,2	
11503,3	10,2	
11546,4	10,2	
11589,5	9,8	
11632,6	9,5	
11675,7	8,9	
11718,8	8,6	
11761,8	8,9	
11804,9	9,4	
11848	8,9	
11891,1	8,8	
11934,2	8,8	
11977,3	7,6	
12020,3	7,7	
12063,4	7,6	
12106,5	7,7	
12149,6	6,9	
12192,7	6,7	
12235,8	6,7	
12278,8	6,2	
12321,9	5,8	
12365	4,7	
12408,1	4,3	
12451,2	3,2	
12494,3	2,9	
12537,3	3,4	
12580,4	2,4	
12623,5	1,8	
12666,6	0,3	
12709,7	-1,2	
12752,8	0,5	
12795,8	-0,7	
12838,9	-1,0	
12882	-1,6	
12925,1	-1,9	
12968,2	-3,0	
13011,3	-2,8	
13054,3	-2,8	
13097,4	-4,7	
13140,5	-5,0	
13183,6	-4,4	
13226,7	-5,6	
13269,8	-6,8	
13312,8	-7,5	
13355,9	-8,4	
13399	-8,5	
13442,1	-7,9	
13485,2	-7,2	
13528,3	-8,2	
13571,3	-7,9	
13614,4	-8,9	
13657,5	-9,2	
13700,6	-9,1	
13743,7	-9,6	
13786,8	-9,6	
13829,8	-10,7	
13872,9	-10,5	
13916	-10,3	
13959,1	-11,7	
14002,2	-11,0	
14045,3	-9,5	
14088,4	-9,6	
14131,4	-10,5	
14174,5	-10,2	
14217,6	-9,7	
14260,7	-10,1	
14303,8	-9,8	
14346,9	-9,4	
14389,9	-8,4	
14433	-8,1	
14476,1	-6,9	
14519,2	-7,3	
14562,3	-7,6	
14605,4	-7,2	
14648,4	-6,0	
14691,5	-6,7	
14734,6	-6,8	
14777,7	-6,1	
14820,8	-6,0	
14863,9	-4,8	
14906,9	2,7	
14950	21,6	
14993,1	32,2	
15036,2	30,0	
15079,3	11,5	
15122,4	-1,0	
15165,4	-5,0	
15208,5	-7,0	
15251,6	-6,6	
15294,7	-6,4	
15337,8	-5,8	
15380,9	-5,3	
15423,9	-5,2	
15467	-6,4	
15510,1	-6,6	
15553,2	-5,0	
15596,3	-6,0	
15639,4	-5,8	
15682,4	-6,3	
15725,5	-5,9	
15768,6	-5,3	
15811,7	-5,2	
15854,8	-4,8	
15897,9	-5,4	
15940,9	-6,0	
15984	-4,8	
16027,1	-3,4	
16070,2	-3,8	
16113,3	-4,2	
16156,4	-3,7	
16199,4	-3,8	
16242,5	-4,3	
16285,6	-3,6	
16328,7	-3,3	
16371,8	-3,5	
16414,9	-4,5	
16458	-4,3	
16501	-3,5	
16544,1	-3,4	
16587,2	-3,8	
16630,3	-3,6	
16673,4	-3,5	
16716,5	-4,0	
16759,5	-4,7	
16802,6	-4,1	
16845,7	-4,2	
16888,8	-3,1	
16931,9	-3,3	
16975	-4,0	
17018	-3,4	
17061,1	-3,1	
17104,2	-3,2	
17147,3	-3,6	
17190,4	-4,8	
