Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	106,1	
0	-Inf	
43,0836	33,0	
86,1673	39,7	
129,251	39,2	
172,335	35,5	
215,418	30,9	
258,502	31,8	
301,585	33,8	
344,669	30,6	
387,753	25,7	
430,836	24,5	
473,92	32,3	
517,004	31,2	
560,087	29,0	
603,171	32,9	
646,255	31,8	
689,338	24,9	
732,422	25,6	
775,506	36,5	
818,589	36,5	
861,673	27,0	
904,756	23,3	
947,84	23,8	
990,924	23,8	
1034,01	23,1	
1077,09	24,1	
1120,17	24,3	
1163,26	24,6	
1206,34	25,4	
1249,43	24,6	
1292,51	26,2	
1335,59	26,5	
1378,68	28,2	
1421,76	28,8	
1464,84	31,2	
1507,93	34,7	
1551,01	36,5	
1594,09	37,3	
1637,18	40,4	
1680,26	43,9	
1723,35	48,7	
1766,43	51,0	
1809,51	57,8	
1852,6	64,0	
1895,68	74,5	
1938,76	92,1	
1981,85	105,0	
2024,93	104,3	
2068,01	89,1	
2111,1	72,9	
2154,18	63,8	
2197,27	56,6	
2240,35	52,3	
2283,43	46,9	
2326,52	43,5	
2369,6	40,2	
2412,68	37,0	
2455,77	35,9	
2498,85	33,5	
2541,93	30,2	
2585,02	30,2	
2628,1	26,8	
2671,19	27,9	
2714,27	25,6	
2757,35	25,1	
2800,44	25,0	
2843,52	25,4	
2886,6	23,7	
2929,69	23,5	
2972,77	23,9	
3015,85	23,9	
3058,94	22,7	
3102,02	22,2	
3145,11	28,4	
3188,19	39,3	
3231,27	38,2	
3274,36	25,0	
3317,44	22,3	
3360,52	21,8	
3403,61	22,2	
3446,69	21,8	
3489,77	21,0	
3532,86	21,5	
3575,94	21,1	
3619,03	21,1	
3662,11	21,5	
3705,19	21,5	
3748,28	19,2	
3791,36	18,6	
3834,44	18,4	
3877,53	20,8	
3920,61	28,2	
3963,69	55,9	
4006,78	60,5	
4049,86	52,9	
4092,95	24,9	
4136,03	17,5	
4179,11	17,2	
4222,2	16,9	
4265,28	17,1	
4308,36	16,6	
4351,45	16,4	
4394,53	20,3	
4437,62	19,2	
4480,7	15,3	
4523,78	16,5	
4566,87	15,3	
4609,95	14,3	
4653,03	14,9	
4696,12	14,2	
4739,2	14,4	
4782,28	14,8	
4825,37	14,8	
4868,45	15,2	
4911,54	14,1	
4954,62	14,0	
4997,7	14,2	
5040,79	12,6	
5083,87	13,2	
5126,95	12,8	
5170,04	12,0	
5213,12	13,9	
5256,2	14,5	
5299,29	13,0	
5342,37	12,2	
5385,46	11,4	
5428,54	12,1	
5471,62	11,3	
5514,71	12,0	
5557,79	12,0	
5600,87	12,5	
5643,96	11,8	
5687,04	11,1	
5730,12	11,2	
5773,21	11,2	
5816,29	10,6	
5859,38	9,9	
5902,46	9,4	
5945,54	14,1	
5988,63	23,2	
6031,71	21,4	
6074,79	9,4	
6117,88	7,0	
6160,96	7,6	
6204,04	6,7	
6247,13	7,3	
6290,21	7,6	
6333,3	7,5	
6376,38	7,4	
6419,46	7,1	
6462,55	6,6	
6505,63	8,5	
6548,71	9,1	
6591,8	7,8	
6634,88	8,3	
6677,96	8,8	
6721,05	8,5	
6764,13	10,0	
6807,22	12,0	
6850,3	13,2	
6893,38	12,4	
6936,47	13,6	
6979,55	13,7	
7022,63	13,8	
7065,72	14,3	
7108,8	14,7	
7151,88	15,0	
7194,97	14,9	
7238,05	16,8	
7281,14	17,8	
7324,22	17,8	
7367,3	17,7	
7410,39	18,4	
7453,47	18,7	
7496,55	18,1	
7539,64	17,8	
7582,72	18,4	
7625,8	19,4	
7668,89	18,0	
7711,97	17,6	
7755,06	18,0	
7798,14	18,9	
7841,22	19,1	
7884,31	18,0	
7927,39	17,8	
7970,47	22,9	
8013,56	25,1	
8056,64	19,6	
8099,72	18,9	
8142,81	18,7	
8185,89	16,9	
8228,98	17,0	
8272,06	17,7	
8315,14	16,6	
8358,23	16,0	
8401,31	15,7	
8444,39	14,7	
8487,48	14,8	
8530,56	14,3	
8573,64	12,9	
8616,73	12,9	
8659,81	14,5	
8702,9	13,6	
8745,98	13,5	
8789,06	13,6	
8832,15	14,0	
8875,23	14,2	
8918,31	14,7	
8961,4	14,3	
9004,48	15,3	
9047,56	15,5	
9090,65	14,5	
9133,73	13,2	
9176,82	13,9	
9219,9	14,6	
9262,98	16,4	
9306,07	25,0	
9349,15	25,3	
9392,23	15,7	
9435,32	14,4	
9478,4	14,4	
9521,48	13,8	
9564,57	14,0	
9607,65	14,6	
9650,74	14,0	
9693,82	13,3	
9736,9	13,6	
9779,99	14,4	
9823,07	14,7	
9866,15	12,9	
9909,24	13,5	
9952,32	20,7	
9995,4	29,2	
10038,5	25,8	
10081,6	12,2	
10124,7	12,0	
10167,7	12,7	
10210,8	13,3	
10253,9	13,2	
10297	14,3	
10340,1	13,7	
10383,2	12,8	
10426,2	12,7	
10469,3	12,7	
10512,4	14,1	
10555,5	14,1	
10598,6	12,9	
10641,7	13,0	
10684,7	13,0	
10727,8	13,0	
10770,9	12,2	
10814	12,7	
10857,1	12,6	
10900,2	12,5	
10943,2	13,3	
10986,3	13,3	
11029,4	12,5	
11072,5	13,0	
11115,6	12,9	
11158,7	12,6	
11201,7	12,2	
11244,8	12,1	
11287,9	12,1	
11331	11,2	
11374,1	12,0	
11417,2	11,2	
11460,2	10,7	
11503,3	10,6	
11546,4	10,6	
11589,5	10,9	
11632,6	10,5	
11675,7	9,7	
11718,8	10,0	
11761,8	9,9	
11804,9	8,9	
11848	8,1	
11891,1	8,5	
11934,2	8,5	
11977,3	11,1	
12020,3	12,5	
12063,4	8,0	
12106,5	7,6	
12149,6	8,2	
12192,7	7,6	
12235,8	6,3	
12278,8	6,2	
12321,9	5,3	
12365	5,0	
12408,1	4,7	
12451,2	3,5	
12494,3	4,0	
12537,3	3,2	
12580,4	2,0	
12623,5	1,5	
12666,6	1,5	
12709,7	0,7	
12752,8	1,0	
12795,8	0,3	
12838,9	-0,2	
12882	-0,7	
12925,1	-2,4	
12968,2	-2,9	
13011,3	-2,6	
13054,3	-3,1	
13097,4	-4,2	
13140,5	-4,5	
13183,6	-4,7	
13226,7	-5,2	
13269,8	-3,5	
13312,8	6,1	
13355,9	5,3	
13399	-6,0	
13442,1	-8,2	
13485,2	-8,8	
13528,3	-8,4	
13571,3	-7,4	
13614,4	-8,4	
13657,5	-9,6	
13700,6	-9,8	
13743,7	-10,0	
13786,8	-9,9	
13829,8	-9,9	
13872,9	-10,6	
13916	-11,1	
13959,1	-10,8	
14002,2	-8,0	
14045,3	-8,8	
14088,4	-8,8	
14131,4	-10,3	
14174,5	-10,5	
14217,6	-9,4	
14260,7	-8,9	
14303,8	-9,2	
14346,9	-9,8	
14389,9	-10,1	
14433	-9,1	
14476,1	-8,6	
14519,2	-7,1	
14562,3	-7,2	
14605,4	-8,2	
14648,4	-7,2	
14691,5	-6,7	
14734,6	-7,8	
14777,7	-6,6	
14820,8	-6,5	
14863,9	-6,4	
14906,9	-7,1	
14950	-6,4	
14993,1	-6,6	
15036,2	-6,3	
15079,3	-6,6	
15122,4	-5,8	
15165,4	-5,0	
15208,5	-4,8	
15251,6	-4,8	
15294,7	-5,5	
15337,8	-6,3	
15380,9	-6,9	
15423,9	-7,0	
15467	-6,6	
15510,1	-6,3	
15553,2	-4,9	
15596,3	-4,6	
15639,4	-6,1	
15682,4	-6,0	
15725,5	-5,6	
15768,6	-5,4	
15811,7	-5,1	
15854,8	-4,1	
15897,9	-5,6	
15940,9	-4,7	
15984	0,8	
16027,1	1,7	
16070,2	-3,4	
16113,3	-4,4	
16156,4	-3,7	
16199,4	-3,0	
16242,5	-4,4	
16285,6	-4,7	
16328,7	-3,5	
16371,8	-4,4	
16414,9	-4,2	
16458	-3,3	
16501	-3,4	
16544,1	-4,1	
16587,2	-4,3	
16630,3	-3,4	
16673,4	-2,8	
16716,5	-3,3	
16759,5	-3,8	
16802,6	-3,4	
16845,7	-3,2	
16888,8	-4,2	
16931,9	-3,7	
16975	-4,3	
17018	-4,2	
17061,1	-4,3	
17104,2	-3,7	
17147,3	-3,2	
17190,4	-4,3	
