x_log y_smooth
118.072679 41.196110
118.646719 40.588655
119.223551 39.993904
119.803187 39.411766
120.385641 38.842152
120.970927 38.284972
121.559058 37.740139
122.150049 37.207561
122.743913 36.687149
123.340664 36.178816
123.940316 35.682470
124.542884 35.198022
125.148381 34.725384
125.756822 34.264466
126.368222 33.815179
126.982593 33.377432
127.599952 32.951138
128.220312 32.536206
128.843688 32.132547
129.470095 31.740072
130.099547 31.358691
130.732059 30.988316
131.367647 30.628856
132.006325 30.280223
132.648107 29.942327
133.293010 29.615078
133.941048 29.298388
134.592237 28.992167
135.246592 28.696326
135.904128 28.410774
136.564861 28.135424
137.228807 27.870186
137.895980 27.614969
138.566397 27.369686
139.240073 27.134246
139.917024 26.908560
140.597267 26.692539
141.280817 26.486094
141.967690 26.289135
142.657902 26.101573
143.351470 25.923318
144.048411 25.754281
144.748739 25.594373
145.452472 25.443504
146.159627 25.301586
146.870220 25.168528
147.584267 25.044241
148.301786 24.928637
149.022793 24.821625
149.747306 24.723116
150.475341 24.633022
151.206916 24.551252
151.942047 24.477717
152.680752 24.412328
153.423049 24.354995
154.168955 24.305630
154.918487 24.264143
155.671663 24.230444
156.428501 24.204444
157.189018 24.186054
157.953233 24.175185
158.721164 24.171747
159.492827 24.175650
160.268243 24.186806
161.047428 24.205125
161.830402 24.230517
162.617182 24.262894
163.407787 24.302166
164.202236 24.348243
165.000548 24.401037
165.802740 24.460458
166.608833 24.526416
167.418845 24.598823
168.232795 24.677588
169.050702 24.762623
169.872585 24.853838
170.698465 24.951144
171.528359 25.054451
172.362289 25.163671
173.200272 25.278713
174.042330 25.399489
174.888482 25.525909
175.738747 25.657884
176.593146 25.795324
177.451699 25.938140
178.314426 26.086242
179.181348 26.239542
180.052484 26.397950
180.927856 26.561377
181.807483 26.729733
182.691387 26.902929
183.579588 27.080875
184.472108 27.263483
185.368966 27.450662
186.270185 27.642324
187.175786 27.838380
188.085789 28.038739
189.000216 28.243312
189.919090 28.452011
190.842430 28.664745
191.770260 28.881426
192.702600 29.101964
193.639474 29.326270
194.580902 29.554254
195.526907 29.785827
196.477511 30.020899
197.432738 30.259382
198.392608 30.501186
199.357144 30.746222
200.326370 30.994400
201.300309 31.245631
202.278982 31.499825
203.262413 31.756893
204.250626 32.016747
205.243643 32.279296
206.241488 32.544451
207.244184 32.812123
208.251755 33.082222
209.264224 33.354660
210.281616 33.629346
211.303955 33.906192
212.331263 34.185108
213.363566 34.466004
214.400888 34.748792
215.443253 35.033382
216.490686 35.319684
217.543212 35.607610
218.600854 35.897070
219.663638 36.187974
220.731590 36.480234
221.804733 36.773759
222.883094 37.068461
223.966697 37.364251
225.055569 37.661038
226.149735 37.958734
227.249220 38.257248
228.354051 38.556493
229.464253 38.856378
230.579852 39.156814
231.700876 39.457712
232.827349 39.758983
233.959299 40.060536
235.096753 40.362283
236.239736 40.664134
237.388276 40.966001
238.542401 41.267793
239.702136 41.569421
240.867510 41.870797
242.038549 42.171830
243.215282 42.472431
244.397735 42.772511
245.585938 43.071981
246.779917 43.370750
247.979701 43.668731
249.185319 43.965833
250.396797 44.261968
251.614166 44.557045
252.837453 44.850975
254.066687 45.143670
255.301898 45.435039
256.543114 45.724994
257.790364 46.013445
259.043678 46.300303
260.303086 46.585477
261.568616 46.868880
262.840300 47.150422
264.118165 47.430013
265.402244 47.707563
266.692565 47.982985
267.989160 48.256187
269.292058 48.527082
270.601291 48.795579
271.916889 49.061589
273.238883 49.325023
274.567304 49.585791
275.902184 49.843805
277.243553 50.098974
278.591444 50.351211
279.945888 50.600463
281.306917 50.846743
282.674563 51.090071
284.048858 51.330466
285.429835 51.567945
286.817526 51.802529
288.211963 52.034237
289.613180 52.263086
291.021209 52.489096
292.436083 52.712287
293.857837 52.932676
295.286502 53.150283
296.722114 53.365127
298.164705 53.577227
299.614309 53.786601
301.070961 53.993270
302.534695 54.197250
304.005546 54.398563
305.483547 54.597225
306.968734 54.793257
308.461141 54.986678
309.960805 55.177506
311.467759 55.365760
312.982040 55.551459
314.503683 55.734622
316.032723 55.915268
317.569198 56.093416
319.113142 56.269086
320.664593 56.442295
322.223586 56.613062
323.790159 56.781408
325.364349 56.947350
326.946191 57.110908
328.535724 57.272100
330.132985 57.430946
331.738012 57.587464
333.350842 57.741674
334.971513 57.893594
336.600063 58.043243
338.236531 58.190640
339.880955 58.335805
341.533374 58.478755
343.193826 58.619511
344.862351 58.758090
346.538988 58.894512
348.223777 59.028796
349.916756 59.160961
351.617967 59.291026
353.327448 59.419009
355.045241 59.544930
356.771384 59.668807
358.505920 59.790660
360.248889 59.910507
362.000332 60.028367
363.760290 60.144260
365.528804 60.258204
367.305917 60.370218
369.091669 60.480321
370.886103 60.588532
372.689262 60.694871
374.501186 60.799355
376.321920 60.902003
378.151506 61.002836
379.989987 61.101871
381.837406 61.199128
383.693807 61.294626
385.559234 61.388383
387.433729 61.480419
389.317338 61.570752
391.210104 61.659401
393.112073 61.746386
395.023289 61.831725
396.943796 61.915437
398.873641 61.997541
400.812868 62.078056
402.761523 62.157002
404.719652 62.234396
406.687300 62.310258
408.664515 62.384606
410.651343 62.457461
412.647830 62.528840
414.654024 62.598763
416.669971 62.667248
418.695720 62.734315
420.731317 62.799983
422.776811 62.864269
424.832249 62.927194
426.897680 62.988777
428.973153 63.049035
431.058717 63.107989
433.154420 63.165656
435.260312 63.222057
437.376442 63.277210
439.502860 63.331133
441.639616 63.383847
443.786761 63.435369
445.944345 63.485719
448.112418 63.534915
450.291032 63.582977
452.480238 63.629924
454.680087 63.675774
456.890631 63.720546
459.111923 63.764260
461.344014 63.806934
463.586956 63.848587
465.840804 63.889239
468.105609 63.928907
470.381425 63.967612
472.668305 64.005371
474.966304 64.042205
477.275475 64.078131
479.595873 64.113169
481.927551 64.147338
484.270566 64.180656
486.624972 64.213143
488.990825 64.244818
491.368180 64.275699
493.757093 64.305805
496.157620 64.335156
498.569818 64.363771
500.993744 64.391667
503.429454 64.418863
505.877006 64.445369
508.336457 64.471192
510.807866 64.496339
513.291290 64.520818
515.786788 64.544635
518.294418 64.567798
520.814240 64.590314
523.346312 64.612191
525.890695 64.633435
528.447448 64.654053
531.016632 64.674054
533.598306 64.693444
536.192531 64.712230
538.799369 64.730420
541.418881 64.748020
544.051129 64.765039
546.696173 64.781483
549.354078 64.797359
552.024904 64.812675
554.708715 64.827438
557.405575 64.841655
560.115545 64.855334
562.838691 64.868481
565.575077 64.881103
568.324765 64.893209
571.087823 64.904805
573.864313 64.915899
576.654302 64.926497
579.457856 64.936607
582.275039 64.946236
585.105919 64.955392
587.950563 64.964081
590.809036 64.972311
593.681406 64.980088
596.567741 64.987421
599.468109 64.994317
602.382577 65.000782
605.311215 65.006824
608.254092 65.012450
