Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	67,2	
0	-Inf	
43,0836	31,6	
86,1673	38,2	
129,251	42,1	
172,335	59,1	
215,418	62,9	
258,502	53,5	
301,585	40,4	
344,669	53,5	
387,753	64,4	
430,836	62,7	
473,92	43,9	
517,004	31,2	
560,087	43,5	
603,171	49,2	
646,255	42,7	
689,338	27,8	
732,422	25,5	
775,506	33,8	
818,589	34,5	
861,673	23,7	
904,756	17,9	
947,84	27,4	
990,924	36,1	
1034,01	33,0	
1077,09	17,0	
1120,17	16,2	
1163,26	25,6	
1206,34	29,3	
1249,43	21,9	
1292,51	16,0	
1335,59	16,0	
1378,68	26,7	
1421,76	26,9	
1464,84	17,4	
1507,93	17,1	
1551,01	24,7	
1594,09	32,4	
1637,18	29,0	
1680,26	16,7	
1723,35	16,2	
1766,43	26,9	
1809,51	30,1	
1852,6	22,5	
1895,68	15,2	
1938,76	16,6	
1981,85	23,1	
2024,93	22,7	
2068,01	15,1	
2111,1	15,4	
2154,18	21,6	
2197,27	27,5	
2240,35	23,8	
2283,43	15,9	
2326,52	14,9	
2369,6	27,3	
2412,68	30,3	
2455,77	21,4	
2498,85	13,8	
2541,93	16,5	
2585,02	22,2	
2628,1	20,3	
2671,19	14,9	
2714,27	15,1	
2757,35	24,7	
2800,44	30,6	
2843,52	25,5	
2886,6	15,3	
2929,69	15,5	
2972,77	20,6	
3015,85	22,6	
3058,94	17,5	
3102,02	15,6	
3145,11	15,3	
3188,19	18,0	
3231,27	16,9	
3274,36	14,5	
3317,44	14,2	
3360,52	17,4	
3403,61	21,3	
3446,69	17,8	
3489,77	14,2	
3532,86	14,7	
3575,94	21,7	
3619,03	23,3	
3662,11	16,9	
3705,19	14,3	
3748,28	24,6	
3791,36	33,7	
3834,44	31,1	
3877,53	16,2	
3920,61	13,8	
3963,69	19,3	
4006,78	23,8	
4049,86	18,2	
4092,95	12,6	
4136,03	14,0	
4179,11	22,1	
4222,2	23,0	
4265,28	14,9	
4308,36	11,9	
4351,45	13,3	
4394,53	15,9	
4437,62	13,7	
4480,7	11,3	
4523,78	11,8	
4566,87	16,2	
4609,95	20,0	
4653,03	14,6	
4696,12	10,7	
4739,2	11,9	
4782,28	18,7	
4825,37	19,6	
4868,45	13,7	
4911,54	11,7	
4954,62	12,5	
4997,7	16,3	
5040,79	13,8	
5083,87	11,1	
5126,95	11,1	
5170,04	10,5	
5213,12	10,5	
5256,2	11,0	
5299,29	10,3	
5342,37	10,3	
5385,46	14,2	
5428,54	13,3	
5471,62	10,3	
5514,71	9,4	
5557,79	12,2	
5600,87	18,1	
5643,96	14,0	
5687,04	9,3	
5730,12	9,6	
5773,21	11,5	
5816,29	12,6	
5859,38	9,0	
5902,46	8,6	
5945,54	8,5	
5988,63	12,2	
6031,71	11,7	
6074,79	7,0	
6117,88	6,9	
6160,96	8,1	
6204,04	11,9	
6247,13	8,0	
6290,21	5,8	
6333,3	6,7	
6376,38	8,8	
6419,46	9,2	
6462,55	6,4	
6505,63	5,6	
6548,71	6,2	
6591,8	7,5	
6634,88	7,5	
6677,96	7,7	
6721,05	9,1	
6764,13	10,1	
6807,22	10,9	
6850,3	10,9	
6893,38	10,9	
6936,47	12,2	
6979,55	13,0	
7022,63	13,4	
7065,72	14,1	
7108,8	14,3	
7151,88	15,0	
7194,97	15,5	
7238,05	16,3	
7281,14	16,1	
7324,22	17,1	
7367,3	17,3	
7410,39	17,0	
7453,47	17,3	
7496,55	17,5	
7539,64	17,8	
7582,72	18,2	
7625,8	19,0	
7668,89	18,5	
7711,97	18,1	
7755,06	18,4	
7798,14	18,5	
7841,22	17,8	
7884,31	17,7	
7927,39	17,0	
7970,47	16,5	
8013,56	16,9	
8056,64	16,9	
8099,72	15,3	
8142,81	15,2	
8185,89	15,8	
8228,98	15,1	
8272,06	16,0	
8315,14	15,9	
8358,23	15,3	
8401,31	15,7	
8444,39	15,7	
8487,48	15,4	
8530,56	15,4	
8573,64	15,1	
8616,73	15,0	
8659,81	13,2	
8702,9	14,1	
8745,98	14,5	
8789,06	13,9	
8832,15	13,0	
8875,23	13,5	
8918,31	13,7	
8961,4	14,7	
9004,48	14,1	
9047,56	13,4	
9090,65	13,4	
9133,73	13,4	
9176,82	14,1	
9219,9	14,6	
9262,98	13,9	
9306,07	13,8	
9349,15	14,1	
9392,23	14,2	
9435,32	12,9	
9478,4	13,8	
9521,48	13,4	
9564,57	13,4	
9607,65	13,6	
9650,74	13,9	
9693,82	13,5	
9736,9	13,2	
9779,99	14,2	
9823,07	13,6	
9866,15	13,4	
9909,24	13,9	
9952,32	13,7	
9995,4	13,5	
10038,5	14,3	
10081,6	13,8	
10124,7	13,0	
10167,7	12,3	
10210,8	13,5	
10253,9	14,0	
10297	13,3	
10340,1	13,5	
10383,2	13,5	
10426,2	13,3	
10469,3	12,8	
10512,4	12,8	
10555,5	12,6	
10598,6	13,2	
10641,7	12,9	
10684,7	13,2	
10727,8	13,0	
10770,9	12,6	
10814	12,6	
10857,1	12,7	
10900,2	12,5	
10943,2	12,6	
10986,3	12,5	
11029,4	12,8	
11072,5	12,0	
11115,6	11,8	
11158,7	12,1	
11201,7	11,3	
11244,8	11,6	
11287,9	11,8	
11331	11,8	
11374,1	11,6	
11417,2	10,5	
11460,2	11,0	
11503,3	11,0	
11546,4	10,2	
11589,5	10,0	
11632,6	9,3	
11675,7	9,9	
11718,8	9,8	
11761,8	8,6	
11804,9	8,4	
11848	8,9	
11891,1	8,5	
11934,2	8,3	
11977,3	8,0	
12020,3	6,6	
12063,4	6,9	
12106,5	6,8	
12149,6	6,4	
12192,7	5,6	
12235,8	5,7	
12278,8	5,4	
12321,9	5,4	
12365	4,9	
12408,1	4,5	
12451,2	4,1	
12494,3	3,3	
12537,3	2,5	
12580,4	2,6	
12623,5	1,7	
12666,6	1,7	
12709,7	1,2	
12752,8	0,0	
12795,8	0,3	
12838,9	0,3	
12882	-0,9	
12925,1	-3,2	
12968,2	-3,0	
13011,3	-2,4	
13054,3	-3,7	
13097,4	-4,0	
13140,5	-4,4	
13183,6	-5,6	
13226,7	-5,3	
13269,8	-6,1	
13312,8	-6,3	
13355,9	-6,8	
13399	-7,0	
13442,1	-7,4	
13485,2	-7,6	
13528,3	-7,4	
13571,3	-8,1	
13614,4	-8,8	
13657,5	-9,2	
13700,6	-8,9	
13743,7	-9,0	
13786,8	-9,7	
13829,8	-9,7	
13872,9	-9,6	
13916	-9,8	
13959,1	-10,6	
14002,2	-10,4	
14045,3	-9,9	
14088,4	-10,0	
14131,4	-10,2	
14174,5	-10,1	
14217,6	-9,6	
14260,7	-8,6	
14303,8	-9,0	
14346,9	-8,6	
14389,9	-8,1	
14433	-8,4	
14476,1	-8,0	
14519,2	-7,7	
14562,3	-7,6	
14605,4	-7,1	
14648,4	-6,8	
14691,5	-6,8	
14734,6	-6,9	
14777,7	-7,7	
14820,8	-6,6	
14863,9	-6,3	
14906,9	-6,3	
14950	-6,4	
14993,1	-6,4	
15036,2	-5,8	
15079,3	-6,0	
15122,4	-6,9	
15165,4	-6,6	
15208,5	-5,8	
15251,6	-7,3	
15294,7	-6,6	
15337,8	-5,9	
15380,9	-5,8	
15423,9	-6,4	
15467	-6,5	
15510,1	-6,2	
15553,2	-5,7	
15596,3	-6,3	
15639,4	-5,1	
15682,4	-4,9	
15725,5	-5,1	
15768,6	-5,5	
15811,7	-5,3	
15854,8	-4,7	
15897,9	-5,1	
15940,9	-4,6	
15984	-4,7	
16027,1	-3,7	
16070,2	-4,0	
16113,3	-3,8	
16156,4	-3,4	
16199,4	-4,2	
16242,5	-4,1	
16285,6	-3,2	
16328,7	-4,5	
16371,8	-4,1	
16414,9	-4,0	
16458	-3,5	
16501	-3,6	
16544,1	-3,8	
16587,2	-4,0	
16630,3	-4,2	
16673,4	-3,3	
16716,5	-2,9	
16759,5	-2,6	
16802,6	-2,9	
16845,7	-3,1	
16888,8	-3,6	
16931,9	-4,5	
16975	-3,3	
17018	-3,6	
17061,1	-3,9	
17104,2	-3,9	
17147,3	-4,0	
17190,4	-3,8	
