Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	43,1	
0	-Inf	
43,0836	31,2	
86,1673	38,6	
129,251	38,3	
172,335	35,1	
215,418	28,1	
258,502	25,2	
301,585	28,8	
344,669	28,5	
387,753	30,2	
430,836	29,7	
473,92	26,1	
517,004	25,0	
560,087	26,0	
603,171	26,4	
646,255	23,2	
689,338	26,8	
732,422	30,7	
775,506	30,1	
818,589	24,3	
861,673	19,5	
904,756	21,9	
947,84	20,5	
990,924	19,7	
1034,01	19,4	
1077,09	14,9	
1120,17	15,3	
1163,26	15,9	
1206,34	15,4	
1249,43	15,0	
1292,51	14,6	
1335,59	15,4	
1378,68	17,0	
1421,76	16,7	
1464,84	22,6	
1507,93	25,5	
1551,01	22,9	
1594,09	20,3	
1637,18	18,0	
1680,26	19,5	
1723,35	21,6	
1766,43	18,8	
1809,51	17,1	
1852,6	20,4	
1895,68	16,9	
1938,76	16,5	
1981,85	18,8	
2024,93	17,0	
2068,01	16,1	
2111,1	18,2	
2154,18	18,6	
2197,27	21,7	
2240,35	22,1	
2283,43	21,0	
2326,52	17,2	
2369,6	14,6	
2412,68	15,2	
2455,77	16,7	
2498,85	16,6	
2541,93	15,5	
2585,02	13,6	
2628,1	15,5	
2671,19	18,4	
2714,27	20,6	
2757,35	19,8	
2800,44	18,2	
2843,52	18,9	
2886,6	15,9	
2929,69	19,0	
2972,77	18,1	
3015,85	17,2	
3058,94	18,4	
3102,02	19,4	
3145,11	20,2	
3188,19	17,9	
3231,27	15,5	
3274,36	16,0	
3317,44	16,1	
3360,52	14,9	
3403,61	14,7	
3446,69	14,9	
3489,77	15,7	
3532,86	15,5	
3575,94	14,8	
3619,03	15,1	
3662,11	16,3	
3705,19	15,5	
3748,28	14,6	
3791,36	13,7	
3834,44	13,4	
3877,53	14,0	
3920,61	14,4	
3963,69	14,3	
4006,78	12,6	
4049,86	12,6	
4092,95	12,1	
4136,03	12,1	
4179,11	13,0	
4222,2	13,2	
4265,28	13,4	
4308,36	13,5	
4351,45	11,5	
4394,53	10,9	
4437,62	11,6	
4480,7	12,6	
4523,78	11,6	
4566,87	12,0	
4609,95	11,0	
4653,03	10,7	
4696,12	12,1	
4739,2	12,6	
4782,28	11,9	
4825,37	11,6	
4868,45	11,2	
4911,54	11,6	
4954,62	11,3	
4997,7	11,4	
5040,79	10,5	
5083,87	11,5	
5126,95	11,1	
5170,04	11,5	
5213,12	11,2	
5256,2	9,9	
5299,29	10,4	
5342,37	10,1	
5385,46	10,4	
5428,54	10,5	
5471,62	10,5	
5514,71	10,6	
5557,79	10,4	
5600,87	9,7	
5643,96	9,6	
5687,04	9,7	
5730,12	9,4	
5773,21	8,5	
5816,29	9,0	
5859,38	8,9	
5902,46	7,8	
5945,54	7,8	
5988,63	6,8	
6031,71	7,1	
6074,79	6,3	
6117,88	6,3	
6160,96	6,2	
6204,04	5,7	
6247,13	5,3	
6290,21	5,5	
6333,3	5,5	
6376,38	6,4	
6419,46	5,5	
6462,55	6,1	
6505,63	6,8	
6548,71	7,2	
6591,8	7,2	
6634,88	7,9	
6677,96	8,7	
6721,05	8,6	
6764,13	9,8	
6807,22	11,5	
6850,3	12,2	
6893,38	12,1	
6936,47	11,8	
6979,55	11,7	
7022,63	12,9	
7065,72	13,9	
7108,8	14,1	
7151,88	15,5	
7194,97	16,0	
7238,05	15,5	
7281,14	16,7	
7324,22	17,5	
7367,3	17,5	
7410,39	17,1	
7453,47	17,1	
7496,55	17,8	
7539,64	18,0	
7582,72	17,6	
7625,8	18,2	
7668,89	18,7	
7711,97	18,8	
7755,06	18,2	
7798,14	17,1	
7841,22	17,1	
7884,31	17,8	
7927,39	17,1	
7970,47	16,4	
8013,56	15,5	
8056,64	16,4	
8099,72	16,1	
8142,81	16,3	
8185,89	15,8	
8228,98	15,9	
8272,06	15,8	
8315,14	15,0	
8358,23	14,8	
8401,31	14,5	
8444,39	14,3	
8487,48	14,1	
8530,56	13,3	
8573,64	13,9	
8616,73	14,4	
8659,81	14,3	
8702,9	14,5	
8745,98	14,4	
8789,06	14,3	
8832,15	13,5	
8875,23	13,4	
8918,31	13,1	
8961,4	13,8	
9004,48	14,7	
9047,56	14,1	
9090,65	13,1	
9133,73	14,3	
9176,82	14,3	
9219,9	14,5	
9262,98	14,7	
9306,07	14,0	
9349,15	13,1	
9392,23	13,5	
9435,32	13,0	
9478,4	13,4	
9521,48	13,7	
9564,57	13,3	
9607,65	13,6	
9650,74	14,0	
9693,82	13,9	
9736,9	13,2	
9779,99	13,1	
9823,07	14,3	
9866,15	13,9	
9909,24	13,9	
9952,32	13,8	
9995,4	14,0	
10038,5	13,2	
10081,6	13,6	
10124,7	13,1	
10167,7	13,1	
10210,8	13,0	
10253,9	13,2	
10297	13,3	
10340,1	13,9	
10383,2	13,6	
10426,2	13,3	
10469,3	13,9	
10512,4	13,2	
10555,5	13,0	
10598,6	13,1	
10641,7	13,3	
10684,7	12,4	
10727,8	12,2	
10770,9	12,3	
10814	11,9	
10857,1	11,7	
10900,2	12,4	
10943,2	12,3	
10986,3	12,5	
11029,4	11,9	
11072,5	11,5	
11115,6	12,2	
11158,7	12,1	
11201,7	12,4	
11244,8	11,4	
11287,9	10,2	
11331	10,0	
11374,1	9,9	
11417,2	10,7	
11460,2	11,1	
11503,3	9,3	
11546,4	9,7	
11589,5	9,7	
11632,6	9,6	
11675,7	9,8	
11718,8	9,7	
11761,8	9,7	
11804,9	9,6	
11848	8,7	
11891,1	7,9	
11934,2	7,7	
11977,3	7,3	
12020,3	7,0	
12063,4	7,0	
12106,5	6,7	
12149,6	6,4	
12192,7	7,1	
12235,8	6,7	
12278,8	5,9	
12321,9	5,1	
12365	4,5	
12408,1	4,4	
12451,2	3,7	
12494,3	4,0	
12537,3	2,7	
12580,4	1,2	
12623,5	1,5	
12666,6	1,4	
12709,7	0,8	
12752,8	0,0	
12795,8	0,1	
12838,9	-1,4	
12882	-2,1	
12925,1	-1,9	
12968,2	-1,9	
13011,3	-3,2	
13054,3	-4,1	
13097,4	-3,9	
13140,5	-4,4	
13183,6	-5,0	
13226,7	-5,8	
13269,8	-6,0	
13312,8	-6,9	
13355,9	-7,0	
13399	-7,2	
13442,1	-8,2	
13485,2	-8,1	
13528,3	-7,6	
13571,3	-8,3	
13614,4	-9,0	
13657,5	-8,6	
13700,6	-9,7	
13743,7	-10,8	
13786,8	-10,0	
13829,8	-9,8	
13872,9	-10,5	
13916	-10,8	
13959,1	-11,0	
14002,2	-10,0	
14045,3	-10,3	
14088,4	-10,6	
14131,4	-10,1	
14174,5	-10,2	
14217,6	-9,7	
14260,7	-9,6	
14303,8	-9,6	
14346,9	-9,7	
14389,9	-9,3	
14433	-7,6	
14476,1	-7,1	
14519,2	-7,2	
14562,3	-8,5	
14605,4	-8,3	
14648,4	-7,6	
14691,5	-6,5	
14734,6	-6,9	
14777,7	-7,4	
14820,8	-6,2	
14863,9	-6,5	
14906,9	-7,0	
14950	-7,0	
14993,1	-7,0	
15036,2	-6,3	
15079,3	-5,4	
15122,4	-7,4	
15165,4	-7,5	
15208,5	-5,5	
15251,6	-5,9	
15294,7	-6,3	
15337,8	-6,5	
15380,9	-5,5	
15423,9	-5,8	
15467	-6,5	
15510,1	-6,8	
15553,2	-5,6	
15596,3	-4,3	
15639,4	-4,7	
15682,4	-5,6	
15725,5	-5,7	
15768,6	-5,6	
15811,7	-5,1	
15854,8	-4,3	
15897,9	-5,0	
15940,9	-4,6	
15984	-4,3	
16027,1	-4,0	
16070,2	-4,6	
16113,3	-4,1	
16156,4	-4,4	
16199,4	-3,7	
16242,5	-3,4	
16285,6	-3,6	
16328,7	-3,9	
16371,8	-3,8	
16414,9	-3,9	
16458	-4,1	
16501	-3,6	
16544,1	-3,6	
16587,2	-3,5	
16630,3	-3,3	
16673,4	-3,2	
16716,5	-3,7	
16759,5	-4,1	
16802,6	-4,6	
16845,7	-4,4	
16888,8	-3,9	
16931,9	-4,2	
16975	-5,3	
17018	-4,9	
17061,1	-4,1	
17104,2	-3,5	
17147,3	-4,3	
17190,4	-3,8	
