Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	79,8	
0	-Inf	
43,0836	32,3	
86,1673	38,7	
129,251	39,1	
172,335	34,8	
215,418	30,4	
258,502	30,2	
301,585	31,7	
344,669	33,0	
387,753	29,1	
430,836	28,0	
473,92	30,8	
517,004	30,2	
560,087	32,5	
603,171	35,4	
646,255	27,8	
689,338	27,5	
732,422	26,5	
775,506	22,0	
818,589	21,8	
861,673	21,1	
904,756	20,6	
947,84	22,6	
990,924	20,6	
1034,01	19,3	
1077,09	22,6	
1120,17	17,6	
1163,26	17,3	
1206,34	17,3	
1249,43	17,0	
1292,51	21,4	
1335,59	21,9	
1378,68	17,3	
1421,76	20,9	
1464,84	17,9	
1507,93	19,0	
1551,01	24,5	
1594,09	20,4	
1637,18	23,8	
1680,26	26,6	
1723,35	20,4	
1766,43	25,2	
1809,51	26,0	
1852,6	19,1	
1895,68	24,0	
1938,76	24,6	
1981,85	20,1	
2024,93	26,8	
2068,01	24,8	
2111,1	21,3	
2154,18	25,6	
2197,27	21,2	
2240,35	19,0	
2283,43	20,7	
2326,52	16,9	
2369,6	19,0	
2412,68	19,1	
2455,77	16,5	
2498,85	16,9	
2541,93	17,9	
2585,02	15,9	
2628,1	16,4	
2671,19	15,7	
2714,27	15,2	
2757,35	17,5	
2800,44	15,6	
2843,52	15,0	
2886,6	14,8	
2929,69	15,7	
2972,77	16,4	
3015,85	17,0	
3058,94	15,8	
3102,02	14,9	
3145,11	14,6	
3188,19	15,3	
3231,27	15,5	
3274,36	14,5	
3317,44	14,8	
3360,52	15,6	
3403,61	15,1	
3446,69	15,5	
3489,77	15,6	
3532,86	15,2	
3575,94	15,6	
3619,03	15,3	
3662,11	14,6	
3705,19	14,5	
3748,28	14,2	
3791,36	13,4	
3834,44	13,9	
3877,53	14,1	
3920,61	14,4	
3963,69	14,1	
4006,78	13,5	
4049,86	13,1	
4092,95	12,9	
4136,03	12,7	
4179,11	13,0	
4222,2	13,6	
4265,28	12,8	
4308,36	12,5	
4351,45	12,6	
4394,53	12,9	
4437,62	12,8	
4480,7	12,0	
4523,78	12,4	
4566,87	12,7	
4609,95	11,9	
4653,03	11,7	
4696,12	12,2	
4739,2	12,9	
4782,28	12,2	
4825,37	11,7	
4868,45	11,8	
4911,54	12,0	
4954,62	11,8	
4997,7	11,2	
5040,79	12,0	
5083,87	11,1	
5126,95	11,1	
5170,04	12,6	
5213,12	12,7	
5256,2	12,2	
5299,29	12,5	
5342,37	11,3	
5385,46	10,9	
5428,54	11,9	
5471,62	11,1	
5514,71	10,9	
5557,79	10,9	
5600,87	9,6	
5643,96	9,7	
5687,04	10,0	
5730,12	10,1	
5773,21	10,6	
5816,29	9,3	
5859,38	8,7	
5902,46	8,7	
5945,54	8,7	
5988,63	8,4	
6031,71	7,8	
6074,79	7,6	
6117,88	6,6	
6160,96	6,5	
6204,04	6,6	
6247,13	6,2	
6290,21	6,8	
6333,3	6,4	
6376,38	6,6	
6419,46	7,0	
6462,55	7,8	
6505,63	7,7	
6548,71	7,2	
6591,8	7,7	
6634,88	8,3	
6677,96	9,6	
6721,05	9,9	
6764,13	10,2	
6807,22	10,4	
6850,3	11,4	
6893,38	12,3	
6936,47	12,8	
6979,55	13,3	
7022,63	14,0	
7065,72	14,8	
7108,8	15,5	
7151,88	15,7	
7194,97	15,7	
7238,05	17,0	
7281,14	17,5	
7324,22	17,6	
7367,3	17,3	
7410,39	17,4	
7453,47	17,6	
7496,55	17,9	
7539,64	18,7	
7582,72	20,7	
7625,8	20,1	
7668,89	18,9	
7711,97	18,5	
7755,06	19,1	
7798,14	19,0	
7841,22	18,4	
7884,31	17,5	
7927,39	17,4	
7970,47	17,6	
8013,56	17,4	
8056,64	17,5	
8099,72	17,8	
8142,81	17,4	
8185,89	16,0	
8228,98	16,5	
8272,06	16,8	
8315,14	16,6	
8358,23	16,6	
8401,31	16,8	
8444,39	16,1	
8487,48	15,2	
8530,56	14,3	
8573,64	14,8	
8616,73	15,8	
8659,81	15,7	
8702,9	15,5	
8745,98	20,5	
8789,06	28,3	
8832,15	25,4	
8875,23	14,4	
8918,31	14,4	
8961,4	15,6	
9004,48	15,4	
9047,56	14,5	
9090,65	14,5	
9133,73	15,1	
9176,82	15,3	
9219,9	15,3	
9262,98	15,6	
9306,07	16,9	
9349,15	16,6	
9392,23	15,2	
9435,32	15,6	
9478,4	15,8	
9521,48	15,6	
9564,57	14,9	
9607,65	15,6	
9650,74	16,6	
9693,82	17,6	
9736,9	20,0	
9779,99	23,5	
9823,07	28,9	
9866,15	36,3	
9909,24	47,0	
9952,32	70,6	
9995,4	79,5	
10038,5	76,1	
10081,6	53,6	
10124,7	40,0	
10167,7	31,5	
10210,8	25,5	
10253,9	20,7	
10297	18,2	
10340,1	16,4	
10383,2	15,5	
10426,2	14,8	
10469,3	15,2	
10512,4	15,7	
10555,5	14,7	
10598,6	14,2	
10641,7	14,4	
10684,7	15,2	
10727,8	14,3	
10770,9	14,6	
10814	14,6	
10857,1	15,2	
10900,2	14,4	
10943,2	12,4	
10986,3	13,4	
11029,4	14,8	
11072,5	13,3	
11115,6	12,8	
11158,7	18,6	
11201,7	26,2	
11244,8	22,6	
11287,9	12,4	
11331	12,2	
11374,1	12,3	
11417,2	12,4	
11460,2	12,0	
11503,3	11,3	
11546,4	11,5	
11589,5	11,0	
11632,6	10,3	
11675,7	9,9	
11718,8	9,8	
11761,8	9,5	
11804,9	9,5	
11848	8,8	
11891,1	8,9	
11934,2	8,5	
11977,3	9,0	
12020,3	8,5	
12063,4	7,9	
12106,5	7,4	
12149,6	7,2	
12192,7	6,4	
12235,8	5,7	
12278,8	5,2	
12321,9	5,4	
12365	5,2	
12408,1	5,8	
12451,2	4,8	
12494,3	3,6	
12537,3	2,6	
12580,4	2,2	
12623,5	2,2	
12666,6	1,9	
12709,7	0,8	
12752,8	-0,3	
12795,8	-0,9	
12838,9	-0,3	
12882	-1,5	
12925,1	-2,4	
12968,2	-2,1	
13011,3	-2,5	
13054,3	-3,8	
13097,4	-3,6	
13140,5	-5,0	
13183,6	-5,6	
13226,7	-5,5	
13269,8	-5,3	
13312,8	-5,4	
13355,9	-7,0	
13399	-6,8	
13442,1	-7,0	
13485,2	-8,0	
13528,3	-8,0	
13571,3	-8,0	
13614,4	-7,9	
13657,5	-8,3	
13700,6	-8,3	
13743,7	-9,2	
13786,8	-9,6	
13829,8	-10,2	
13872,9	-10,1	
13916	-9,2	
13959,1	-9,8	
14002,2	-10,8	
14045,3	-10,0	
14088,4	-9,3	
14131,4	-9,2	
14174,5	-9,4	
14217,6	-9,3	
14260,7	-8,9	
14303,8	-9,1	
14346,9	-8,6	
14389,9	-8,5	
14433	-7,7	
14476,1	-7,5	
14519,2	-7,7	
14562,3	-7,4	
14605,4	-7,1	
14648,4	-6,9	
14691,5	-5,9	
14734,6	-6,2	
14777,7	-6,4	
14820,8	-6,2	
14863,9	-6,7	
14906,9	-6,2	
14950	-6,3	
14993,1	-6,9	
15036,2	-6,7	
15079,3	-6,2	
15122,4	-5,8	
15165,4	-6,5	
15208,5	-6,5	
15251,6	-6,3	
15294,7	-5,6	
15337,8	-6,0	
15380,9	-6,3	
15423,9	-5,9	
15467	-5,7	
15510,1	-5,6	
15553,2	-5,4	
15596,3	-5,5	
15639,4	-5,8	
15682,4	-5,3	
15725,5	-4,6	
15768,6	-5,6	
15811,7	-5,3	
15854,8	-5,1	
15897,9	-4,9	
15940,9	-4,7	
15984	-4,3	
16027,1	-3,5	
16070,2	-4,5	
16113,3	-4,6	
16156,4	-3,6	
16199,4	-3,9	
16242,5	-4,4	
16285,6	-3,8	
16328,7	-3,8	
16371,8	-3,8	
16414,9	-3,9	
16458	-3,6	
16501	-3,3	
16544,1	-3,5	
16587,2	-3,5	
16630,3	-3,4	
16673,4	-4,2	
16716,5	-4,3	
16759,5	-3,6	
16802,6	-4,1	
16845,7	-3,7	
16888,8	-3,8	
16931,9	-4,1	
16975	-4,4	
17018	-4,2	
17061,1	-3,7	
17104,2	-3,5	
17147,3	-4,0	
17190,4	-3,9	
