Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	44,6	
0	-Inf	
43,0836	32,3	
86,1673	38,3	
129,251	38,7	
172,335	34,2	
215,418	30,1	
258,502	28,0	
301,585	27,5	
344,669	29,9	
387,753	28,4	
430,836	27,2	
473,92	29,9	
517,004	29,6	
560,087	30,9	
603,171	35,2	
646,255	30,3	
689,338	27,7	
732,422	30,2	
775,506	21,2	
818,589	16,0	
861,673	17,3	
904,756	21,1	
947,84	21,9	
990,924	18,7	
1034,01	20,2	
1077,09	25,4	
1120,17	22,1	
1163,26	16,8	
1206,34	18,0	
1249,43	17,6	
1292,51	19,4	
1335,59	19,8	
1378,68	16,5	
1421,76	22,5	
1464,84	23,5	
1507,93	24,7	
1551,01	28,7	
1594,09	25,6	
1637,18	21,7	
1680,26	24,0	
1723,35	23,4	
1766,43	27,4	
1809,51	29,8	
1852,6	27,0	
1895,68	28,4	
1938,76	28,3	
1981,85	23,6	
2024,93	25,1	
2068,01	25,1	
2111,1	25,1	
2154,18	27,7	
2197,27	25,4	
2240,35	22,7	
2283,43	23,3	
2326,52	18,7	
2369,6	17,1	
2412,68	19,5	
2455,77	19,0	
2498,85	19,7	
2541,93	18,3	
2585,02	16,3	
2628,1	17,2	
2671,19	16,5	
2714,27	15,6	
2757,35	16,4	
2800,44	15,6	
2843,52	15,3	
2886,6	15,7	
2929,69	16,1	
2972,77	18,0	
3015,85	19,1	
3058,94	17,2	
3102,02	16,6	
3145,11	15,5	
3188,19	14,4	
3231,27	16,1	
3274,36	15,5	
3317,44	15,0	
3360,52	15,6	
3403,61	15,5	
3446,69	14,5	
3489,77	14,7	
3532,86	14,9	
3575,94	15,9	
3619,03	15,8	
3662,11	14,9	
3705,19	14,2	
3748,28	13,9	
3791,36	14,1	
3834,44	14,3	
3877,53	14,1	
3920,61	14,2	
3963,69	13,4	
4006,78	12,2	
4049,86	12,3	
4092,95	13,4	
4136,03	13,3	
4179,11	13,2	
4222,2	13,0	
4265,28	12,7	
4308,36	13,4	
4351,45	13,0	
4394,53	12,3	
4437,62	12,1	
4480,7	11,5	
4523,78	11,7	
4566,87	12,6	
4609,95	12,5	
4653,03	12,5	
4696,12	12,9	
4739,2	11,7	
4782,28	11,6	
4825,37	12,5	
4868,45	11,9	
4911,54	11,8	
4954,62	10,9	
4997,7	10,5	
5040,79	11,3	
5083,87	12,0	
5126,95	13,7	
5170,04	14,2	
5213,12	13,5	
5256,2	13,6	
5299,29	13,2	
5342,37	11,7	
5385,46	11,3	
5428,54	10,5	
5471,62	10,2	
5514,71	10,0	
5557,79	10,1	
5600,87	10,0	
5643,96	10,0	
5687,04	10,3	
5730,12	10,1	
5773,21	9,6	
5816,29	8,6	
5859,38	9,1	
5902,46	8,0	
5945,54	7,3	
5988,63	8,1	
6031,71	7,6	
6074,79	7,1	
6117,88	6,6	
6160,96	6,5	
6204,04	6,4	
6247,13	6,8	
6290,21	6,2	
6333,3	6,6	
6376,38	7,5	
6419,46	7,3	
6462,55	7,5	
6505,63	8,2	
6548,71	8,6	
6591,8	9,1	
6634,88	8,6	
6677,96	8,5	
6721,05	8,6	
6764,13	10,2	
6807,22	11,7	
6850,3	12,6	
6893,38	12,3	
6936,47	12,9	
6979,55	13,7	
7022,63	13,5	
7065,72	14,3	
7108,8	15,7	
7151,88	15,7	
7194,97	15,5	
7238,05	15,9	
7281,14	17,2	
7324,22	16,7	
7367,3	15,9	
7410,39	17,1	
7453,47	17,6	
7496,55	18,0	
7539,64	18,0	
7582,72	18,7	
7625,8	18,5	
7668,89	17,6	
7711,97	17,2	
7755,06	17,2	
7798,14	17,8	
7841,22	18,3	
7884,31	18,3	
7927,39	17,7	
7970,47	17,5	
8013,56	17,0	
8056,64	16,7	
8099,72	17,4	
8142,81	16,8	
8185,89	16,5	
8228,98	16,3	
8272,06	15,2	
8315,14	15,3	
8358,23	15,6	
8401,31	15,0	
8444,39	14,5	
8487,48	14,3	
8530,56	14,3	
8573,64	13,6	
8616,73	13,7	
8659,81	14,5	
8702,9	13,8	
8745,98	13,5	
8789,06	13,8	
8832,15	13,8	
8875,23	14,0	
8918,31	13,4	
8961,4	13,8	
9004,48	13,2	
9047,56	14,1	
9090,65	14,2	
9133,73	13,9	
9176,82	13,3	
9219,9	13,5	
9262,98	13,5	
9306,07	14,3	
9349,15	14,3	
9392,23	14,3	
9435,32	13,7	
9478,4	14,0	
9521,48	13,9	
9564,57	13,5	
9607,65	13,5	
9650,74	13,5	
9693,82	13,1	
9736,9	12,5	
9779,99	12,8	
9823,07	13,6	
9866,15	13,8	
9909,24	13,4	
9952,32	13,2	
9995,4	12,7	
10038,5	13,4	
10081,6	13,3	
10124,7	13,0	
10167,7	12,8	
10210,8	13,3	
10253,9	13,0	
10297	12,7	
10340,1	12,4	
10383,2	12,3	
10426,2	13,3	
10469,3	13,5	
10512,4	13,6	
10555,5	13,0	
10598,6	12,9	
10641,7	13,4	
10684,7	13,5	
10727,8	13,5	
10770,9	12,3	
10814	12,5	
10857,1	12,8	
10900,2	12,8	
10943,2	13,2	
10986,3	13,1	
11029,4	12,4	
11072,5	11,8	
11115,6	11,8	
11158,7	11,6	
11201,7	11,4	
11244,8	11,4	
11287,9	10,7	
11331	11,0	
11374,1	11,1	
11417,2	10,6	
11460,2	10,3	
11503,3	11,3	
11546,4	10,5	
11589,5	9,6	
11632,6	10,1	
11675,7	10,1	
11718,8	9,7	
11761,8	9,6	
11804,9	8,9	
11848	9,5	
11891,1	9,1	
11934,2	7,7	
11977,3	7,1	
12020,3	7,0	
12063,4	7,0	
12106,5	6,2	
12149,6	6,5	
12192,7	6,9	
12235,8	6,2	
12278,8	5,6	
12321,9	4,6	
12365	3,5	
12408,1	4,2	
12451,2	3,8	
12494,3	2,8	
12537,3	3,0	
12580,4	2,4	
12623,5	1,3	
12666,6	0,9	
12709,7	0,3	
12752,8	-0,1	
12795,8	-0,8	
12838,9	-1,0	
12882	-1,2	
12925,1	-1,8	
12968,2	-2,7	
13011,3	-3,1	
13054,3	-3,0	
13097,4	-3,9	
13140,5	-4,6	
13183,6	-4,8	
13226,7	-5,2	
13269,8	-5,5	
13312,8	-6,0	
13355,9	-6,4	
13399	-6,3	
13442,1	-6,9	
13485,2	-8,0	
13528,3	-8,9	
13571,3	-9,3	
13614,4	-8,7	
13657,5	-8,7	
13700,6	-9,5	
13743,7	-9,6	
13786,8	-9,1	
13829,8	-9,3	
13872,9	-10,3	
13916	-10,5	
13959,1	-10,5	
14002,2	-11,0	
14045,3	-10,2	
14088,4	-10,1	
14131,4	-10,3	
14174,5	-9,3	
14217,6	-9,3	
14260,7	-8,9	
14303,8	-9,0	
14346,9	-9,4	
14389,9	-9,7	
14433	-8,9	
14476,1	-7,6	
14519,2	-7,6	
14562,3	-7,5	
14605,4	-7,4	
14648,4	-7,3	
14691,5	-6,9	
14734,6	-6,4	
14777,7	-5,8	
14820,8	-6,7	
14863,9	-6,4	
14906,9	-6,2	
14950	-5,9	
14993,1	-5,8	
15036,2	-6,5	
15079,3	-6,0	
15122,4	-5,8	
15165,4	-7,0	
15208,5	-6,8	
15251,6	-5,8	
15294,7	-5,7	
15337,8	-5,1	
15380,9	-6,1	
15423,9	-6,4	
15467	-6,1	
15510,1	-6,0	
15553,2	-5,5	
15596,3	-5,2	
15639,4	-5,7	
15682,4	-5,8	
15725,5	-5,9	
15768,6	-4,8	
15811,7	-4,8	
15854,8	-5,0	
15897,9	-4,3	
15940,9	-4,7	
15984	-4,6	
16027,1	-4,9	
16070,2	-4,6	
16113,3	-4,5	
16156,4	-4,3	
16199,4	-4,4	
16242,5	-4,3	
16285,6	-4,0	
16328,7	-4,0	
16371,8	-3,9	
16414,9	-4,1	
16458	-3,5	
16501	-3,2	
16544,1	-3,5	
16587,2	-4,0	
16630,3	-3,4	
16673,4	-3,8	
16716,5	-3,9	
16759,5	-3,8	
16802,6	-4,1	
16845,7	-4,2	
16888,8	-3,8	
16931,9	-2,6	
16975	-3,3	
17018	-3,5	
17061,1	-3,6	
17104,2	-4,3	
17147,3	-4,1	
17190,4	-5,2	
