x_log y_smooth
115.961160 36.168536
116.527070 36.301797
117.095742 36.434876
117.667190 36.567773
118.241426 36.700487
118.818464 36.833018
119.398319 36.965366
119.981003 37.097532
120.566531 37.229515
121.154917 37.361315
121.746173 37.492932
122.340316 37.624366
122.937357 37.755616
123.537313 37.886684
124.140196 38.017568
124.746022 38.148268
125.354804 38.278785
125.966557 38.409119
126.581295 38.539269
127.199034 38.669235
127.819787 38.799017
128.443569 38.928616
129.070396 39.058030
129.700282 39.187261
130.333242 39.316307
130.969290 39.445169
131.608443 39.573847
132.250715 39.702341
132.896121 39.830650
133.544677 39.958774
134.196398 40.086714
134.851299 40.214470
135.509397 40.342040
136.170706 40.469426
136.835243 40.596627
137.503022 40.723643
138.174060 40.850474
138.848374 40.977120
139.525978 41.103580
140.206888 41.229856
140.891122 41.355946
141.578695 41.481850
142.269623 41.607569
142.963924 41.733103
143.661612 41.858450
144.362706 41.983612
145.067220 42.108588
145.775173 42.233379
146.486581 42.357983
147.201461 42.482401
147.919829 42.606633
148.641704 42.730679
149.367101 42.854539
150.096038 42.978212
150.828532 43.101699
151.564601 43.224999
152.304263 43.348113
153.047534 43.471040
153.794432 43.593780
154.544975 43.716334
155.299181 43.838700
156.057068 43.960880
156.818653 44.082872
157.583955 44.204678
158.352992 44.326296
159.125782 44.447727
159.902343 44.568970
160.682694 44.690026
161.466853 44.810895
162.254839 44.931576
163.046671 45.052069
163.842367 45.172374
164.641946 45.292492
165.445427 45.412422
166.252829 45.532163
167.064171 45.651717
167.879473 45.771083
168.698754 45.890260
169.522033 46.009249
170.349329 46.128049
171.180663 46.246662
172.016055 46.365085
172.855522 46.483320
173.699087 46.601367
174.546769 46.719224
175.398587 46.836893
176.254562 46.954373
177.114715 47.071663
177.979065 47.188765
178.847633 47.305678
179.720441 47.422401
180.597507 47.538935
181.478854 47.655280
182.364502 47.771435
183.254472 47.887400
184.148786 48.003176
185.047463 48.118763
185.950527 48.234159
186.857997 48.349366
187.769897 48.464383
188.686246 48.579209
189.607067 48.693846
190.532382 48.808293
191.462213 48.922549
192.396582 49.036615
193.335510 49.150490
194.279021 49.264175
195.227136 49.377670
196.179878 49.490974
197.137269 49.604087
198.099333 49.717009
199.066092 49.829741
200.037569 49.942282
201.013786 50.054631
201.994768 50.166790
202.980537 50.278757
203.971117 50.390533
204.966532 50.502118
205.966803 50.613511
206.971957 50.724713
207.982016 50.835724
208.997004 50.946542
210.016945 51.057169
211.041864 51.167604
212.071784 51.277848
213.106731 51.387899
214.146729 51.497759
215.191801 51.607426
216.241975 51.716901
217.297273 51.826184
218.357721 51.935274
219.423344 52.044172
220.494167 52.152878
221.570217 52.261391
222.651518 52.369712
223.738095 52.477839
224.829976 52.585774
225.927185 52.693516
227.029748 52.801065
228.137692 52.908421
229.251044 53.015584
230.369828 53.122554
231.494073 53.229330
232.623803 53.335914
233.759048 53.442303
234.899832 53.548500
236.046184 53.654502
237.198130 53.760311
238.355697 53.865927
239.518914 53.971348
240.687808 54.076576
241.862405 54.181609
243.042736 54.286449
244.228826 54.391094
245.420705 54.495546
246.618400 54.599803
247.821940 54.703865
249.031354 54.807734
250.246670 54.911407
251.467916 55.014887
252.695123 55.118171
253.928319 55.221261
255.167533 55.324156
256.412794 55.426856
257.664133 55.529361
258.921578 55.631671
260.185160 55.733786
261.454908 55.835706
262.730853 55.937430
264.013025 56.038960
265.301454 56.140293
266.596170 56.241432
267.897206 56.342374
269.204590 56.443121
270.518355 56.543672
271.838531 56.644028
273.165150 56.744187
274.498242 56.844151
275.837841 56.943918
277.183977 57.043489
278.536683 57.142865
279.895990 57.242043
281.261930 57.341026
282.634537 57.439812
284.013842 57.538401
285.399878 57.636794
286.792679 57.734991
288.192276 57.832990
289.598704 57.930793
291.011996 58.028399
292.432184 58.125807
293.859304 58.223019
295.293388 58.320034
296.734470 58.416851
298.182585 58.513471
299.637768 58.609894
301.100052 58.706119
302.569472 58.802147
304.046063 58.897977
305.529860 58.993609
307.020898 59.089044
308.519213 59.184281
310.024840 59.279320
311.537814 59.374161
313.058172 59.468804
314.585950 59.563249
316.121184 59.657495
317.663909 59.751543
319.214164 59.845393
320.771984 59.939045
322.337406 60.032498
323.910468 60.125752
325.491207 60.218807
327.079660 60.311664
328.675865 60.404322
330.279860 60.496781
331.891682 60.589041
333.511371 60.681102
335.138964 60.772964
336.774500 60.864627
338.418017 60.956090
340.069555 61.047354
341.729153 61.138418
343.396850 61.229283
345.072686 61.319949
346.756700 61.410414
348.448932 61.500680
350.149423 61.590746
351.858212 61.680612
353.575341 61.770278
355.300849 61.859744
357.034779 61.949010
358.777170 62.038076
360.528064 62.126941
362.287503 62.215606
364.055528 62.304070
365.832182 62.392334
367.617506 62.480397
369.411543 62.568260
371.214334 62.655921
373.025924 62.743382
374.846355 62.830642
376.675670 62.917701
378.513912 63.004559
380.361125 63.091216
382.217352 63.177671
384.082639 63.263925
385.957028 63.349978
387.840565 63.435829
389.733293 63.521479
391.635259 63.606927
393.546506 63.692173
395.467081 63.777218
397.397028 63.862061
399.336394 63.946701
401.285224 64.031140
403.243565 64.115377
405.211463 64.199411
407.188965 64.283243
409.176117 64.366873
411.172967 64.450301
413.179562 64.533526
415.195949 64.616548
417.222177 64.699368
419.258293 64.781985
421.304345 64.864399
423.360383 64.946611
425.426454 65.028619
427.502609 65.110425
429.588895 65.192027
431.685363 65.273426
433.792061 65.354622
435.909041 65.435614
438.036352 65.516404
440.174045 65.596989
442.322170 65.677371
444.480779 65.757550
446.649921 65.837524
448.829650 65.917295
451.020015 65.996862
453.221071 66.076225
455.432868 66.155384
457.655458 66.234339
459.888896 66.313090
