Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	51,8	
0	-Inf	
43,0836	27,0	
86,1673	37,4	
129,251	42,9	
172,335	41,6	
215,418	38,2	
258,502	38,2	
301,585	38,7	
344,669	37,2	
387,753	35,9	
430,836	36,7	
473,92	35,0	
517,004	32,8	
560,087	32,3	
603,171	32,5	
646,255	29,9	
689,338	29,0	
732,422	29,3	
775,506	30,3	
818,589	29,1	
861,673	27,7	
904,756	28,6	
947,84	29,3	
990,924	28,7	
1034,01	30,2	
1077,09	28,5	
1120,17	26,5	
1163,26	28,5	
1206,34	29,5	
1249,43	29,6	
1292,51	27,0	
1335,59	28,9	
1378,68	30,9	
1421,76	28,7	
1464,84	30,9	
1507,93	31,6	
1551,01	29,9	
1594,09	27,7	
1637,18	29,7	
1680,26	34,4	
1723,35	31,9	
1766,43	34,8	
1809,51	34,5	
1852,6	40,6	
1895,68	39,3	
1938,76	37,8	
1981,85	31,4	
2024,93	30,2	
2068,01	40,7	
2111,1	42,1	
2154,18	30,6	
2197,27	34,5	
2240,35	38,8	
2283,43	36,4	
2326,52	27,5	
2369,6	25,3	
2412,68	27,6	
2455,77	32,7	
2498,85	32,8	
2541,93	35,8	
2585,02	34,5	
2628,1	23,5	
2671,19	27,6	
2714,27	27,1	
2757,35	22,7	
2800,44	23,4	
2843,52	28,9	
2886,6	26,7	
2929,69	27,2	
2972,77	26,7	
3015,85	24,2	
3058,94	22,8	
3102,02	23,8	
3145,11	27,7	
3188,19	27,6	
3231,27	19,6	
3274,36	27,2	
3317,44	31,1	
3360,52	27,1	
3403,61	20,0	
3446,69	22,1	
3489,77	20,9	
3532,86	21,9	
3575,94	22,4	
3619,03	22,6	
3662,11	23,4	
3705,19	21,3	
3748,28	20,5	
3791,36	19,8	
3834,44	17,6	
3877,53	24,5	
3920,61	28,6	
3963,69	24,2	
4006,78	20,7	
4049,86	22,1	
4092,95	20,7	
4136,03	18,1	
4179,11	21,8	
4222,2	22,6	
4265,28	23,6	
4308,36	17,7	
4351,45	24,4	
4394,53	29,4	
4437,62	25,0	
4480,7	21,6	
4523,78	25,3	
4566,87	20,1	
4609,95	23,9	
4653,03	26,8	
4696,12	25,5	
4739,2	26,0	
4782,28	23,0	
4825,37	17,4	
4868,45	23,6	
4911,54	22,3	
4954,62	17,7	
4997,7	21,1	
5040,79	19,2	
5083,87	16,8	
5126,95	18,8	
5170,04	19,9	
5213,12	18,8	
5256,2	18,6	
5299,29	21,6	
5342,37	26,1	
5385,46	20,8	
5428,54	20,9	
5471,62	24,6	
5514,71	19,9	
5557,79	17,0	
5600,87	19,9	
5643,96	13,7	
5687,04	12,9	
5730,12	14,7	
5773,21	14,8	
5816,29	14,0	
5859,38	11,4	
5902,46	9,9	
5945,54	11,3	
5988,63	9,2	
6031,71	14,5	
6074,79	17,5	
6117,88	12,7	
6160,96	13,1	
6204,04	13,5	
6247,13	10,2	
6290,21	11,7	
6333,3	9,6	
6376,38	6,7	
6419,46	7,5	
6462,55	7,3	
6505,63	11,7	
6548,71	14,6	
6591,8	11,1	
6634,88	15,7	
6677,96	17,7	
6721,05	15,1	
6764,13	20,1	
6807,22	19,6	
6850,3	16,6	
6893,38	16,3	
6936,47	16,3	
6979,55	19,7	
7022,63	21,8	
7065,72	18,6	
7108,8	18,1	
7151,88	18,6	
7194,97	16,2	
7238,05	16,2	
7281,14	16,5	
7324,22	17,9	
7367,3	17,3	
7410,39	16,4	
7453,47	16,7	
7496,55	17,1	
7539,64	17,2	
7582,72	18,1	
7625,8	18,0	
7668,89	18,2	
7711,97	18,3	
7755,06	18,4	
7798,14	17,5	
7841,22	18,7	
7884,31	18,3	
7927,39	17,6	
7970,47	16,9	
8013,56	17,1	
8056,64	16,8	
8099,72	17,0	
8142,81	15,7	
8185,89	16,0	
8228,98	16,3	
8272,06	15,6	
8315,14	14,8	
8358,23	15,1	
8401,31	16,5	
8444,39	16,7	
8487,48	15,8	
8530,56	13,9	
8573,64	14,0	
8616,73	14,0	
8659,81	14,8	
8702,9	14,7	
8745,98	13,9	
8789,06	13,7	
8832,15	13,4	
8875,23	14,0	
8918,31	14,9	
8961,4	15,2	
9004,48	13,9	
9047,56	14,4	
9090,65	13,7	
9133,73	14,0	
9176,82	13,8	
9219,9	15,3	
9262,98	15,2	
9306,07	15,7	
9349,15	14,2	
9392,23	13,9	
9435,32	14,1	
9478,4	12,9	
9521,48	12,7	
9564,57	14,0	
9607,65	13,5	
9650,74	13,8	
9693,82	15,1	
9736,9	14,6	
9779,99	14,2	
9823,07	13,4	
9866,15	13,5	
9909,24	12,3	
9952,32	12,7	
9995,4	14,0	
10038,5	14,5	
10081,6	13,5	
10124,7	13,1	
10167,7	13,0	
10210,8	13,2	
10253,9	12,6	
10297	13,1	
10340,1	13,4	
10383,2	13,3	
10426,2	13,3	
10469,3	13,6	
10512,4	14,0	
10555,5	13,5	
10598,6	14,0	
10641,7	13,8	
10684,7	12,4	
10727,8	13,2	
10770,9	14,0	
10814	13,5	
10857,1	13,2	
10900,2	12,9	
10943,2	12,5	
10986,3	12,0	
11029,4	12,8	
11072,5	13,7	
11115,6	12,6	
11158,7	13,1	
11201,7	12,1	
11244,8	12,8	
11287,9	11,8	
11331	11,9	
11374,1	10,9	
11417,2	11,3	
11460,2	11,4	
11503,3	10,3	
11546,4	10,4	
11589,5	10,3	
11632,6	9,5	
11675,7	7,9	
11718,8	8,6	
11761,8	8,8	
11804,9	9,0	
11848	7,4	
11891,1	8,4	
11934,2	9,4	
11977,3	8,1	
12020,3	7,2	
12063,4	6,9	
12106,5	6,8	
12149,6	7,4	
12192,7	7,3	
12235,8	6,3	
12278,8	5,9	
12321,9	5,6	
12365	5,1	
12408,1	3,9	
12451,2	3,7	
12494,3	3,0	
12537,3	2,9	
12580,4	2,6	
12623,5	1,2	
12666,6	1,5	
12709,7	0,8	
12752,8	-0,0	
12795,8	-0,9	
12838,9	-1,5	
12882	-1,3	
12925,1	-2,0	
12968,2	-3,7	
13011,3	-2,7	
13054,3	-3,1	
13097,4	-4,5	
13140,5	-4,9	
13183,6	-4,6	
13226,7	-6,2	
13269,8	-6,4	
13312,8	-6,9	
13355,9	-7,3	
13399	-6,5	
13442,1	-6,9	
13485,2	-7,8	
13528,3	-8,9	
13571,3	-9,7	
13614,4	-9,2	
13657,5	-10,1	
13700,6	-9,7	
13743,7	-10,2	
13786,8	-9,6	
13829,8	-9,6	
13872,9	-10,2	
13916	-9,9	
13959,1	-10,0	
14002,2	-10,2	
14045,3	-9,6	
14088,4	-8,6	
14131,4	-8,5	
14174,5	-9,4	
14217,6	-9,4	
14260,7	-9,6	
14303,8	-9,2	
14346,9	-8,7	
14389,9	-8,7	
14433	-8,9	
14476,1	-8,4	
14519,2	-7,8	
14562,3	-6,9	
14605,4	-6,5	
14648,4	-6,3	
14691,5	-6,4	
14734,6	-7,4	
14777,7	-7,1	
14820,8	-6,3	
14863,9	-5,7	
14906,9	-5,4	
14950	-5,4	
14993,1	-6,1	
15036,2	-6,2	
15079,3	-6,1	
15122,4	-5,5	
15165,4	-5,6	
15208,5	-6,5	
15251,6	-6,2	
15294,7	-6,5	
15337,8	-7,4	
15380,9	-7,5	
15423,9	-5,9	
15467	-6,0	
15510,1	-5,8	
15553,2	-6,1	
15596,3	-6,7	
15639,4	-6,2	
15682,4	-4,8	
15725,5	-5,4	
15768,6	-5,1	
15811,7	-5,6	
15854,8	-5,9	
15897,9	-5,7	
15940,9	-5,4	
15984	-4,7	
16027,1	-4,2	
16070,2	-4,2	
16113,3	-3,6	
16156,4	-4,1	
16199,4	-3,6	
16242,5	-3,3	
16285,6	-3,7	
16328,7	-4,2	
16371,8	-4,5	
16414,9	-4,6	
16458	-3,8	
16501	-3,7	
16544,1	-4,2	
16587,2	-4,3	
16630,3	-4,0	
16673,4	-4,3	
16716,5	-4,5	
16759,5	-3,4	
16802,6	-4,2	
16845,7	-4,3	
16888,8	-3,0	
16931,9	-2,9	
16975	-4,0	
17018	-5,4	
17061,1	-5,2	
17104,2	-4,1	
17147,3	-3,5	
17190,4	-3,4	
