Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	59,5	
0	-Inf	
43,0836	27,3	
86,1673	37,6	
129,251	42,9	
172,335	42,4	
215,418	40,5	
258,502	41,3	
301,585	40,8	
344,669	38,6	
387,753	37,5	
430,836	36,6	
473,92	35,2	
517,004	33,5	
560,087	30,9	
603,171	29,9	
646,255	27,6	
689,338	27,0	
732,422	27,8	
775,506	26,9	
818,589	27,4	
861,673	27,3	
904,756	27,6	
947,84	28,8	
990,924	29,9	
1034,01	29,9	
1077,09	27,4	
1120,17	26,6	
1163,26	27,2	
1206,34	29,4	
1249,43	28,4	
1292,51	24,6	
1335,59	22,9	
1378,68	25,5	
1421,76	27,1	
1464,84	27,7	
1507,93	26,5	
1551,01	25,3	
1594,09	25,7	
1637,18	25,2	
1680,26	22,5	
1723,35	22,0	
1766,43	23,2	
1809,51	23,5	
1852,6	24,2	
1895,68	28,5	
1938,76	45,1	
1981,85	57,9	
2024,93	57,3	
2068,01	42,0	
2111,1	26,9	
2154,18	21,9	
2197,27	20,4	
2240,35	20,1	
2283,43	19,9	
2326,52	20,6	
2369,6	19,9	
2412,68	19,5	
2455,77	18,7	
2498,85	18,3	
2541,93	18,3	
2585,02	18,5	
2628,1	17,4	
2671,19	18,5	
2714,27	18,6	
2757,35	18,0	
2800,44	18,1	
2843,52	17,6	
2886,6	17,2	
2929,69	17,0	
2972,77	16,8	
3015,85	15,8	
3058,94	16,3	
3102,02	16,6	
3145,11	17,2	
3188,19	17,1	
3231,27	16,4	
3274,36	15,8	
3317,44	16,3	
3360,52	16,7	
3403,61	16,4	
3446,69	15,7	
3489,77	15,2	
3532,86	15,3	
3575,94	14,7	
3619,03	14,3	
3662,11	15,2	
3705,19	15,9	
3748,28	16,4	
3791,36	16,2	
3834,44	16,5	
3877,53	16,4	
3920,61	16,3	
3963,69	15,0	
4006,78	14,6	
4049,86	13,3	
4092,95	13,4	
4136,03	13,7	
4179,11	13,3	
4222,2	13,2	
4265,28	14,3	
4308,36	13,8	
4351,45	13,2	
4394,53	12,5	
4437,62	11,6	
4480,7	11,8	
4523,78	11,7	
4566,87	11,9	
4609,95	12,4	
4653,03	12,2	
4696,12	12,5	
4739,2	12,9	
4782,28	12,5	
4825,37	11,8	
4868,45	12,2	
4911,54	11,8	
4954,62	12,2	
4997,7	11,5	
5040,79	11,1	
5083,87	11,1	
5126,95	10,9	
5170,04	10,8	
5213,12	11,5	
5256,2	11,7	
5299,29	11,2	
5342,37	11,1	
5385,46	9,9	
5428,54	11,2	
5471,62	10,9	
5514,71	10,7	
5557,79	10,1	
5600,87	10,3	
5643,96	11,2	
5687,04	11,1	
5730,12	10,5	
5773,21	10,1	
5816,29	9,4	
5859,38	8,5	
5902,46	9,0	
5945,54	20,3	
5988,63	30,9	
6031,71	28,8	
6074,79	12,3	
6117,88	8,0	
6160,96	7,6	
6204,04	5,3	
6247,13	5,4	
6290,21	6,4	
6333,3	6,9	
6376,38	5,4	
6419,46	5,5	
6462,55	6,4	
6505,63	7,6	
6548,71	7,0	
6591,8	7,5	
6634,88	8,7	
6677,96	8,8	
6721,05	9,4	
6764,13	10,1	
6807,22	10,1	
6850,3	10,9	
6893,38	13,3	
6936,47	15,5	
6979,55	21,3	
7022,63	23,0	
7065,72	20,3	
7108,8	16,6	
7151,88	15,8	
7194,97	15,5	
7238,05	15,5	
7281,14	15,8	
7324,22	17,0	
7367,3	16,7	
7410,39	16,9	
7453,47	18,5	
7496,55	19,0	
7539,64	18,5	
7582,72	17,1	
7625,8	18,7	
7668,89	18,6	
7711,97	18,2	
7755,06	18,7	
7798,14	18,2	
7841,22	17,7	
7884,31	17,8	
7927,39	16,6	
7970,47	16,7	
8013,56	16,7	
8056,64	16,1	
8099,72	15,7	
8142,81	16,2	
8185,89	16,7	
8228,98	15,9	
8272,06	15,9	
8315,14	16,5	
8358,23	14,2	
8401,31	14,5	
8444,39	14,5	
8487,48	14,9	
8530,56	14,3	
8573,64	13,5	
8616,73	14,5	
8659,81	14,6	
8702,9	13,9	
8745,98	14,6	
8789,06	13,4	
8832,15	13,3	
8875,23	14,2	
8918,31	13,6	
8961,4	12,9	
9004,48	12,9	
9047,56	13,4	
9090,65	12,9	
9133,73	12,8	
9176,82	13,5	
9219,9	13,0	
9262,98	13,7	
9306,07	14,5	
9349,15	14,7	
9392,23	14,0	
9435,32	13,6	
9478,4	14,2	
9521,48	14,6	
9564,57	13,5	
9607,65	12,6	
9650,74	12,6	
9693,82	11,7	
9736,9	11,9	
9779,99	13,5	
9823,07	13,4	
9866,15	13,5	
9909,24	14,3	
9952,32	14,4	
9995,4	16,3	
10038,5	14,5	
10081,6	12,7	
10124,7	13,1	
10167,7	13,5	
10210,8	14,6	
10253,9	14,0	
10297	13,2	
10340,1	14,3	
10383,2	14,2	
10426,2	12,7	
10469,3	12,0	
10512,4	13,0	
10555,5	13,7	
10598,6	13,1	
10641,7	12,7	
10684,7	13,3	
10727,8	13,5	
10770,9	12,7	
10814	12,8	
10857,1	12,6	
10900,2	12,4	
10943,2	11,8	
10986,3	11,5	
11029,4	13,2	
11072,5	12,3	
11115,6	10,6	
11158,7	9,8	
11201,7	11,2	
11244,8	12,4	
11287,9	12,0	
11331	10,6	
11374,1	10,8	
11417,2	11,0	
11460,2	10,0	
11503,3	10,6	
11546,4	10,1	
11589,5	10,3	
11632,6	10,5	
11675,7	10,0	
11718,8	10,1	
11761,8	10,0	
11804,9	8,1	
11848	8,6	
11891,1	8,4	
11934,2	7,9	
11977,3	7,5	
12020,3	7,4	
12063,4	7,7	
12106,5	7,3	
12149,6	6,3	
12192,7	7,1	
12235,8	6,5	
12278,8	5,5	
12321,9	4,6	
12365	3,9	
12408,1	4,0	
12451,2	3,5	
12494,3	2,9	
12537,3	1,2	
12580,4	1,1	
12623,5	1,1	
12666,6	0,6	
12709,7	0,4	
12752,8	-1,7	
12795,8	-1,3	
12838,9	-2,0	
12882	-1,6	
12925,1	-2,4	
12968,2	-2,8	
13011,3	-3,1	
13054,3	-4,0	
13097,4	-4,6	
13140,5	-5,4	
13183,6	-5,8	
13226,7	-5,3	
13269,8	-5,0	
13312,8	-6,5	
13355,9	-7,4	
13399	-7,9	
13442,1	-8,1	
13485,2	-7,9	
13528,3	-8,6	
13571,3	-8,7	
13614,4	-9,0	
13657,5	-9,6	
13700,6	-9,8	
13743,7	-9,0	
13786,8	-9,4	
13829,8	-9,4	
13872,9	-9,6	
13916	-10,6	
13959,1	-9,5	
14002,2	-7,3	
14045,3	-7,7	
14088,4	-10,2	
14131,4	-9,8	
14174,5	-9,0	
14217,6	-9,4	
14260,7	-9,6	
14303,8	-9,9	
14346,9	-9,8	
14389,9	-8,2	
14433	-7,0	
14476,1	-6,5	
14519,2	-7,3	
14562,3	-8,1	
14605,4	-7,7	
14648,4	-6,5	
14691,5	-6,4	
14734,6	-6,9	
14777,7	-7,8	
14820,8	-6,1	
14863,9	-5,7	
14906,9	-5,6	
14950	-5,4	
14993,1	-6,1	
15036,2	-6,3	
15079,3	-5,7	
15122,4	-6,7	
15165,4	-6,2	
15208,5	-4,8	
15251,6	-5,5	
15294,7	-6,0	
15337,8	-5,8	
15380,9	-6,2	
15423,9	-6,6	
15467	-6,3	
15510,1	-4,7	
15553,2	-5,1	
15596,3	-5,6	
15639,4	-5,5	
15682,4	-6,0	
15725,5	-5,4	
15768,6	-5,5	
15811,7	-5,0	
15854,8	-4,7	
15897,9	-6,3	
15940,9	-4,6	
15984	-4,0	
16027,1	-4,1	
16070,2	-4,6	
16113,3	-5,0	
16156,4	-4,0	
16199,4	-4,6	
16242,5	-4,6	
16285,6	-3,2	
16328,7	-3,5	
16371,8	-4,7	
16414,9	-3,6	
16458	-3,1	
16501	-4,3	
16544,1	-3,7	
16587,2	-3,5	
16630,3	-3,8	
16673,4	-2,9	
16716,5	-3,2	
16759,5	-3,8	
16802,6	-3,3	
16845,7	-2,5	
16888,8	-3,5	
16931,9	-4,5	
16975	-4,9	
17018	-4,7	
17061,1	-3,7	
17104,2	-3,2	
17147,3	-4,1	
17190,4	-4,2	
