Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	87,8	
0	-Inf	
43,0836	26,8	
86,1673	37,6	
129,251	42,7	
172,335	42,3	
215,418	39,6	
258,502	39,6	
301,585	40,5	
344,669	39,3	
387,753	37,0	
430,836	35,5	
473,92	34,2	
517,004	33,1	
560,087	32,1	
603,171	33,2	
646,255	30,1	
689,338	27,7	
732,422	28,9	
775,506	29,4	
818,589	29,2	
861,673	27,2	
904,756	27,8	
947,84	29,1	
990,924	28,0	
1034,01	28,4	
1077,09	28,1	
1120,17	27,3	
1163,26	29,6	
1206,34	28,7	
1249,43	27,9	
1292,51	26,6	
1335,59	24,3	
1378,68	26,3	
1421,76	28,1	
1464,84	27,8	
1507,93	28,2	
1551,01	29,1	
1594,09	29,4	
1637,18	27,7	
1680,26	30,6	
1723,35	30,2	
1766,43	35,4	
1809,51	39,9	
1852,6	46,3	
1895,68	56,0	
1938,76	73,8	
1981,85	86,6	
2024,93	86,0	
2068,01	70,7	
2111,1	55,0	
2154,18	44,5	
2197,27	39,9	
2240,35	31,4	
2283,43	33,0	
2326,52	24,8	
2369,6	27,1	
2412,68	21,9	
2455,77	23,0	
2498,85	22,3	
2541,93	23,5	
2585,02	21,9	
2628,1	23,7	
2671,19	21,4	
2714,27	20,8	
2757,35	22,3	
2800,44	21,4	
2843,52	20,3	
2886,6	20,8	
2929,69	20,5	
2972,77	20,7	
3015,85	20,8	
3058,94	19,6	
3102,02	20,2	
3145,11	21,3	
3188,19	23,7	
3231,27	23,6	
3274,36	22,1	
3317,44	21,5	
3360,52	20,7	
3403,61	20,6	
3446,69	23,1	
3489,77	21,8	
3532,86	18,8	
3575,94	19,1	
3619,03	19,7	
3662,11	19,8	
3705,19	21,5	
3748,28	20,8	
3791,36	19,4	
3834,44	20,9	
3877,53	19,2	
3920,61	19,8	
3963,69	25,6	
4006,78	28,8	
4049,86	22,3	
4092,95	18,4	
4136,03	19,5	
4179,11	23,4	
4222,2	23,9	
4265,28	19,6	
4308,36	18,1	
4351,45	18,4	
4394,53	15,7	
4437,62	19,1	
4480,7	20,4	
4523,78	20,4	
4566,87	19,5	
4609,95	17,8	
4653,03	17,8	
4696,12	17,7	
4739,2	18,6	
4782,28	18,2	
4825,37	17,6	
4868,45	16,9	
4911,54	16,2	
4954,62	14,1	
4997,7	14,3	
5040,79	15,6	
5083,87	14,2	
5126,95	15,4	
5170,04	15,8	
5213,12	14,7	
5256,2	15,5	
5299,29	15,2	
5342,37	15,5	
5385,46	15,5	
5428,54	15,2	
5471,62	15,2	
5514,71	13,6	
5557,79	14,1	
5600,87	14,1	
5643,96	13,3	
5687,04	13,3	
5730,12	14,8	
5773,21	13,9	
5816,29	17,5	
5859,38	21,2	
5902,46	30,9	
5945,54	51,1	
5988,63	61,8	
6031,71	59,8	
6074,79	41,5	
6117,88	26,8	
6160,96	18,1	
6204,04	14,4	
6247,13	10,8	
6290,21	9,6	
6333,3	8,7	
6376,38	10,9	
6419,46	10,3	
6462,55	15,5	
6505,63	17,2	
6548,71	16,6	
6591,8	14,4	
6634,88	12,3	
6677,96	12,0	
6721,05	16,7	
6764,13	19,1	
6807,22	17,9	
6850,3	16,1	
6893,38	16,3	
6936,47	19,2	
6979,55	25,0	
7022,63	24,7	
7065,72	17,8	
7108,8	16,3	
7151,88	18,0	
7194,97	19,4	
7238,05	18,3	
7281,14	17,8	
7324,22	18,3	
7367,3	18,3	
7410,39	18,0	
7453,47	16,8	
7496,55	17,9	
7539,64	18,3	
7582,72	18,6	
7625,8	19,0	
7668,89	19,2	
7711,97	18,2	
7755,06	18,3	
7798,14	18,9	
7841,22	18,6	
7884,31	18,5	
7927,39	18,9	
7970,47	20,0	
8013,56	20,9	
8056,64	18,5	
8099,72	16,2	
8142,81	16,3	
8185,89	17,1	
8228,98	17,2	
8272,06	15,9	
8315,14	15,7	
8358,23	15,9	
8401,31	15,5	
8444,39	15,3	
8487,48	13,9	
8530,56	15,0	
8573,64	14,3	
8616,73	15,5	
8659,81	16,1	
8702,9	14,8	
8745,98	16,8	
8789,06	16,3	
8832,15	14,6	
8875,23	17,5	
8918,31	17,5	
8961,4	16,0	
9004,48	16,1	
9047,56	14,6	
9090,65	14,0	
9133,73	14,9	
9176,82	16,6	
9219,9	15,3	
9262,98	15,7	
9306,07	16,1	
9349,15	15,8	
9392,23	18,0	
9435,32	20,0	
9478,4	19,2	
9521,48	16,9	
9564,57	14,7	
9607,65	14,2	
9650,74	14,0	
9693,82	13,6	
9736,9	13,8	
9779,99	14,6	
9823,07	14,6	
9866,15	16,1	
9909,24	21,9	
9952,32	43,9	
9995,4	52,8	
10038,5	49,4	
10081,6	27,3	
10124,7	16,2	
10167,7	14,6	
10210,8	14,2	
10253,9	14,8	
10297	15,5	
10340,1	16,4	
10383,2	16,6	
10426,2	16,7	
10469,3	15,3	
10512,4	17,0	
10555,5	16,3	
10598,6	13,9	
10641,7	14,9	
10684,7	16,0	
10727,8	15,5	
10770,9	16,2	
10814	18,9	
10857,1	17,0	
10900,2	13,2	
10943,2	17,7	
10986,3	17,0	
11029,4	14,9	
11072,5	15,6	
11115,6	14,0	
11158,7	14,0	
11201,7	13,3	
11244,8	14,1	
11287,9	14,0	
11331	13,3	
11374,1	12,5	
11417,2	12,2	
11460,2	11,2	
11503,3	12,1	
11546,4	10,7	
11589,5	10,0	
11632,6	10,0	
11675,7	9,3	
11718,8	8,8	
11761,8	9,5	
11804,9	10,3	
11848	8,5	
11891,1	8,5	
11934,2	8,1	
11977,3	9,7	
12020,3	9,4	
12063,4	8,2	
12106,5	7,5	
12149,6	6,7	
12192,7	6,6	
12235,8	6,8	
12278,8	6,8	
12321,9	5,5	
12365	5,1	
12408,1	7,0	
12451,2	5,4	
12494,3	3,6	
12537,3	3,2	
12580,4	2,1	
12623,5	2,3	
12666,6	1,9	
12709,7	2,8	
12752,8	2,5	
12795,8	0,6	
12838,9	-0,8	
12882	-0,5	
12925,1	-1,1	
12968,2	-2,8	
13011,3	-3,1	
13054,3	-2,2	
13097,4	-2,8	
13140,5	-5,0	
13183,6	-5,1	
13226,7	-3,2	
13269,8	-3,3	
13312,8	-4,3	
13355,9	-4,9	
13399	-5,7	
13442,1	-5,3	
13485,2	-6,1	
13528,3	-7,3	
13571,3	-8,5	
13614,4	-6,1	
13657,5	-3,9	
13700,6	-2,0	
13743,7	-2,9	
13786,8	-7,3	
13829,8	-7,3	
13872,9	-6,6	
13916	-5,6	
13959,1	15,9	
14002,2	23,1	
14045,3	18,3	
14088,4	-5,6	
14131,4	-8,1	
14174,5	-8,7	
14217,6	-8,5	
14260,7	-8,1	
14303,8	-9,0	
14346,9	-7,7	
14389,9	-6,8	
14433	-6,2	
14476,1	-5,1	
14519,2	0,8	
14562,3	5,1	
14605,4	3,1	
14648,4	-1,2	
14691,5	-2,9	
14734,6	-2,7	
14777,7	-2,3	
14820,8	-1,5	
14863,9	-3,6	
14906,9	-5,2	
14950	-4,4	
14993,1	-3,9	
15036,2	-4,7	
15079,3	-5,4	
15122,4	-5,9	
15165,4	-5,8	
15208,5	-5,2	
15251,6	-5,1	
15294,7	-5,2	
15337,8	-6,2	
15380,9	-6,6	
15423,9	-6,5	
15467	-6,0	
15510,1	-5,8	
15553,2	-5,5	
15596,3	-5,7	
15639,4	-5,0	
15682,4	-4,5	
15725,5	-2,5	
15768,6	-0,8	
15811,7	-3,2	
15854,8	-4,6	
15897,9	-4,8	
15940,9	-4,1	
15984	-3,0	
16027,1	-3,4	
16070,2	-3,4	
16113,3	-2,9	
16156,4	-3,5	
16199,4	-3,9	
16242,5	-3,0	
16285,6	-3,5	
16328,7	-2,4	
16371,8	-1,8	
16414,9	-2,3	
16458	-1,2	
16501	-1,6	
16544,1	-2,7	
16587,2	-2,3	
16630,3	-1,7	
16673,4	-2,2	
16716,5	-3,3	
16759,5	-3,6	
16802,6	-3,4	
16845,7	-4,1	
16888,8	-4,1	
16931,9	-4,0	
16975	-4,1	
17018	-3,6	
17061,1	-3,5	
17104,2	-3,8	
17147,3	-1,2	
17190,4	-0,2	
