Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	89,3	
0	-Inf	
43,0836	26,4	
86,1673	36,4	
129,251	42,3	
172,335	41,2	
215,418	39,1	
258,502	38,4	
301,585	38,9	
344,669	38,0	
387,753	36,3	
430,836	35,9	
473,92	34,9	
517,004	34,2	
560,087	32,7	
603,171	32,1	
646,255	30,1	
689,338	28,8	
732,422	28,4	
775,506	28,1	
818,589	28,2	
861,673	27,0	
904,756	27,9	
947,84	29,3	
990,924	29,2	
1034,01	28,6	
1077,09	28,5	
1120,17	27,0	
1163,26	27,9	
1206,34	30,0	
1249,43	29,6	
1292,51	27,1	
1335,59	25,0	
1378,68	26,0	
1421,76	28,9	
1464,84	28,3	
1507,93	27,2	
1551,01	30,3	
1594,09	28,2	
1637,18	28,7	
1680,26	30,5	
1723,35	32,0	
1766,43	35,0	
1809,51	41,6	
1852,6	47,9	
1895,68	57,4	
1938,76	75,3	
1981,85	88,2	
2024,93	87,5	
2068,01	72,3	
2111,1	56,3	
2154,18	46,8	
2197,27	40,2	
2240,35	35,2	
2283,43	31,9	
2326,52	27,8	
2369,6	24,7	
2412,68	25,0	
2455,77	21,9	
2498,85	22,5	
2541,93	22,6	
2585,02	19,8	
2628,1	22,4	
2671,19	20,8	
2714,27	19,3	
2757,35	21,1	
2800,44	19,0	
2843,52	18,4	
2886,6	18,9	
2929,69	17,4	
2972,77	18,6	
3015,85	18,6	
3058,94	17,0	
3102,02	19,1	
3145,11	19,4	
3188,19	23,7	
3231,27	23,8	
3274,36	18,6	
3317,44	15,7	
3360,52	18,1	
3403,61	17,9	
3446,69	17,4	
3489,77	17,2	
3532,86	15,4	
3575,94	17,0	
3619,03	16,9	
3662,11	15,5	
3705,19	17,8	
3748,28	17,2	
3791,36	14,8	
3834,44	14,7	
3877,53	13,3	
3920,61	15,3	
3963,69	26,6	
4006,78	31,1	
4049,86	23,8	
4092,95	15,9	
4136,03	14,9	
4179,11	14,4	
4222,2	14,6	
4265,28	12,3	
4308,36	14,8	
4351,45	14,1	
4394,53	13,3	
4437,62	15,1	
4480,7	12,9	
4523,78	14,0	
4566,87	16,0	
4609,95	14,2	
4653,03	15,2	
4696,12	16,2	
4739,2	13,2	
4782,28	15,6	
4825,37	14,4	
4868,45	13,7	
4911,54	14,7	
4954,62	13,1	
4997,7	11,6	
5040,79	12,5	
5083,87	12,7	
5126,95	13,0	
5170,04	15,0	
5213,12	12,7	
5256,2	13,9	
5299,29	14,7	
5342,37	13,1	
5385,46	14,0	
5428,54	13,3	
5471,62	11,7	
5514,71	12,4	
5557,79	11,5	
5600,87	12,0	
5643,96	12,3	
5687,04	10,8	
5730,12	10,7	
5773,21	13,3	
5816,29	15,9	
5859,38	22,6	
5902,46	32,5	
5945,54	52,7	
5988,63	63,5	
6031,71	61,4	
6074,79	43,1	
6117,88	28,4	
6160,96	20,0	
6204,04	13,1	
6247,13	10,9	
6290,21	7,4	
6333,3	6,5	
6376,38	6,5	
6419,46	6,8	
6462,55	7,7	
6505,63	7,8	
6548,71	7,5	
6591,8	8,9	
6634,88	10,1	
6677,96	10,7	
6721,05	11,9	
6764,13	11,9	
6807,22	12,3	
6850,3	11,8	
6893,38	12,6	
6936,47	13,4	
6979,55	19,2	
7022,63	21,8	
7065,72	19,9	
7108,8	17,6	
7151,88	16,7	
7194,97	19,8	
7238,05	18,8	
7281,14	16,2	
7324,22	17,1	
7367,3	17,1	
7410,39	17,0	
7453,47	16,9	
7496,55	16,7	
7539,64	17,4	
7582,72	18,0	
7625,8	17,4	
7668,89	16,6	
7711,97	17,0	
7755,06	17,3	
7798,14	18,8	
7841,22	18,9	
7884,31	18,1	
7927,39	17,9	
7970,47	19,9	
8013,56	21,8	
8056,64	18,5	
8099,72	17,0	
8142,81	16,8	
8185,89	16,5	
8228,98	16,5	
8272,06	16,5	
8315,14	16,1	
8358,23	15,4	
8401,31	15,4	
8444,39	14,3	
8487,48	13,3	
8530,56	13,9	
8573,64	14,1	
8616,73	14,5	
8659,81	14,6	
8702,9	14,1	
8745,98	15,2	
8789,06	15,4	
8832,15	15,0	
8875,23	14,4	
8918,31	13,9	
8961,4	14,1	
9004,48	14,2	
9047,56	13,2	
9090,65	14,2	
9133,73	14,5	
9176,82	14,3	
9219,9	13,9	
9262,98	12,9	
9306,07	14,2	
9349,15	15,3	
9392,23	14,1	
9435,32	14,2	
9478,4	14,5	
9521,48	14,9	
9564,57	14,8	
9607,65	13,6	
9650,74	13,3	
9693,82	13,7	
9736,9	13,0	
9779,99	14,6	
9823,07	13,5	
9866,15	16,7	
9909,24	23,4	
9952,32	47,2	
9995,4	56,1	
10038,5	52,7	
10081,6	30,3	
10124,7	18,5	
10167,7	14,3	
10210,8	13,9	
10253,9	13,4	
10297	13,0	
10340,1	14,2	
10383,2	13,7	
10426,2	13,6	
10469,3	12,6	
10512,4	12,7	
10555,5	12,7	
10598,6	12,8	
10641,7	13,3	
10684,7	13,6	
10727,8	13,3	
10770,9	13,9	
10814	13,7	
10857,1	13,5	
10900,2	13,3	
10943,2	13,1	
10986,3	12,3	
11029,4	11,6	
11072,5	12,3	
11115,6	11,7	
11158,7	11,2	
11201,7	12,0	
11244,8	12,0	
11287,9	10,8	
11331	11,6	
11374,1	12,0	
11417,2	11,3	
11460,2	10,9	
11503,3	10,7	
11546,4	10,7	
11589,5	10,6	
11632,6	9,2	
11675,7	9,0	
11718,8	8,6	
11761,8	9,5	
11804,9	9,4	
11848	7,9	
11891,1	8,4	
11934,2	8,7	
11977,3	9,6	
12020,3	9,7	
12063,4	6,9	
12106,5	7,7	
12149,6	7,3	
12192,7	5,9	
12235,8	5,6	
12278,8	6,0	
12321,9	5,1	
12365	5,2	
12408,1	4,3	
12451,2	3,3	
12494,3	2,6	
12537,3	2,5	
12580,4	2,2	
12623,5	2,0	
12666,6	1,4	
12709,7	1,0	
12752,8	-0,4	
12795,8	-0,5	
12838,9	-2,0	
12882	-2,3	
12925,1	-1,1	
12968,2	-1,0	
13011,3	-2,8	
13054,3	-3,1	
13097,4	-3,1	
13140,5	-3,9	
13183,6	-4,2	
13226,7	-4,6	
13269,8	-6,1	
13312,8	-6,1	
13355,9	-6,9	
13399	-7,6	
13442,1	-8,3	
13485,2	-9,5	
13528,3	-9,1	
13571,3	-9,0	
13614,4	-9,3	
13657,5	-9,6	
13700,6	-8,9	
13743,7	-9,5	
13786,8	-10,0	
13829,8	-10,3	
13872,9	-10,8	
13916	-6,7	
13959,1	19,9	
14002,2	27,2	
14045,3	22,3	
14088,4	-5,0	
14131,4	-7,7	
14174,5	-8,3	
14217,6	-9,0	
14260,7	-9,1	
14303,8	-8,3	
14346,9	-8,2	
14389,9	-8,2	
14433	-8,2	
14476,1	-7,3	
14519,2	-6,6	
14562,3	-6,8	
14605,4	-6,7	
14648,4	-6,9	
14691,5	-7,1	
14734,6	-6,7	
14777,7	-6,8	
14820,8	-6,2	
14863,9	-7,1	
14906,9	-5,4	
14950	-5,5	
14993,1	-5,9	
15036,2	-6,8	
15079,3	-6,6	
15122,4	-7,2	
15165,4	-6,5	
15208,5	-5,8	
15251,6	-6,7	
15294,7	-7,3	
15337,8	-6,6	
15380,9	-5,3	
15423,9	-5,1	
15467	-5,5	
15510,1	-6,6	
15553,2	-6,0	
15596,3	-6,5	
15639,4	-6,1	
15682,4	-4,8	
15725,5	-6,0	
15768,6	-6,7	
15811,7	-6,6	
15854,8	-5,6	
15897,9	-5,0	
15940,9	-5,6	
15984	-4,5	
16027,1	-3,8	
16070,2	-4,3	
16113,3	-5,7	
16156,4	-5,8	
16199,4	-4,2	
16242,5	-4,1	
16285,6	-4,4	
16328,7	-5,1	
16371,8	-3,0	
16414,9	-2,3	
16458	-3,0	
16501	-3,9	
16544,1	-3,8	
16587,2	-2,8	
16630,3	-3,0	
16673,4	-3,8	
16716,5	-4,0	
16759,5	-4,1	
16802,6	-5,1	
16845,7	-4,6	
16888,8	-4,0	
16931,9	-4,2	
16975	-4,2	
17018	-3,8	
17061,1	-3,8	
17104,2	-3,6	
17147,3	-3,6	
17190,4	-3,5	
