Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	57,4	
0	-Inf	
43,0836	28,6	
86,1673	39,2	
129,251	43,8	
172,335	42,7	
215,418	39,3	
258,502	41,1	
301,585	41,6	
344,669	40,0	
387,753	38,2	
430,836	37,2	
473,92	34,6	
517,004	31,9	
560,087	30,0	
603,171	30,1	
646,255	27,7	
689,338	26,6	
732,422	26,0	
775,506	27,4	
818,589	28,0	
861,673	27,4	
904,756	27,9	
947,84	29,6	
990,924	29,7	
1034,01	30,5	
1077,09	29,0	
1120,17	27,1	
1163,26	27,8	
1206,34	29,5	
1249,43	28,1	
1292,51	25,8	
1335,59	25,4	
1378,68	24,6	
1421,76	26,3	
1464,84	28,1	
1507,93	27,5	
1551,01	25,2	
1594,09	24,8	
1637,18	25,2	
1680,26	24,7	
1723,35	24,6	
1766,43	24,7	
1809,51	24,5	
1852,6	24,3	
1895,68	27,0	
1938,76	42,7	
1981,85	55,5	
2024,93	54,8	
2068,01	39,6	
2111,1	25,1	
2154,18	20,9	
2197,27	20,9	
2240,35	21,7	
2283,43	19,0	
2326,52	18,3	
2369,6	19,9	
2412,68	19,5	
2455,77	18,0	
2498,85	18,3	
2541,93	18,2	
2585,02	17,6	
2628,1	18,6	
2671,19	18,1	
2714,27	18,3	
2757,35	18,2	
2800,44	17,2	
2843,52	17,8	
2886,6	17,8	
2929,69	18,0	
2972,77	17,8	
3015,85	16,0	
3058,94	15,6	
3102,02	16,2	
3145,11	17,1	
3188,19	16,9	
3231,27	15,8	
3274,36	16,4	
3317,44	18,1	
3360,52	17,4	
3403,61	15,7	
3446,69	15,6	
3489,77	16,3	
3532,86	16,0	
3575,94	14,9	
3619,03	15,2	
3662,11	14,1	
3705,19	14,1	
3748,28	15,4	
3791,36	14,5	
3834,44	14,9	
3877,53	14,9	
3920,61	14,1	
3963,69	14,4	
4006,78	15,6	
4049,86	15,1	
4092,95	15,1	
4136,03	14,8	
4179,11	13,8	
4222,2	14,3	
4265,28	13,0	
4308,36	12,7	
4351,45	12,9	
4394,53	12,5	
4437,62	13,4	
4480,7	13,5	
4523,78	12,5	
4566,87	11,8	
4609,95	11,8	
4653,03	11,5	
4696,12	12,5	
4739,2	12,5	
4782,28	12,1	
4825,37	11,7	
4868,45	11,7	
4911,54	11,2	
4954,62	11,5	
4997,7	11,6	
5040,79	11,2	
5083,87	12,3	
5126,95	11,7	
5170,04	10,5	
5213,12	11,2	
5256,2	11,2	
5299,29	11,8	
5342,37	11,7	
5385,46	11,1	
5428,54	10,9	
5471,62	10,9	
5514,71	10,0	
5557,79	9,3	
5600,87	9,7	
5643,96	10,1	
5687,04	9,2	
5730,12	9,2	
5773,21	10,2	
5816,29	9,2	
5859,38	8,2	
5902,46	8,1	
5945,54	7,9	
5988,63	8,7	
6031,71	8,3	
6074,79	7,7	
6117,88	7,5	
6160,96	8,0	
6204,04	6,4	
6247,13	4,6	
6290,21	5,1	
6333,3	4,8	
6376,38	6,2	
6419,46	6,7	
6462,55	6,9	
6505,63	6,6	
6548,71	6,5	
6591,8	7,3	
6634,88	9,1	
6677,96	8,9	
6721,05	10,0	
6764,13	10,7	
6807,22	11,2	
6850,3	11,9	
6893,38	13,4	
6936,47	20,2	
6979,55	28,3	
7022,63	27,9	
7065,72	23,0	
7108,8	16,8	
7151,88	14,6	
7194,97	15,1	
7238,05	15,4	
7281,14	15,3	
7324,22	15,8	
7367,3	17,4	
7410,39	16,3	
7453,47	17,1	
7496,55	17,2	
7539,64	17,1	
7582,72	18,7	
7625,8	18,5	
7668,89	18,2	
7711,97	17,5	
7755,06	18,5	
7798,14	19,0	
7841,22	18,7	
7884,31	17,8	
7927,39	16,8	
7970,47	16,7	
8013,56	17,8	
8056,64	17,7	
8099,72	17,4	
8142,81	16,6	
8185,89	16,2	
8228,98	16,2	
8272,06	15,4	
8315,14	15,0	
8358,23	14,6	
8401,31	15,4	
8444,39	15,0	
8487,48	14,8	
8530,56	14,3	
8573,64	14,0	
8616,73	14,8	
8659,81	14,5	
8702,9	14,3	
8745,98	15,0	
8789,06	14,5	
8832,15	13,8	
8875,23	14,1	
8918,31	14,1	
8961,4	14,5	
9004,48	13,8	
9047,56	13,5	
9090,65	14,1	
9133,73	14,2	
9176,82	13,7	
9219,9	13,2	
9262,98	14,0	
9306,07	13,9	
9349,15	13,7	
9392,23	11,9	
9435,32	12,3	
9478,4	14,2	
9521,48	14,7	
9564,57	14,8	
9607,65	14,7	
9650,74	14,4	
9693,82	14,0	
9736,9	13,3	
9779,99	13,5	
9823,07	13,2	
9866,15	13,4	
9909,24	13,4	
9952,32	13,7	
9995,4	14,5	
10038,5	12,8	
10081,6	12,4	
10124,7	13,1	
10167,7	13,6	
10210,8	13,6	
10253,9	13,8	
10297	13,5	
10340,1	13,4	
10383,2	13,5	
10426,2	12,8	
10469,3	12,6	
10512,4	12,6	
10555,5	12,2	
10598,6	12,2	
10641,7	13,1	
10684,7	13,5	
10727,8	13,7	
10770,9	13,2	
10814	13,1	
10857,1	13,0	
10900,2	12,3	
10943,2	11,1	
10986,3	12,3	
11029,4	12,8	
11072,5	11,3	
11115,6	10,6	
11158,7	12,4	
11201,7	12,5	
11244,8	11,3	
11287,9	11,1	
11331	10,6	
11374,1	9,6	
11417,2	10,9	
11460,2	10,9	
11503,3	10,3	
11546,4	10,0	
11589,5	10,1	
11632,6	9,9	
11675,7	9,9	
11718,8	8,6	
11761,8	9,4	
11804,9	9,6	
11848	8,5	
11891,1	8,2	
11934,2	6,9	
11977,3	7,8	
12020,3	7,5	
12063,4	5,8	
12106,5	6,0	
12149,6	5,4	
12192,7	5,4	
12235,8	5,8	
12278,8	4,8	
12321,9	4,6	
12365	4,9	
12408,1	4,5	
12451,2	2,0	
12494,3	2,4	
12537,3	3,0	
12580,4	1,9	
12623,5	2,7	
12666,6	2,4	
12709,7	1,4	
12752,8	0,9	
12795,8	0,7	
12838,9	-0,4	
12882	-1,8	
12925,1	-2,5	
12968,2	-2,7	
13011,3	-2,8	
13054,3	-3,1	
13097,4	-3,7	
13140,5	-3,6	
13183,6	-3,7	
13226,7	-4,2	
13269,8	-6,1	
13312,8	-5,9	
13355,9	-6,3	
13399	-7,7	
13442,1	-8,4	
13485,2	-8,2	
13528,3	-8,1	
13571,3	-7,4	
13614,4	-8,2	
13657,5	-9,1	
13700,6	-9,9	
13743,7	-9,4	
13786,8	-10,0	
13829,8	-9,7	
13872,9	-9,5	
13916	-10,1	
13959,1	-8,9	
14002,2	-6,9	
14045,3	-7,5	
14088,4	-9,7	
14131,4	-10,0	
14174,5	-9,6	
14217,6	-9,3	
14260,7	-9,5	
14303,8	-9,5	
14346,9	-10,2	
14389,9	-9,2	
14433	-8,0	
14476,1	-8,5	
14519,2	-8,9	
14562,3	-8,8	
14605,4	-8,3	
14648,4	-7,3	
14691,5	-7,9	
14734,6	-7,8	
14777,7	-7,6	
14820,8	-6,7	
14863,9	-6,0	
14906,9	-6,8	
14950	-6,9	
14993,1	-6,6	
15036,2	-5,8	
15079,3	-5,8	
15122,4	-5,6	
15165,4	-6,1	
15208,5	-5,9	
15251,6	-6,7	
15294,7	-6,2	
15337,8	-7,0	
15380,9	-6,6	
15423,9	-6,9	
15467	-7,1	
15510,1	-6,6	
15553,2	-6,5	
15596,3	-5,7	
15639,4	-4,9	
15682,4	-4,9	
15725,5	-4,7	
15768,6	-5,3	
15811,7	-4,9	
15854,8	-5,5	
15897,9	-5,4	
15940,9	-4,4	
15984	-3,8	
16027,1	-4,0	
16070,2	-4,2	
16113,3	-3,9	
16156,4	-3,9	
16199,4	-3,9	
16242,5	-3,5	
16285,6	-3,6	
16328,7	-3,3	
16371,8	-3,8	
16414,9	-4,9	
16458	-4,6	
16501	-3,4	
16544,1	-3,2	
16587,2	-4,2	
16630,3	-4,1	
16673,4	-3,9	
16716,5	-3,2	
16759,5	-3,7	
16802,6	-4,1	
16845,7	-4,2	
16888,8	-4,4	
16931,9	-3,8	
16975	-3,6	
17018	-4,5	
17061,1	-4,8	
17104,2	-4,9	
17147,3	-4,2	
17190,4	-4,0	
