Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	85,2	
0	-Inf	
43,0836	27,9	
86,1673	37,4	
129,251	42,4	
172,335	42,3	
215,418	40,4	
258,502	40,8	
301,585	41,7	
344,669	40,0	
387,753	36,6	
430,836	38,0	
473,92	37,4	
517,004	35,2	
560,087	33,7	
603,171	35,4	
646,255	35,5	
689,338	31,3	
732,422	30,3	
775,506	33,6	
818,589	30,8	
861,673	28,0	
904,756	28,1	
947,84	29,3	
990,924	30,4	
1034,01	30,9	
1077,09	31,6	
1120,17	31,0	
1163,26	30,6	
1206,34	31,0	
1249,43	32,3	
1292,51	33,9	
1335,59	29,9	
1378,68	29,3	
1421,76	30,0	
1464,84	30,2	
1507,93	30,0	
1551,01	30,4	
1594,09	28,3	
1637,18	27,8	
1680,26	29,4	
1723,35	29,5	
1766,43	33,8	
1809,51	37,7	
1852,6	43,7	
1895,68	53,5	
1938,76	71,2	
1981,85	84,1	
2024,93	83,4	
2068,01	68,2	
2111,1	52,1	
2154,18	42,9	
2197,27	36,4	
2240,35	31,8	
2283,43	28,8	
2326,52	25,8	
2369,6	25,4	
2412,68	22,5	
2455,77	22,4	
2498,85	22,9	
2541,93	22,5	
2585,02	21,3	
2628,1	22,8	
2671,19	22,4	
2714,27	21,2	
2757,35	20,6	
2800,44	19,2	
2843,52	20,1	
2886,6	20,0	
2929,69	19,0	
2972,77	18,7	
3015,85	18,7	
3058,94	19,4	
3102,02	20,3	
3145,11	19,5	
3188,19	21,8	
3231,27	22,1	
3274,36	20,0	
3317,44	18,2	
3360,52	18,9	
3403,61	18,0	
3446,69	18,2	
3489,77	20,1	
3532,86	18,9	
3575,94	18,6	
3619,03	19,1	
3662,11	17,8	
3705,19	18,7	
3748,28	19,7	
3791,36	18,9	
3834,44	18,8	
3877,53	18,3	
3920,61	17,6	
3963,69	19,7	
4006,78	22,0	
4049,86	18,3	
4092,95	18,1	
4136,03	15,8	
4179,11	16,0	
4222,2	16,4	
4265,28	15,2	
4308,36	16,2	
4351,45	16,1	
4394,53	15,4	
4437,62	17,5	
4480,7	18,5	
4523,78	17,3	
4566,87	16,0	
4609,95	16,5	
4653,03	17,0	
4696,12	16,4	
4739,2	14,2	
4782,28	13,8	
4825,37	14,2	
4868,45	14,6	
4911,54	14,3	
4954,62	14,4	
4997,7	14,2	
5040,79	14,8	
5083,87	14,1	
5126,95	14,6	
5170,04	15,8	
5213,12	16,7	
5256,2	15,6	
5299,29	14,3	
5342,37	14,6	
5385,46	15,3	
5428,54	15,2	
5471,62	12,9	
5514,71	12,6	
5557,79	14,4	
5600,87	13,2	
5643,96	13,3	
5687,04	12,0	
5730,12	11,5	
5773,21	11,8	
5816,29	10,4	
5859,38	13,7	
5902,46	18,6	
5945,54	38,2	
5988,63	48,9	
6031,71	46,9	
6074,79	28,8	
6117,88	14,6	
6160,96	10,5	
6204,04	8,6	
6247,13	7,2	
6290,21	6,8	
6333,3	7,4	
6376,38	6,1	
6419,46	8,8	
6462,55	10,5	
6505,63	9,2	
6548,71	8,3	
6591,8	9,0	
6634,88	10,5	
6677,96	12,4	
6721,05	13,6	
6764,13	12,2	
6807,22	11,5	
6850,3	12,4	
6893,38	13,9	
6936,47	19,0	
6979,55	25,3	
7022,63	24,5	
7065,72	18,6	
7108,8	15,2	
7151,88	15,5	
7194,97	15,9	
7238,05	15,5	
7281,14	16,3	
7324,22	17,5	
7367,3	17,3	
7410,39	16,6	
7453,47	16,7	
7496,55	18,0	
7539,64	18,8	
7582,72	18,5	
7625,8	18,0	
7668,89	19,1	
7711,97	18,0	
7755,06	17,6	
7798,14	18,0	
7841,22	18,6	
7884,31	18,9	
7927,39	18,2	
7970,47	18,4	
8013,56	17,7	
8056,64	15,2	
8099,72	16,3	
8142,81	16,4	
8185,89	16,6	
8228,98	16,3	
8272,06	15,8	
8315,14	15,8	
8358,23	14,9	
8401,31	14,7	
8444,39	15,3	
8487,48	14,9	
8530,56	13,4	
8573,64	14,2	
8616,73	13,8	
8659,81	14,4	
8702,9	14,1	
8745,98	14,1	
8789,06	14,1	
8832,15	13,9	
8875,23	14,7	
8918,31	14,5	
8961,4	14,2	
9004,48	14,3	
9047,56	14,6	
9090,65	14,5	
9133,73	15,4	
9176,82	15,0	
9219,9	13,7	
9262,98	13,5	
9306,07	14,4	
9349,15	14,6	
9392,23	14,3	
9435,32	14,1	
9478,4	13,4	
9521,48	13,4	
9564,57	13,1	
9607,65	14,0	
9650,74	14,2	
9693,82	14,4	
9736,9	13,2	
9779,99	12,5	
9823,07	14,1	
9866,15	14,4	
9909,24	15,9	
9952,32	27,3	
9995,4	36,1	
10038,5	32,7	
10081,6	13,5	
10124,7	12,6	
10167,7	14,1	
10210,8	14,0	
10253,9	13,8	
10297	13,7	
10340,1	13,5	
10383,2	13,4	
10426,2	12,9	
10469,3	12,2	
10512,4	12,9	
10555,5	12,9	
10598,6	12,2	
10641,7	13,4	
10684,7	13,8	
10727,8	13,1	
10770,9	12,7	
10814	12,4	
10857,1	12,8	
10900,2	12,6	
10943,2	11,6	
10986,3	11,8	
11029,4	12,8	
11072,5	12,6	
11115,6	12,1	
11158,7	11,7	
11201,7	11,8	
11244,8	11,5	
11287,9	10,9	
11331	10,9	
11374,1	11,4	
11417,2	11,3	
11460,2	10,2	
11503,3	9,6	
11546,4	9,0	
11589,5	9,7	
11632,6	8,9	
11675,7	9,9	
11718,8	10,5	
11761,8	9,5	
11804,9	8,9	
11848	9,0	
11891,1	9,4	
11934,2	8,3	
11977,3	8,6	
12020,3	8,2	
12063,4	7,7	
12106,5	7,8	
12149,6	7,8	
12192,7	5,9	
12235,8	5,0	
12278,8	6,2	
12321,9	5,8	
12365	4,6	
12408,1	4,5	
12451,2	3,7	
12494,3	2,8	
12537,3	1,9	
12580,4	1,3	
12623,5	1,0	
12666,6	1,3	
12709,7	1,3	
12752,8	0,8	
12795,8	-0,2	
12838,9	-1,0	
12882	-0,5	
12925,1	-1,1	
12968,2	-1,9	
13011,3	-3,0	
13054,3	-3,9	
13097,4	-4,3	
13140,5	-3,9	
13183,6	-4,4	
13226,7	-5,0	
13269,8	-5,9	
13312,8	-6,4	
13355,9	-6,2	
13399	-5,8	
13442,1	-6,5	
13485,2	-7,7	
13528,3	-7,4	
13571,3	-8,6	
13614,4	-8,5	
13657,5	-9,1	
13700,6	-8,6	
13743,7	-8,6	
13786,8	-9,8	
13829,8	-10,4	
13872,9	-9,6	
13916	-9,4	
13959,1	-2,2	
14002,2	3,9	
14045,3	-0,8	
14088,4	-9,8	
14131,4	-9,5	
14174,5	-8,0	
14217,6	-8,4	
14260,7	-9,0	
14303,8	-8,9	
14346,9	-9,4	
14389,9	-9,3	
14433	-7,7	
14476,1	-6,7	
14519,2	-6,9	
14562,3	-7,2	
14605,4	-7,9	
14648,4	-7,4	
14691,5	-6,8	
14734,6	-6,6	
14777,7	-6,4	
14820,8	-5,4	
14863,9	-5,5	
14906,9	-5,9	
14950	-5,7	
14993,1	-5,0	
15036,2	-5,7	
15079,3	-5,4	
15122,4	-5,3	
15165,4	-5,5	
15208,5	-4,8	
15251,6	-5,4	
15294,7	-5,5	
15337,8	-5,6	
15380,9	-5,1	
15423,9	-5,2	
15467	-6,3	
15510,1	-6,4	
15553,2	-6,6	
15596,3	-7,3	
15639,4	-6,7	
15682,4	-6,3	
15725,5	-6,3	
15768,6	-6,1	
15811,7	-5,9	
15854,8	-5,7	
15897,9	-6,2	
15940,9	-5,6	
15984	-5,3	
16027,1	-3,7	
16070,2	-4,0	
16113,3	-5,0	
16156,4	-4,5	
16199,4	-4,7	
16242,5	-4,0	
16285,6	-3,5	
16328,7	-3,6	
16371,8	-3,4	
16414,9	-4,0	
16458	-4,1	
16501	-3,8	
16544,1	-4,2	
16587,2	-3,1	
16630,3	-2,8	
16673,4	-3,9	
16716,5	-4,1	
16759,5	-4,1	
16802,6	-4,2	
16845,7	-4,2	
16888,8	-4,0	
16931,9	-4,7	
16975	-4,8	
17018	-4,9	
17061,1	-4,6	
17104,2	-3,8	
17147,3	-4,1	
17190,4	-4,8	
