Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	87,1	
0	-Inf	
43,0836	29,0	
86,1673	37,9	
129,251	41,8	
172,335	40,4	
215,418	38,9	
258,502	39,5	
301,585	39,2	
344,669	37,8	
387,753	35,9	
430,836	35,3	
473,92	35,2	
517,004	33,0	
560,087	32,5	
603,171	33,4	
646,255	30,7	
689,338	30,1	
732,422	29,6	
775,506	28,7	
818,589	26,8	
861,673	26,2	
904,756	27,9	
947,84	28,9	
990,924	30,2	
1034,01	30,3	
1077,09	28,6	
1120,17	26,9	
1163,26	26,9	
1206,34	28,2	
1249,43	27,9	
1292,51	25,4	
1335,59	24,7	
1378,68	27,3	
1421,76	29,8	
1464,84	29,1	
1507,93	28,6	
1551,01	28,8	
1594,09	29,7	
1637,18	25,3	
1680,26	32,1	
1723,35	26,0	
1766,43	37,1	
1809,51	36,2	
1852,6	46,3	
1895,68	55,0	
1938,76	73,1	
1981,85	85,9	
2024,93	85,3	
2068,01	70,0	
2111,1	54,1	
2154,18	44,3	
2197,27	38,6	
2240,35	32,8	
2283,43	31,5	
2326,52	27,3	
2369,6	25,4	
2412,68	24,4	
2455,77	22,2	
2498,85	23,7	
2541,93	23,8	
2585,02	22,2	
2628,1	22,9	
2671,19	20,7	
2714,27	18,8	
2757,35	21,5	
2800,44	21,8	
2843,52	21,2	
2886,6	20,4	
2929,69	19,5	
2972,77	20,0	
3015,85	20,1	
3058,94	19,1	
3102,02	20,0	
3145,11	20,2	
3188,19	23,0	
3231,27	22,7	
3274,36	19,9	
3317,44	18,3	
3360,52	18,7	
3403,61	17,1	
3446,69	17,3	
3489,77	17,6	
3532,86	18,2	
3575,94	18,7	
3619,03	17,5	
3662,11	17,1	
3705,19	17,7	
3748,28	17,5	
3791,36	16,1	
3834,44	16,9	
3877,53	16,6	
3920,61	16,2	
3963,69	21,8	
4006,78	25,2	
4049,86	20,1	
4092,95	19,3	
4136,03	18,0	
4179,11	16,9	
4222,2	17,5	
4265,28	16,5	
4308,36	16,8	
4351,45	15,6	
4394,53	15,5	
4437,62	17,1	
4480,7	16,3	
4523,78	16,6	
4566,87	16,6	
4609,95	15,5	
4653,03	16,4	
4696,12	16,1	
4739,2	14,9	
4782,28	16,3	
4825,37	15,5	
4868,45	13,4	
4911,54	15,1	
4954,62	15,0	
4997,7	14,3	
5040,79	16,1	
5083,87	14,7	
5126,95	14,5	
5170,04	15,7	
5213,12	15,4	
5256,2	16,2	
5299,29	16,2	
5342,37	15,0	
5385,46	15,8	
5428,54	15,6	
5471,62	14,3	
5514,71	14,7	
5557,79	14,2	
5600,87	13,8	
5643,96	13,7	
5687,04	11,6	
5730,12	11,7	
5773,21	12,8	
5816,29	11,4	
5859,38	13,7	
5902,46	21,7	
5945,54	41,6	
5988,63	52,3	
6031,71	50,3	
6074,79	32,1	
6117,88	17,7	
6160,96	11,9	
6204,04	8,7	
6247,13	8,3	
6290,21	7,3	
6333,3	6,1	
6376,38	6,2	
6419,46	6,8	
6462,55	7,2	
6505,63	7,9	
6548,71	8,7	
6591,8	9,3	
6634,88	9,9	
6677,96	10,9	
6721,05	12,9	
6764,13	13,4	
6807,22	13,3	
6850,3	13,2	
6893,38	13,7	
6936,47	15,8	
6979,55	20,6	
7022,63	22,6	
7065,72	20,8	
7108,8	17,8	
7151,88	16,1	
7194,97	15,3	
7238,05	16,6	
7281,14	16,6	
7324,22	16,6	
7367,3	17,2	
7410,39	17,8	
7453,47	16,2	
7496,55	16,7	
7539,64	17,0	
7582,72	16,5	
7625,8	16,7	
7668,89	17,4	
7711,97	18,1	
7755,06	17,5	
7798,14	17,2	
7841,22	17,7	
7884,31	18,1	
7927,39	18,2	
7970,47	17,8	
8013,56	19,0	
8056,64	18,8	
8099,72	18,3	
8142,81	18,2	
8185,89	17,3	
8228,98	16,8	
8272,06	15,7	
8315,14	14,1	
8358,23	14,5	
8401,31	14,9	
8444,39	15,5	
8487,48	14,8	
8530,56	14,3	
8573,64	14,4	
8616,73	14,0	
8659,81	14,1	
8702,9	14,3	
8745,98	14,0	
8789,06	13,1	
8832,15	13,3	
8875,23	14,1	
8918,31	13,9	
8961,4	14,2	
9004,48	14,6	
9047,56	13,8	
9090,65	13,9	
9133,73	13,5	
9176,82	13,5	
9219,9	14,5	
9262,98	14,5	
9306,07	14,8	
9349,15	14,4	
9392,23	14,7	
9435,32	14,3	
9478,4	14,9	
9521,48	14,7	
9564,57	12,7	
9607,65	13,2	
9650,74	13,3	
9693,82	12,5	
9736,9	12,8	
9779,99	13,6	
9823,07	14,0	
9866,15	13,8	
9909,24	14,3	
9952,32	30,9	
9995,4	39,8	
10038,5	36,4	
10081,6	17,6	
10124,7	13,3	
10167,7	13,0	
10210,8	13,6	
10253,9	13,3	
10297	13,3	
10340,1	12,7	
10383,2	12,5	
10426,2	12,9	
10469,3	12,7	
10512,4	13,0	
10555,5	12,8	
10598,6	13,4	
10641,7	12,9	
10684,7	12,7	
10727,8	13,4	
10770,9	12,8	
10814	11,8	
10857,1	12,6	
10900,2	12,7	
10943,2	12,3	
10986,3	12,8	
11029,4	12,9	
11072,5	12,2	
11115,6	12,2	
11158,7	11,9	
11201,7	11,4	
11244,8	12,1	
11287,9	11,6	
11331	11,0	
11374,1	10,1	
11417,2	10,8	
11460,2	11,5	
11503,3	11,0	
11546,4	10,0	
11589,5	9,4	
11632,6	10,2	
11675,7	9,8	
11718,8	9,0	
11761,8	8,4	
11804,9	8,0	
11848	8,7	
11891,1	9,1	
11934,2	8,9	
11977,3	7,9	
12020,3	7,9	
12063,4	7,8	
12106,5	7,7	
12149,6	7,5	
12192,7	6,7	
12235,8	6,0	
12278,8	6,1	
12321,9	6,0	
12365	4,9	
12408,1	4,5	
12451,2	3,7	
12494,3	3,0	
12537,3	2,6	
12580,4	1,7	
12623,5	1,3	
12666,6	1,4	
12709,7	1,0	
12752,8	1,0	
12795,8	0,2	
12838,9	-0,7	
12882	-1,2	
12925,1	-1,9	
12968,2	-1,9	
13011,3	-2,2	
13054,3	-2,9	
13097,4	-3,8	
13140,5	-3,9	
13183,6	-4,2	
13226,7	-5,7	
13269,8	-6,2	
13312,8	-5,5	
13355,9	-5,6	
13399	-6,7	
13442,1	-7,3	
13485,2	-7,6	
13528,3	-8,1	
13571,3	-8,2	
13614,4	-8,7	
13657,5	-9,3	
13700,6	-9,6	
13743,7	-10,6	
13786,8	-10,3	
13829,8	-9,7	
13872,9	-10,2	
13916	-10,3	
13959,1	0,7	
14002,2	7,8	
14045,3	3,1	
14088,4	-8,4	
14131,4	-9,1	
14174,5	-10,0	
14217,6	-9,9	
14260,7	-9,5	
14303,8	-8,9	
14346,9	-9,0	
14389,9	-8,2	
14433	-7,2	
14476,1	-8,3	
14519,2	-8,4	
14562,3	-7,7	
14605,4	-7,4	
14648,4	-6,6	
14691,5	-6,6	
14734,6	-6,7	
14777,7	-6,1	
14820,8	-6,2	
14863,9	-5,6	
14906,9	-5,6	
14950	-7,1	
14993,1	-7,3	
15036,2	-7,1	
15079,3	-7,3	
15122,4	-6,5	
15165,4	-7,3	
15208,5	-7,5	
15251,6	-6,9	
15294,7	-6,3	
15337,8	-6,1	
15380,9	-6,2	
15423,9	-5,6	
15467	-5,7	
15510,1	-6,1	
15553,2	-6,3	
15596,3	-6,3	
15639,4	-5,6	
15682,4	-5,8	
15725,5	-5,6	
15768,6	-5,0	
15811,7	-5,5	
15854,8	-5,1	
15897,9	-5,6	
15940,9	-5,3	
15984	-4,1	
16027,1	-4,1	
16070,2	-5,1	
16113,3	-4,1	
16156,4	-3,0	
16199,4	-3,7	
16242,5	-3,5	
16285,6	-3,8	
16328,7	-4,0	
16371,8	-3,7	
16414,9	-4,0	
16458	-4,0	
16501	-4,0	
16544,1	-4,8	
16587,2	-3,6	
16630,3	-4,2	
16673,4	-3,4	
16716,5	-2,8	
16759,5	-3,7	
16802,6	-4,6	
16845,7	-4,3	
16888,8	-5,3	
16931,9	-4,7	
16975	-4,6	
17018	-4,1	
17061,1	-4,5	
17104,2	-4,8	
17147,3	-4,6	
17190,4	-4,7	
