Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	54,4	
0	-Inf	
43,0836	27,5	
86,1673	36,9	
129,251	43,0	
172,335	42,8	
215,418	40,5	
258,502	39,6	
301,585	41,9	
344,669	40,7	
387,753	37,5	
430,836	36,9	
473,92	34,6	
517,004	31,0	
560,087	29,5	
603,171	28,7	
646,255	28,1	
689,338	27,5	
732,422	27,3	
775,506	27,0	
818,589	26,0	
861,673	26,0	
904,756	27,6	
947,84	29,6	
990,924	29,9	
1034,01	29,0	
1077,09	28,5	
1120,17	27,0	
1163,26	27,7	
1206,34	29,3	
1249,43	28,7	
1292,51	26,4	
1335,59	24,4	
1378,68	26,5	
1421,76	27,4	
1464,84	28,8	
1507,93	28,3	
1551,01	26,3	
1594,09	26,0	
1637,18	24,5	
1680,26	22,7	
1723,35	23,3	
1766,43	24,2	
1809,51	24,7	
1852,6	22,9	
1895,68	24,2	
1938,76	38,6	
1981,85	51,5	
2024,93	50,9	
2068,01	35,9	
2111,1	23,9	
2154,18	21,3	
2197,27	21,0	
2240,35	20,8	
2283,43	20,1	
2326,52	19,8	
2369,6	20,1	
2412,68	20,3	
2455,77	19,0	
2498,85	18,7	
2541,93	18,2	
2585,02	17,6	
2628,1	17,7	
2671,19	17,1	
2714,27	17,5	
2757,35	17,3	
2800,44	18,3	
2843,52	17,7	
2886,6	15,9	
2929,69	16,7	
2972,77	17,3	
3015,85	16,8	
3058,94	16,5	
3102,02	18,1	
3145,11	18,1	
3188,19	16,1	
3231,27	16,3	
3274,36	16,6	
3317,44	15,2	
3360,52	15,1	
3403,61	16,2	
3446,69	16,7	
3489,77	15,6	
3532,86	15,1	
3575,94	16,0	
3619,03	16,0	
3662,11	14,5	
3705,19	14,8	
3748,28	14,6	
3791,36	15,4	
3834,44	16,2	
3877,53	15,4	
3920,61	13,8	
3963,69	27,9	
4006,78	32,5	
4049,86	25,3	
4092,95	15,1	
4136,03	15,0	
4179,11	14,6	
4222,2	13,3	
4265,28	13,0	
4308,36	13,7	
4351,45	13,5	
4394,53	13,6	
4437,62	13,6	
4480,7	13,4	
4523,78	13,2	
4566,87	11,9	
4609,95	12,2	
4653,03	12,6	
4696,12	11,1	
4739,2	11,2	
4782,28	11,1	
4825,37	11,7	
4868,45	11,3	
4911,54	11,7	
4954,62	11,1	
4997,7	10,7	
5040,79	10,7	
5083,87	11,8	
5126,95	11,7	
5170,04	10,5	
5213,12	11,2	
5256,2	10,6	
5299,29	10,4	
5342,37	10,8	
5385,46	11,2	
5428,54	10,5	
5471,62	10,8	
5514,71	9,7	
5557,79	9,7	
5600,87	10,9	
5643,96	10,7	
5687,04	10,8	
5730,12	9,1	
5773,21	9,4	
5816,29	9,6	
5859,38	9,6	
5902,46	8,8	
5945,54	8,2	
5988,63	10,1	
6031,71	9,8	
6074,79	7,7	
6117,88	6,2	
6160,96	6,1	
6204,04	5,5	
6247,13	5,6	
6290,21	6,0	
6333,3	5,7	
6376,38	6,5	
6419,46	6,2	
6462,55	6,1	
6505,63	7,0	
6548,71	7,3	
6591,8	6,6	
6634,88	7,5	
6677,96	8,2	
6721,05	9,2	
6764,13	10,6	
6807,22	10,7	
6850,3	11,5	
6893,38	13,2	
6936,47	19,9	
6979,55	28,6	
7022,63	28,3	
7065,72	22,3	
7108,8	17,1	
7151,88	15,4	
7194,97	16,5	
7238,05	16,4	
7281,14	16,3	
7324,22	17,3	
7367,3	16,7	
7410,39	17,4	
7453,47	17,6	
7496,55	17,8	
7539,64	18,4	
7582,72	18,2	
7625,8	17,7	
7668,89	18,0	
7711,97	17,7	
7755,06	18,0	
7798,14	18,0	
7841,22	17,8	
7884,31	18,0	
7927,39	17,6	
7970,47	18,3	
8013,56	18,5	
8056,64	16,6	
8099,72	16,0	
8142,81	15,2	
8185,89	14,9	
8228,98	15,0	
8272,06	14,5	
8315,14	15,4	
8358,23	15,4	
8401,31	14,8	
8444,39	15,9	
8487,48	15,7	
8530,56	14,6	
8573,64	13,4	
8616,73	13,7	
8659,81	13,9	
8702,9	13,7	
8745,98	14,2	
8789,06	14,4	
8832,15	14,2	
8875,23	14,6	
8918,31	14,7	
8961,4	13,1	
9004,48	13,3	
9047,56	13,6	
9090,65	14,0	
9133,73	13,7	
9176,82	13,1	
9219,9	13,7	
9262,98	14,1	
9306,07	13,2	
9349,15	13,3	
9392,23	13,3	
9435,32	13,8	
9478,4	14,5	
9521,48	14,0	
9564,57	13,8	
9607,65	13,2	
9650,74	12,9	
9693,82	14,4	
9736,9	14,1	
9779,99	13,9	
9823,07	13,1	
9866,15	13,0	
9909,24	13,2	
9952,32	14,4	
9995,4	18,2	
10038,5	16,2	
10081,6	14,1	
10124,7	12,5	
10167,7	11,9	
10210,8	12,9	
10253,9	12,7	
10297	12,6	
10340,1	12,9	
10383,2	13,3	
10426,2	11,9	
10469,3	12,6	
10512,4	13,3	
10555,5	13,0	
10598,6	12,8	
10641,7	12,8	
10684,7	13,2	
10727,8	12,8	
10770,9	12,4	
10814	13,4	
10857,1	13,2	
10900,2	12,0	
10943,2	12,1	
10986,3	12,6	
11029,4	13,3	
11072,5	12,4	
11115,6	12,5	
11158,7	11,9	
11201,7	11,4	
11244,8	11,2	
11287,9	10,6	
11331	10,9	
11374,1	10,9	
11417,2	11,1	
11460,2	11,1	
11503,3	10,5	
11546,4	10,9	
11589,5	10,6	
11632,6	10,0	
11675,7	8,7	
11718,8	8,9	
11761,8	8,1	
11804,9	9,0	
11848	9,1	
11891,1	8,8	
11934,2	8,8	
11977,3	9,5	
12020,3	9,9	
12063,4	7,3	
12106,5	6,4	
12149,6	6,0	
12192,7	5,9	
12235,8	6,3	
12278,8	4,6	
12321,9	4,1	
12365	4,1	
12408,1	3,5	
12451,2	3,6	
12494,3	2,0	
12537,3	2,9	
12580,4	2,8	
12623,5	1,7	
12666,6	1,2	
12709,7	0,5	
12752,8	-1,0	
12795,8	-0,2	
12838,9	-0,3	
12882	-1,4	
12925,1	-2,0	
12968,2	-2,6	
13011,3	-2,4	
13054,3	-3,5	
13097,4	-4,5	
13140,5	-5,0	
13183,6	-4,9	
13226,7	-5,7	
13269,8	-5,1	
13312,8	-5,5	
13355,9	-7,4	
13399	-8,0	
13442,1	-8,7	
13485,2	-7,7	
13528,3	-7,9	
13571,3	-8,6	
13614,4	-8,9	
13657,5	-10,0	
13700,6	-9,6	
13743,7	-9,2	
13786,8	-9,7	
13829,8	-9,4	
13872,9	-9,6	
13916	-9,6	
13959,1	-8,9	
14002,2	-6,2	
14045,3	-6,0	
14088,4	-8,9	
14131,4	-10,6	
14174,5	-9,5	
14217,6	-8,2	
14260,7	-8,2	
14303,8	-9,0	
14346,9	-9,2	
14389,9	-8,5	
14433	-8,1	
14476,1	-8,4	
14519,2	-8,9	
14562,3	-7,4	
14605,4	-6,9	
14648,4	-6,7	
14691,5	-6,7	
14734,6	-6,8	
14777,7	-6,5	
14820,8	-6,4	
14863,9	-5,7	
14906,9	-5,7	
14950	-6,8	
14993,1	-6,2	
15036,2	-5,6	
15079,3	-6,1	
15122,4	-6,4	
15165,4	-5,6	
15208,5	-5,5	
15251,6	-5,7	
15294,7	-6,0	
15337,8	-5,6	
15380,9	-6,6	
15423,9	-7,0	
15467	-5,6	
15510,1	-6,2	
15553,2	-6,1	
15596,3	-6,3	
15639,4	-6,7	
15682,4	-5,7	
15725,5	-4,3	
15768,6	-5,4	
15811,7	-6,1	
15854,8	-4,9	
15897,9	-4,3	
15940,9	-4,2	
15984	-3,7	
16027,1	-2,9	
16070,2	-3,7	
16113,3	-4,6	
16156,4	-3,4	
16199,4	-4,3	
16242,5	-4,6	
16285,6	-3,6	
16328,7	-4,0	
16371,8	-3,7	
16414,9	-3,0	
16458	-3,7	
16501	-3,2	
16544,1	-3,7	
16587,2	-3,5	
16630,3	-3,7	
16673,4	-4,3	
16716,5	-4,0	
16759,5	-4,7	
16802,6	-3,9	
16845,7	-3,7	
16888,8	-4,5	
16931,9	-5,0	
16975	-6,2	
17018	-5,6	
17061,1	-4,6	
17104,2	-5,3	
17147,3	-4,4	
17190,4	-4,1	
