Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	53,6	
0	-Inf	
43,0836	28,0	
86,1673	38,1	
129,251	42,7	
172,335	41,2	
215,418	39,4	
258,502	41,6	
301,585	41,0	
344,669	38,5	
387,753	37,1	
430,836	36,5	
473,92	35,2	
517,004	32,8	
560,087	30,0	
603,171	29,2	
646,255	27,9	
689,338	27,2	
732,422	26,3	
775,506	24,9	
818,589	26,4	
861,673	28,5	
904,756	28,3	
947,84	28,7	
990,924	30,6	
1034,01	30,4	
1077,09	27,5	
1120,17	26,3	
1163,26	26,8	
1206,34	28,2	
1249,43	27,5	
1292,51	24,4	
1335,59	24,7	
1378,68	26,3	
1421,76	27,1	
1464,84	27,9	
1507,93	27,7	
1551,01	25,3	
1594,09	25,4	
1637,18	25,4	
1680,26	23,4	
1723,35	23,5	
1766,43	24,3	
1809,51	24,3	
1852,6	21,6	
1895,68	24,3	
1938,76	37,9	
1981,85	50,6	
2024,93	49,9	
2068,01	34,7	
2111,1	23,0	
2154,18	20,2	
2197,27	20,0	
2240,35	19,6	
2283,43	19,6	
2326,52	19,5	
2369,6	18,7	
2412,68	19,3	
2455,77	18,6	
2498,85	18,6	
2541,93	18,8	
2585,02	17,7	
2628,1	18,8	
2671,19	18,6	
2714,27	17,5	
2757,35	17,3	
2800,44	17,0	
2843,52	17,4	
2886,6	17,1	
2929,69	17,4	
2972,77	18,0	
3015,85	18,6	
3058,94	18,9	
3102,02	17,3	
3145,11	16,8	
3188,19	16,8	
3231,27	16,5	
3274,36	15,4	
3317,44	16,1	
3360,52	16,6	
3403,61	16,5	
3446,69	15,9	
3489,77	14,8	
3532,86	15,3	
3575,94	15,2	
3619,03	15,3	
3662,11	15,0	
3705,19	14,9	
3748,28	14,8	
3791,36	14,9	
3834,44	14,8	
3877,53	15,4	
3920,61	15,2	
3963,69	21,0	
4006,78	24,6	
4049,86	18,9	
4092,95	13,9	
4136,03	13,6	
4179,11	13,7	
4222,2	13,2	
4265,28	13,6	
4308,36	13,1	
4351,45	13,6	
4394,53	13,3	
4437,62	12,7	
4480,7	12,3	
4523,78	12,7	
4566,87	12,5	
4609,95	12,7	
4653,03	11,6	
4696,12	11,8	
4739,2	11,3	
4782,28	12,1	
4825,37	11,9	
4868,45	11,7	
4911,54	11,2	
4954,62	11,1	
4997,7	11,3	
5040,79	10,9	
5083,87	10,8	
5126,95	10,4	
5170,04	10,4	
5213,12	11,2	
5256,2	10,3	
5299,29	10,6	
5342,37	10,0	
5385,46	10,0	
5428,54	10,6	
5471,62	10,9	
5514,71	10,2	
5557,79	9,7	
5600,87	9,5	
5643,96	9,6	
5687,04	9,0	
5730,12	10,4	
5773,21	11,3	
5816,29	10,3	
5859,38	8,8	
5902,46	8,5	
5945,54	14,5	
5988,63	24,4	
6031,71	22,5	
6074,79	8,5	
6117,88	6,7	
6160,96	6,5	
6204,04	6,7	
6247,13	7,0	
6290,21	6,6	
6333,3	5,9	
6376,38	6,2	
6419,46	5,5	
6462,55	5,9	
6505,63	7,0	
6548,71	8,1	
6591,8	7,8	
6634,88	7,4	
6677,96	6,5	
6721,05	8,8	
6764,13	10,1	
6807,22	10,5	
6850,3	12,5	
6893,38	15,2	
6936,47	17,7	
6979,55	25,0	
7022,63	26,7	
7065,72	22,5	
7108,8	18,9	
7151,88	16,0	
7194,97	15,7	
7238,05	16,2	
7281,14	15,8	
7324,22	16,0	
7367,3	16,3	
7410,39	16,9	
7453,47	17,4	
7496,55	17,6	
7539,64	18,2	
7582,72	18,4	
7625,8	18,3	
7668,89	19,1	
7711,97	18,3	
7755,06	18,0	
7798,14	18,0	
7841,22	17,9	
7884,31	17,9	
7927,39	16,6	
7970,47	19,8	
8013,56	22,5	
8056,64	18,2	
8099,72	15,9	
8142,81	15,6	
8185,89	15,9	
8228,98	15,2	
8272,06	15,7	
8315,14	15,4	
8358,23	15,0	
8401,31	14,6	
8444,39	14,2	
8487,48	13,7	
8530,56	14,7	
8573,64	14,4	
8616,73	14,4	
8659,81	15,2	
8702,9	15,2	
8745,98	14,2	
8789,06	13,8	
8832,15	14,4	
8875,23	14,0	
8918,31	12,8	
8961,4	13,6	
9004,48	13,8	
9047,56	13,7	
9090,65	12,3	
9133,73	13,6	
9176,82	13,9	
9219,9	13,7	
9262,98	13,8	
9306,07	13,8	
9349,15	14,3	
9392,23	13,7	
9435,32	13,7	
9478,4	13,9	
9521,48	13,7	
9564,57	13,6	
9607,65	12,8	
9650,74	13,3	
9693,82	13,5	
9736,9	12,8	
9779,99	13,8	
9823,07	13,4	
9866,15	13,6	
9909,24	13,3	
9952,32	12,4	
9995,4	13,0	
10038,5	12,1	
10081,6	12,8	
10124,7	12,4	
10167,7	13,0	
10210,8	12,8	
10253,9	12,0	
10297	12,5	
10340,1	13,3	
10383,2	14,4	
10426,2	13,9	
10469,3	13,2	
10512,4	13,7	
10555,5	13,5	
10598,6	12,8	
10641,7	12,7	
10684,7	12,2	
10727,8	12,7	
10770,9	13,4	
10814	12,0	
10857,1	12,4	
10900,2	12,2	
10943,2	12,4	
10986,3	11,6	
11029,4	12,1	
11072,5	12,5	
11115,6	11,3	
11158,7	11,4	
11201,7	12,4	
11244,8	12,1	
11287,9	11,9	
11331	12,2	
11374,1	11,6	
11417,2	10,9	
11460,2	10,0	
11503,3	9,8	
11546,4	10,6	
11589,5	10,9	
11632,6	9,8	
11675,7	9,0	
11718,8	9,6	
11761,8	10,1	
11804,9	8,1	
11848	7,8	
11891,1	8,2	
11934,2	7,4	
11977,3	11,4	
12020,3	12,8	
12063,4	8,4	
12106,5	7,4	
12149,6	7,4	
12192,7	5,4	
12235,8	5,2	
12278,8	5,4	
12321,9	5,5	
12365	4,7	
12408,1	3,1	
12451,2	3,5	
12494,3	3,1	
12537,3	2,3	
12580,4	1,4	
12623,5	0,5	
12666,6	0,8	
12709,7	1,2	
12752,8	0,1	
12795,8	-0,6	
12838,9	-1,7	
12882	-2,0	
12925,1	-1,8	
12968,2	-1,7	
13011,3	-2,5	
13054,3	-2,8	
13097,4	-4,1	
13140,5	-4,4	
13183,6	-4,9	
13226,7	-5,5	
13269,8	-6,1	
13312,8	-6,5	
13355,9	-6,1	
13399	-7,1	
13442,1	-8,3	
13485,2	-8,1	
13528,3	-8,3	
13571,3	-8,1	
13614,4	-8,6	
13657,5	-9,0	
13700,6	-10,0	
13743,7	-9,7	
13786,8	-9,6	
13829,8	-9,8	
13872,9	-9,5	
13916	-10,3	
13959,1	-9,9	
14002,2	-7,9	
14045,3	-6,0	
14088,4	-8,5	
14131,4	-9,6	
14174,5	-10,0	
14217,6	-9,9	
14260,7	-8,9	
14303,8	-8,7	
14346,9	-8,2	
14389,9	-7,5	
14433	-7,3	
14476,1	-8,8	
14519,2	-7,2	
14562,3	-7,0	
14605,4	-7,6	
14648,4	-7,3	
14691,5	-6,3	
14734,6	-5,6	
14777,7	-6,3	
14820,8	-6,2	
14863,9	-6,4	
14906,9	-7,4	
14950	-6,7	
14993,1	-7,1	
15036,2	-6,8	
15079,3	-6,8	
15122,4	-7,1	
15165,4	-6,3	
15208,5	-6,2	
15251,6	-6,8	
15294,7	-6,7	
15337,8	-6,3	
15380,9	-6,0	
15423,9	-6,0	
15467	-5,5	
15510,1	-5,5	
15553,2	-5,7	
15596,3	-5,6	
15639,4	-5,3	
15682,4	-5,6	
15725,5	-5,4	
15768,6	-5,3	
15811,7	-4,0	
15854,8	-4,0	
15897,9	-4,2	
15940,9	-4,2	
15984	-2,9	
16027,1	-2,7	
16070,2	-3,9	
16113,3	-4,4	
16156,4	-4,7	
16199,4	-4,9	
16242,5	-4,3	
16285,6	-4,3	
16328,7	-3,7	
16371,8	-3,2	
16414,9	-4,0	
16458	-3,9	
16501	-3,6	
16544,1	-3,2	
16587,2	-3,8	
16630,3	-3,2	
16673,4	-4,2	
16716,5	-3,8	
16759,5	-4,0	
16802,6	-4,3	
16845,7	-3,9	
16888,8	-4,3	
16931,9	-4,0	
16975	-3,4	
17018	-3,5	
17061,1	-4,5	
17104,2	-4,4	
17147,3	-3,9	
17190,4	-3,7	
