Mode	Average	
Spectrum	FFT	
Units	dBA	
		
Global	83,0	
0	-Inf	
43,0836	28,9	
86,1673	37,2	
129,251	42,3	
172,335	41,9	
215,418	39,3	
258,502	40,1	
301,585	40,5	
344,669	38,7	
387,753	36,4	
430,836	35,1	
473,92	34,5	
517,004	34,1	
560,087	31,7	
603,171	32,4	
646,255	30,2	
689,338	29,1	
732,422	30,1	
775,506	28,7	
818,589	27,7	
861,673	27,1	
904,756	28,4	
947,84	29,8	
990,924	30,3	
1034,01	29,4	
1077,09	27,5	
1120,17	26,7	
1163,26	28,0	
1206,34	28,6	
1249,43	29,1	
1292,51	27,1	
1335,59	25,4	
1378,68	27,0	
1421,76	29,4	
1464,84	28,6	
1507,93	25,5	
1551,01	28,8	
1594,09	29,0	
1637,18	26,4	
1680,26	29,6	
1723,35	27,4	
1766,43	31,1	
1809,51	37,2	
1852,6	40,8	
1895,68	51,2	
1938,76	68,9	
1981,85	81,7	
2024,93	81,0	
2068,01	65,8	
2111,1	49,6	
2154,18	40,9	
2197,27	34,1	
2240,35	29,7	
2283,43	28,7	
2326,52	25,1	
2369,6	23,3	
2412,68	24,0	
2455,77	22,7	
2498,85	23,5	
2541,93	24,0	
2585,02	19,8	
2628,1	22,3	
2671,19	21,6	
2714,27	18,9	
2757,35	20,5	
2800,44	20,4	
2843,52	17,9	
2886,6	19,7	
2929,69	18,7	
2972,77	17,2	
3015,85	18,9	
3058,94	17,8	
3102,02	18,8	
3145,11	19,3	
3188,19	19,7	
3231,27	21,6	
3274,36	20,0	
3317,44	18,6	
3360,52	18,4	
3403,61	16,6	
3446,69	17,2	
3489,77	18,0	
3532,86	17,1	
3575,94	17,6	
3619,03	18,0	
3662,11	17,8	
3705,19	18,5	
3748,28	18,8	
3791,36	18,9	
3834,44	19,8	
3877,53	24,1	
3920,61	36,0	
3963,69	63,7	
4006,78	68,2	
4049,86	60,6	
4092,95	31,9	
4136,03	22,6	
4179,11	18,6	
4222,2	17,4	
4265,28	15,6	
4308,36	17,4	
4351,45	17,6	
4394,53	18,0	
4437,62	19,1	
4480,7	18,6	
4523,78	17,1	
4566,87	18,7	
4609,95	19,6	
4653,03	16,5	
4696,12	16,2	
4739,2	13,9	
4782,28	16,2	
4825,37	15,2	
4868,45	12,9	
4911,54	14,5	
4954,62	13,8	
4997,7	13,5	
5040,79	17,0	
5083,87	15,7	
5126,95	13,3	
5170,04	15,7	
5213,12	13,9	
5256,2	15,5	
5299,29	15,9	
5342,37	16,7	
5385,46	17,0	
5428,54	14,9	
5471,62	13,3	
5514,71	14,6	
5557,79	13,0	
5600,87	12,1	
5643,96	13,7	
5687,04	12,0	
5730,12	12,3	
5773,21	12,0	
5816,29	13,3	
5859,38	17,2	
5902,46	26,6	
5945,54	46,6	
5988,63	57,4	
6031,71	55,3	
6074,79	37,1	
6117,88	22,6	
6160,96	14,3	
6204,04	10,2	
6247,13	8,1	
6290,21	7,4	
6333,3	8,4	
6376,38	8,1	
6419,46	7,4	
6462,55	7,9	
6505,63	9,2	
6548,71	9,5	
6591,8	10,0	
6634,88	10,8	
6677,96	12,4	
6721,05	13,8	
6764,13	13,9	
6807,22	13,3	
6850,3	13,3	
6893,38	13,3	
6936,47	16,1	
6979,55	22,4	
7022,63	24,6	
7065,72	22,4	
7108,8	19,4	
7151,88	16,8	
7194,97	17,4	
7238,05	16,9	
7281,14	16,8	
7324,22	17,6	
7367,3	17,5	
7410,39	17,2	
7453,47	16,4	
7496,55	16,8	
7539,64	17,6	
7582,72	17,3	
7625,8	18,0	
7668,89	18,5	
7711,97	17,9	
7755,06	16,6	
7798,14	17,3	
7841,22	18,1	
7884,31	19,1	
7927,39	22,1	
7970,47	42,4	
8013,56	45,5	
8056,64	36,3	
8099,72	19,8	
8142,81	17,7	
8185,89	16,7	
8228,98	16,2	
8272,06	15,4	
8315,14	16,0	
8358,23	16,3	
8401,31	15,4	
8444,39	16,4	
8487,48	16,0	
8530,56	15,6	
8573,64	15,4	
8616,73	15,5	
8659,81	15,2	
8702,9	13,9	
8745,98	13,3	
8789,06	14,9	
8832,15	13,8	
8875,23	13,5	
8918,31	14,0	
8961,4	14,2	
9004,48	13,2	
9047,56	13,0	
9090,65	13,6	
9133,73	14,4	
9176,82	14,1	
9219,9	13,6	
9262,98	13,0	
9306,07	13,5	
9349,15	13,9	
9392,23	13,7	
9435,32	14,0	
9478,4	14,3	
9521,48	13,7	
9564,57	13,5	
9607,65	13,8	
9650,74	13,8	
9693,82	12,6	
9736,9	12,7	
9779,99	13,6	
9823,07	13,6	
9866,15	13,5	
9909,24	18,5	
9952,32	40,7	
9995,4	49,6	
10038,5	46,2	
10081,6	24,4	
10124,7	14,9	
10167,7	14,1	
10210,8	13,8	
10253,9	13,7	
10297	14,2	
10340,1	14,0	
10383,2	12,8	
10426,2	13,4	
10469,3	13,0	
10512,4	13,9	
10555,5	12,6	
10598,6	12,3	
10641,7	12,9	
10684,7	13,4	
10727,8	12,9	
10770,9	13,4	
10814	12,9	
10857,1	13,5	
10900,2	12,8	
10943,2	11,8	
10986,3	11,4	
11029,4	12,0	
11072,5	12,1	
11115,6	11,4	
11158,7	11,7	
11201,7	11,5	
11244,8	11,5	
11287,9	12,1	
11331	11,1	
11374,1	11,4	
11417,2	11,3	
11460,2	11,0	
11503,3	10,4	
11546,4	10,0	
11589,5	10,6	
11632,6	10,6	
11675,7	10,0	
11718,8	8,8	
11761,8	9,4	
11804,9	9,7	
11848	9,6	
11891,1	9,1	
11934,2	12,8	
11977,3	28,0	
12020,3	29,6	
12063,4	18,7	
12106,5	7,7	
12149,6	7,2	
12192,7	6,5	
12235,8	5,0	
12278,8	4,8	
12321,9	5,2	
12365	3,6	
12408,1	3,2	
12451,2	3,0	
12494,3	2,3	
12537,3	3,1	
12580,4	2,7	
12623,5	1,7	
12666,6	1,2	
12709,7	0,5	
12752,8	-0,3	
12795,8	-1,2	
12838,9	-0,5	
12882	-1,2	
12925,1	-1,6	
12968,2	-2,1	
13011,3	-2,9	
13054,3	-3,5	
13097,4	-4,5	
13140,5	-4,7	
13183,6	-5,2	
13226,7	-5,6	
13269,8	-5,4	
13312,8	-5,6	
13355,9	-5,9	
13399	-6,7	
13442,1	-7,8	
13485,2	-7,9	
13528,3	-9,4	
13571,3	-8,6	
13614,4	-8,7	
13657,5	-9,7	
13700,6	-9,0	
13743,7	-8,9	
13786,8	-9,0	
13829,8	-9,4	
13872,9	-10,0	
13916	-8,9	
13959,1	13,4	
14002,2	20,7	
14045,3	16,0	
14088,4	-5,6	
14131,4	-6,8	
14174,5	-8,7	
14217,6	-8,9	
14260,7	-9,4	
14303,8	-8,6	
14346,9	-8,2	
14389,9	-8,3	
14433	-8,3	
14476,1	-7,9	
14519,2	-7,1	
14562,3	-7,5	
14605,4	-7,7	
14648,4	-6,6	
14691,5	-5,7	
14734,6	-6,0	
14777,7	-6,8	
14820,8	-5,8	
14863,9	-6,6	
14906,9	-7,1	
14950	-6,4	
14993,1	-6,2	
15036,2	-6,6	
15079,3	-6,3	
15122,4	-6,4	
15165,4	-6,6	
15208,5	-6,5	
15251,6	-5,8	
15294,7	-5,1	
15337,8	-5,5	
15380,9	-6,1	
15423,9	-6,5	
15467	-5,6	
15510,1	-5,1	
15553,2	-5,2	
15596,3	-5,8	
15639,4	-6,2	
15682,4	-6,1	
15725,5	-6,0	
15768,6	-5,0	
15811,7	-5,5	
15854,8	-5,6	
15897,9	-5,2	
15940,9	-0,3	
15984	11,9	
16027,1	12,2	
16070,2	0,8	
16113,3	-4,0	
16156,4	-5,6	
16199,4	-4,5	
16242,5	-2,9	
16285,6	-3,3	
16328,7	-5,3	
16371,8	-4,3	
16414,9	-4,2	
16458	-4,4	
16501	-3,8	
16544,1	-3,2	
16587,2	-2,9	
16630,3	-3,7	
16673,4	-5,0	
16716,5	-4,3	
16759,5	-4,0	
16802,6	-3,8	
16845,7	-3,7	
16888,8	-5,0	
16931,9	-3,4	
16975	-2,8	
17018	-3,0	
17061,1	-4,3	
17104,2	-4,0	
17147,3	-3,5	
17190,4	-3,7	
